a0003,a0004,a0005,a0006
9,-42.0,30.0,-12.0
2609,-90.0,73.0,-44.0
4158,-101.0,42.0,-22.0
3419,-19.0,82.0,-1.0
3172,107.0,128.0,-4.0
2925,108.0,58.0,14.0
2543,59.0,17.0,25.0
2359,47.0,27.0,30.0
2044,42.0,-56.0,38.0
1802,46.0,-183.0,50.0
1560,47.0,-213.0,56.0
1337,39.0,-245.0,18.0
1174,16.0,-320.0,13.0
1000,-4.0,-292.0,55.0
819,-11.0,-230.0,42.0
656,-8.0,-251.0,36.0
510,-15.0,-236.0,53.0
373,-62.0,-130.0,21.0
253,-63.0,-72.0,8.0
111,-27.0,-57.0,8.0
-20,-29.0,27.0,-24.0
-116,-19.0,109.0,-34.0
-222,-27.0,145.0,-25.0
-315,-39.0,178.0,-17.0
-387,-20.0,188.0,-13.0
-474,-41.0,165.0,-12.0
-553,-62.0,132.0,8.0
-614,-73.0,119.0,24.0
-640,-101.0,99.0,22.0
-652,-109.0,47.0,7.0
-702,-104.0,52.0,-25.0
-733,-101.0,102.0,-26.0
-733,-95.0,82.0,4.0
-756,-92.0,21.0,1.0
-797,-89.0,-14.0,-28.0
-833,-74.0,-14.0,-44.0
-851,-61.0,8.0,-29.0
-848,-51.0,-12.0,-17.0
-852,-27.0,-69.0,-44.0
-868,-9.0,-111.0,-52.0
-877,-10.0,-140.0,-33.0
-893,-2.0,-148.0,-21.0
-907,2.0,-163.0,-17.0
-911,-25.0,-187.0,-20.0
-917,-48.0,-165.0,-17.0
-889,-61.0,-101.0,-11.0
-848,-67.0,-50.0,-5.0
-848,-32.0,-32.0,-11.0
-826,-2.0,2.0,-33.0
-752,-5.0,27.0,-49.0
-712,1.0,27.0,-38.0
-704,13.0,67.0,-10.0
-668,13.0,90.0,-2.0
-643,17.0,88.0,-6.0
-624,14.0,157.0,1.0
-582,1.0,196.0,-4.0
-557,12.0,162.0,-19.0
-550,32.0,157.0,-20.0
-545,23.0,155.0,-23.0
-530,9.0,132.0,-28.0
-512,0.0,104.0,-35.0
-522,-15.0,63.0,-69.0
-535,-18.0,38.0,-81.0
-498,-22.0,25.0,-67.0
-464,-35.0,12.0,-66.0
-456,-27.0,-19.0,-64.0
-411,-7.0,-42.0,-75.0
-373,13.0,-13.0,-100.0
-347,24.0,15.0,-106.0
-297,25.0,-9.0,-98.0
-272,31.0,-65.0,-105.0
-253,43.0,-76.0,-107.0
-232,60.0,-31.0,-89.0
-232,73.0,-5.0,-79.0
-221,69.0,27.0,-65.0
-223,58.0,54.0,-70.0
-227,59.0,23.0,-73.0
-200,80.0,40.0,-17.0
-194,96.0,78.0,6.0
-216,96.0,63.0,-16.0
-224,97.0,59.0,13.0
-222,88.0,72.0,48.0
-205,75.0,107.0,43.0
-174,64.0,123.0,49.0
-167,68.0,81.0,66.0
-160,94.0,77.0,55.0
-148,97.0,95.0,48.0
-148,96.0,69.0,51.0
-134,119.0,52.0,56.0
-141,112.0,26.0,76.0
-162,97.0,-17.0,79.0
-161,128.0,4.0,78.0
-170,141.0,29.0,88.0
-168,94.0,-6.0,86.0
-140,74.0,-29.0,77.0
-144,91.0,-12.0,68.0
-157,71.0,3.0,85.0
-167,43.0,-18.0,103.0
-180,37.0,-57.0,91.0
-143,34.0,-65.0,77.0
-112,33.0,-53.0,62.0
-116,18.0,-47.0,64.0
