a0003,a0004,a0005,a0006
270,220.0,257.0,252.0
338,283.0,316.0,327.0
217,192.0,203.0,230.0
288,246.0,282.0,292.0
259,231.0,256.0,266.0
240,228.0,256.0,257.0
272,243.0,301.0,275.0
233,214.0,256.0,228.0
273,244.0,299.0,266.0
220,208.0,266.0,236.0
248,235.0,293.0,262.0
227,222.0,269.0,246.0
255,253.0,285.0,274.0
254,239.0,279.0,252.0
256,241.0,281.0,260.0
261,249.0,283.0,270.0
256,256.0,270.0,257.0
273,243.0,259.0,272.0
248,230.0,262.0,261.0
253,237.0,268.0,279.0
246,222.0,265.0,271.0
283,233.0,279.0,280.0
264,214.0,256.0,274.0
292,240.0,262.0,278.0
283,214.0,239.0,261.0
276,233.0,265.0,279.0
296,230.0,254.0,260.0
283,236.0,269.0,267.0
274,231.0,270.0,266.0
277,244.0,272.0,263.0
261,227.0,262.0,266.0
269,229.0,264.0,260.0
272,245.0,258.0,257.0
264,242.0,264.0,260.0
266,254.0,258.0,252.0
274,244.0,242.0,263.0
265,256.0,250.0,267.0
261,247.0,270.0,251.0
274,246.0,270.0,268.0
261,237.0,244.0,257.0
262,249.0,261.0,255.0
258,246.0,263.0,252.0
265,244.0,267.0,256.0
254,248.0,262.0,250.0
260,254.0,271.0,259.0
249,259.0,265.0,257.0
256,265.0,280.0,249.0
258,254.0,262.0,243.0
255,256.0,269.0,236.0
271,239.0,267.0,233.0
255,240.0,261.0,244.0
260,259.0,259.0,249.0
260,258.0,246.0,230.0
259,263.0,253.0,242.0
242,248.0,248.0,252.0
244,242.0,258.0,240.0
251,250.0,262.0,230.0
236,234.0,267.0,231.0
256,219.0,267.0,244.0
252,231.0,266.0,247.0
255,216.0,263.0,254.0
260,228.0,246.0,256.0
250,230.0,254.0,252.0
247,225.0,262.0,260.0
253,236.0,258.0,253.0
252,244.0,257.0,250.0
253,255.0,253.0,254.0
238,243.0,252.0,242.0
230,250.0,252.0,238.0
234,247.0,259.0,233.0
251,254.0,270.0,240.0
257,255.0,263.0,244.0
254,253.0,261.0,245.0
266,253.0,259.0,254.0
245,240.0,249.0,250.0
238,245.0,255.0,255.0
249,242.0,249.0,261.0
243,244.0,260.0,258.0
244,246.0,254.0,265.0
246,242.0,249.0,273.0
246,248.0,240.0,259.0
247,247.0,232.0,260.0
224,248.0,242.0,250.0
244,258.0,237.0,238.0
254,252.0,237.0,234.0
253,244.0,239.0,244.0
257,242.0,241.0,259.0
249,248.0,249.0,260.0
226,239.0,251.0,264.0
234,236.0,243.0,269.0
237,244.0,242.0,255.0
237,243.0,249.0,258.0
252,260.0,244.0,271.0
229,258.0,243.0,263.0
251,253.0,254.0,259.0
253,262.0,246.0,256.0
242,254.0,253.0,245.0
258,266.0,246.0,243.0
239,252.0,246.0,257.0
230,255.0,263.0,241.0
231,269.0,268.0,241.0
232,262.0,268.0,242.0
241,248.0,267.0,238.0
245,240.0,266.0,242.0
234,255.0,248.0,240.0
240,254.0,257.0,249.0
248,242.0,259.0,243.0
228,223.0,256.0,237.0
225,226.0,257.0,236.0
231,241.0,237.0,240.0
249,234.0,242.0,241.0
242,232.0,237.0,224.0
242,237.0,252.0,227.0
251,231.0,276.0,222.0
260,245.0,261.0,235.0
254,252.0,264.0,232.0
260,258.0,246.0,227.0
273,255.0,244.0,234.0
269,257.0,258.0,222.0
267,251.0,243.0,226.0
254,253.0,240.0,230.0
258,253.0,244.0,238.0
253,234.0,238.0,216.0
269,244.0,236.0,225.0
261,251.0,243.0,228.0
259,246.0,260.0,220.0
269,244.0,252.0,226.0
259,239.0,243.0,217.0
253,236.0,242.0,229.0
256,246.0,246.0,229.0
254,243.0,246.0,221.0
244,252.0,237.0,224.0
254,253.0,250.0,230.0
251,242.0,244.0,230.0
249,240.0,247.0,220.0
259,243.0,243.0,217.0
264,247.0,249.0,219.0
252,241.0,265.0,231.0
250,248.0,269.0,229.0
262,235.0,264.0,222.0
241,232.0,262.0,218.0
234,240.0,260.0,215.0
258,241.0,245.0,216.0
260,234.0,242.0,222.0
260,240.0,234.0,221.0
266,261.0,241.0,233.0
255,244.0,238.0,237.0
253,233.0,228.0,221.0
242,239.0,236.0,234.0
239,243.0,221.0,234.0
240,250.0,220.0,236.0
243,242.0,225.0,239.0
258,236.0,227.0,247.0
259,250.0,229.0,248.0
260,247.0,236.0,248.0
254,248.0,232.0,248.0
252,249.0,239.0,241.0
254,250.0,247.0,245.0
266,249.0,239.0,256.0
261,249.0,251.0,255.0
263,250.0,249.0,258.0
257,243.0,246.0,255.0
257,249.0,232.0,266.0
250,244.0,236.0,258.0
254,238.0,238.0,239.0
260,230.0,242.0,246.0
258,238.0,234.0,250.0
253,235.0,226.0,245.0
229,229.0,221.0,237.0
228,243.0,218.0,262.0
233,252.0,219.0,258.0
249,246.0,214.0,250.0
259,245.0,219.0,259.0
245,242.0,224.0,247.0
230,237.0,224.0,242.0
249,242.0,220.0,237.0
245,234.0,221.0,246.0
241,226.0,223.0,249.0
240,217.0,219.0,233.0
231,220.0,218.0,249.0
234,227.0,227.0,249.0
244,232.0,234.0,253.0
257,230.0,233.0,259.0
251,230.0,222.0,253.0
229,241.0,228.0,248.0
238,233.0,215.0,242.0
238,238.0,212.0,241.0
242,241.0,215.0,252.0
253,221.0,208.0,256.0
244,226.0,207.0,253.0
249,240.0,208.0,255.0
249,241.0,217.0,257.0
246,253.0,211.0,262.0
252,242.0,222.0,255.0
244,230.0,217.0,260.0
243,238.0,210.0,257.0
239,245.0,215.0,249.0
233,250.0,245.0,256.0
239,230.0,253.0,264.0
232,229.0,238.0,249.0
238,217.0,245.0,245.0
218,229.0,241.0,240.0
220,232.0,239.0,246.0
222,230.0,222.0,250.0
239,242.0,227.0,258.0
227,234.0,221.0,258.0
225,241.0,227.0,248.0
230,229.0,235.0,269.0
220,238.0,226.0,275.0
232,238.0,227.0,260.0
223,236.0,216.0,260.0
243,243.0,230.0,265.0
245,255.0,236.0,264.0
254,255.0,247.0,268.0
248,239.0,238.0,252.0
252,237.0,242.0,243.0
253,256.0,236.0,247.0
247,249.0,223.0,252.0
256,236.0,230.0,235.0
248,241.0,223.0,236.0
235,227.0,233.0,240.0
235,236.0,219.0,237.0
242,236.0,223.0,247.0
240,222.0,233.0,237.0
237,233.0,227.0,243.0
240,239.0,240.0,252.0
243,239.0,241.0,244.0
244,251.0,235.0,255.0
243,252.0,231.0,260.0
230,259.0,226.0,242.0
240,251.0,228.0,250.0
244,238.0,216.0,256.0
243,242.0,214.0,254.0
254,240.0,225.0,247.0
241,250.0,225.0,259.0
222,251.0,228.0,261.0
228,251.0,230.0,259.0
229,247.0,241.0,255.0
227,251.0,240.0,247.0
234,257.0,239.0,252.0
237,252.0,246.0,252.0
244,260.0,247.0,251.0
237,258.0,235.0,253.0
234,243.0,241.0,261.0
232,226.0,243.0,256.0
243,215.0,242.0,262.0
253,223.0,242.0,259.0
237,228.0,236.0,248.0
232,224.0,249.0,248.0
226,236.0,246.0,247.0
227,237.0,234.0,244.0
227,245.0,224.0,241.0
225,246.0,233.0,227.0
225,249.0,221.0,235.0
227,264.0,234.0,244.0
236,266.0,228.0,243.0
230,257.0,221.0,246.0
229,257.0,231.0,263.0
245,252.0,219.0,251.0
247,240.0,217.0,258.0
258,248.0,208.0,248.0
254,251.0,229.0,239.0
245,240.0,230.0,245.0
241,245.0,225.0,228.0
244,251.0,224.0,236.0
247,239.0,213.0,227.0
249,254.0,226.0,229.0
241,256.0,228.0,237.0
232,241.0,226.0,248.0
232,242.0,218.0,238.0
227,254.0,215.0,247.0
240,238.0,224.0,246.0
226,234.0,221.0,237.0
222,222.0,221.0,228.0
235,226.0,216.0,228.0
255,226.0,221.0,236.0
261,226.0,230.0,231.0
244,245.0,240.0,244.0
241,240.0,229.0,244.0
240,246.0,223.0,223.0
224,235.0,210.0,219.0
233,252.0,227.0,241.0
240,253.0,230.0,249.0
236,250.0,230.0,250.0
230,231.0,230.0,245.0
224,246.0,211.0,241.0
239,253.0,222.0,238.0
237,233.0,232.0,221.0
232,249.0,237.0,224.0
233,245.0,225.0,239.0
232,258.0,233.0,231.0
235,256.0,237.0,248.0
247,259.0,232.0,258.0
246,258.0,211.0,245.0
246,244.0,236.0,243.0
237,231.0,232.0,240.0
222,239.0,229.0,238.0
224,243.0,233.0,241.0
229,238.0,222.0,250.0
223,245.0,220.0,252.0
224,240.0,218.0,245.0
226,231.0,234.0,240.0
223,223.0,227.0,245.0
221,222.0,234.0,245.0
232,221.0,244.0,254.0
236,226.0,242.0,263.0
231,227.0,232.0,252.0
239,233.0,238.0,229.0
249,234.0,252.0,234.0
247,228.0,253.0,227.0
248,218.0,251.0,224.0
246,223.0,250.0,236.0
230,231.0,228.0,230.0
222,224.0,236.0,238.0
210,224.0,253.0,229.0
222,219.0,247.0,246.0
242,221.0,244.0,240.0
259,231.0,248.0,235.0
254,229.0,246.0,238.0
262,219.0,251.0,234.0
252,225.0,244.0,222.0
253,239.0,247.0,210.0
250,261.0,234.0,217.0
244,255.0,216.0,218.0
252,247.0,221.0,228.0
239,250.0,220.0,233.0
246,244.0,230.0,256.0
249,248.0,225.0,263.0
261,247.0,233.0,260.0
252,246.0,238.0,258.0
257,244.0,248.0,250.0
248,236.0,255.0,255.0
257,238.0,252.0,250.0
263,231.0,242.0,237.0
260,213.0,232.0,240.0
265,225.0,237.0,243.0
252,223.0,229.0,256.0
253,228.0,231.0,245.0
251,224.0,233.0,237.0
256,235.0,232.0,245.0
250,224.0,231.0,242.0
250,215.0,231.0,249.0
254,232.0,228.0,253.0
255,231.0,223.0,255.0
255,248.0,229.0,256.0
266,229.0,238.0,258.0
242,246.0,248.0,263.0
257,239.0,252.0,264.0
269,229.0,261.0,257.0
255,216.0,257.0,249.0
255,217.0,264.0,253.0
251,235.0,258.0,247.0
266,223.0,262.0,242.0
253,235.0,267.0,249.0
255,224.0,255.0,254.0
266,234.0,240.0,269.0
259,247.0,244.0,272.0
254,229.0,241.0,257.0
257,236.0,234.0,252.0
253,240.0,244.0,254.0
260,228.0,242.0,244.0
257,232.0,250.0,248.0
261,230.0,253.0,259.0
252,229.0,266.0,269.0
247,217.0,260.0,265.0
253,221.0,260.0,257.0
247,221.0,259.0,252.0
255,233.0,241.0,278.0
256,235.0,251.0,278.0
263,230.0,253.0,260.0
250,242.0,253.0,273.0
242,237.0,261.0,268.0
241,235.0,248.0,262.0
249,225.0,240.0,245.0
262,222.0,241.0,259.0
255,214.0,253.0,265.0
255,223.0,262.0,259.0
254,219.0,246.0,255.0
251,208.0,237.0,252.0
264,212.0,250.0,263.0
266,207.0,257.0,263.0
249,218.0,249.0,259.0
248,216.0,229.0,262.0
252,218.0,240.0,256.0
