a0003,a0004,a0005,a0006
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-4.0,0.0,0.0
0,-5.0,0.0,0.0
0,-3.0,0.0,0.0
0,-1.0,0.0,0.0
0,2.0,0.0,0.0
-2,4.0,1.0,0.0
-2,3.0,2.0,0.0
-1,2.0,0.0,0.0
-1,0.0,-2.0,0.0
-1,0.0,-1.0,1.0
0,1.0,-1.0,5.0
2,2.0,0.0,5.0
4,1.0,1.0,0.0
5,0.0,2.0,2.0
8,-1.0,2.0,3.0
12,0.0,-1.0,3.0
14,2.0,-2.0,3.0
11,2.0,-4.0,-2.0
6,0.0,-4.0,-4.0
1,-1.0,-4.0,-5.0
-8,1.0,-6.0,-5.0
-18,-3.0,-4.0,-1.0
-23,-8.0,-1.0,1.0
-25,-4.0,1.0,-1.0
-22,-1.0,2.0,-2.0
-11,0.0,5.0,-3.0
2,4.0,7.0,-3.0
7,3.0,3.0,-4.0
1,2.0,0.0,-5.0
1,0.0,-1.0,0.0
2,0.0,-2.0,2.0
-1,1.0,0.0,4.0
1,2.0,1.0,7.0
4,2.0,1.0,2.0
5,0.0,3.0,1.0
7,-1.0,4.0,4.0
12,-1.0,1.0,2.0
16,1.0,-1.0,4.0
14,2.0,-2.0,0.0
11,1.0,-4.0,-3.0
5,-1.0,-3.0,-5.0
-2,1.0,-5.0,-5.0
-13,1.0,-5.0,-1.0
-20,-2.0,-2.0,1.0
-23,-2.0,1.0,0.0
-22,-1.0,1.0,-1.0
-15,-1.0,5.0,-2.0
-4,3.0,9.0,-3.0
4,4.0,8.0,-3.0
9,5.0,5.0,-6.0
14,2.0,4.0,-2.0
17,1.0,3.0,0.0
16,2.0,-2.0,0.0
11,0.0,-3.0,1.0
5,0.0,-7.0,1.0
0,0.0,-10.0,-2.0
-2,1.0,-7.0,-1.0
-5,-1.0,-4.0,0.0
-6,-1.0,0.0,0.0
-6,-2.0,3.0,1.0
-6,-6.0,7.0,1.0
-7,-7.0,10.0,0.0
-9,-5.0,11.0,-3.0
-12,-5.0,8.0,-4.0
-13,-4.0,6.0,-5.0
-12,-2.0,5.0,-3.0
-8,0.0,1.0,0.0
-5,1.0,-4.0,1.0
-2,0.0,-6.0,3.0
1,1.0,-4.0,5.0
2,0.0,-2.0,4.0
5,0.0,1.0,4.0
10,1.0,1.0,4.0
11,0.0,3.0,3.0
12,0.0,3.0,1.0
15,0.0,5.0,2.0
17,-1.0,6.0,2.0
19,1.0,3.0,0.0
23,1.0,1.0,1.0
23,0.0,0.0,1.0
20,1.0,-3.0,0.0
18,1.0,-4.0,1.0
13,2.0,-2.0,2.0
5,0.0,-2.0,3.0
-1,-1.0,-1.0,4.0
-3,3.0,-1.0,4.0
-7,2.0,-1.0,1.0
-12,0.0,1.0,2.0
-14,0.0,0.0,2.0
-10,0.0,1.0,0.0
-4,-1.0,1.0,0.0
1,0.0,-3.0,0.0
4,1.0,-6.0,-1.0
5,0.0,-8.0,-2.0
2,0.0,-7.0,-1.0
-1,0.0,-6.0,-1.0
-1,-2.0,-6.0,0.0
-2,-5.0,-7.0,-1.0
-5,-4.0,-6.0,-2.0
-7,-3.0,-6.0,-1.0
-6,-4.0,-4.0,2.0
-4,-2.0,-2.0,4.0
-6,-1.0,-1.0,5.0
-8,0.0,0.0,4.0
-7,-1.0,1.0,3.0
-5,0.0,2.0,2.0
-2,0.0,1.0,2.0
-2,0.0,1.0,3.0
-5,2.0,3.0,6.0
-7,1.0,4.0,7.0
-8,0.0,2.0,5.0
-8,-1.0,5.0,5.0
-8,0.0,4.0,3.0
-8,0.0,2.0,1.0
-5,0.0,-1.0,1.0
-3,1.0,-2.0,0.0
-2,1.0,-2.0,0.0
-1,0.0,-4.0,-1.0
-1,0.0,-2.0,0.0
-1,1.0,-1.0,-1.0
-1,1.0,2.0,-3.0
0,3.0,0.0,-1.0
0,4.0,3.0,0.0
0,3.0,7.0,1.0
0,2.0,7.0,0.0
1,2.0,6.0,0.0
-2,0.0,7.0,-1.0
-3,-3.0,6.0,-2.0
-5,-1.0,4.0,-4.0
-2,0.0,3.0,-5.0
1,2.0,-1.0,-6.0
2,6.0,0.0,-6.0
6,8.0,-2.0,-3.0
7,6.0,-6.0,-3.0
6,5.0,-7.0,-4.0
7,6.0,-3.0,-6.0
8,2.0,1.0,-8.0
4,0.0,1.0,-9.0
2,-1.0,2.0,-7.0
1,0.0,1.0,-6.0
0,0.0,0.0,-7.0
-1,0.0,-1.0,-7.0
-3,1.0,0.0,-6.0
-2,4.0,-1.0,-4.0
0,2.0,-3.0,-2.0
1,0.0,-5.0,-3.0
4,1.0,-3.0,-5.0
4,2.0,-1.0,-6.0
3,1.0,-2.0,-5.0
2,0.0,-3.0,-4.0
-2,-1.0,-4.0,-6.0
-3,-5.0,-4.0,-5.0
-3,-5.0,-1.0,-3.0
-3,-4.0,0.0,-3.0
0,-5.0,-2.0,-5.0
0,-6.0,-3.0,-3.0
-1,-5.0,-6.0,-1.0
-1,-3.0,-8.0,-2.0
-2,-1.0,-8.0,-3.0
-2,-2.0,-9.0,-6.0
-3,-2.0,-7.0,-6.0
