a0003,a0004,a0005,a0006
45,103.0,-106.0,-102
100,154.0,-183.0,-158
142,141.0,-128.0,-105
130,138.0,-116.0,-169
106,79.0,-133.0,-175
138,93.0,-156.0,-115
154,115.0,-207.0,-80
174,124.0,-239.0,-93
170,114.0,-281.0,-115
147,155.0,-236.0,-122
149,122.0,-192.0,-104
87,104.0,-224.0,-136
85,152.0,-203.0,-124
83,87.0,-254.0,-169
80,98.0,-269.0,-149
85,98.0,-301.0,-122
20,59.0,-295.0,-161
28,26.0,-362.0,-155
6,-9.0,-368.0,-167
44,0.0,-363.0,-145
53,25.0,-347.0,-153
71,33.0,-291.0,-153
83,49.0,-286.0,-167
81,36.0,-255.0,-165
145,28.0,-270.0,-154
146,14.0,-219.0,-157
131,-22.0,-163.0,-142
134,1.0,-138.0,-131
146,-34.0,-110.0,-108
151,-8.0,-53.0,-94
181,8.0,-34.0,-121
164,9.0,-33.0,-126
225,32.0,16.0,-106
210,81.0,-3.0,-82
204,120.0,-6.0,-66
241,84.0,-46.0,-102
249,94.0,-35.0,-115
262,61.0,27.0,-127
224,46.0,-11.0,-136
179,84.0,35.0,-116
154,128.0,27.0,-110
180,165.0,19.0,-133
163,166.0,9.0,-153
186,148.0,5.0,-176
197,138.0,23.0,-172
203,109.0,54.0,-149
177,73.0,53.0,-166
163,70.0,67.0,-181
163,64.0,80.0,-214
145,58.0,32.0,-231
146,31.0,14.0,-213
160,61.0,10.0,-196
172,69.0,53.0,-198
176,48.0,48.0,-211
206,72.0,7.0,-233
219,50.0,2.0,-264
199,92.0,50.0,-257
238,101.0,13.0,-240
277,84.0,-17.0,-234
229,107.0,-10.0,-208
210,141.0,-31.0,-220
194,169.0,-35.0,-221
193,150.0,-36.0,-232
207,150.0,-46.0,-269
192,124.0,-56.0,-270
186,135.0,-43.0,-264
184,184.0,-39.0,-260
178,195.0,-18.0,-261
126,216.0,2.0,-258
104,215.0,38.0,-289
108,219.0,36.0,-330
80,151.0,40.0,-318
106,95.0,69.0,-326
102,69.0,76.0,-319
99,34.0,85.0,-281
82,10.0,91.0,-264
56,6.0,91.0,-249
49,5.0,80.0,-235
-7,-58.0,89.0,-234
-49,-23.0,47.0,-233
-36,-68.0,64.0,-216
-30,-86.0,48.0,-282
-25,-51.0,12.0,-337
-22,-31.0,-36.0,-330
-37,-30.0,-58.0,-331
-22,-40.0,-41.0,-328
-39,-35.0,-109.0,-339
-57,-34.0,-113.0,-356
-37,-44.0,-70.0,-378
-60,-43.0,-78.0,-411
-71,-19.0,-57.0,-420
-107,-58.0,-47.0,-445
-106,-42.0,-59.0,-442
-76,-40.0,-50.0,-417
-35,-71.0,-37.0,-382
-41,-99.0,3.0,-376
-84,-124.0,38.0,-373
-91,-150.0,53.0,-336
-142,-135.0,36.0,-260
-143,-171.0,109.0,-169
-128,-178.0,97.0,-181
-107,-125.0,103.0,-165
-144,-124.0,138.0,-155
-175,-135.0,171.0,-168
-168,-126.0,225.0,-177
-166,-143.0,206.0,-170
-154,-150.0,211.0,-161
-169,-170.0,215.0,-145
-164,-185.0,204.0,-133
-169,-160.0,257.0,-138
-189,-159.0,265.0,-145
-196,-109.0,239.0,-109
-168,-79.0,258.0,-127
-178,-51.0,197.0,-114
-171,-18.0,178.0,-58
-117,-2.0,189.0,-76
-104,-12.0,202.0,-64
-100,19.0,153.0,-118
-113,28.0,135.0,-103
-86,26.0,99.0,-102
-71,18.0,58.0,-97
-87,-34.0,70.0,-45
-125,-46.0,19.0,-30
-154,-43.0,6.0,-65
-163,-22.0,-46.0,-90
-169,23.0,-48.0,-72
-129,67.0,-51.0,-67
-117,65.0,-81.0,-73
-114,51.0,-84.0,-75
-137,91.0,-103.0,-46
-166,107.0,-101.0,-82
-167,80.0,-119.0,-80
-137,111.0,-135.0,-36
-158,80.0,-154.0,-32
-158,63.0,-146.0,-52
-131,53.0,-153.0,-30
-140,88.0,-111.0,-28
-137,85.0,-112.0,-29
-163,75.0,-112.0,-46
-176,97.0,-27.0,-50
-140,76.0,-5.0,-64
-115,92.0,-45.0,-80
-114,73.0,-21.0,-83
-116,85.0,-27.0,-84
-99,98.0,-31.0,-54
-85,101.0,-34.0,-80
-82,74.0,-63.0,-84
-39,82.0,-54.0,-87
-33,91.0,-92.0,-108
-15,100.0,-74.0,-110
-21,116.0,-117.0,-84
-30,72.0,-165.0,-89
13,90.0,-203.0,-55
0,100.0,-220.0,-34
-3,82.0,-263.0,-80
12,112.0,-292.0,-146
-2,123.0,-301.0,-116
7,138.0,-326.0,-87
13,145.0,-312.0,-76
16,138.0,-312.0,-66
33,126.0,-317.0,-63
15,158.0,-335.0,-36
-17,167.0,-346.0,-31
-24,208.0,-333.0,-1
-3,260.0,-299.0,9
-19,240.0,-281.0,23
-44,187.0,-263.0,46
-66,199.0,-251.0,57
-48,198.0,-201.0,62
-39,150.0,-181.0,99
-50,149.0,-136.0,119
-53,132.0,-86.0,140
-48,165.0,-64.0,132
7,182.0,-50.0,133
18,200.0,-23.0,120
14,166.0,61.0,92
28,205.0,47.0,108
111,241.0,61.0,102
138,212.0,98.0,73
150,237.0,97.0,76
191,243.0,100.0,68
145,234.0,65.0,40
145,251.0,26.0,31
139,262.0,20.0,0
142,264.0,14.0,-19
169,263.0,-17.0,-28
160,262.0,-29.0,-55
133,271.0,-70.0,-63
149,269.0,-68.0,-101
129,288.0,-111.0,-108
91,272.0,-124.0,-109
63,258.0,-102.0,-145
37,265.0,-79.0,-118
45,220.0,-65.0,-104
21,199.0,-96.0,-99
26,223.0,-56.0,-128
9,234.0,-11.0,-157
37,209.0,63.0,-149
23,220.0,121.0,-142
-5,265.0,161.0,-158
27,279.0,209.0,-129
32,300.0,249.0,-80
52,328.0,282.0,-106
19,350.0,323.0,-82
20,359.0,338.0,-47
11,350.0,384.0,-32
-2,257.0,387.0,-16
12,250.0,393.0,-32
8,266.0,388.0,1
-39,267.0,370.0,22
-61,238.0,336.0,26
-58,190.0,282.0,15
-84,179.0,251.0,26
-49,138.0,165.0,53
-89,104.0,134.0,63
-104,56.0,44.0,52
-132,4.0,-37.0,29
-163,-19.0,-69.0,35
-163,-56.0,-126.0,69
-147,-154.0,-186.0,75
-133,-212.0,-237.0,60
-179,-190.0,-244.0,26
-135,-183.0,-280.0,-18
-127,-239.0,-302.0,-22
-92,-229.0,-320.0,-63
-40,-238.0,-320.0,-14
-35,-201.0,-308.0,-26
-34,-149.0,-287.0,-37
-26,-216.0,-181.0,-12
-11,-200.0,-150.0,-46
-17,-127.0,-117.0,-51
-20,-97.0,-73.0,-22
-64,-61.0,-43.0,10
-16,-39.0,10.0,-1
9,-3.0,58.0,58
-31,56.0,84.0,69
-7,1.0,115.0,68
-19,17.0,141.0,98
-23,50.0,123.0,98
-7,23.0,121.0,76
-28,16.0,106.0,108
-50,41.0,100.0,147
-34,30.0,97.0,176
-30,22.0,66.0,192
-21,33.0,42.0,197
-10,-53.0,17.0,191
-9,-32.0,2.0,222
-21,-82.0,-32.0,254
6,-171.0,-8.0,197
3,-207.0,-18.0,217
-23,-235.0,-71.0,218
-16,-251.0,-56.0,192
-37,-294.0,-78.0,120
18,-237.0,-84.0,125
65,-220.0,-119.0,149
58,-293.0,-78.0,144
24,-297.0,-24.0,137
88,-278.0,-31.0,111
103,-294.0,4.0,82
83,-311.0,31.0,63
119,-340.0,63.0,97
117,-248.0,85.0,54
117,-268.0,108.0,99
94,-310.0,120.0,123
131,-306.0,66.0,128
120,-340.0,63.0,154
97,-287.0,76.0,175
93,-269.0,76.0,217
30,-274.0,82.0,236
-20,-186.0,32.0,227
-28,-138.0,-17.0,251
-62,-126.0,-77.0,245
-87,-98.0,-140.0,222
-69,-75.0,-187.0,189
-97,-18.0,-206.0,128
-136,-16.0,-239.0,128
-153,67.0,-239.0,117
-146,122.0,-280.0,94
-124,113.0,-293.0,117
-119,131.0,-310.0,104
-124,207.0,-374.0,48
-120,200.0,-412.0,60
-137,220.0,-435.0,43
-152,207.0,-438.0,39
-119,135.0,-451.0,12
-83,117.0,-514.0,2
0,55.0,-540.0,-8
35,99.0,-515.0,19
27,118.0,-566.0,48
55,93.0,-592.0,58
30,43.0,-648.0,89
38,2.0,-664.0,101
56,27.0,-667.0,109
79,29.0,-646.0,79
95,46.0,-638.0,76
117,58.0,-632.0,80
140,-19.0,-591.0,115
190,8.0,-595.0,126
213,45.0,-589.0,132
206,86.0,-590.0,143
196,113.0,-559.0,181
199,96.0,-510.0,167
249,140.0,-454.0,154
280,139.0,-434.0,162
315,189.0,-374.0,159
