a0003,a0004,a0005,a0006
-69,88.0,-132.0,17.0
-156,94.0,-221.0,42.0
-106,34.0,-160.0,43.0
-129,42.0,-173.0,69.0
-149,-47.0,-171.0,15.0
-123,-38.0,-188.0,5.0
-151,-67.0,-184.0,22.0
-150,-88.0,-202.0,18.0
-145,-82.0,-196.0,4.0
-139,-49.0,-183.0,-4.0
-168,-64.0,-144.0,-33.0
-204,-60.0,-108.0,-19.0
-167,-11.0,-97.0,33.0
-136,8.0,-96.0,14.0
-177,48.0,-97.0,15.0
-205,38.0,-119.0,-17.0
-208,57.0,-85.0,19.0
-218,37.0,-38.0,-20.0
-215,23.0,-61.0,-81.0
-186,45.0,-82.0,-63.0
-142,51.0,-79.0,-49.0
-122,48.0,-77.0,-96.0
-136,34.0,-59.0,-95.0
-166,29.0,-92.0,-17.0
-207,33.0,-116.0,-23.0
-211,95.0,-74.0,-18.0
-174,110.0,-73.0,9.0
-184,123.0,-79.0,1.0
-180,119.0,-98.0,-76.0
-198,125.0,-68.0,-53.0
-198,131.0,-49.0,-22.0
-156,129.0,-65.0,-9.0
-172,155.0,-75.0,5.0
-180,118.0,-51.0,-4.0
-188,101.0,-23.0,5.0
-162,114.0,-17.0,10.0
-151,60.0,-31.0,25.0
-164,4.0,-11.0,-8.0
-142,7.0,-10.0,-33.0
-111,-38.0,-13.0,-40.0
-88,-12.0,10.0,-47.0
-95,3.0,-36.0,-1.0
-118,59.0,-22.0,-50.0
-148,97.0,-31.0,-28.0
-117,123.0,-26.0,12.0
-103,210.0,-16.0,12.0
-114,237.0,-28.0,30.0
-148,314.0,4.0,-41.0
-128,308.0,-31.0,24.0
-159,309.0,-8.0,57.0
-170,334.0,15.0,91.0
-144,284.0,20.0,10.0
-202,229.0,76.0,-51.0
-130,233.0,57.0,-33.0
-103,213.0,39.0,-33.0
-100,198.0,47.0,20.0
-98,206.0,52.0,2.0
-108,171.0,58.0,-30.0
-113,157.0,20.0,-14.0
-153,153.0,-10.0,-20.0
-138,101.0,12.0,-48.0
-158,137.0,2.0,-20.0
-137,174.0,-24.0,-32.0
-73,106.0,-13.0,-81.0
-98,99.0,-37.0,-93.0
-72,89.0,-9.0,-55.0
-46,46.0,-9.0,-81.0
-58,2.0,5.0,-96.0
-75,7.0,6.0,-114.0
-75,4.0,-38.0,-85.0
-79,-1.0,-25.0,-65.0
-84,54.0,6.0,-74.0
-35,73.0,34.0,-51.0
-43,103.0,51.0,-61.0
-15,189.0,89.0,-51.0
-11,162.0,67.0,-27.0
-13,155.0,39.0,-57.0
-26,207.0,6.0,-71.0
-58,217.0,36.0,-81.0
-49,250.0,56.0,-83.0
-55,262.0,82.0,-44.0
6,269.0,82.0,-78.0
44,294.0,47.0,-117.0
29,296.0,74.0,-86.0
39,236.0,35.0,-21.0
21,218.0,25.0,-80.0
5,206.0,37.0,-72.0
37,168.0,4.0,-15.0
41,145.0,-4.0,-74.0
36,139.0,15.0,-98.0
4,79.0,32.0,-132.0
0,63.0,54.0,-97.0
2,125.0,64.0,-93.0
13,53.0,40.0,-84.0
-15,60.0,56.0,-78.0
-44,66.0,46.0,-109.0
-4,23.0,52.0,-85.0
-33,83.0,67.0,-112.0
-9,52.0,31.0,-88.0
11,65.0,56.0,-115.0
38,147.0,24.0,-103.0
35,118.0,3.0,-50.0
12,115.0,-10.0,-50.0
35,180.0,-26.0,-58.0
63,110.0,-38.0,-13.0
6,91.0,8.0,-15.0
-3,143.0,17.0,-57.0
82,101.0,2.0,-39.0
