a0003,a0004,a0005,a0006
0,0.0,0.0,-1.0
0,0.0,-1.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,0.0
0,0.0,-1.0,-1.0
-1,0.0,-1.0,0.0
0,1.0,-1.0,0.0
0,0.0,-1.0,1.0
0,-1.0,0.0,0.0
-1,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,-1.0,0.0
0,0.0,0.0,-1.0
0,-1.0,0.0,-1.0
0,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,1.0,0.0
1,0.0,0.0,1.0
0,0.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,1.0,1.0
1,1.0,0.0,1.0
-1,0.0,0.0,1.0
0,1.0,1.0,1.0
1,0.0,-1.0,0.0
1,0.0,0.0,-1.0
1,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,0.0,1.0
0,0.0,-1.0,0.0
0,0.0,0.0,1.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
-1,-1.0,-1.0,-1.0
0,0.0,0.0,0.0
-1,-1.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,-1.0,1.0
1,1.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
1,-1.0,0.0,0.0
1,1.0,0.0,1.0
0,0.0,-1.0,0.0
0,0.0,-1.0,0.0
0,-1.0,-1.0,0.0
0,1.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.0,1.0,0.0
-1,0.0,0.0,-1.0
0,-1.0,-1.0,0.0
0,-1.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,1.0,1.0
-1,0.0,0.0,-1.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
0,1.0,-1.0,1.0
0,1.0,1.0,0.0
-1,0.0,0.0,0.0
1,0.0,0.0,0.0
-1,0.0,-1.0,-1.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,-1.0,0.0,-1.0
-1,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,1.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,1.0
1,0.0,1.0,1.0
0,0.0,1.0,0.0
1,0.0,1.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
-1,0.0,0.0,-1.0
1,0.0,0.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,1.0
0,-1.0,0.0,-1.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,1.0
-1,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,-1.0,0.0
-1,0.0,0.0,1.0
-1,0.0,0.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,-1.0,0.0
0,0.0,1.0,0.0
0,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,-1.0,-1.0,-1.0
0,1.0,1.0,0.0
0,-1.0,0.0,0.0
0,0.0,0.0,1.0
0,1.0,0.0,1.0
0,-1.0,0.0,1.0
0,1.0,0.0,0.0
0,0.0,0.0,0.0
-1,-1.0,-1.0,0.0
-1,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
0,1.0,0.0,0.0
0,0.0,0.0,-1.0
1,0.0,0.0,1.0
0,0.0,1.0,1.0
0,0.0,0.0,0.0
0,-1.0,0.0,0.0
-1,0.0,-1.0,0.0
0,-1.0,0.0,-1.0
1,1.0,0.0,0.0
0,1.0,-1.0,1.0
0,1.0,-1.0,0.0
1,0.0,0.0,1.0
-1,-1.0,-1.0,-1.0
0,-1.0,0.0,0.0
1,1.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,-1.0,-1.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,-1.0,0.0
-1,-1.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,0.0,-1.0
0,0.0,1.0,0.0
0,0.0,-1.0,-1.0
0,-1.0,0.0,0.0
0,1.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,-1.0,1.0
0,1.0,1.0,0.0
-1,0.0,0.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,1.0
-1,1.0,0.0,0.0
0,-1.0,0.0,0.0
-1,1.0,0.0,1.0
0,0.0,0.0,0.0
0,1.0,0.0,0.0
1,-1.0,0.0,0.0
1,0.0,1.0,0.0
0,0.0,0.0,0.0
0,-1.0,1.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,1.0
0,1.0,0.0,0.0
-1,-1.0,0.0,1.0
0,0.0,1.0,-1.0
1,-1.0,3.0,1.0
-1,2.0,4.0,7.0
1,-3.0,2.0,1.0
13,3.0,3.0,0.0
27,-12.0,0.0,-6.0
21,-12.0,-5.0,1.0
10,5.0,-1.0,-5.0
6,0.0,-3.0,8.0
0,2.0,-3.0,12.0
6,1.0,0.0,-13.0
10,-2.0,2.0,-4.0
9,-3.0,4.0,-2.0
5,5.0,6.0,-3.0
13,1.0,5.0,-5.0
13,-4.0,-1.0,-11.0
14,-3.0,2.0,6.0
12,3.0,2.0,1.0
7,1.0,3.0,6.0
14,4.0,1.0,14.0
25,3.0,4.0,10.0
16,3.0,5.0,13.0
-1,7.0,-1.0,16.0
4,7.0,-3.0,21.0
-5,4.0,-3.0,13.0
-9,-3.0,-2.0,11.0
-5,-1.0,1.0,12.0
-4,0.0,4.0,14.0
1,2.0,2.0,10.0
-7,0.0,1.0,12.0
-11,-3.0,-6.0,20.0
-5,-1.0,-7.0,17.0
-3,-2.0,-3.0,14.0
-7,2.0,-5.0,19.0
-1,6.0,-6.0,12.0
11,4.0,-1.0,4.0
14,4.0,-1.0,4.0
12,2.0,-9.0,9.0
11,-3.0,-2.0,3.0
5,-3.0,3.0,-4.0
4,1.0,-1.0,2.0
11,3.0,0.0,2.0
12,-2.0,-1.0,4.0
14,-2.0,-3.0,3.0
19,1.0,-1.0,-2.0
8,4.0,-1.0,-8.0
-2,0.0,-1.0,-2.0
-6,0.0,2.0,7.0
-8,6.0,6.0,1.0
-5,6.0,5.0,9.0
9,9.0,9.0,11.0
11,5.0,10.0,-2.0
5,0.0,9.0,4.0
15,-3.0,8.0,5.0
16,-4.0,5.0,10.0
-6,-3.0,9.0,17.0
-23,1.0,10.0,12.0
-21,-2.0,6.0,12.0
-11,-9.0,6.0,18.0
-4,0.0,0.0,19.0
-1,-1.0,-4.0,23.0
3,-7.0,-7.0,13.0
-1,-1.0,-10.0,23.0
1,-5.0,-13.0,23.0
0,-9.0,-9.0,7.0
-3,-12.0,-5.0,18.0
4,-15.0,-9.0,22.0
18,-15.0,-8.0,24.0
26,-17.0,-4.0,21.0
22,-18.0,-5.0,13.0
11,-10.0,0.0,15.0
9,-11.0,3.0,27.0
-4,-8.0,1.0,21.0
-20,-6.0,5.0,14.0
-22,-4.0,6.0,14.0
-6,-1.0,9.0,20.0
10,2.0,6.0,16.0
15,1.0,4.0,22.0
28,-3.0,1.0,10.0
19,0.0,0.0,6.0
10,1.0,2.0,22.0
0,-1.0,2.0,-3.0
-2,-5.0,3.0,14.0
6,-1.0,0.0,26.0
19,-4.0,0.0,10.0
16,-5.0,3.0,18.0
6,1.0,3.0,7.0
8,4.0,2.0,16.0
6,-1.0,5.0,20.0
-7,2.0,0.0,5.0
-24,1.0,-2.0,11.0
-22,-6.0,2.0,11.0
-7,-6.0,2.0,29.0
4,-8.0,-2.0,23.0
1,-4.0,0.0,7.0
3,-1.0,0.0,15.0
11,4.0,-2.0,18.0
21,5.0,-3.0,15.0
15,3.0,-6.0,14.0
-2,3.0,-3.0,16.0
-4,-1.0,0.0,19.0
7,-3.0,-4.0,22.0
17,-5.0,-3.0,21.0
8,-7.0,-1.0,14.0
0,-6.0,-3.0,6.0
-1,-5.0,-3.0,14.0
-1,0.0,-5.0,12.0
0,3.0,-9.0,11.0
-4,-2.0,-4.0,1.0
-2,-2.0,-3.0,-1.0
5,-5.0,-10.0,12.0
11,0.0,-7.0,12.0
10,0.0,-5.0,1.0
6,-1.0,1.0,14.0
-3,3.0,7.0,27.0
-6,0.0,4.0,3.0
-9,-3.0,3.0,6.0
-3,-3.0,7.0,20.0
6,-2.0,4.0,20.0
11,-3.0,-1.0,13.0
17,-1.0,1.0,13.0
23,-1.0,3.0,1.0
28,-2.0,6.0,3.0
30,-7.0,8.0,12.0
38,-10.0,7.0,16.0
39,-11.0,9.0,14.0
31,-12.0,10.0,-3.0
28,-9.0,10.0,-7.0
22,-1.0,11.0,10.0
17,-4.0,7.0,20.0
21,-8.0,5.0,2.0
11,-9.0,5.0,5.0
1,-6.0,5.0,7.0
5,-1.0,9.0,2.0
16,-5.0,6.0,16.0
17,-6.0,12.0,18.0
17,-5.0,13.0,7.0
3,-4.0,12.0,4.0
-9,-4.0,21.0,12.0
2,-1.0,21.0,18.0
-3,-1.0,18.0,0.0
-18,-6.0,16.0,9.0
-15,-9.0,15.0,23.0
0,-6.0,17.0,12.0
3,-11.0,19.0,23.0
5,-11.0,21.0,14.0
-7,-9.0,20.0,11.0
-11,-8.0,19.0,10.0
7,-8.0,21.0,7.0
21,-8.0,25.0,11.0
9,-1.0,24.0,19.0
8,-5.0,18.0,6.0
15,-1.0,20.0,-2.0
10,-5.0,27.0,5.0
8,-3.0,21.0,4.0
-11,-3.0,17.0,16.0
-24,-2.0,20.0,18.0
-10,0.0,20.0,13.0
10,2.0,22.0,0.0
0,-2.0,21.0,12.0
3,0.0,21.0,6.0
-4,-4.0,17.0,-4.0
-14,-11.0,18.0,1.0
-1,-8.0,14.0,3.0
-5,-12.0,8.0,8.0
-13,-12.0,7.0,-3.0
2,-16.0,13.0,3.0
26,-17.0,9.0,17.0
25,-18.0,12.0,13.0
29,-17.0,12.0,4.0
26,-16.0,6.0,12.0
2,-19.0,11.0,10.0
-16,-14.0,10.0,10.0
-4,-15.0,9.0,6.0
-5,-15.0,7.0,6.0
0,-7.0,7.0,6.0
21,-9.0,5.0,8.0
28,-12.0,7.0,14.0
27,-10.0,7.0,3.0
14,-12.0,12.0,6.0
8,-11.0,12.0,6.0
-11,-11.0,9.0,4.0
-9,-9.0,9.0,1.0
-4,-9.0,10.0,-1.0
-8,-7.0,9.0,-7.0
-20,-8.0,14.0,-1.0
-22,-8.0,15.0,6.0
-7,-5.0,17.0,-17.0
-7,-11.0,21.0,-12.0
-12,-13.0,21.0,2.0
-26,-11.0,23.0,-3.0
-25,-3.0,22.0,3.0
-13,-5.0,24.0,-15.0
12,-6.0,23.0,-9.0
11,-8.0,25.0,6.0
-8,-8.0,28.0,-3.0
-13,-5.0,32.0,-5.0
-10,-10.0,30.0,-8.0
-22,-12.0,31.0,-3.0
-18,-11.0,29.0,-3.0
-14,-17.0,22.0,-10.0
-17,-18.0,23.0,-3.0
9,-20.0,17.0,-10.0
28,-21.0,11.0,-3.0
17,-18.0,15.0,0.0
-13,-25.0,11.0,-9.0
-27,-21.0,13.0,-5.0
-31,-23.0,15.0,8.0
-16,-26.0,14.0,14.0
-7,-29.0,9.0,0.0
-18,-27.0,12.0,-12.0
-13,-20.0,16.0,-2.0
5,-22.0,12.0,12.0
0,-21.0,8.0,-6.0
-7,-22.0,7.0,-15.0
-12,-21.0,14.0,-20.0
-20,-18.0,11.0,-11.0
-10,-18.0,10.0,-10.0
-1,-22.0,13.0,-15.0
5,-20.0,11.0,-18.0
4,-20.0,11.0,-27.0
0,-23.0,15.0,-11.0
4,-26.0,16.0,-10.0
12,-23.0,19.0,-23.0
11,-21.0,18.0,-22.0
5,-21.0,17.0,-24.0
4,-23.0,15.0,-20.0
5,-20.0,18.0,-19.0
1,-16.0,13.0,-22.0
-1,-21.0,13.0,-10.0
4,-19.0,14.0,-13.0
3,-15.0,15.0,-7.0
-2,-13.0,12.0,-18.0
3,-11.0,10.0,-30.0
-4,-9.0,14.0,-18.0
-13,-14.0,16.0,-10.0
-6,-20.0,19.0,-4.0
1,-20.0,17.0,-22.0
-14,-18.0,24.0,-22.0
-2,-18.0,20.0,-5.0
15,-21.0,15.0,-7.0
17,-19.0,13.0,-11.0
-1,-17.0,13.0,-12.0
-15,-13.0,12.0,-14.0
-11,-14.0,13.0,-10.0
-12,-16.0,17.0,-15.0
10,-12.0,13.0,-26.0
17,-11.0,13.0,-19.0
-2,-12.0,10.0,-20.0
-2,-15.0,9.0,-22.0
14,-19.0,8.0,-23.0
6,-22.0,10.0,-21.0
-14,-21.0,7.0,-26.0
-18,-19.0,9.0,-25.0
-12,-22.0,17.0,-10.0
-6,-22.0,20.0,-18.0
0,-20.0,18.0,-32.0
-6,-17.0,19.0,-21.0
-23,-18.0,17.0,-16.0
-14,-21.0,19.0,-21.0
-1,-18.0,20.0,-21.0
4,-21.0,19.0,-18.0
8,-18.0,18.0,-25.0
11,-19.0,15.0,-28.0
-1,-21.0,15.0,-24.0
-7,-21.0,16.0,-24.0
0,-18.0,18.0,-28.0
5,-14.0,15.0,-31.0
15,-13.0,15.0,-36.0
12,-11.0,15.0,-34.0
5,-12.0,17.0,-21.0
10,-13.0,16.0,-42.0
10,-14.0,14.0,-36.0
3,-9.0,13.0,-10.0
-15,-16.0,14.0,-20.0
-29,-15.0,12.0,-44.0
-8,-15.0,20.0,-25.0
16,-11.0,13.0,-10.0
21,-9.0,11.0,-17.0
5,-11.0,14.0,-19.0
-16,-12.0,14.0,-27.0
-15,-18.0,11.0,-23.0
-6,-16.0,5.0,-20.0
-16,-22.0,8.0,-16.0
-26,-25.0,8.0,-21.0
-2,-25.0,11.0,-16.0
19,-23.0,7.0,-14.0
23,-26.0,13.0,-15.0
17,-26.0,12.0,-13.0
-4,-23.0,15.0,-22.0
-22,-21.0,16.0,-18.0
-20,-19.0,15.0,-10.0
-15,-15.0,17.0,-20.0
-9,-11.0,20.0,-15.0
11,-9.0,25.0,-8.0
36,-12.0,22.0,-25.0
42,-15.0,18.0,-10.0
