a0003,a0004,a0005,a0006
-2,-7.0,-54.0,-35.0
7,-13.0,-67.0,-76.0
24,3.0,-41.0,-43.0
35,-4.0,-28.0,-4.0
44,-39.0,4.0,16.0
10,-39.0,11.0,57.0
-11,-9.0,58.0,93.0
-14,-15.0,60.0,98.0
-1,-12.0,49.0,77.0
2,-13.0,45.0,36.0
-2,-37.0,36.0,21.0
26,-41.0,30.0,5.0
52,-65.0,31.0,-20.0
54,-64.0,46.0,-28.0
39,-50.0,59.0,-39.0
31,-49.0,64.0,-26.0
29,-14.0,70.0,21.0
36,12.0,51.0,26.0
10,24.0,51.0,11.0
-20,35.0,57.0,5.0
-15,38.0,29.0,29.0
-30,44.0,10.0,20.0
-6,-8.0,-5.0,-18.0
-15,-47.0,-5.0,-23.0
-37,-48.0,14.0,-65.0
-21,-38.0,33.0,-42.0
-15,-6.0,18.0,-29.0
-7,10.0,28.0,-76.0
1,23.0,73.0,-54.0
5,43.0,67.0,-29.0
-29,37.0,41.0,-7.0
-2,23.0,39.0,8.0
12,6.0,37.0,36.0
-29,-24.0,16.0,23.0
-2,-2.0,11.0,26.0
33,18.0,25.0,26.0
31,-4.0,23.0,-17.0
38,-28.0,17.0,-28.0
50,-34.0,8.0,-44.0
15,-16.0,25.0,-27.0
33,-6.0,50.0,-29.0
58,9.0,49.0,-6.0
26,15.0,51.0,4.0
9,10.0,37.0,12.0
-4,24.0,12.0,43.0
-13,7.0,3.0,37.0
-22,-1.0,9.0,33.0
-15,-9.0,6.0,12.0
0,-27.0,-10.0,0.0
12,-20.0,-4.0,-7.0
-7,-1.0,12.0,-46.0
7,18.0,42.0,-60.0
31,25.0,29.0,-40.0
20,38.0,4.0,-25.0
3,70.0,11.0,-19.0
-9,74.0,21.0,-23.0
-29,71.0,32.0,-8.0
-22,70.0,31.0,8.0
-14,37.0,23.0,7.0
-25,10.0,15.0,2.0
-44,-9.0,27.0,-22.0
-35,-27.0,35.0,-16.0
15,-39.0,29.0,24.0
22,-18.0,6.0,8.0
21,-7.0,-7.0,-3.0
6,5.0,22.0,9.0
-4,41.0,52.0,30.0
-10,55.0,35.0,30.0
0,41.0,10.0,30.0
3,40.0,26.0,37.0
-24,20.0,18.0,11.0
-26,-5.0,5.0,1.0
-6,-6.0,4.0,-4.0
-3,-33.0,-11.0,-27.0
0,-37.0,-15.0,-40.0
1,-17.0,-25.0,-35.0
-20,-15.0,-24.0,-20.0
-59,-7.0,-10.0,2.0
-74,5.0,-3.0,1.0
-45,2.0,-17.0,-4.0
-27,-11.0,2.0,21.0
-37,-3.0,27.0,46.0
-37,11.0,14.0,46.0
-16,-6.0,38.0,17.0
5,-6.0,31.0,6.0
3,-19.0,18.0,3.0
-10,-22.0,2.0,-18.0
19,1.0,-7.0,-36.0
17,-1.0,13.0,-48.0
-9,-8.0,15.0,-43.0
-38,-13.0,11.0,-38.0
-54,-11.0,9.0,-37.0
-46,7.0,17.0,-27.0
-62,25.0,35.0,-16.0
-38,-5.0,41.0,15.0
-41,-26.0,48.0,39.0
-46,-34.0,45.0,18.0
-22,-60.0,25.0,2.0
-2,-46.0,26.0,8.0
-8,-33.0,13.0,14.0
-39,-16.0,-16.0,-14.0
-6,-2.0,-25.0,-37.0
-22,5.0,-23.0,-43.0
-51,3.0,-21.0,-47.0
-78,9.0,-11.0,-26.0
-93,47.0,-9.0,15.0
-98,27.0,1.0,25.0
-117,-9.0,29.0,31.0
-90,-31.0,39.0,64.0
-78,-35.0,24.0,62.0
-61,-6.0,-4.0,59.0
-30,10.0,-1.0,33.0
10,-5.0,-4.0,9.0
23,-43.0,-22.0,-5.0
34,-35.0,-31.0,-36.0
17,5.0,-32.0,-68.0
-1,12.0,-34.0,-62.0
-16,-2.0,-33.0,-29.0
-32,5.0,-18.0,-25.0
-10,23.0,-7.0,-15.0
