a0003,a0004,a0005,a0006
331,-63.0,-16.0,-332
580,-127.0,-36.0,-575
504,-122.0,-27.0,-497
552,-126.0,-29.0,-539
522,-124.0,-29.0,-503
550,-128.0,-36.0,-512
541,-131.0,-34.0,-473
567,-149.0,-39.0,-470
565,-153.0,-46.0,-456
584,-152.0,-48.0,-490
582,-148.0,-48.0,-485
590,-140.0,-58.0,-488
592,-141.0,-65.0,-484
605,-153.0,-69.0,-479
619,-175.0,-71.0,-463
618,-178.0,-63.0,-460
626,-171.0,-64.0,-464
634,-177.0,-70.0,-462
641,-191.0,-81.0,-461
644,-209.0,-83.0,-469
659,-227.0,-85.0,-475
669,-241.0,-95.0,-479
681,-261.0,-107.0,-501
676,-274.0,-99.0,-531
673,-275.0,-92.0,-574
682,-267.0,-91.0,-571
688,-253.0,-93.0,-557
687,-244.0,-91.0,-549
692,-230.0,-88.0,-550
697,-215.0,-87.0,-541
701,-200.0,-76.0,-533
697,-187.0,-69.0,-523
701,-187.0,-68.0,-519
705,-183.0,-69.0,-499
707,-166.0,-66.0,-494
707,-164.0,-67.0,-491
710,-170.0,-71.0,-478
716,-173.0,-77.0,-466
725,-172.0,-80.0,-450
721,-173.0,-87.0,-444
718,-178.0,-97.0,-439
715,-170.0,-92.0,-449
712,-150.0,-84.0,-484
706,-138.0,-69.0,-511
702,-146.0,-60.0,-513
697,-163.0,-67.0,-499
693,-172.0,-64.0,-498
689,-174.0,-70.0,-513
685,-190.0,-80.0,-528
686,-207.0,-89.0,-534
673,-226.0,-93.0,-530
667,-229.0,-95.0,-518
660,-223.0,-100.0,-511
664,-211.0,-100.0,-513
659,-200.0,-100.0,-516
657,-212.0,-96.0,-526
651,-224.0,-94.0,-544
638,-239.0,-92.0,-575
632,-242.0,-95.0,-582
617,-233.0,-97.0,-588
611,-237.0,-92.0,-586
604,-229.0,-92.0,-585
606,-218.0,-105.0,-590
605,-224.0,-110.0,-606
606,-227.0,-117.0,-613
607,-245.0,-116.0,-613
604,-254.0,-116.0,-637
599,-245.0,-109.0,-666
585,-227.0,-105.0,-701
581,-217.0,-109.0,-714
580,-221.0,-98.0,-709
574,-218.0,-91.0,-724
565,-214.0,-82.0,-734
557,-211.0,-80.0,-752
552,-215.0,-77.0,-768
545,-208.0,-74.0,-764
537,-189.0,-66.0,-761
535,-182.0,-54.0,-748
