a0003,a0004,a0005,a0006
0,0.0,0.0,0.0
-1,-1.0,-1.0,1.0
-1,0.0,1.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,0.0
0,1.0,0.0,1.0
-1,-1.0,0.0,0.0
-1,0.0,0.0,-1.0
0,1.0,0.0,-1.0
0,1.0,-1.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,1.0,0.0
1,0.0,0.0,-1.0
-1,-1.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,0.0
0,1.0,1.0,0.0
0,-1.0,1.0,0.0
0,1.0,0.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,0.0,1.0
0,0.0,1.0,0.0
0,0.0,0.0,0.0
-1,-1.0,-1.0,-1.0
0,-1.0,0.0,0.0
-1,0.0,-1.0,0.0
0,0.0,0.0,0.0
-1,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,0.0,1.0
0,-1.0,0.0,-1.0
1,0.0,1.0,0.0
0,0.0,0.0,-1.0
0,0.0,0.0,1.0
-1,0.0,0.0,0.0
0,0.0,0.0,-1.0
-1,-1.0,0.0,0.0
-1,0.0,-1.0,0.0
-1,0.0,-1.0,-1.0
0,0.0,-1.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,-1.0,-1.0,0.0
-1,-1.0,0.0,-1.0
-1,1.0,0.0,0.0
0,1.0,0.0,1.0
0,-1.0,0.0,0.0
-1,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,0.0,-1.0
0,0.0,1.0,1.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,-1.0,-1.0,-1.0
-1,0.0,0.0,0.0
-1,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,-1.0,1.0
0,1.0,1.0,1.0
0,-1.0,0.0,-1.0
0,0.0,0.0,0.0
1,0.0,0.0,0.0
1,0.0,0.0,0.0
0,1.0,1.0,-1.0
0,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,1.0
0,-1.0,0.0,0.0
0,1.0,0.0,0.0
0,0.0,1.0,1.0
-1,0.0,-1.0,-1.0
0,-1.0,0.0,0.0
0,0.0,1.0,0.0
0,-1.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,-1.0
-1,-1.0,0.0,0.0
1,1.0,1.0,1.0
0,1.0,-1.0,0.0
0,0.0,1.0,0.0
0,1.0,0.0,1.0
-1,-1.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,0.0,-1.0,0.0
1,1.0,0.0,0.0
0,0.0,0.0,0.0
1,0.0,1.0,1.0
-1,0.0,0.0,1.0
0,-1.0,0.0,0.0
0,-1.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,-1.0,0.0
0,0.0,1.0,0.0
1,0.0,0.0,0.0
0,0.0,1.0,0.0
0,-1.0,0.0,0.0
0,-1.0,0.0,-1.0
1,0.0,0.0,0.0
0,-1.0,0.0,-1.0
0,0.0,0.0,1.0
0,0.0,0.0,1.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,1.0
0,-1.0,0.0,0.0
0,0.0,0.0,0.0
1,1.0,0.0,1.0
1,0.0,0.0,0.0
0,0.0,1.0,1.0
0,0.0,1.0,0.0
0,1.0,1.0,0.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
0,-1.0,-1.0,0.0
-1,0.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,0.0,-1.0,-1.0
0,0.0,-1.0,0.0
-1,1.0,0.0,0.0
0,-1.0,-1.0,0.0
-1,0.0,0.0,0.0
0,0.0,1.0,1.0
0,-1.0,-1.0,0.0
-1,0.0,0.0,0.0
0,0.0,1.0,0.0
-1,0.0,0.0,0.0
1,1.0,0.0,1.0
0,0.0,0.0,-1.0
1,1.0,0.0,1.0
1,0.0,0.0,0.0
-1,0.0,1.0,0.0
0,1.0,1.0,1.0
0,0.0,-1.0,0.0
-1,0.0,-1.0,0.0
0,0.0,-1.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,1.0
0,-1.0,-1.0,0.0
-1,0.0,0.0,0.0
0,0.0,-1.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,-1.0,0.0,0.0
1,1.0,0.0,1.0
0,-1.0,1.0,-1.0
1,0.0,0.0,0.0
0,0.0,0.0,-1.0
-1,0.0,0.0,0.0
1,1.0,0.0,0.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
0,1.0,0.0,-1.0
-1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
-1,0.0,0.0,0.0
0,0.0,1.0,1.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,-1.0,-1.0
0,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,0.0,-1.0,-1.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
-1,0.0,-1.0,-1.0
1,0.0,0.0,-1.0
1,0.0,0.0,1.0
1,1.0,1.0,0.0
0,0.0,1.0,0.0
1,1.0,1.0,1.0
0,-1.0,0.0,0.0
1,0.0,0.0,1.0
1,-1.0,0.0,0.0
-1,1.0,0.0,0.0
0,1.0,0.0,1.0
-1,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,-1.0,0.0,-1.0
0,0.0,0.0,0.0
-1,0.0,0.0,1.0
-1,-1.0,0.0,0.0
0,0.0,0.0,0.0
-1,1.0,1.0,0.0
0,0.0,0.0,-1.0
0,1.0,0.0,0.0
0,0.0,0.0,1.0
0,1.0,0.0,0.0
-1,0.0,0.0,-1.0
1,0.0,1.0,0.0
0,0.0,1.0,-1.0
0,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,-1.0,1.0,0.0
0,-1.0,0.0,0.0
0,0.0,0.0,0.0
-1,0.0,0.0,-1.0
0,-1.0,0.0,0.0
0,0.0,0.0,-1.0
-1,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,1.0,1.0,0.0
0,0.0,0.0,-1.0
0,0.0,1.0,1.0
0,-1.0,0.0,1.0
1,0.0,1.0,1.0
1,0.0,0.0,1.0
1,0.0,1.0,1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
1,1.0,1.0,1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,-1.0,-1.0,-1.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,-1.0
0,0.0,0.0,0.0
0,1.0,1.0,0.0
1,-1.0,0.0,0.0
1,1.0,1.0,0.0
1,1.0,0.0,1.0
0,0.0,-1.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,-1.0
-1,-1.0,-1.0,-1.0
0,0.0,1.0,0.0
0,1.0,0.0,0.0
0,0.0,0.0,0.0
0,1.0,1.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,0.0
1,0.0,1.0,1.0
0,0.0,-1.0,0.0
-1,0.0,0.0,0.0
1,1.0,1.0,0.0
1,1.0,1.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,1.0,0.0
0,0.0,-1.0,-1.0
1,0.0,1.0,0.0
1,0.0,0.0,0.0
0,0.0,0.0,0.0
1,1.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,-1.0,0.0
-1,0.0,-1.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
-1,0.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,1.0,0.0
0,1.0,0.0,0.0
0,0.0,1.0,0.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,-1.0,-1.0,0.0
0,0.0,0.0,0.0
0,0.0,-1.0,1.0
-1,1.0,0.0,1.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
0,0.0,0.0,0.0
0,0.0,-1.0,0.0
0,0.0,0.0,1.0
0,0.0,0.0,0.0
