a0003,a0004,a0005,a0006
-3,-4.0,-3.0,-1.0
-35,-40.0,-32.0,-13.0
-116,-132.0,-107.0,-41.0
-144,-165.0,-137.0,-45.0
-97,-117.0,-100.0,-20.0
-104,-138.0,-114.0,-26.0
-95,-131.0,-108.0,-25.0
-97,-124.0,-100.0,-21.0
-104,-139.0,-110.0,-26.0
-74,-124.0,-93.0,-15.0
-78,-140.0,-98.0,-15.0
-67,-125.0,-88.0,-17.0
-86,-136.0,-92.0,-22.0
-76,-131.0,-82.0,-15.0
-65,-130.0,-84.0,-12.0
-59,-126.0,-76.0,-5.0
-54,-128.0,-69.0,-5.0
-51,-125.0,-67.0,-1.0
-41,-119.0,-62.0,3.0
-43,-125.0,-60.0,2.0
-37,-119.0,-52.0,7.0
-38,-119.0,-53.0,11.0
-28,-116.0,-48.0,18.0
-28,-120.0,-47.0,12.0
-31,-113.0,-40.0,17.0
-43,-116.0,-44.0,14.0
-27,-107.0,-36.0,20.0
-16,-110.0,-38.0,16.0
-11,-108.0,-39.0,13.0
-6,-111.0,-30.0,18.0
-4,-101.0,-24.0,22.0
6,-102.0,-23.0,34.0
13,-97.0,-20.0,38.0
9,-91.0,-16.0,45.0
3,-90.0,-9.0,50.0
2,-89.0,-12.0,57.0
-3,-88.0,-6.0,61.0
-7,-83.0,-1.0,67.0
-9,-83.0,2.0,75.0
-2,-75.0,7.0,73.0
3,-75.0,9.0,75.0
3,-69.0,12.0,72.0
10,-64.0,14.0,76.0
19,-61.0,16.0,81.0
20,-58.0,19.0,75.0
21,-50.0,23.0,77.0
17,-55.0,19.0,80.0
28,-45.0,26.0,85.0
31,-44.0,26.0,88.0
39,-39.0,29.0,94.0
40,-38.0,34.0,98.0
44,-35.0,40.0,105.0
56,-34.0,45.0,105.0
63,-30.0,51.0,106.0
71,-25.0,55.0,106.0
72,-24.0,59.0,110.0
85,-14.0,65.0,120.0
84,-20.0,64.0,116.0
86,-15.0,68.0,124.0
78,-11.0,72.0,128.0
72,-8.0,72.0,126.0
80,-4.0,78.0,125.0
80,0.0,81.0,112.0
78,6.0,79.0,113.0
78,7.0,84.0,115.0
88,11.0,89.0,118.0
100,13.0,92.0,122.0
99,17.0,95.0,126.0
104,18.0,100.0,138.0
102,21.0,98.0,144.0
93,27.0,103.0,155.0
93,29.0,102.0,152.0
98,30.0,106.0,150.0
105,30.0,109.0,152.0
118,38.0,112.0,159.0
123,42.0,111.0,160.0
123,45.0,111.0,159.0
127,45.0,121.0,162.0
120,49.0,122.0,164.0
123,53.0,127.0,168.0
130,54.0,131.0,161.0
138,55.0,134.0,159.0
146,61.0,139.0,152.0
146,68.0,138.0,149.0
146,70.0,142.0,141.0
152,74.0,145.0,143.0
157,73.0,140.0,146.0
151,82.0,148.0,151.0
152,84.0,149.0,152.0
152,84.0,152.0,145.0
154,90.0,152.0,144.0
154,87.0,153.0,140.0
158,87.0,155.0,136.0
173,94.0,154.0,136.0
178,95.0,156.0,136.0
176,96.0,156.0,130.0
166,97.0,157.0,123.0
162,101.0,157.0,123.0
161,109.0,160.0,130.0
160,110.0,161.0,124.0
154,111.0,162.0,130.0
150,116.0,164.0,133.0
158,119.0,163.0,135.0
154,117.0,165.0,144.0
154,127.0,165.0,147.0
156,127.0,158.0,139.0
161,129.0,160.0,138.0
160,137.0,161.0,136.0
150,137.0,158.0,125.0
153,143.0,159.0,125.0
158,145.0,161.0,126.0
163,145.0,157.0,125.0
163,146.0,156.0,116.0
164,145.0,155.0,110.0
163,153.0,155.0,105.0
167,156.0,156.0,102.0
169,159.0,157.0,97.0
155,159.0,155.0,92.0
153,158.0,152.0,88.0
152,161.0,150.0,88.0
143,159.0,147.0,86.0
145,160.0,146.0,81.0
155,159.0,146.0,89.0
153,162.0,147.0,83.0
138,164.0,144.0,74.0
131,169.0,146.0,69.0
125,169.0,148.0,68.0
126,171.0,142.0,67.0
114,167.0,138.0,67.0
108,168.0,140.0,72.0
103,174.0,137.0,71.0
106,167.0,139.0,75.0
121,165.0,135.0,71.0
119,160.0,133.0,66.0
111,161.0,128.0,58.0
103,165.0,127.0,53.0
109,165.0,127.0,49.0
103,163.0,121.0,41.0
100,162.0,120.0,31.0
95,166.0,117.0,20.0
91,162.0,113.0,19.0
94,164.0,111.0,13.0
94,158.0,104.0,11.0
89,155.0,101.0,15.0
86,153.0,104.0,16.0
85,150.0,98.0,18.0
70,152.0,97.0,19.0
61,153.0,88.0,14.0
60,156.0,87.0,9.0
61,151.0,84.0,7.0
58,150.0,81.0,5.0
44,150.0,79.0,2.0
36,148.0,75.0,-11.0
40,153.0,67.0,-18.0
51,148.0,67.0,-18.0
53,145.0,65.0,-22.0
41,144.0,61.0,-27.0
35,142.0,62.0,-29.0
32,146.0,54.0,-35.0
20,143.0,55.0,-38.0
13,141.0,51.0,-41.0
6,141.0,46.0,-45.0
-3,141.0,40.0,-47.0
-9,140.0,39.0,-48.0
-9,137.0,33.0,-46.0
2,131.0,27.0,-43.0
1,127.0,26.0,-38.0
-6,124.0,24.0,-45.0
-20,121.0,20.0,-50.0
-25,110.0,15.0,-60.0
-17,105.0,16.0,-65.0
-18,104.0,11.0,-65.0
-20,99.0,3.0,-68.0
-26,99.0,2.0,-65.0
-24,95.0,-4.0,-64.0
-22,94.0,-6.0,-64.0
-29,90.0,-6.0,-69.0
-41,90.0,-10.0,-71.0
-45,85.0,-14.0,-78.0
-47,80.0,-17.0,-88.0
-42,74.0,-20.0,-94.0
-34,70.0,-23.0,-95.0
-34,68.0,-25.0,-100.0
-31,66.0,-28.0,-103.0
-29,62.0,-29.0,-103.0
-33,57.0,-37.0,-113.0
-33,58.0,-38.0,-114.0
-34,52.0,-41.0,-116.0
-43,53.0,-48.0,-116.0
-52,48.0,-52.0,-119.0
-62,43.0,-55.0,-123.0
-65,41.0,-55.0,-123.0
-69,35.0,-62.0,-125.0
-75,31.0,-65.0,-124.0
-91,30.0,-69.0,-130.0
-102,26.0,-76.0,-126.0
-104,22.0,-72.0,-128.0
-103,19.0,-77.0,-133.0
-105,16.0,-82.0,-136.0
-107,14.0,-82.0,-134.0
-106,11.0,-87.0,-141.0
-109,3.0,-90.0,-143.0
-108,2.0,-90.0,-136.0
-115,-2.0,-96.0,-137.0
-123,-6.0,-95.0,-139.0
-126,-8.0,-96.0,-137.0
-125,-14.0,-104.0,-133.0
-114,-15.0,-104.0,-125.0
-108,-18.0,-105.0,-126.0
-109,-19.0,-105.0,-131.0
-116,-24.0,-108.0,-137.0
-121,-27.0,-110.0,-144.0
-122,-32.0,-112.0,-149.0
-132,-35.0,-115.0,-161.0
-138,-38.0,-119.0,-161.0
-144,-38.0,-119.0,-162.0
-141,-43.0,-123.0,-156.0
-138,-52.0,-129.0,-155.0
-130,-54.0,-127.0,-144.0
-127,-56.0,-129.0,-136.0
-135,-62.0,-129.0,-131.0
-142,-64.0,-129.0,-130.0
-151,-70.0,-132.0,-133.0
-149,-73.0,-133.0,-129.0
-134,-75.0,-133.0,-133.0
-126,-81.0,-133.0,-135.0
-122,-80.0,-135.0,-142.0
-122,-81.0,-134.0,-148.0
-125,-84.0,-135.0,-154.0
-121,-87.0,-137.0,-150.0
-120,-84.0,-136.0,-152.0
-126,-86.0,-136.0,-152.0
-136,-90.0,-138.0,-145.0
-141,-93.0,-142.0,-143.0
-130,-92.0,-141.0,-139.0
-118,-94.0,-141.0,-137.0
-122,-99.0,-142.0,-136.0
-121,-102.0,-141.0,-136.0
-127,-107.0,-144.0,-135.0
-131,-110.0,-138.0,-130.0
-141,-114.0,-144.0,-132.0
-144,-119.0,-140.0,-130.0
-136,-126.0,-138.0,-126.0
-136,-128.0,-137.0,-122.0
-134,-128.0,-136.0,-118.0
-134,-132.0,-138.0,-118.0
-133,-132.0,-134.0,-117.0
-141,-129.0,-135.0,-109.0
-146,-127.0,-129.0,-103.0
-156,-133.0,-134.0,-108.0
-157,-135.0,-130.0,-99.0
-143,-134.0,-129.0,-98.0
-136,-134.0,-130.0,-100.0
-131,-134.0,-130.0,-96.0
-125,-136.0,-132.0,-93.0
-108,-133.0,-129.0,-83.0
-103,-132.0,-129.0,-75.0
-106,-130.0,-128.0,-65.0
-108,-134.0,-125.0,-62.0
-105,-133.0,-126.0,-56.0
-94,-135.0,-121.0,-51.0
-84,-138.0,-121.0,-51.0
-75,-137.0,-123.0,-59.0
-72,-137.0,-118.0,-60.0
-68,-134.0,-118.0,-58.0
-76,-137.0,-118.0,-61.0
-78,-138.0,-116.0,-55.0
-83,-138.0,-115.0,-55.0
-84,-144.0,-115.0,-60.0
-78,-149.0,-112.0,-61.0
-73,-151.0,-114.0,-62.0
-69,-149.0,-112.0,-61.0
-71,-149.0,-108.0,-61.0
-84,-148.0,-101.0,-59.0
-97,-143.0,-100.0,-49.0
-106,-140.0,-98.0,-41.0
-111,-136.0,-95.0,-28.0
-102,-132.0,-91.0,-19.0
-98,-128.0,-87.0,-11.0
-89,-127.0,-85.0,-4.0
-81,-125.0,-80.0,-4.0
-68,-131.0,-79.0,-4.0
-58,-127.0,-72.0,8.0
-61,-120.0,-70.0,10.0
-57,-125.0,-68.0,2.0
-50,-123.0,-65.0,4.0
-51,-120.0,-60.0,4.0
-39,-115.0,-57.0,7.0
-28,-114.0,-58.0,8.0
-15,-111.0,-53.0,13.0
-17,-112.0,-49.0,12.0
-19,-118.0,-49.0,17.0
-14,-122.0,-46.0,19.0
-14,-125.0,-40.0,25.0
-3,-125.0,-37.0,36.0
-3,-118.0,-34.0,44.0
1,-112.0,-28.0,52.0
8,-114.0,-25.0,52.0
15,-110.0,-20.0,61.0
16,-105.0,-21.0,63.0
11,-101.0,-17.0,66.0
10,-97.0,-9.0,71.0
10,-97.0,-6.0,74.0
12,-91.0,-3.0,80.0
16,-85.0,-2.0,81.0
21,-77.0,4.0,82.0
27,-76.0,6.0,86.0
29,-71.0,10.0,84.0
31,-65.0,10.0,81.0
21,-68.0,16.0,86.0
16,-61.0,20.0,94.0
20,-63.0,20.0,103.0
26,-62.0,20.0,107.0
29,-62.0,19.0,104.0
40,-56.0,23.0,109.0
52,-51.0,26.0,104.0
57,-47.0,30.0,100.0
66,-41.0,34.0,103.0
63,-43.0,36.0,103.0
66,-39.0,43.0,110.0
71,-42.0,48.0,110.0
75,-37.0,50.0,117.0
74,-37.0,55.0,120.0
84,-31.0,56.0,128.0
87,-25.0,61.0,127.0
93,-25.0,63.0,123.0
92,-15.0,64.0,123.0
84,-13.0,68.0,127.0
84,-4.0,73.0,128.0
76,-3.0,72.0,130.0
77,1.0,77.0,139.0
78,7.0,80.0,139.0
79,7.0,83.0,143.0
78,10.0,85.0,145.0
74,8.0,84.0,144.0
71,12.0,91.0,154.0
75,13.0,94.0,159.0
78,17.0,98.0,165.0
89,22.0,101.0,170.0
93,23.0,106.0,173.0
99,26.0,109.0,177.0
111,27.0,109.0,175.0
122,30.0,109.0,176.0
132,34.0,112.0,179.0
133,40.0,118.0,184.0
129,44.0,119.0,180.0
127,48.0,122.0,180.0
136,55.0,126.0,175.0
144,55.0,129.0,163.0
147,57.0,132.0,156.0
152,60.0,133.0,147.0
159,65.0,137.0,146.0
165,70.0,140.0,147.0
171,73.0,144.0,148.0
169,76.0,147.0,149.0
160,77.0,147.0,149.0
152,80.0,151.0,155.0
149,80.0,154.0,155.0
146,82.0,152.0,151.0
140,88.0,152.0,151.0
134,94.0,156.0,151.0
127,89.0,153.0,145.0
137,92.0,157.0,150.0
150,93.0,158.0,149.0
157,95.0,159.0,147.0
159,99.0,163.0,151.0
162,104.0,159.0,144.0
167,108.0,160.0,142.0
161,106.0,161.0,142.0
159,110.0,158.0,146.0
161,109.0,159.0,149.0
157,113.0,162.0,152.0
150,115.0,161.0,148.0
144,118.0,162.0,144.0
142,124.0,163.0,143.0
145,126.0,164.0,142.0
147,133.0,166.0,141.0
139,132.0,161.0,139.0
131,133.0,160.0,140.0
133,138.0,160.0,140.0
134,142.0,159.0,140.0
141,149.0,158.0,137.0
140,144.0,154.0,132.0
133,146.0,156.0,124.0
126,150.0,155.0,119.0
117,150.0,153.0,113.0
114,149.0,155.0,109.0
114,147.0,153.0,106.0
116,152.0,149.0,105.0
114,153.0,147.0,103.0
114,155.0,145.0,107.0
115,157.0,143.0,105.0
116,158.0,144.0,97.0
110,155.0,147.0,92.0
106,155.0,142.0,82.0
106,153.0,142.0,80.0
108,152.0,142.0,74.0
106,150.0,140.0,72.0
101,146.0,137.0,67.0
102,148.0,133.0,63.0
100,145.0,134.0,60.0
102,146.0,133.0,59.0
96,148.0,135.0,59.0
96,150.0,130.0,58.0
99,147.0,127.0,54.0
99,157.0,124.0,50.0
97,161.0,124.0,49.0
93,157.0,115.0,48.0
93,156.0,110.0,44.0
79,152.0,105.0,35.0
66,150.0,101.0,34.0
54,147.0,99.0,26.0
51,143.0,96.0,23.0
49,140.0,98.0,25.0
46,137.0,92.0,25.0
47,138.0,91.0,25.0
44,140.0,84.0,20.0
44,138.0,83.0,12.0
36,137.0,80.0,5.0
33,137.0,72.0,1.0
39,138.0,72.0,-2.0
41,134.0,66.0,-8.0
32,139.0,63.0,-7.0
21,138.0,59.0,-6.0
17,136.0,57.0,-10.0
25,134.0,51.0,-20.0
32,131.0,46.0,-25.0
24,129.0,42.0,-32.0
17,122.0,35.0,-41.0
20,125.0,36.0,-42.0
11,121.0,33.0,-42.0
1,113.0,29.0,-46.0
-10,109.0,20.0,-50.0
-22,106.0,19.0,-53.0
-27,97.0,18.0,-59.0
-37,95.0,11.0,-63.0
-41,91.0,11.0,-65.0
-43,91.0,5.0,-67.0
-40,88.0,-1.0,-68.0
-44,85.0,-4.0,-62.0
-43,79.0,-6.0,-61.0
-48,73.0,-10.0,-66.0
-47,80.0,-11.0,-73.0
-45,74.0,-13.0,-73.0
-52,72.0,-16.0,-78.0
-55,68.0,-19.0,-81.0
-55,65.0,-22.0,-80.0
-50,64.0,-24.0,-85.0
-47,59.0,-29.0,-88.0
-43,57.0,-31.0,-88.0
-45,55.0,-34.0,-93.0
-54,53.0,-40.0,-98.0
-60,48.0,-41.0,-103.0
-64,40.0,-44.0,-111.0
-70,38.0,-50.0,-119.0
-81,37.0,-52.0,-116.0
-88,36.0,-57.0,-113.0
-89,27.0,-63.0,-119.0
-84,24.0,-64.0,-120.0
-77,21.0,-68.0,-125.0
-77,12.0,-69.0,-130.0
-83,6.0,-76.0,-132.0
-92,-1.0,-80.0,-126.0
-90,-3.0,-80.0,-122.0
-90,-7.0,-86.0,-125.0
-96,-10.0,-87.0,-120.0
-104,-12.0,-94.0,-116.0
-115,-11.0,-96.0,-119.0
-119,-13.0,-96.0,-121.0
-119,-14.0,-99.0,-123.0
-129,-13.0,-103.0,-131.0
-131,-14.0,-103.0,-131.0
-128,-19.0,-106.0,-127.0
-126,-27.0,-114.0,-129.0
-122,-31.0,-112.0,-128.0
-123,-34.0,-112.0,-131.0
-124,-38.0,-115.0,-132.0
-123,-42.0,-115.0,-136.0
-128,-44.0,-121.0,-139.0
-130,-47.0,-124.0,-139.0
-126,-54.0,-124.0,-139.0
-123,-57.0,-127.0,-140.0
-118,-61.0,-133.0,-137.0
-114,-66.0,-133.0,-133.0
-114,-68.0,-135.0,-135.0
-114,-69.0,-140.0,-134.0
-115,-71.0,-141.0,-137.0
-123,-75.0,-141.0,-131.0
-130,-76.0,-146.0,-127.0
-144,-83.0,-148.0,-123.0
-141,-84.0,-147.0,-121.0
-140,-85.0,-148.0,-122.0
-143,-89.0,-149.0,-124.0
-139,-88.0,-145.0,-126.0
-147,-91.0,-147.0,-129.0
-154,-88.0,-150.0,-133.0
-160,-92.0,-149.0,-133.0
-153,-87.0,-149.0,-129.0
-149,-85.0,-151.0,-127.0
-143,-93.0,-155.0,-127.0
-141,-93.0,-151.0,-124.0
-144,-100.0,-157.0,-125.0
-140,-99.0,-158.0,-123.0
-146,-104.0,-156.0,-123.0
-150,-113.0,-158.0,-121.0
-159,-118.0,-158.0,-122.0
-164,-117.0,-156.0,-114.0
-162,-116.0,-155.0,-117.0
-156,-123.0,-156.0,-114.0
-147,-128.0,-152.0,-107.0
-146,-128.0,-156.0,-109.0
-142,-131.0,-151.0,-108.0
-139,-133.0,-154.0,-113.0
-137,-133.0,-151.0,-112.0
-141,-130.0,-148.0,-109.0
-139,-129.0,-152.0,-101.0
-130,-131.0,-150.0,-101.0
-121,-133.0,-150.0,-97.0
-118,-137.0,-152.0,-90.0
-115,-141.0,-154.0,-88.0
-113,-140.0,-156.0,-85.0
-116,-142.0,-158.0,-87.0
-114,-143.0,-155.0,-78.0
-118,-136.0,-151.0,-73.0
-121,-139.0,-150.0,-71.0
-128,-140.0,-145.0,-66.0
-130,-140.0,-145.0,-62.0
-120,-133.0,-138.0,-62.0
-114,-136.0,-135.0,-60.0
-112,-135.0,-139.0,-60.0
-120,-132.0,-130.0,-62.0
-119,-133.0,-132.0,-55.0
-114,-134.0,-131.0,-50.0
-109,-132.0,-131.0,-47.0
-107,-137.0,-132.0,-45.0
-104,-145.0,-128.0,-40.0
-97,-140.0,-127.0,-38.0
-94,-143.0,-128.0,-43.0
-93,-141.0,-126.0,-35.0
-95,-138.0,-122.0,-33.0
-98,-137.0,-120.0,-30.0
-97,-130.0,-118.0,-29.0
-91,-127.0,-118.0,-27.0
-88,-131.0,-110.0,-19.0
-80,-130.0,-104.0,-18.0
-67,-127.0,-101.0,-14.0
-56,-124.0,-95.0,-10.0
-48,-127.0,-92.0,-10.0
-44,-125.0,-87.0,-10.0
-43,-123.0,-85.0,-7.0
-40,-120.0,-84.0,-3.0
-38,-116.0,-77.0,2.0
-39,-114.0,-75.0,10.0
-41,-117.0,-78.0,16.0
-34,-118.0,-76.0,25.0
-28,-113.0,-71.0,29.0
-28,-120.0,-70.0,29.0
-28,-114.0,-66.0,30.0
-42,-113.0,-66.0,31.0
-47,-110.0,-58.0,37.0
-46,-107.0,-55.0,42.0
-47,-109.0,-52.0,44.0
-39,-108.0,-45.0,47.0
-29,-108.0,-41.0,51.0
-17,-107.0,-36.0,59.0
-5,-107.0,-37.0,61.0
6,-109.0,-29.0,62.0
17,-105.0,-28.0,66.0
18,-102.0,-22.0,66.0
16,-100.0,-21.0,68.0
14,-91.0,-16.0,71.0
10,-87.0,-13.0,74.0
12,-82.0,-15.0,76.0
19,-75.0,-7.0,82.0
23,-69.0,-7.0,80.0
23,-66.0,-6.0,73.0
25,-64.0,-5.0,77.0
27,-59.0,-3.0,75.0
28,-54.0,2.0,79.0
24,-48.0,4.0,84.0
27,-45.0,10.0,86.0
27,-45.0,10.0,95.0
34,-45.0,15.0,96.0
44,-40.0,16.0,98.0
52,-41.0,23.0,102.0
56,-45.0,26.0,101.0
58,-41.0,31.0,108.0
59,-35.0,37.0,109.0
54,-32.0,34.0,111.0
62,-29.0,43.0,118.0
67,-25.0,41.0,117.0
75,-20.0,43.0,120.0
78,-15.0,47.0,122.0
86,-12.0,54.0,125.0
96,-7.0,55.0,128.0
103,-2.0,55.0,129.0
108,0.0,60.0,136.0
99,-1.0,61.0,145.0
95,7.0,67.0,153.0
102,13.0,73.0,159.0
107,15.0,75.0,159.0
114,15.0,73.0,156.0
116,19.0,78.0,157.0
117,21.0,77.0,159.0
122,23.0,79.0,152.0
128,26.0,83.0,155.0
129,25.0,83.0,155.0
129,26.0,86.0,157.0
126,27.0,88.0,153.0
123,30.0,90.0,153.0
139,28.0,95.0,159.0
145,33.0,98.0,164.0
147,42.0,101.0,164.0
141,41.0,103.0,165.0
134,46.0,108.0,167.0
128,50.0,115.0,164.0
128,54.0,115.0,163.0
129,61.0,114.0,157.0
136,72.0,121.0,159.0
145,74.0,119.0,159.0
145,75.0,120.0,160.0
156,81.0,126.0,161.0
154,82.0,125.0,162.0
158,83.0,127.0,162.0
153,80.0,125.0,158.0
148,79.0,133.0,154.0
151,84.0,134.0,150.0
157,92.0,135.0,145.0
160,95.0,143.0,143.0
165,101.0,144.0,142.0
165,103.0,147.0,146.0
163,103.0,152.0,151.0
159,105.0,147.0,147.0
143,103.0,147.0,139.0
130,110.0,151.0,134.0
129,110.0,149.0,131.0
138,110.0,147.0,129.0
143,114.0,144.0,137.0
149,118.0,139.0,143.0
154,118.0,139.0,144.0
157,121.0,140.0,146.0
158,127.0,136.0,147.0
155,131.0,134.0,143.0
149,138.0,135.0,140.0
148,140.0,135.0,135.0
144,145.0,134.0,133.0
141,149.0,134.0,131.0
146,148.0,135.0,133.0
148,150.0,142.0,134.0
139,149.0,140.0,128.0
128,148.0,138.0,128.0
115,147.0,140.0,117.0
106,145.0,137.0,108.0
105,146.0,137.0,103.0
105,148.0,133.0,93.0
110,151.0,130.0,93.0
115,154.0,128.0,85.0
119,156.0,130.0,83.0
117,157.0,133.0,77.0
112,159.0,135.0,76.0
102,163.0,123.0,76.0
96,164.0,102.0,69.0
90,160.0,111.0,66.0
92,154.0,127.0,63.0
99,153.0,120.0,68.0
105,153.0,104.0,63.0
108,153.0,114.0,64.0
106,159.0,129.0,62.0
106,159.0,124.0,62.0
99,160.0,111.0,56.0
85,159.0,103.0,45.0
77,155.0,117.0,41.0
69,154.0,114.0,41.0
73,152.0,101.0,38.0
79,151.0,89.0,32.0
82,149.0,90.0,37.0
85,150.0,96.0,38.0
82,147.0,86.0,33.0
76,148.0,75.0,28.0
69,147.0,67.0,22.0
66,146.0,76.0,16.0
63,139.0,73.0,16.0
63,137.0,61.0,19.0
62,137.0,35.0,13.0
58,136.0,17.0,5.0
57,134.0,24.0,3.0
54,133.0,14.0,-1.0
51,139.0,-4.0,-4.0
43,136.0,-4.0,-9.0
31,142.0,7.0,-10.0
28,138.0,11.0,-13.0
28,143.0,8.0,-12.0
27,142.0,10.0,-12.0
21,132.0,20.0,-19.0
17,131.0,32.0,-20.0
15,125.0,34.0,-20.0
11,129.0,22.0,-34.0
2,125.0,12.0,-44.0
-6,127.0,15.0,-47.0
-11,124.0,13.0,-52.0
-14,120.0,-5.0,-54.0
-11,120.0,-19.0,-60.0
-9,113.0,-26.0,-65.0
-9,109.0,-29.0,-65.0
-3,102.0,-36.0,-70.0
2,101.0,-47.0,-77.0
2,93.0,-43.0,-80.0
-5,87.0,-43.0,-81.0
-10,84.0,-40.0,-81.0
-9,76.0,-43.0,-84.0
-10,73.0,-41.0,-80.0
-7,73.0,-37.0,-78.0
-13,66.0,-33.0,-80.0
-11,56.0,-37.0,-87.0
-12,52.0,-47.0,-89.0
-19,49.0,-49.0,-95.0
-25,46.0,-50.0,-99.0
-26,44.0,-56.0,-102.0
-35,44.0,-69.0,-106.0
-42,43.0,-74.0,-107.0
-46,39.0,-77.0,-111.0
-47,39.0,-77.0,-112.0
-49,35.0,-83.0,-120.0
-55,29.0,-91.0,-121.0
-59,25.0,-90.0,-124.0
-64,22.0,-89.0,-130.0
-71,18.0,-91.0,-135.0
-77,14.0,-94.0,-135.0
-79,14.0,-93.0,-137.0
-84,6.0,-95.0,-143.0
-80,6.0,-94.0,-140.0
-82,5.0,-95.0,-143.0
-86,0.0,-102.0,-147.0
-89,-3.0,-103.0,-148.0
-97,-6.0,-111.0,-148.0
-102,-10.0,-112.0,-145.0
-102,-16.0,-119.0,-146.0
-101,-19.0,-131.0,-147.0
-101,-22.0,-148.0,-146.0
-99,-23.0,-160.0,-143.0
-101,-24.0,-163.0,-148.0
-108,-30.0,-172.0,-149.0
-115,-31.0,-174.0,-148.0
-122,-31.0,-167.0,-147.0
-129,-31.0,-159.0,-147.0
-141,-37.0,-162.0,-149.0
-143,-38.0,-160.0,-146.0
-141,-41.0,-160.0,-147.0
-142,-47.0,-159.0,-143.0
-141,-57.0,-158.0,-141.0
-144,-65.0,-159.0,-144.0
-134,-66.0,-163.0,-137.0
-134,-72.0,-168.0,-135.0
-135,-71.0,-168.0,-135.0
-137,-74.0,-170.0,-136.0
-139,-75.0,-169.0,-138.0
-138,-76.0,-175.0,-137.0
-148,-76.0,-171.0,-140.0
-154,-80.0,-169.0,-143.0
-151,-85.0,-173.0,-136.0
-145,-87.0,-171.0,-134.0
-148,-93.0,-174.0,-133.0
-140,-91.0,-180.0,-129.0
-129,-89.0,-196.0,-131.0
-125,-91.0,-200.0,-129.0
-129,-92.0,-194.0,-127.0
-136,-96.0,-198.0,-126.0
-135,-103.0,-205.0,-124.0
-132,-105.0,-204.0,-123.0
-137,-107.0,-191.0,-122.0
-146,-106.0,-184.0,-127.0
-152,-110.0,-181.0,-129.0
-146,-106.0,-179.0,-126.0
-146,-105.0,-175.0,-126.0
-149,-109.0,-167.0,-125.0
-142,-107.0,-171.0,-122.0
-141,-106.0,-173.0,-121.0
-142,-113.0,-175.0,-126.0
-139,-118.0,-171.0,-121.0
-137,-125.0,-171.0,-118.0
-136,-130.0,-173.0,-118.0
-126,-130.0,-174.0,-114.0
-130,-138.0,-171.0,-106.0
-129,-138.0,-165.0,-102.0
-117,-138.0,-167.0,-97.0
-108,-134.0,-161.0,-94.0
