a0003,a0004,a0005,a0006
-68,47.0,26.0,110
-106,98.0,93.0,150
-66,30.0,98.0,86
-92,183.0,144.0,172
-40,170.0,190.0,103
-56,112.0,163.0,127
-75,172.0,160.0,139
-72,118.0,159.0,118
-80,147.0,127.0,110
-62,176.0,130.0,-76
-98,198.0,150.0,-54
-96,185.0,153.0,11
-80,171.0,149.0,40
-72,185.0,194.0,95
-48,219.0,45.0,107
-76,177.0,20.0,90
-46,87.0,89.0,30
-104,99.0,24.0,-2
-43,177.0,12.0,1
-41,155.0,30.0,63
-91,95.0,103.0,91
-127,184.0,67.0,96
-138,142.0,101.0,139
-129,122.0,75.0,63
-39,112.0,50.0,-35
-8,34.0,3.0,3
-20,86.0,14.0,-21
14,180.0,63.0,-11
-68,167.0,6.0,14
32,143.0,-30.0,-47
-17,207.0,-75.0,-14
0,173.0,-41.0,-56
-72,209.0,-18.0,-69
-109,140.0,4.0,-2
-119,70.0,13.0,-76
-101,149.0,-56.0,-62
-6,179.0,33.0,-15
-80,185.0,156.0,-49
-125,215.0,98.0,-9
-202,212.0,107.0,-34
-215,135.0,114.0,-20
-163,124.0,159.0,-26
-227,124.0,90.0,-41
-238,190.0,94.0,-28
-176,217.0,107.0,-96
-182,95.0,109.0,-44
-182,71.0,119.0,3
-236,116.0,40.0,2
-187,78.0,67.0,69
-111,27.0,65.0,69
-111,82.0,124.0,29
-78,159.0,61.0,53
-77,111.0,-19.0,49
-167,135.0,55.0,26
-131,69.0,102.0,58
-75,22.0,161.0,18
-39,67.0,157.0,-49
-26,-20.0,136.0,74
-79,99.0,50.0,88
-35,243.0,23.0,0
-29,199.0,80.0,-54
-52,116.0,57.0,-121
10,130.0,84.0,-82
2,165.0,22.0,-37
-69,162.0,19.0,-77
0,97.0,127.0,-49
-9,40.0,135.0,-17
-36,95.0,32.0,-84
-15,65.0,85.0,-85
-37,8.0,68.0,-85
18,61.0,72.0,-110
-12,-2.0,36.0,-107
14,15.0,28.0,-61
