a0003,a0004,a0005,a0006
-2,-2.0,-2.0,-2.0
2,2.0,2.0,2.0
-2,-2.0,-3.0,-3.0
3,3.0,3.0,3.0
-5,-6.0,-5.0,-5.0
22,23.0,22.0,22.0
71,71.0,72.0,71.0
63,63.0,64.0,63.0
67,68.0,68.0,67.0
66,65.0,65.0,65.0
67,66.0,67.0,67.0
66,66.0,66.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,67.0,67.0
66,66.0,65.0,65.0
67,66.0,66.0,66.0
65,66.0,66.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
65,66.0,66.0,65.0
66,67.0,66.0,66.0
65,66.0,66.0,65.0
65,66.0,67.0,67.0
65,66.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,65.0,65.0
67,67.0,67.0,65.0
66,65.0,65.0,65.0
66,66.0,66.0,67.0
66,66.0,66.0,66.0
67,66.0,66.0,66.0
66,66.0,66.0,65.0
66,65.0,65.0,65.0
65,65.0,66.0,65.0
66,66.0,65.0,67.0
66,66.0,67.0,67.0
65,65.0,66.0,65.0
65,65.0,65.0,66.0
65,66.0,66.0,66.0
66,67.0,65.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
65,66.0,66.0,66.0
65,66.0,65.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,66.0,66.0
66,67.0,65.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,66.0,66.0
66,65.0,66.0,65.0
67,66.0,66.0,65.0
65,65.0,66.0,65.0
66,65.0,66.0,66.0
66,66.0,66.0,65.0
66,65.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
65,66.0,67.0,66.0
65,65.0,65.0,66.0
66,66.0,65.0,66.0
66,66.0,66.0,66.0
66,66.0,67.0,66.0
66,66.0,65.0,66.0
66,66.0,67.0,66.0
67,67.0,66.0,66.0
65,65.0,66.0,66.0
66,65.0,66.0,66.0
65,66.0,66.0,66.0
65,66.0,66.0,67.0
65,66.0,66.0,65.0
66,67.0,66.0,66.0
65,66.0,66.0,66.0
65,65.0,65.0,66.0
66,66.0,66.0,67.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
67,66.0,66.0,67.0
66,66.0,67.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,67.0,66.0
66,66.0,66.0,66.0
66,67.0,65.0,66.0
66,66.0,65.0,65.0
66,65.0,66.0,65.0
65,65.0,65.0,65.0
66,67.0,66.0,66.0
66,65.0,66.0,65.0
66,66.0,67.0,66.0
65,65.0,65.0,66.0
65,66.0,65.0,65.0
67,67.0,66.0,66.0
66,66.0,66.0,67.0
66,67.0,66.0,66.0
65,66.0,65.0,66.0
65,65.0,66.0,66.0
65,67.0,66.0,66.0
65,65.0,66.0,66.0
66,66.0,65.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
67,66.0,67.0,66.0
65,65.0,65.0,65.0
66,65.0,65.0,66.0
66,66.0,65.0,66.0
66,66.0,65.0,66.0
65,67.0,66.0,65.0
66,66.0,67.0,66.0
66,66.0,65.0,66.0
65,66.0,65.0,65.0
66,65.0,65.0,66.0
67,66.0,66.0,65.0
66,66.0,65.0,65.0
67,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,65.0,66.0
66,65.0,66.0,65.0
66,66.0,66.0,65.0
66,66.0,65.0,66.0
66,66.0,65.0,66.0
66,66.0,66.0,67.0
65,66.0,66.0,65.0
66,65.0,66.0,66.0
66,66.0,66.0,66.0
65,65.0,65.0,66.0
66,65.0,65.0,65.0
65,66.0,65.0,67.0
66,66.0,66.0,67.0
65,66.0,65.0,65.0
66,66.0,65.0,67.0
66,66.0,66.0,66.0
66,66.0,65.0,66.0
66,66.0,65.0,66.0
66,65.0,65.0,65.0
65,66.0,65.0,66.0
66,66.0,66.0,66.0
66,65.0,66.0,66.0
66,65.0,66.0,65.0
66,66.0,66.0,67.0
66,66.0,66.0,65.0
66,66.0,65.0,65.0
66,65.0,66.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,65.0
66,67.0,66.0,66.0
66,66.0,65.0,65.0
66,65.0,66.0,66.0
66,65.0,66.0,66.0
65,66.0,66.0,66.0
65,67.0,66.0,66.0
66,66.0,66.0,67.0
65,65.0,65.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,65.0,66.0
66,66.0,66.0,67.0
65,66.0,66.0,67.0
66,66.0,66.0,66.0
66,66.0,65.0,66.0
66,66.0,66.0,66.0
66,65.0,66.0,66.0
65,66.0,66.0,65.0
67,66.0,66.0,66.0
65,65.0,66.0,66.0
66,67.0,66.0,66.0
67,66.0,67.0,66.0
65,66.0,66.0,65.0
66,66.0,65.0,65.0
66,66.0,65.0,65.0
66,66.0,66.0,65.0
66,66.0,66.0,65.0
65,65.0,65.0,65.0
66,66.0,66.0,67.0
66,65.0,66.0,67.0
65,66.0,66.0,65.0
67,66.0,67.0,67.0
66,65.0,66.0,65.0
65,66.0,66.0,67.0
66,67.0,67.0,67.0
65,66.0,66.0,66.0
65,66.0,66.0,65.0
66,67.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,65.0,66.0
66,65.0,66.0,66.0
66,66.0,66.0,67.0
67,67.0,66.0,67.0
66,65.0,65.0,65.0
67,66.0,67.0,66.0
66,65.0,65.0,65.0
66,67.0,67.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,65.0
66,65.0,67.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,65.0
65,65.0,66.0,65.0
66,66.0,67.0,66.0
65,66.0,66.0,66.0
66,66.0,65.0,66.0
67,66.0,66.0,66.0
67,66.0,65.0,66.0
66,66.0,66.0,66.0
66,65.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,66.0,66.0
66,66.0,66.0,65.0
65,66.0,66.0,66.0
66,66.0,67.0,66.0
65,65.0,65.0,65.0
66,65.0,66.0,66.0
66,66.0,66.0,66.0
65,66.0,65.0,65.0
67,66.0,66.0,66.0
65,65.0,65.0,66.0
65,66.0,65.0,66.0
66,66.0,65.0,66.0
65,65.0,66.0,66.0
66,66.0,67.0,67.0
66,67.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,67.0,66.0
66,66.0,65.0,67.0
67,66.0,66.0,67.0
67,66.0,66.0,66.0
66,66.0,65.0,66.0
66,65.0,66.0,65.0
66,67.0,66.0,66.0
66,66.0,66.0,67.0
65,67.0,66.0,65.0
66,66.0,65.0,67.0
66,66.0,66.0,65.0
65,66.0,66.0,65.0
66,65.0,65.0,66.0
66,66.0,65.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
65,66.0,66.0,66.0
66,65.0,66.0,66.0
66,65.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,66.0,66.0,65.0
66,66.0,66.0,66.0
66,66.0,67.0,65.0
66,66.0,67.0,66.0
66,65.0,66.0,66.0
66,66.0,66.0,66.0
65,65.0,65.0,65.0
66,66.0,66.0,66.0
66,66.0,66.0,66.0
66,65.0,65.0,66.0
