a0003,a0004,a0005,a0006
635,228.0,230.0,464.0
1128,368.0,355.0,813.0
1104,389.0,349.0,595.0
1189,498.0,431.0,560.0
1266,447.0,495.0,797.0
1302,350.0,568.0,867.0
1143,283.0,525.0,817.0
921,158.0,358.0,813.0
1020,142.0,360.0,619.0
1079,186.0,493.0,357.0
1010,263.0,472.0,428.0
1179,361.0,405.0,523.0
1376,349.0,514.0,556.0
1266,344.0,571.0,684.0
1220,420.0,576.0,631.0
1267,447.0,619.0,547.0
1094,389.0,578.0,587.0
1109,363.0,570.0,519.0
1187,479.0,571.0,431.0
952,607.0,602.0,403.0
850,636.0,770.0,285.0
868,680.0,808.0,202.0
848,605.0,759.0,285.0
1014,396.0,850.0,313.0
1106,338.0,877.0,271.0
1020,436.0,755.0,292.0
1031,473.0,667.0,333.0
1094,291.0,610.0,396.0
1102,252.0,491.0,470.0
1190,430.0,414.0,552.0
1353,382.0,398.0,539.0
1355,290.0,345.0,508.0
1352,229.0,365.0,741.0
1461,99.0,428.0,867.0
1427,205.0,395.0,716.0
1380,446.0,373.0,697.0
1459,469.0,430.0,581.0
1445,453.0,477.0,334.0
1368,552.0,400.0,412.0
1399,481.0,402.0,400.0
1353,361.0,457.0,147.0
1217,433.0,218.0,227.0
1283,360.0,222.0,253.0
1364,172.0,570.0,74.0
1293,214.0,448.0,276.0
1248,326.0,240.0,446.0
1258,354.0,492.0,393.0
1292,366.0,588.0,526.0
1370,315.0,504.0,472.0
1488,193.0,740.0,182.0
1491,228.0,908.0,229.0
1454,446.0,729.0,459.0
1609,505.0,664.0,461.0
1688,475.0,774.0,373.0
1601,540.0,686.0,330.0
1676,485.0,511.0,250.0
1667,518.0,536.0,193.0
1440,748.0,539.0,297.0
1500,665.0,478.0,473.0
1608,453.0,518.0,458.0
1419,458.0,485.0,315.0
1293,348.0,534.0,379.0
1289,244.0,761.0,560.0
1257,255.0,723.0,564.0
1363,196.0,617.0,464.0
1647,336.0,664.0,378.0
1757,445.0,575.0,300.0
1675,244.0,643.0,310.0
1633,171.0,870.0,425.0
1595,189.0,849.0,496.0
1634,111.0,791.0,469.0
1835,219.0,907.0,464.0
1971,378.0,993.0,320.0
1817,333.0,959.0,191.0
1720,294.0,947.0,430.0
1825,225.0,895.0,550.0
1686,33.0,757.0,497.0
1579,-16.0,715.0,428.0
1659,25.0,839.0,208.0
1550,-44.0,980.0,298.0
1541,0.0,1071.0,585.0
1636,196.0,1223.0,625.0
1619,85.0,1253.0,572.0
1654,-223.0,1091.0,522.0
1574,-154.0,1063.0,528.0
1376,6.0,1151.0,693.0
1311,-138.0,1119.0,844.0
1415,-155.0,1025.0,841.0
1626,74.0,969.0,811.0
1736,76.0,905.0,716.0
1717,-148.0,876.0,608.0
1694,-186.0,901.0,675.0
1643,-47.0,865.0,795.0
1595,-126.0,801.0,783.0
1561,-364.0,827.0,670.0
1531,-326.0,892.0,665.0
1576,-102.0,909.0,719.0
1541,-31.0,882.0,687.0
1464,59.0,866.0,719.0
1665,303.0,961.0,762.0
1777,332.0,1028.0,784.0
1623,228.0,994.0,912.0
1669,276.0,1137.0,938.0
1708,209.0,1212.0,877.0
1636,136.0,943.0,875.0
1684,166.0,809.0,689.0
1627,175.0,819.0,601.0
1599,316.0,663.0,809.0
1636,392.0,613.0,748.0
1434,361.0,709.0,663.0
1288,348.0,750.0,845.0
1364,229.0,779.0,782.0
1418,245.0,774.0,654.0
1446,314.0,830.0,710.0
1453,221.0,968.0,655.0
1377,265.0,953.0,698.0
1313,329.0,921.0,887.0
1406,261.0,978.0,860.0
1636,247.0,880.0,849.0
1715,260.0,766.0,944.0
1595,297.0,824.0,891.0
1540,302.0,862.0,901.0
1545,296.0,862.0,952.0
1565,391.0,884.0,840.0
1688,336.0,876.0,884.0
1830,270.0,931.0,1055.0
1826,476.0,1023.0,1013.0
1663,610.0,1091.0,989.0
1485,670.0,1091.0,966.0
1457,789.0,938.0,716.0
1540,719.0,888.0,648.0
1613,576.0,1002.0,770.0
