a0003,a0004,a0005,a0006
-7,11.0,10.0,8.0
-1,-2.0,28.0,0.0
-12,18.0,20.0,20.0
7,-6.0,71.0,-18.0
-37,28.0,-2.0,40.0
-68,27.0,-29.0,89.0
7,-50.0,16.0,-35.0
-6,-36.0,-14.0,-14.0
9,-46.0,-9.0,-20.0
9,-30.0,-18.0,20.0
-18,-40.0,-11.0,3.0
-36,-20.0,-25.0,-9.0
-49,-20.0,-15.0,-6.0
-67,-11.0,-3.0,-26.0
-41,1.0,14.0,-21.0
-13,-8.0,11.0,-18.0
-5,-5.0,4.0,-13.0
4,4.0,11.0,-17.0
16,5.0,9.0,-11.0
38,-9.0,-6.0,-8.0
24,-9.0,-13.0,-20.0
6,-17.0,-11.0,-33.0
6,-25.0,-12.0,-27.0
4,-29.0,-6.0,-31.0
-18,-26.0,-4.0,-14.0
-32,-25.0,-8.0,-15.0
-35,-10.0,-17.0,-8.0
-23,-3.0,-19.0,6.0
-17,-1.0,-22.0,-8.0
-18,-4.0,-21.0,-24.0
-15,0.0,-20.0,-12.0
5,1.0,-11.0,-1.0
10,0.0,-21.0,7.0
-3,4.0,-15.0,11.0
-32,12.0,-11.0,2.0
-43,17.0,-24.0,7.0
-39,15.0,-31.0,10.0
-46,24.0,-37.0,6.0
-45,21.0,-32.0,4.0
-23,14.0,-21.0,5.0
5,16.0,-21.0,-3.0
10,10.0,-27.0,-8.0
13,3.0,-12.0,-6.0
18,-5.0,-9.0,-12.0
17,-17.0,-17.0,-16.0
9,-15.0,-17.0,-25.0
3,-22.0,-17.0,-10.0
2,-19.0,-21.0,-1.0
-4,-1.0,-35.0,-3.0
-28,1.0,-19.0,-2.0
-33,4.0,-15.0,-11.0
-30,8.0,-22.0,-11.0
-20,3.0,-6.0,-11.0
-16,-7.0,-6.0,-26.0
-13,-15.0,-13.0,-24.0
7,-15.0,-21.0,-1.0
24,-24.0,-20.0,-4.0
23,-35.0,-26.0,-11.0
1,-27.0,-27.0,-11.0
8,-31.0,-18.0,-10.0
4,-33.0,-9.0,-12.0
-32,-17.0,1.0,-8.0
-43,-22.0,5.0,0.0
-29,-33.0,12.0,-13.0
-6,-22.0,14.0,-16.0
14,-41.0,2.0,-10.0
30,-35.0,3.0,1.0
44,-6.0,-5.0,6.0
28,-2.0,-14.0,7.0
31,9.0,-16.0,10.0
41,3.0,-15.0,28.0
51,3.0,-15.0,31.0
42,20.0,-14.0,7.0
24,28.0,-4.0,-6.0
30,18.0,-12.0,-10.0
40,3.0,-15.0,-2.0
32,3.0,-12.0,-17.0
21,-5.0,-6.0,-29.0
9,-17.0,-11.0,-14.0
-3,-8.0,-4.0,11.0
-17,-13.0,-9.0,17.0
-21,-9.0,-22.0,-7.0
5,14.0,-13.0,-16.0
10,4.0,-19.0,-5.0
14,9.0,-21.0,0.0
16,16.0,-20.0,0.0
7,4.0,-19.0,-16.0
11,1.0,-5.0,-17.0
10,3.0,-3.0,1.0
4,1.0,-5.0,-1.0
-8,14.0,3.0,-8.0
-15,17.0,12.0,-17.0
-5,8.0,29.0,-6.0
1,17.0,24.0,4.0
4,14.0,7.0,2.0
2,14.0,-5.0,3.0
7,12.0,-4.0,1.0
8,9.0,-4.0,2.0
0,24.0,-4.0,-6.0
0,-3.0,-5.0,-14.0
-16,-8.0,-4.0,-13.0
-25,-8.0,-4.0,-15.0
-18,-32.0,-4.0,-10.0
-11,-26.0,-9.0,-7.0
7,-30.0,-19.0,-5.0
7,-26.0,-10.0,-6.0
5,-23.0,-17.0,5.0
13,-28.0,-16.0,36.0
0,-29.0,4.0,23.0
-10,-25.0,-3.0,11.0
-17,-25.0,-2.0,12.0
-27,-31.0,-14.0,-6.0
-33,-23.0,-21.0,-4.0
-27,-13.0,-13.0,2.0
-11,-4.0,-18.0,-8.0
6,-4.0,-12.0,-14.0
12,-8.0,-15.0,-13.0
12,-13.0,-19.0,2.0
10,-23.0,-20.0,2.0
29,-27.0,-20.0,-10.0
24,-31.0,-27.0,-10.0
9,-39.0,-23.0,-17.0
8,-30.0,-10.0,-20.0
-17,-27.0,-12.0,-10.0
-25,-15.0,-16.0,-15.0
-33,-12.0,-18.0,-23.0
-26,-22.0,-23.0,-16.0
-3,-15.0,-18.0,-4.0
5,-19.0,-15.0,-14.0
2,-21.0,-17.0,-13.0
-6,-5.0,0.0,-2.0
-15,3.0,-10.0,4.0
-25,-14.0,-27.0,11.0
-42,-8.0,-18.0,-6.0
-43,-10.0,-27.0,-16.0
-36,-11.0,-14.0,-7.0
-39,10.0,-9.0,-10.0
-13,6.0,-11.0,-7.0
5,3.0,0.0,2.0
4,10.0,-10.0,13.0
7,8.0,-12.0,17.0
0,-3.0,-16.0,11.0
-21,-10.0,-22.0,29.0
-34,-17.0,-23.0,31.0
-40,-21.0,-15.0,23.0
-48,-10.0,-18.0,15.0
-52,-4.0,-31.0,0.0
-56,6.0,-30.0,1.0
-49,-3.0,-31.0,0.0
-42,2.0,-30.0,-15.0
-33,-2.0,-29.0,-9.0
-28,-4.0,-29.0,3.0
-23,4.0,-29.0,1.0
-2,-6.0,-20.0,31.0
16,-13.0,-4.0,17.0
8,-20.0,19.0,12.0
0,-13.0,33.0,17.0
-8,-19.0,45.0,8.0
-15,-11.0,55.0,21.0
-18,-11.0,51.0,10.0
-26,-9.0,43.0,10.0
-11,4.0,37.0,8.0
5,18.0,44.0,-2.0
11,26.0,43.0,-9.0
-9,36.0,48.0,-17.0
-20,31.0,58.0,0.0
-28,16.0,60.0,11.0
-31,9.0,59.0,10.0
-31,-3.0,51.0,9.0
-27,-8.0,58.0,-6.0
-24,-19.0,58.0,-13.0
-32,-19.0,50.0,-14.0
-13,4.0,67.0,-9.0
-4,0.0,62.0,-16.0
12,-4.0,46.0,-11.0
27,10.0,50.0,2.0
16,-2.0,30.0,2.0
11,3.0,14.0,4.0
8,7.0,14.0,2.0
5,6.0,10.0,4.0
12,-10.0,1.0,0.0
0,-20.0,-3.0,-9.0
-6,-19.0,7.0,-10.0
-4,-29.0,13.0,-21.0
2,-13.0,14.0,-12.0
13,-1.0,27.0,-3.0
-1,-9.0,24.0,-2.0
-23,-5.0,5.0,15.0
-20,6.0,18.0,10.0
-24,9.0,4.0,15.0
-45,7.0,-10.0,23.0
-45,6.0,-9.0,31.0
-51,8.0,-17.0,34.0
-59,8.0,-10.0,24.0
-48,-10.0,0.0,21.0
-22,-5.0,7.0,21.0
14,-1.0,15.0,19.0
21,-10.0,23.0,3.0
24,-10.0,31.0,-6.0
29,-5.0,31.0,17.0
25,7.0,23.0,37.0
27,14.0,11.0,45.0
-10,7.0,7.0,41.0
-33,-8.0,15.0,32.0
-33,-10.0,12.0,33.0
-44,-19.0,26.0,17.0
-28,-27.0,37.0,10.0
-4,-28.0,34.0,9.0
16,-36.0,26.0,22.0
14,-24.0,26.0,35.0
9,-19.0,38.0,23.0
12,-27.0,35.0,28.0
6,-19.0,29.0,31.0
-11,-18.0,27.0,24.0
-15,-21.0,29.0,24.0
-18,-33.0,22.0,28.0
-33,-31.0,13.0,39.0
-18,-25.0,10.0,30.0
1,-21.0,11.0,16.0
4,-22.0,8.0,9.0
4,-26.0,2.0,2.0
5,-24.0,0.0,-11.0
2,-21.0,-10.0,-18.0
3,-16.0,-6.0,-8.0
3,-24.0,-9.0,-1.0
3,-23.0,-12.0,10.0
0,-24.0,-10.0,18.0
-3,-11.0,-4.0,26.0
4,-8.0,5.0,32.0
2,-8.0,-4.0,31.0
6,-13.0,-4.0,18.0
3,-27.0,5.0,8.0
7,-7.0,-3.0,-1.0
8,1.0,-10.0,2.0
-2,7.0,-1.0,6.0
-10,12.0,7.0,14.0
-26,4.0,-4.0,22.0
-35,9.0,-2.0,-2.0
-38,5.0,-15.0,-13.0
-26,4.0,-28.0,-8.0
-7,15.0,-28.0,-3.0
-5,0.0,-23.0,-14.0
-9,-13.0,-8.0,-9.0
-17,-22.0,-20.0,-2.0
-18,-33.0,-10.0,-8.0
-8,-24.0,-2.0,9.0
-5,-7.0,-9.0,5.0
-3,-5.0,-13.0,0.0
-3,1.0,-24.0,10.0
-7,13.0,-26.0,18.0
1,4.0,-14.0,15.0
1,-12.0,-4.0,5.0
-6,-19.0,1.0,-5.0
-5,-22.0,8.0,-12.0
-17,-22.0,1.0,-12.0
-17,-21.0,0.0,-26.0
-6,-19.0,0.0,-24.0
1,-22.0,-10.0,-16.0
-5,-18.0,-18.0,-9.0
-14,-4.0,-9.0,1.0
-20,-8.0,-1.0,-8.0
-21,-19.0,-6.0,-3.0
-16,-20.0,-8.0,16.0
-12,-18.0,-1.0,6.0
-26,-26.0,-10.0,-13.0
-22,-31.0,-10.0,-16.0
-22,-22.0,-24.0,-16.0
-27,-15.0,-28.0,-2.0
-13,-5.0,-8.0,-1.0
-12,11.0,7.0,-7.0
-23,2.0,12.0,-1.0
-23,0.0,5.0,-15.0
3,10.0,-5.0,-13.0
8,1.0,-12.0,-14.0
11,5.0,-6.0,-13.0
19,11.0,-14.0,-16.0
23,2.0,-22.0,-21.0
20,-2.0,-24.0,-16.0
14,-6.0,-18.0,-22.0
10,-1.0,-4.0,-19.0
-2,17.0,-10.0,-13.0
-5,14.0,-22.0,9.0
-32,24.0,-29.0,23.0
-33,43.0,-28.0,29.0
-25,39.0,-22.0,27.0
-27,48.0,-22.0,22.0
-23,44.0,-29.0,27.0
5,41.0,-27.0,19.0
35,49.0,-28.0,17.0
37,31.0,-15.0,10.0
27,31.0,-9.0,4.0
22,22.0,-20.0,-4.0
16,4.0,-27.0,-4.0
4,12.0,-35.0,-6.0
5,13.0,-26.0,-3.0
-19,20.0,-32.0,4.0
-15,32.0,-35.0,18.0
-15,23.0,-18.0,28.0
-16,16.0,-23.0,15.0
-11,11.0,-27.0,-1.0
-21,19.0,-2.0,-5.0
-23,27.0,-10.0,-22.0
-35,34.0,-26.0,-30.0
-25,43.0,-20.0,-18.0
-28,45.0,-8.0,-15.0
-15,29.0,-8.0,-13.0
-6,35.0,3.0,-13.0
-5,36.0,-5.0,10.0
13,14.0,-17.0,13.0
15,12.0,-15.0,4.0
17,6.0,-17.0,4.0
13,9.0,-6.0,6.0
4,15.0,-19.0,11.0
-5,5.0,-25.0,-1.0
-27,-6.0,-24.0,-7.0
-52,0.0,-32.0,-16.0
-58,12.0,-8.0,-14.0
-47,17.0,5.0,-15.0
-39,10.0,-7.0,-11.0
-10,3.0,-14.0,11.0
21,-8.0,-19.0,12.0
26,-12.0,-13.0,15.0
29,-11.0,-6.0,7.0
38,-12.0,-4.0,-3.0
39,-11.0,-12.0,-6.0
13,-3.0,-4.0,-14.0
12,-9.0,-12.0,-13.0
18,-14.0,-32.0,-6.0
17,-19.0,-16.0,3.0
39,-31.0,-13.0,4.0
60,-23.0,-12.0,8.0
67,-16.0,-7.0,12.0
61,-6.0,-13.0,12.0
45,-9.0,-3.0,-8.0
21,-20.0,-12.0,-21.0
2,-21.0,-10.0,-3.0
-23,-23.0,-2.0,3.0
-24,-14.0,-14.0,2.0
0,-19.0,-13.0,-7.0
8,-23.0,-18.0,-14.0
6,1.0,-30.0,-14.0
7,5.0,-24.0,-12.0
3,-1.0,-11.0,-3.0
-11,-11.0,-17.0,-13.0
-18,-22.0,-24.0,-22.0
-4,-13.0,-28.0,-22.0
0,-3.0,-7.0,-30.0
21,-4.0,-14.0,-24.0
33,-4.0,-29.0,-14.0
5,-15.0,-14.0,-19.0
3,-21.0,3.0,-2.0
-3,-20.0,6.0,-9.0
-17,-32.0,-1.0,-18.0
-24,-34.0,5.0,-2.0
-21,-22.0,-1.0,0.0
-11,-16.0,-7.0,0.0
2,-24.0,-18.0,-3.0
-1,-22.0,-21.0,-16.0
-9,-32.0,-20.0,-14.0
-8,-34.0,-14.0,2.0
-19,-34.0,-18.0,-8.0
-34,-33.0,-17.0,-16.0
-43,-33.0,-2.0,-19.0
-22,-27.0,-2.0,-25.0
-13,-9.0,-2.0,-8.0
-15,-13.0,7.0,-10.0
-13,-15.0,17.0,-15.0
-4,-15.0,26.0,7.0
-13,-18.0,14.0,11.0
-27,-8.0,-1.0,9.0
-21,0.0,3.0,7.0
-29,1.0,-3.0,-6.0
-25,-1.0,-1.0,-8.0
-27,8.0,-1.0,-6.0
-31,7.0,4.0,-5.0
-29,2.0,11.0,-7.0
-17,18.0,17.0,-3.0
-13,13.0,16.0,13.0
-12,-6.0,18.0,2.0
-23,-15.0,23.0,-6.0
-25,-19.0,15.0,-10.0
-21,-21.0,28.0,-19.0
-30,-13.0,32.0,-22.0
-19,-22.0,38.0,-20.0
-27,-17.0,37.0,-13.0
-37,-20.0,30.0,-5.0
-32,-32.0,31.0,6.0
-29,-12.0,20.0,12.0
