Q1,Q2,Q3,Q4
-130,-130,-130,-130
-225,-225,-225,-225
-215,-215,-215,-215
-221,-221,-221,-221
-218,-218,-218,-218
-220,-220,-220,-220
-223,-223,-223,-223
-207,-207,-207,-207
-196,-196,-196,-196
-195,-195,-195,-195
-220,-220,-220,-220
-233,-233,-233,-233
-210,-210,-210,-210
-207,-207,-207,-207
-219,-219,-219,-219
-221,-221,-221,-221
-226,-226,-226,-226
-218,-218,-218,-218
-209,-209,-209,-209
-220,-220,-220,-220
-223,-223,-223,-223
-215,-215,-215,-215
-216,-216,-216,-216
-218,-218,-218,-218
-217,-217,-217,-217
-218,-218,-218,-218
-215,-215,-215,-215
-209,-209,-209,-209
-211,-211,-211,-211
-212,-212,-212,-212
-211,-211,-211,-211
-214,-214,-214,-214
-211,-211,-211,-211
-207,-207,-207,-207
-215,-215,-215,-215
-212,-212,-212,-212
-212,-212,-212,-212
-224,-224,-224,-224
-206,-206,-206,-206
-207,-207,-207,-207
-243,-243,-243,-243
-232,-232,-232,-232
-207,-207,-207,-207
-218,-218,-218,-218
-218,-218,-218,-218
-207,-207,-207,-207
-218,-218,-218,-218
-227,-227,-227,-227
-219,-219,-219,-219
-214,-214,-214,-214
-220,-220,-220,-220
-206,-206,-206,-206
-186,-186,-186,-186
-200,-200,-200,-200
-226,-226,-226,-226
-222,-222,-222,-222
-208,-208,-208,-208
-211,-211,-211,-211
-215,-215,-215,-215
-202,-202,-202,-202
-188,-188,-188,-188
-179,-179,-179,-179
-180,-180,-180,-180
-197,-197,-197,-197
-195,-195,-195,-195
-184,-184,-184,-184
-201,-201,-201,-201
-204,-204,-204,-204
-196,-196,-196,-196
-198,-198,-198,-198
-189,-189,-189,-189
-186,-186,-186,-186
-197,-197,-197,-197
-207,-207,-207,-207
-211,-211,-211,-211
-209,-209,-209,-209
-210,-210,-210,-210
-202,-202,-202,-202
-187,-187,-187,-187
-191,-191,-191,-191
-202,-202,-202,-202
-207,-207,-207,-207
-215,-215,-215,-215
-216,-216,-216,-216
-207,-207,-207,-207
-210,-210,-210,-210
-228,-228,-228,-228
-225,-225,-225,-225
-203,-203,-203,-203
-194,-194,-194,-194
-205,-205,-205,-205
-212,-212,-212,-212
-191,-191,-191,-191
-189,-189,-189,-189
-220,-220,-220,-220
-217,-217,-217,-217
-186,-186,-186,-186
-189,-189,-189,-189
-215,-215,-215,-215
-210,-210,-210,-210
-186,-186,-186,-186
-189,-189,-189,-189
-198,-198,-198,-198
-193,-193,-193,-193
-190,-190,-190,-190
-179,-179,-179,-179
-163,-163,-163,-163
-162,-162,-162,-162
-166,-166,-166,-166
-175,-175,-175,-175
-168,-168,-168,-168
-141,-141,-141,-141
-145,-145,-145,-145
-170,-170,-170,-170
-181,-181,-181,-181
-192,-192,-192,-192
-192,-192,-192,-192
-169,-169,-169,-169
-158,-158,-158,-158
-168,-168,-168,-168
-169,-169,-169,-169
-180,-180,-180,-180
-189,-189,-189,-189
-170,-170,-170,-170
-171,-171,-171,-171
-184,-184,-184,-184
-189,-189,-189,-189
-197,-197,-197,-197
-203,-203,-203,-203
-201,-201,-201,-201
-191,-191,-191,-191
-192,-192,-192,-192
-188,-188,-188,-188
-180,-180,-180,-180
-197,-197,-197,-197
-209,-209,-209,-209
-194,-194,-194,-194
-181,-181,-181,-181
-191,-191,-191,-191
-200,-200,-200,-200
-200,-200,-200,-200
-201,-201,-201,-201
-207,-207,-207,-207
-229,-229,-229,-229
-237,-237,-237,-237
-228,-228,-228,-228
-235,-235,-235,-235
-244,-244,-244,-244
-232,-232,-232,-232
-223,-223,-223,-223
-226,-226,-226,-226
-232,-232,-232,-232
-240,-240,-240,-240
-233,-233,-233,-233
-237,-237,-237,-237
-238,-238,-238,-238
-228,-228,-228,-228
-243,-243,-243,-243
-245,-245,-245,-245
-233,-233,-233,-233
-234,-234,-234,-234
-232,-232,-232,-232
-236,-236,-236,-236
-238,-238,-238,-238
-224,-224,-224,-224
-222,-222,-222,-222
-248,-248,-248,-248
-272,-272,-272,-272
-257,-257,-257,-257
-242,-242,-242,-242
-264,-264,-264,-264
-271,-271,-271,-271
-259,-259,-259,-259
-264,-264,-264,-264
-268,-268,-268,-268
-282,-282,-282,-282
-282,-282,-282,-282
-262,-262,-262,-262
-272,-272,-272,-272
-289,-289,-289,-289
-286,-286,-286,-286
-282,-282,-282,-282
-283,-283,-283,-283
-281,-281,-281,-281
-271,-271,-271,-271
-275,-275,-275,-275
-296,-296,-296,-296
-292,-292,-292,-292
-285,-285,-285,-285
-313,-313,-313,-313
-309,-309,-309,-309
-283,-283,-283,-283
-291,-291,-291,-291
-288,-288,-288,-288
-274,-274,-274,-274
-273,-273,-273,-273
-282,-282,-282,-282
-294,-294,-294,-294
-287,-287,-287,-287
-282,-282,-282,-282
-288,-288,-288,-288
-293,-293,-293,-293
-290,-290,-290,-290
-281,-281,-281,-281
-276,-276,-276,-276
-275,-275,-275,-275
-285,-285,-285,-285
-295,-295,-295,-295
-290,-290,-290,-290
-279,-279,-279,-279
-284,-284,-284,-284
-306,-306,-306,-306
-298,-298,-298,-298
-270,-270,-270,-270
-273,-273,-273,-273
-281,-281,-281,-281
-275,-275,-275,-275
-273,-273,-273,-273
-275,-275,-275,-275
-278,-278,-278,-278
-274,-274,-274,-274
-262,-262,-262,-262
-260,-260,-260,-260
-272,-272,-272,-272
-275,-275,-275,-275
-271,-271,-271,-271
-278,-278,-278,-278
-278,-278,-278,-278
-274,-274,-274,-274
-270,-270,-270,-270
-260,-260,-260,-260
-269,-269,-269,-269
-279,-279,-279,-279
-267,-267,-267,-267
-275,-275,-275,-275
-295,-295,-295,-295
-292,-292,-292,-292
-283,-283,-283,-283
-269,-269,-269,-269
-265,-265,-265,-265
-272,-272,-272,-272
-269,-269,-269,-269
-283,-283,-283,-283
-287,-287,-287,-287
-277,-277,-277,-277
-291,-291,-291,-291
-287,-287,-287,-287
