Q1,Q2,Q3,Q4
0,4,36,-23
0,3,-24,-23
-9,4,-111,-26
-16,2,-154,-25
-16,-1,-140,-25
-15,-1,-56,-24
-15,2,-6,-24
-16,-6,-18,-24
-16,-1,-28,-22
-14,5,-53,-23
-11,2,-123,-26
-13,6,-232,-27
-20,7,-308,-24
-21,2,-267,-23
-19,2,-207,-22
-20,-1,-190,-23
-21,-4,-93,-27
-18,-3,6,-26
-18,-3,-32,-27
-17,-5,-126,-31
-16,-8,-190,-30
-18,-3,-171,-22
-18,2,-138,-22
-15,2,-176,-26
-15,-1,-190,-23
-15,-4,-148,-24
-18,-1,-100,-28
-16,2,-61,-31
-12,1,-29,-31
-15,-2,15,-22
-17,-2,18,-18
-15,0,-51,-19
-16,-3,-126,-19
-15,-5,-185,-19
-15,-3,-190,-21
-16,-4,-154,-19
-15,-2,-153,-16
-15,-2,-143,-17
-16,-4,-86,-18
-17,-7,-44,-20
-19,-4,-35,-23
-19,1,-43,-24
-19,0,-72,-23
-19,-2,-110,-20
-16,-3,-164,-14
-19,-3,-168,-14
-21,-1,-131,-15
-18,0,-153,-14
-16,2,-157,-14
-13,1,-168,-14
-12,0,-243,-16
-11,3,-313,-20
-15,4,-366,-23
-18,9,-371,-19
-13,11,-357,-13
-15,3,-368,-14
-19,-2,-337,-18
-16,-6,-291,-17
-17,-9,-266,-14
-19,-8,-253,-12
-17,-2,-263,-11
-17,3,-221,-11
-13,2,-166,-13
-9,3,-161,-14
-10,1,-146,-12
-12,-3,-169,-12
-16,2,-204,-12
-19,2,-223,-13
-15,-2,-287,-12
-10,3,-295,-9
-12,3,-270,-11
-16,-6,-235,-12
-14,-6,-134,-13
-14,-3,-90,-15
-18,-5,-101,-16
-16,-1,-133,-17
-13,3,-190,-14
-13,1,-183,-12
-9,2,-193,-11
-5,2,-234,-11
-11,-1,-223,-15
-15,-3,-212,-13
-11,-4,-212,-8
-10,-2,-214,-10
-11,1,-210,-13
-10,-3,-193,-15
-6,-7,-168,-13
-8,-6,-118,-9
-11,-4,-63,-9
-10,-3,-44,-11
-9,-2,-61,-15
-9,-2,-85,-14
-14,-1,-135,-13
-17,1,-203,-11
-13,4,-205,-9
-13,2,-164,-13
-11,0,-114,-14
-8,3,-57,-12
-8,5,-41,-14
-3,3,-28,-13
-6,4,19,-12
-11,6,48,-11
-8,5,59,-11
-9,3,73,-10
-11,2,81,-8
-10,6,70,-12
-8,5,1,-13
-4,3,-99,-7
-1,3,-150,-8
-1,0,-155,-11
-6,-1,-156,-12
-9,-2,-175,-15
-6,-2,-213,-14
-7,-2,-229,-9
-11,2,-210,-6
-11,6,-196,-6
-5,1,-193,-5
-1,-5,-129,-5
-3,-5,-49,-9
-7,-6,-41,-10
-10,-3,-25,-10
-12,5,-13,-12
-10,5,-63,-10
-6,4,-144,-4
-4,2,-209,-3
-5,-6,-198,-2
-4,-9,-158,-1
1,-7,-120,-3
-1,-6,-35,-7
-1,-4,10,-7
1,-1,-27,-6
-2,0,-61,-8
-4,-2,-87,-10
-3,-2,-96,-3
-4,-1,-87,1
-8,-5,-103,-1
-6,-6,-117,0
-1,-2,-153,-2
-4,-2,-206,1
-3,-3,-210,5
-1,0,-216,-1
-6,1,-252,-4
-7,-1,-260,-4
-1,-1,-246,-2
1,0,-251,4
-1,-1,-251,3
-1,-4,-210,1
-2,-9,-150,4
-1,-10,-100,4
1,-6,-86,2
2,-6,-105,0
2,-7,-107,-3
6,-1,-136,-3
6,1,-194,0
-1,-3,-206,2
2,-2,-205,0
6,-6,-220,-2
5,-11,-217,0
8,-9,-189,6
6,-8,-162,10
1,-7,-146,6
2,-5,-156,4
4,-5,-187,6
3,-4,-178,5
3,-1,-135,6
3,-1,-110,9
-2,-2,-126,8
-3,-1,-152,9
4,-1,-137,12
7,-4,-109,9
7,-9,-105,6
9,-7,-126,6
7,1,-171,6
5,-1,-186,2
2,-5,-166,2
-1,-5,-157,2
2,-6,-130,3
5,-5,-105,5
6,-4,-109,5
7,-3,-108,6
8,-7,-126,8
10,-7,-163,7
8,-2,-182,4
2,-4,-176,5
1,-3,-158,11
6,-2,-152,9
7,-12,-164,6
6,-14,-200,8
11,-13,-240,13
10,-14,-249,15
8,-11,-251,9
7,-8,-260,7
7,-7,-249,11
8,-7,-220,14
10,-7,-200,16
8,-6,-199,12
9,-9,-212,7
10,-10,-207,9
7,-8,-196,13
3,-9,-210,14
4,-4,-215,11
6,-3,-205,8
7,-8,-186,13
8,-7,-151,13
11,-7,-124,12
12,-12,-83,11
9,-10,-44,10
5,-9,-76,13
2,-10,-126,14
5,-6,-113,12
10,-3,-94,12
11,-6,-91,11
12,-9,-82,11
12,-13,-86,13
11,-13,-100,13
8,-10,-137,15
9,-5,-166,19
14,-2,-153,16
12,-6,-140,16
9,-7,-121,18
9,-7,-107,17
8,-12,-101,19
13,-12,-82,19
12,-10,-77,16
9,-9,-71,17
9,-5,-58,18
7,-5,-67,15
7,-8,-87,12
8,-9,-97,16
6,-11,-96,20
6,-9,-89,15
6,-10,-61,13
9,-14,-25,16
12,-12,-25,17
7,-11,-53,18
5,-13,-83,16
5,-15,-101,13
3,-17,-92,13
4,-15,-62,13
2,-16,-33,17
-1,-16,-20,19
5,-15,-14,17
10,-14,-15,19
10,-17,-18,18
12,-19,-24,13
10,-14,-47,14
6,-16,-75,14
11,-23,-82,14
14,-17,-75,20
14,-11,-66,25
12,-13,-46,24
6,-15,-31,22
4,-15,-43,22
7,-13,-69,24
11,-12,-95,21
11,-13,-122,17
8,-16,-145,20
11,-19,-155,23
16,-19,-159,26
14,-15,-141,24
9,-12,-100,22
7,-11,-66,25
7,-11,-40,21
5,-12,-21,23
7,-14,-15,28
10,-14,-17,22
9,-17,-15,21
10,-17,-11,26
10,-14,-19,26
11,-19,-18,25
13,-20,12,25
12,-9,22,27
13,-17,-5,26
14,-22,-20,20
11,-8,-20,19
9,-5,-12,20
11,-19,15,18
13,-30,32,20
15,-23,24,25
17,-17,27,28
17,-21,45,27
14,-21,46,27
14,-22,51,27
16,-16,67,25
16,-14,62,22
12,-25,39,23
10,-31,-3,28
12,-30,-55,29
15,-29,-73,32
20,-28,-67,34
21,-29,-51,30
20,-28,-18,30
19,-25,11,26
15,-22,27,24
13,-20,52,30
12,-24,88,32
14,-24,117,32
18,-27,128,32
17,-31,121,34
13,-26,98,37
11,-27,74,38
11,-27,47,38
13,-23,15,35
17,-20,2,33
16,-19,20,33
13,-25,56,33
10,-25,82,35
9,-32,98,34
11,-39,107,31
15,-31,84,32
17,-33,47,33
13,-33,40,38
13,-30,45,37
13,-27,50,29
9,-24,75,29
14,-33,86,31
16,-39,90,28
13,-33,104,28
16,-26,95,30
18,-33,81,34
15,-38,69,35
14,-28,38,32
17,-26,16,31
18,-33,0,33
13,-33,-21,32
9,-32,-35,32
13,-32,-57,33
14,-30,-83,37
17,-31,-103,41
19,-31,-116,38
14,-33,-115,34
12,-37,-111,34
11,-38,-95,37
7,-35,-66,41
6,-30,-51,41
8,-31,-39,35
11,-36,-25,28
12,-42,-28,20
12,-47,-37,19
12,-41,-41,23
9,-36,-57,28
8,-38,-81,41
13,-34,-94,40
13,-33,-108,31
7,-37,-123,29
8,-41,-126,21
11,-39,-124,23
12,-35,-113,29
13,-36,-96,25
15,-42,-97,27
13,-42,-106,26
11,-39,-104,25
16,-42,-101,30
16,-42,-114,27
9,-36,-135,29
6,-33,-142,32
10,-35,-136,25
12,-40,-132,24
12,-46,-130,24
9,-50,-123,25
11,-47,-112,34
13,-43,-110,34
10,-41,-112,30
8,-38,-113,27
7,-36,-116,28
9,-41,-119,28
13,-43,-126,26
13,-45,-134,24
13,-47,-129,22
11,-47,-114,27
10,-47,-94,29
12,-47,-73,22
12,-47,-68,23
10,-45,-70,27
12,-45,-69,28
12,-46,-84,30
14,-45,-110,25
22,-48,-110,18
20,-49,-84,21
17,-51,-60,22
21,-48,-44,23
19,-45,-29,24
16,-50,-15,20
16,-52,5,19
13,-49,30,20
13,-38,48,23
15,-46,50,28
16,-54,36,27
20,-36,20,23
20,-35,3,19
15,-44,-18,18
12,-49,-16,21
15,-47,11,21
17,-34,46,16
12,-30,92,14
9,-36,140,15
9,-43,185,17
10,-41,222,17
10,-38,241,17
12,-41,249,20
12,-40,242,22
12,-37,220,19
12,-40,202,19
10,-39,185,17
9,-39,171,17
8,-40,171,17
8,-35,185,12
11,-34,218,11
12,-36,256,14
13,-36,281,15
14,-39,302,15
11,-40,317,15
9,-37,333,15
10,-38,360,18
12,-41,384,19
16,-38,396,19
19,-39,393,19
15,-44,373,18
9,-40,349,18
10,-37,326,18
17,-41,306,16
16,-42,297,12
12,-40,307,11
10,-41,336,15
9,-40,367,19
11,-40,394,16
10,-45,419,15
9,-43,439,19
13,-41,457,22
20,-45,467,21
26,-42,472,16
22,-41,471,13
14,-44,459,12
12,-43,452,13
12,-40,461,17
14,-38,488,16
13,-38,528,15
14,-40,565,16
15,-40,604,16
13,-43,648,17
16,-44,687,15
23,-43,721,11
22,-42,764,12
20,-35,810,14
19,-34,855,17
18,-40,904,19
16,-41,949,17
12,-42,990,15
14,-45,1024,11
19,-43,1050,9
20,-40,1086,13
21,-37,1099,19
19,-38,1023,18
18,-39,846,19
16,-41,599,19
13,-47,282,18
19,-47,-128,19
24,-41,-583,11
21,-36,-989,10
21,-35,-1293,15
21,-40,-1479,12
22,-41,-1532,12
27,-41,-1445,12
27,-45,-1245,8
25,-42,-991,9
20,-34,-751,12
16,-33,-555,12
18,-34,-405,15
22,-36,-317,20
22,-40,-299,19
19,-41,-325,14
18,-38,-353,14
19,-37,-358,12
24,-37,-352,9
23,-41,-339,13
20,-40,-308,14
21,-38,-263,11
24,-37,-210,11
24,-35,-149,11
21,-36,-80,11
21,-40,9,11
24,-40,117,9
22,-38,238,9
22,-37,341,13
19,-38,389,11
13,-41,382,10
16,-43,314,12
20,-45,182,10
22,-44,11,8
24,-41,-180,8
23,-42,-352,6
22,-40,-475,6
17,-36,-542,7
15,-40,-557,7
16,-42,-538,6
15,-37,-497,4
18,-37,-459,3
20,-37,-450,7
17,-33,-474,8
15,-31,-529,6
18,-36,-611,3
24,-41,-701,2
26,-44,-769,3
22,-44,-808,4
21,-40,-816,5
21,-35,-782,6
19,-37,-715,4
19,-40,-634,5
17,-39,-547,4
21,-37,-467,-1
24,-37,-398,2
19,-37,-331,6
19,-39,-264,4
20,-41,-202,7
21,-40,-151,9
27,-38,-112,9
27,-39,-87,10
25,-39,-88,9
25,-34,-115,8
21,-32,-156,8
23,-31,-213,10
28,-29,-275,9
26,-33,-320,6
25,-41,-343,8
25,-42,-337,10
25,-39,-302,11
26,-40,-251,14
28,-41,-198,13
26,-38,-155,7
24,-36,-137,4
28,-36,-155,6
31,-34,-194,4
24,-36,-222,6
19,-40,-228,11
20,-43,-225,8
18,-44,-197,8
18,-38,-142,7
22,-35,-85,1
21,-36,-28,5
20,-35,23,10
25,-36,66,9
26,-36,105,11
23,-36,139,5
21,-38,170,1
21,-37,207,8
23,-33,253,7
19,-31,313,7
19,-34,380,8
25,-36,441,2
23,-34,501,3
18,-31,541,5
17,-31,544,7
19,-30,518,9
18,-27,480,6
16,-29,454,8
18,-32,442,10
17,-32,453,9
15,-30,497,7
15,-28,563,7
14,-27,633,10
17,-24,691,9
18,-22,732,4
15,-27,757,1
15,-31,769,5
11,-30,764,12
8,-29,758,11
12,-29,765,5
16,-29,794,3
18,-27,847,-1
16,-22,907,-2
18,-21,984,1
22,-27,1082,0
18,-32,1175,3
14,-32,1268,10
14,-30,1370,10
14,-27,1478,6
16,-26,1595,3
18,-29,1723,-4
16,-28,1848,2
17,-32,1956,6
17,-32,2056,-2
15,-26,2154,4
15,-24,2248,4
15,-24,2282,-6
11,-21,2157,-3
7,-24,1836,0
9,-29,1364,6
12,-27,775,8
16,-24,61,-1
19,-26,-707,-5
18,-25,-1374,-3
19,-24,-1825,-4
16,-28,-2038,-2
13,-27,-2045,1
15,-23,-1860,3
12,-24,-1517,4
10,-28,-1115,5
13,-28,-773,4
13,-24,-566,-2
11,-24,-481,-1
12,-21,-474,-3
19,-16,-541,-7
20,-21,-644,0
15,-21,-709,2
15,-20,-700,-1
14,-22,-613,-1
10,-19,-469,-3
10,-21,-298,-6
12,-28,-109,-7
12,-25,72,-5
12,-21,246,-6
12,-21,421,-9
9,-21,587,-6
7,-22,743,-4
12,-22,879,-4
14,-21,974,0
9,-23,989,-2
5,-22,894,-7
8,-20,708,-7
15,-21,450,-3
19,-18,150,-5
20,-15,-136,-7
17,-17,-372,-6
12,-22,-507,-3
11,-22,-512,2
10,-20,-422,3
8,-21,-288,-1
6,-21,-154,-4
8,-21,-63,-5
12,-21,-49,-6
12,-22,-135,-7
8,-25,-299,-8
8,-19,-500,-5
11,-13,-699,-3
7,-17,-844,-2
7,-16,-893,0
10,-13,-855,2
12,-16,-738,1
14,-17,-560,-3
14,-15,-364,-6
12,-9,-182,-5
8,-9,-30,-4
8,-14,72,-2
12,-13,124,-3
9,-11,143,-2
6,-10,140,3
9,-11,113,0
7,-10,66,-1
7,-5,3,4
14,-9,-93,4
13,-12,-221,2
12,-9,-348,1
14,-10,-464,-4
14,-10,-559,-7
10,-6,-611,-6
7,-6,-613,-3
8,-6,-577,1
11,-8,-526,4
9,-8,-485,1
9,-6,-480,-2
10,-9,-527,-4
7,-8,-628,-6
4,-5,-766,-5
5,-7,-915,-2
6,-2,-1038,1
6,-1,-1101,-1
1,-9,-1089,-2
0,-10,-1001,2
6,-7,-853,4
9,-5,-679,1
5,1,-517,-3
2,4,-378,-4
4,1,-275,-4
5,-1,-228,-2
5,-1,-227,-2
5,-3,-252,-2
7,-5,-288,-2
11,-2,-316,-4
10,1,-320,-5
6,-3,-301,-2
10,-1,-269,-1
15,3,-218,-4
11,2,-150,-4
7,4,-88,-5
7,4,-38,-6
5,4,7,0
8,3,34,1
12,0,39,-1
11,2,29,-2
11,2,0,0
12,3,-54,1
14,7,-122,-4
16,8,-182,-4
14,5,-225,-1
13,4,-243,-3
13,6,-213,-3
9,11,-135,-1
4,10,-43,1
4,2,57,0
11,0,158,-2
13,4,228,-2
9,8,266,-3
4,9,273,-4
5,6,262,-5
9,3,251,-9
9,3,253,-11
7,1,277,-7
6,0,324,-2
4,1,394,-5
6,1,483,-6
9,2,573,-7
6,4,656,-8
9,5,729,-6
13,5,780,-7
10,3,815,-8
9,5,844,-8
7,8,865,-11
2,10,883,-10
5,10,900,-4
12,4,926,-1
13,1,955,-4
5,6,986,-5
0,7,1031,-6
4,7,1083,-11
6,7,1142,-10
8,9,1222,-4
7,10,1319,-3
0,7,1438,-6
0,13,1580,-9
5,16,1722,-11
3,11,1861,-7
1,10,2001,-2
2,10,2115,-3
1,7,2207,-8
1,5,2306,-8
0,8,2385,-9
-4,9,2373,-10
-4,9,2248,-10
2,13,2021,-10
4,13,1682,-6
1,10,1188,-6
-1,11,572,-14
1,13,-62,-20
1,9,-633,-19
0,8,-1083,-15
-1,13,-1382,-11
-2,13,-1500,-10
-2,11,-1427,-14
-2,10,-1216,-15
-2,9,-967,-15
-4,10,-768,-16
-1,12,-632,-17
5,13,-577,-13
4,13,-623,-11
2,14,-741,-16
0,14,-856,-18
-4,11,-910,-15
-5,9,-885,-13
-1,9,-772,-15
3,10,-567,-18
5,12,-298,-17
3,11,-15,-16
-3,8,246,-15
-2,12,472,-12
3,13,643,-12
5,14,758,-16
2,16,820,-14
-3,14,832,-11
-4,15,814,-9
-5,13,758,-8
-7,11,653,-12
-6,13,524,-18
-5,14,397,-18
-2,12,276,-18
2,10,162,-23
-3,8,90,-21
-5,11,77,-17
-2,13,94,-21
-4,10,116,-23
-7,11,125,-22
-6,14,95,-21
-6,16,5,-21
-2,16,-151,-20
-2,10,-363,-19
-9,8,-587,-19
-7,11,-777,-21
-3,12,-903,-25
-3,10,-946,-26
-1,8,-890,-25
-1,12,-745,-25
-3,15,-560,-25
-9,12,-385,-23
-13,12,-244,-20
-7,12,-158,-23
0,10,-131,-24
3,9,-156,-22
0,10,-208,-23
-4,11,-236,-24
-7,12,-228,-25
-10,12,-197,-28
-13,9,-129,-29
-15,9,-35,-30
-17,9,51,-27
-20,7,108,-24
-17,8,131,-24
-13,7,113,-26
-13,6,60,-27
-13,5,-16,-27
-6,5,-111,-27
-6,9,-217,-25
-12,13,-324,-23
-18,15,-434,-22
-18,14,-542,-18
-14,14,-636,-19
-13,13,-708,-24
-8,9,-761,-25
-4,9,-798,-22
-6,8,-816,-20
