Q1,Q2,Q3,Q4
0,-3,7,-41
0,-3,5,-60
0,-3,5,-111
0,-3,4,-202
0,0,1,-304
1,0,0,-332
0,3,0,-307
-1,4,0,-216
0,1,-1,-145
0,-1,-4,-111
1,1,-7,-134
-1,0,-6,-195
-1,1,-2,-260
0,3,-2,-307
0,4,-4,-303
0,4,-5,-272
0,4,-7,-194
0,2,-10,-114
0,2,-9,-30
0,2,-5,25
0,4,-3,68
-1,6,-2,103
0,3,-4,134
0,1,-7,180
0,-3,-5,255
0,-2,-6,360
0,0,-6,463
0,-1,-4,562
0,2,-3,629
0,3,-2,664
1,4,-3,663
0,2,-7,638
0,3,-7,613
0,5,-6,598
0,5,-9,587
0,1,-6,572
0,-1,-4,538
1,-3,-5,501
0,-1,-5,466
-1,3,-4,418
0,3,-8,358
0,3,-8,272
0,1,-3,188
0,-1,1,114
1,-2,0,52
1,-1,-1,7
0,-1,-1,-35
0,-2,0,-70
0,-1,5,-107
0,-3,5,-134
0,-3,4,-185
-1,-2,5,-255
0,-6,13,-354
0,-17,27,-516
0,-17,29,-631
0,-14,24,-758
0,-13,20,-748
-1,-14,18,-594
0,-14,16,-357
1,-10,10,-96
0,-4,5,8
-1,-3,2,42
0,-1,3,-5
1,3,2,-30
1,6,2,-45
0,6,3,-6
0,8,4,50
0,9,5,86
0,10,5,138
0,10,1,158
0,9,-3,253
0,10,-5,300
0,6,-6,294
0,5,-7,195
-1,7,-7,32
0,5,-8,-86
0,5,-10,-157
0,5,-10,-156
0,2,-8,-110
0,2,-7,-45
1,4,-7,-15
0,4,-7,-19
1,6,-5,-65
0,2,-5,-106
0,0,-4,-145
0,0,-4,-201
0,2,-5,-245
0,3,-5,-292
0,4,-7,-299
-1,2,-9,-265
-1,-1,-7,-186
0,-1,-4,-94
0,-1,-1,-46
-1,-2,1,-87
1,-5,-1,-201
-1,-6,-2,-306
0,-5,-1,-346
-1,-5,1,-279
0,-4,2,-187
1,-6,3,-92
0,-7,6,-24
0,-8,6,8
1,-8,4,54
0,-6,2,64
-1,-2,2,93
1,0,2,52
0,-1,1,-35
-1,-3,3,-121
-1,-2,3,-138
1,-1,-1,-45
-1,-1,1,51
-1,0,2,164
0,1,4,197
0,2,4,227
0,1,0,180
0,4,-2,112
1,4,-1,62
0,3,2,-11
0,3,2,-45
-1,0,3,-111
0,2,3,-91
0,-1,3,-42
0,0,2,47
0,2,1,71
0,0,0,42
0,-3,-2,-18
1,-5,-3,-139
0,-6,-2,-264
0,-5,-2,-414
1,-3,-1,-467
0,0,1,-441
0,1,2,-321
0,5,-7,-170
-1,11,-20,-47
0,10,-21,12
0,10,-15,-9
0,11,-13,-62
0,8,-11,-153
0,6,-6,-204
0,8,-4,-250
1,6,-4,-275
0,1,-1,-265
0,-3,-1,-197
0,-6,1,-46
0,-9,2,102
1,-8,2,226
1,-6,6,286
-1,-6,7,316
0,-6,7,318
0,-6,5,321
1,-6,8,337
0,-7,11,372
0,-7,12,433
0,-8,7,490
0,-8,5,563
1,-9,5,633
0,-15,6,711
0,-16,7,734
-1,-13,9,691
1,-11,9,605
1,-8,9,505
1,-7,8,425
0,-4,7,353
0,-2,7,323
0,-2,4,322
0,-1,0,331
1,0,-1,311
0,2,1,250
0,2,1,171
0,1,0,77
1,0,0,-28
0,1,-1,-149
