Q1,Q2,Q3,Q4
-10,10801,-4678,-72
-56,11891,-4806,-79
-38,11341,-4972,-58
-35,8699,-5034,-40
-22,4070,-4878,-72
-32,288,-4626,-27
-25,-131,-4562,-34
27,1958,-4698,-86
-11,3394,-4812,-41
-39,2752,-4729,-42
-11,1512,-4430,-67
-16,734,-4099,-21
-7,-793,-3942,-38
40,-3475,-3782,-44
18,-4852,-3553,-27
-2,-3635,-3321,-75
-9,-1048,-2830,-86
-50,1220,-2036,-23
-40,2553,-1117,21
-59,3329,-469,37
-74,3042,-260,27
-63,1422,-69,22
-69,13,461,62
-32,401,1307,31
-18,2358,2264,28
9,4553,3133,-23
14,5657,3864,-20
-7,5145,4536,23
-20,3633,5100,-6
-39,1976,5655,9
-55,1019,6324,5
-85,1346,6887,-45
-64,2401,7351,-41
-26,3395,7698,-14
-34,4104,8008,-47
-23,4201,8473,16
-27,3274,8958,-36
-54,1315,9285,-50
-56,-958,9372,-24
-78,-2096,9342,-55
-67,-1269,9189,-26
-51,617,9018,-73
-52,1829,8983,-48
-6,1472,8943,-72
11,167,8740,-115
-15,-878,8238,-78
10,-1593,7549,-74
0,-2657,7016,-54
12,-3108,6616,-26
55,-1794,6232,-46
42,508,5806,-38
17,1845,5257,-27
-24,1287,4636,-32
-24,-364,3963,-35
-10,-1757,3163,-89
14,-1729,2525,-113
-43,-303,2158,-144
-98,1906,1677,-128
-40,3705,1155,-71
-29,4194,492,-67
-25,3772,-81,14
8,2920,-349,24
5,1878,-643,-11
1,1305,-930,11
-2,1600,-1340,-45
-58,2055,-1731,-64
-88,1579,-1942,-54
-129,23,-2159,-57
-113,-1626,-2322,-32
-74,-3004,-2532,12
-118,-4400,-2700,-13
-104,-5771,-2820,-28
-142,-6222,-3044,-33
-168,-5596,-3206,-31
-123,-4948,-3239,20
-133,-4870,-3237,-11
-177,-5254,-3332,-10
-159,-5567,-3611,12
-133,-5896,-3841,26
-118,-6362,-3787,9
-89,-6153,-3595,-13
-100,-4891,-3394,-33
-62,-3335,-3438,-35
-72,-2397,-3563,-19
-127,-2057,-3638,-18
-125,-2047,-3716,35
-124,-2563,-3560,35
-142,-3476,-3292,42
-124,-4012,-3056,67
-75,-3228,-2968,91
-30,-1778,-3057,99
-13,-1394,-2969,94
-37,-2311,-2544,126
-6,-3610,-2137,29
11,-4649,-1869,37
-34,-4963,-1714,75
-69,-4209,-1552,34
-86,-2658,-1237,109
-72,-1478,-908,73
-14,-1686,-629,63
