Q1,Q2,Q3,Q4
-1715,-1715,-1715,-1715
-2948,-2948,-2948,-2948
-2644,-2644,-2644,-2644
-2726,-2726,-2726,-2726
-2759,-2759,-2759,-2759
-2669,-2669,-2669,-2669
-2741,-2741,-2741,-2741
-2697,-2697,-2697,-2697
-2711,-2711,-2711,-2711
-2715,-2715,-2715,-2715
-2690,-2690,-2690,-2690
-2685,-2685,-2685,-2685
-2674,-2674,-2674,-2674
-2677,-2677,-2677,-2677
-2662,-2662,-2662,-2662
-2646,-2646,-2646,-2646
-2639,-2639,-2639,-2639
-2613,-2613,-2613,-2613
-2587,-2587,-2587,-2587
-2578,-2578,-2578,-2578
-2572,-2572,-2572,-2572
-2560,-2560,-2560,-2560
-2551,-2551,-2551,-2551
-2540,-2540,-2540,-2540
-2516,-2516,-2516,-2516
-2499,-2499,-2499,-2499
-2492,-2492,-2492,-2492
-2473,-2473,-2473,-2473
-2458,-2458,-2458,-2458
-2472,-2472,-2472,-2472
-2475,-2475,-2475,-2475
-2452,-2452,-2452,-2452
-2449,-2449,-2449,-2449
-2449,-2449,-2449,-2449
-2446,-2446,-2446,-2446
-2452,-2452,-2452,-2452
-2449,-2449,-2449,-2449
-2444,-2444,-2444,-2444
-2441,-2441,-2441,-2441
-2427,-2427,-2427,-2427
-2427,-2427,-2427,-2427
-2437,-2437,-2437,-2437
-2431,-2431,-2431,-2431
-2418,-2418,-2418,-2418
-2406,-2406,-2406,-2406
-2394,-2394,-2394,-2394
-2376,-2376,-2376,-2376
-2354,-2354,-2354,-2354
-2348,-2348,-2348,-2348
-2339,-2339,-2339,-2339
-2327,-2327,-2327,-2327
-2320,-2320,-2320,-2320
-2306,-2306,-2306,-2306
-2299,-2299,-2299,-2299
-2289,-2289,-2289,-2289
-2270,-2270,-2270,-2270
-2254,-2254,-2254,-2254
-2249,-2249,-2249,-2249
-2250,-2250,-2250,-2250
-2233,-2233,-2233,-2233
-2216,-2216,-2216,-2216
-2202,-2202,-2202,-2202
-2187,-2187,-2187,-2187
-2188,-2188,-2188,-2188
-2186,-2186,-2186,-2186
-2164,-2164,-2164,-2164
-2145,-2145,-2145,-2145
-2143,-2143,-2143,-2143
-2142,-2142,-2142,-2142
-2126,-2126,-2126,-2126
-2114,-2114,-2114,-2114
-2112,-2112,-2112,-2112
-2096,-2096,-2096,-2096
-2090,-2090,-2090,-2090
-2077,-2077,-2077,-2077
-2055,-2055,-2055,-2055
-2073,-2073,-2073,-2073
-2096,-2096,-2096,-2096
-2095,-2095,-2095,-2095
-2095,-2095,-2095,-2095
-2101,-2101,-2101,-2101
-2106,-2106,-2106,-2106
-2113,-2113,-2113,-2113
-2124,-2124,-2124,-2124
-2134,-2134,-2134,-2134
-2141,-2141,-2141,-2141
-2142,-2142,-2142,-2142
-2145,-2145,-2145,-2145
-2159,-2159,-2159,-2159
-2178,-2178,-2178,-2178
-2186,-2186,-2186,-2186
-2187,-2187,-2187,-2187
-2194,-2194,-2194,-2194
-2179,-2179,-2179,-2179
