Q1,Q2,Q3,Q4
103,5957,10743,-597
189,5312,11002,-393
164,5776,11736,-327
165,5064,12473,2414
172,6699,13560,51
149,10992,13910,-2998
141,8192,12026,-134
138,1793,7707,2882
136,-444,2580,2597
138,494,-155,-1455
136,2124,642,-4200
130,4018,3407,500
116,5237,5679,4214
120,2138,5634,654
120,-1066,3749,-398
96,-1006,1033,-1251
108,-631,-1955,-2738
127,-1702,-4604,2230
118,-4497,-6212,4062
117,-4720,-5653,-772
131,-1700,-3563,-2743
123,6,-1810,-881
108,-473,-1299,200
133,-2384,-1848,2090
135,-5603,-2211,1960
109,-7583,-1991,-1337
112,-6382,-1991,-134
120,-3173,-2459,1368
132,-316,-3108,-1141
141,-1092,-3087,-847
135,-3990,-1999,1251
132,-5438,-561,-543
116,-5537,1058,-479
103,-4475,2814,2464
117,-3593,4228,688
126,-3387,4992,-1746
116,-3715,4839,-2086
98,-4536,3915,-136
93,-3625,2831,4268
96,-2124,2403,1541
89,-1818,3632,-4324
81,-2052,5618,-2107
84,-3103,6870,3739
84,-3529,7540,3459
75,-2379,7751,-1839
79,-1491,7558,-2153
73,-401,6585,-364
66,264,4940,-935
72,-753,3792,1651
59,-1022,3521,2250
38,-936,3815,-926
36,-193,4056,-595
44,766,3792,-379
40,-76,3438,-1444
28,216,3167,-39
39,726,2866,2075
54,1177,2523,2084
48,1918,1516,-43
41,489,244,-3047
37,-149,-447,-2183
40,-584,-731,2711
53,-1113,-836,1369
59,562,-678,-2314
41,1171,-175,-660
28,193,293,976
30,-1806,586,1204
18,-3306,445,1713
26,-1931,-50,-615
42,-758,-204,-4861
34,-1106,-184,-2316
40,-1709,-170,4238
34,-2161,70,5539
21,-2185,484,-959
51,-2378,961,-6586
68,-2090,1494,-889
58,-801,1915,4314
60,-282,2283,1238
54,-921,2555,-2458
49,-463,2555,-1091
58,1098,2239,2759
42,1921,1608,1152
40,1687,1203,-3044
50,1000,1142,-2384
43,1871,1386,1517
60,3796,1594,3080
44,4966,857,614
17,6465,-212,-4052
36,7439,-516,-1410
29,7038,-165,3672
39,6707,-85,1710
62,7473,-1029,-518
57,10030,-2016,-5311
83,13083,-1926,-1753
71,12247,-1447,7150
41,7599,-1353,855
68,3186,-1420,-3370
83,1912,-1037,-982
71,7624,-437,663
88,12631,-208,3313
107,10161,-311,-1284
65,3779,-615,-5322
57,-4483,-565,-2149
86,-5144,-16,4100
58,420,671,8487
62,4307,1186,-251
90,6912,1248,-9576
83,2926,1399,-5296
101,-2975,2048,2542
117,-5151,2533,8803
99,-4620,2299,4604
62,1659,1944,-5297
53,5032,2212,-6367
101,1641,2952,-3975
102,-2457,3369,5205
60,-5208,3377,9536
88,-2616,3553,-4075
116,533,3899,-7758
103,11,4500,1377
95,-1008,4756,4621
83,-3233,4131,2953
94,-4153,3778,-4571
115,-2706,3785,-7223
105,-989,3992,3952
113,277,4800,8989
125,-1796,4643,-659
115,-5311,3487,-5233
120,-6261,3112,-2305
123,-4781,3058,67
137,-2352,3066,4484
167,-1041,3108,2871
166,-1883,2579,-3771
151,-4744,2667,-4366
158,-6719,3250,1541
179,-5955,3350,6218
186,-2742,3472,3458
181,516,3357,-5622
182,-463,3570,-9525
173,-2607,4092,2789
177,-3189,3822,9368
200,-2150,3498,2381
186,257,3473,-2980
186,-92,3812,-6027
211,-967,4140,-880
197,-1565,4161,3300
193,-1614,4501,2909
211,2279,4452,2011
200,4206,4309,-2830
190,2386,4202,498
192,-1332,3467,1479
199,-3962,3242,-4573
222,-100,3559,-1304
223,4308,3971,2752
203,5354,4419,4683
201,3709,4372,4709
206,-1096,4009,-5931
222,-4246,3924,-8386
237,-4104,4321,3187
229,-450,4390,5228
245,4409,4023,4938
267,3348,3891,1572
259,-1968,3935,-10804
265,-5698,4093,-3641
287,-5572,4087,9957
283,-2216,3977,4995
260,-218,4113,-3345
267,-755,4296,-6788
287,-1843,4455,-1146
278,-3386,4424,6993
280,-3855,4307,5098
289,-2578,4392,-3261
281,-1340,4527,-7409
302,-1140,4775,2214
313,-2027,5129,7780
296,-1996,5514,-685
299,603,5768,-5444
303,2712,5278,-3952
308,2321,3748,4595
321,895,1710,8177
326,17,134,-1816
326,1998,-455,-5549
334,4978,-390,-2951
343,6522,-173,700
346,7051,-153,7174
351,5556,-510,5374
354,5275,-877,-6549
368,7068,-1105,-7586
392,9004,-1671,5530
379,11942,-2583,5833
373,12162,-3231,-2306
392,12081,-3465,-593
396,11287,-3660,-373
396,6352,-4127,-206
391,5085,-4668,3688
382,6516,-4613,-2556
376,11846,-3974,-4826
370,15134,-3237,5039
376,6958,-2710,6420
378,173,-2507,329
372,-3245,-2512,-6758
376,-974,-2619,-5840
374,5873,-2752,7215
377,6178,-2980,8837
389,5421,-3066,-1957
365,335,-2529,-7549
360,-6354,-1708,-2920
382,-4213,-1114,6727
373,108,-768,7240
375,4606,-497,-1500
373,4016,-121,-7907
358,-2434,149,-1638
392,-4027,255,8753
412,-2919,273,2444
380,-1372,144,-5988
375,-73,-49,-31
391,-1634,-324,3801
393,-2615,-556,1628
390,-2400,-632,1449
386,-1833,-628,-1984
385,-722,-419,-4059
390,-1537,-140,4688
384,-4074,-243,6634
366,-4834,-792,-5038
348,-3183,-1397,-5173
338,-1397,-1563,5329
340,-924,-1523,4338
326,-2710,-1606,-1366
320,-5101,-1615,-1381
333,-5654,-1669,-2750
334,-5322,-1787,2027
344,-2918,-1910,5789
321,-102,-2065,-2730
280,-837,-2172,-2267
327,-3131,-2149,3211
343,-4899,-1926,1628
295,-3606,-1780,-993
300,32,-1837,-1065
294,763,-1817,3393
274,-589,-1713,1331
274,-2297,-1645,-2763
258,-2439,-1680,1129
250,264,-1823,2040
252,2111,-1814,522
246,2337,-1621,-1008
230,-83,-1465,311
235,-2657,-1370,3441
256,-1030,-1329,-1219
