Q1,Q2,Q3,Q4
-12,-12,-12,-12
-44,-44,-44,-44
-22,-22,-22,-22
-1,-1,-1,-1
-4,-4,-4,-4
14,14,14,14
25,25,25,25
30,30,30,30
38,38,38,38
50,50,50,50
56,56,56,56
18,18,18,18
13,13,13,13
55,55,55,55
42,42,42,42
36,36,36,36
53,53,53,53
21,21,21,21
8,8,8,8
8,8,8,8
-24,-24,-24,-24
-34,-34,-34,-34
-25,-25,-25,-25
-17,-17,-17,-17
-13,-13,-13,-13
-12,-12,-12,-12
8,8,8,8
24,24,24,24
22,22,22,22
7,7,7,7
-25,-25,-25,-25
-26,-26,-26,-26
4,4,4,4
1,1,1,1
-28,-28,-28,-28
-44,-44,-44,-44
-29,-29,-29,-29
-17,-17,-17,-17
-44,-44,-44,-44
-52,-52,-52,-52
-33,-33,-33,-33
-21,-21,-21,-21
-17,-17,-17,-17
-20,-20,-20,-20
-17,-17,-17,-17
-11,-11,-11,-11
-5,-5,-5,-5
-11,-11,-11,-11
-33,-33,-33,-33
-49,-49,-49,-49
-38,-38,-38,-38
-10,-10,-10,-10
-2,-2,-2,-2
-6,-6,-6,-6
1,1,1,1
-4,-4,-4,-4
-19,-19,-19,-19
-20,-20,-20,-20
-23,-23,-23,-23
-28,-28,-28,-28
-35,-35,-35,-35
-69,-69,-69,-69
-81,-81,-81,-81
-67,-67,-67,-67
-66,-66,-66,-66
-64,-64,-64,-64
-75,-75,-75,-75
-100,-100,-100,-100
-106,-106,-106,-106
-98,-98,-98,-98
-105,-105,-105,-105
-107,-107,-107,-107
-89,-89,-89,-89
-79,-79,-79,-79
-65,-65,-65,-65
-70,-70,-70,-70
-73,-73,-73,-73
-17,-17,-17,-17
6,6,6,6
-16,-16,-16,-16
13,13,13,13
48,48,48,48
43,43,43,43
49,49,49,49
66,66,66,66
55,55,55,55
48,48,48,48
51,51,51,51
56,56,56,56
76,76,76,76
79,79,79,79
78,78,78,78
88,88,88,88
86,86,86,86
77,77,77,77
68,68,68,68
85,85,85,85
103,103,103,103
91,91,91,91
77,77,77,77
62,62,62,62
64,64,64,64
94,94,94,94
114,114,114,114
118,118,118,118
113,113,113,113
114,114,114,114
109,109,109,109
77,77,77,77
68,68,68,68
71,71,71,71
41,41,41,41
20,20,20,20
22,22,22,22
28,28,28,28
30,30,30,30
0,0,0,0
-31,-31,-31,-31
-32,-32,-32,-32
-35,-35,-35,-35
-35,-35,-35,-35
-39,-39,-39,-39
-29,-29,-29,-29
-6,-6,-6,-6
-22,-22,-22,-22
-30,-30,-30,-30
-12,-12,-12,-12
-13,-13,-13,-13
-12,-12,-12,-12
-23,-23,-23,-23
-48,-48,-48,-48
-49,-49,-49,-49
-49,-49,-49,-49
-42,-42,-42,-42
-17,-17,-17,-17
-30,-30,-30,-30
-34,-34,-34,-34
-16,-16,-16,-16
-43,-43,-43,-43
-48,-48,-48,-48
-36,-36,-36,-36
-39,-39,-39,-39
-19,-19,-19,-19
-32,-32,-32,-32
-42,-42,-42,-42
-14,-14,-14,-14
-9,-9,-9,-9
-12,-12,-12,-12
-21,-21,-21,-21
-34,-34,-34,-34
-28,-28,-28,-28
-10,-10,-10,-10
7,7,7,7
28,28,28,28
43,43,43,43
26,26,26,26
21,21,21,21
63,63,63,63
78,78,78,78
57,57,57,57
48,48,48,48
59,59,59,59
77,77,77,77
65,65,65,65
43,43,43,43
39,39,39,39
46,46,46,46
53,53,53,53
39,39,39,39
33,33,33,33
48,48,48,48
56,56,56,56
46,46,46,46
1,1,1,1
-24,-24,-24,-24
-24,-24,-24,-24
-38,-38,-38,-38
-27,-27,-27,-27
-27,-27,-27,-27
-44,-44,-44,-44
-45,-45,-45,-45
-60,-60,-60,-60
-45,-45,-45,-45
-1,-1,-1,-1
13,13,13,13
1,1,1,1
4,4,4,4
30,30,30,30
43,43,43,43
31,31,31,31
1,1,1,1
-23,-23,-23,-23
-31,-31,-31,-31
-22,-22,-22,-22
-18,-18,-18,-18
