Q1,Q2,Q3,Q4
-2,2,5,-35
-4,0,14,-93
-3,1,4,-186
-3,1,-8,-235
-2,1,-4,-209
-1,2,-1,-162
-3,2,-13,-114
-3,1,-31,-12
-2,0,-40,139
-3,1,-33,261
-2,2,-13,310
-1,3,-11,281
-1,3,-44,241
-1,2,-64,320
-1,2,-43,501
-1,2,-13,604
-1,2,10,575
-1,1,0,453
0,0,-39,304
-1,0,-41,241
0,0,-9,225
1,0,10,243
0,0,8,199
0,0,-8,41
0,0,-22,178
0,0,-6,251
0,0,12,-72
0,0,-1,39
0,0,-27,190
0,0,-24,-40
0,1,4,271
0,1,12,500
0,0,-14,197
0,0,-33,253
0,0,-24,274
0,1,-11,159
0,2,-7,364
0,2,-12,369
0,2,-16,243
0,2,-13,219
0,2,-11,104
0,2,-8,126
0,2,-14,104
0,1,-25,-76
0,0,-17,-51
0,2,0,-30
0,2,13,-86
0,2,1,9
0,1,-33,-28
0,0,-25,-170
0,1,4,-125
0,1,4,-74
0,0,4,-46
0,1,-5,55
0,2,-35,-1
0,0,-29,-118
0,0,-3,-77
0,4,2,-85
0,4,2,-146
0,2,-23,-105
0,2,-46,-101
0,2,-13,-149
0,3,9,-161
0,4,-22,-215
0,3,-53,-321
0,3,-42,-443
0,3,7,-498
0,3,26,-372
0,3,-19,-312
0,2,-50,-504
0,3,-27,-640
0,2,14,-635
0,2,31,-672
0,3,10,-713
0,3,-13,-741
0,2,-9,-778
0,2,14,-720
0,2,29,-471
0,1,9,83
0,1,-16,680
0,2,1,650
0,2,24,172
0,2,16,97
0,2,0,411
0,2,-15,654
0,2,-23,742
0,0,-14,610
0,1,-2,378
0,2,-2,280
0,1,-27,140
0,1,-48,-125
0,1,-32,-302
0,0,-15,-391
0,0,-17,-389
0,0,-25,-220
0,0,-44,-156
0,0,-42,-338
0,0,-14,-477
0,0,-12,-408
0,0,-25,-158
0,0,-26,119
0,0,-32,232
0,0,-30,247
0,0,-15,280
0,0,-17,323
0,0,-31,358
0,0,-44,369
0,0,-35,376
0,0,0,410
0,0,-7,426
0,-1,-53,368
0,0,-64,240
0,0,-48,56
0,0,-28,-96
0,0,-16,-124
0,0,-27,-92
0,0,-42,-71
0,0,-43,-58
0,0,-44,-84
0,0,-37,-96
0,0,-30,-36
0,-1,-42,10
0,-2,-44,42
0,0,-14,177
0,0,-4,364
0,0,-32,481
0,1,-58,531
0,-1,-57,502
0,-3,-27,439
0,-1,-9,462
0,1,-20,562
