Q1,Q2,Q3,Q4
3,3,3,3
22,22,22,22
21,21,21,21
14,14,14,14
14,14,14,14
15,15,15,15
8,8,8,8
7,7,7,7
19,19,19,19
19,19,19,19
29,29,29,29
18,18,18,18
-8,-8,-8,-8
1,1,1,1
-8,-8,-8,-8
-16,-16,-16,-16
-2,-2,-2,-2
-15,-15,-15,-15
-33,-33,-33,-33
-22,-22,-22,-22
-18,-18,-18,-18
-32,-32,-32,-32
-25,-25,-25,-25
-27,-27,-27,-27
-36,-36,-36,-36
-3,-3,-3,-3
-2,-2,-2,-2
-37,-37,-37,-37
-26,-26,-26,-26
-19,-19,-19,-19
-26,-26,-26,-26
-18,-18,-18,-18
-28,-28,-28,-28
-18,-18,-18,-18
13,13,13,13
8,8,8,8
-4,-4,-4,-4
-3,-3,-3,-3
-11,-11,-11,-11
-16,-16,-16,-16
-33,-33,-33,-33
-65,-65,-65,-65
-56,-56,-56,-56
-38,-38,-38,-38
-53,-53,-53,-53
-54,-54,-54,-54
-32,-32,-32,-32
-17,-17,-17,-17
-9,-9,-9,-9
-9,-9,-9,-9
-13,-13,-13,-13
-12,-12,-12,-12
-9,-9,-9,-9
-11,-11,-11,-11
-23,-23,-23,-23
-34,-34,-34,-34
-31,-31,-31,-31
-23,-23,-23,-23
-13,-13,-13,-13
-10,-10,-10,-10
-14,-14,-14,-14
0,0,0,0
16,16,16,16
19,19,19,19
10,10,10,10
-10,-10,-10,-10
-4,-4,-4,-4
-7,-7,-7,-7
-35,-35,-35,-35
-42,-42,-42,-42
-41,-41,-41,-41
-27,-27,-27,-27
-1,-1,-1,-1
2,2,2,2
-15,-15,-15,-15
-26,-26,-26,-26
-40,-40,-40,-40
-28,-28,-28,-28
0,0,0,0
-16,-16,-16,-16
-1,-1,-1,-1
46,46,46,46
40,40,40,40
33,33,33,33
30,30,30,30
12,12,12,12
16,16,16,16
16,16,16,16
-6,-6,-6,-6
-9,-9,-9,-9
-4,-4,-4,-4
-2,-2,-2,-2
14,14,14,14
30,30,30,30
37,37,37,37
39,39,39,39
18,18,18,18
13,13,13,13
30,30,30,30
23,23,23,23
22,22,22,22
31,31,31,31
14,14,14,14
9,9,9,9
13,13,13,13
13,13,13,13
25,25,25,25
20,20,20,20
0,0,0,0
3,3,3,3
4,4,4,4
-12,-12,-12,-12
-9,-9,-9,-9
12,12,12,12
23,23,23,23
34,34,34,34
31,31,31,31
21,21,21,21
39,39,39,39
44,44,44,44
23,23,23,23
20,20,20,20
19,19,19,19
18,18,18,18
19,19,19,19
10,10,10,10
13,13,13,13
24,24,24,24
21,21,21,21
18,18,18,18
26,26,26,26
31,31,31,31
26,26,26,26
33,33,33,33
44,44,44,44
36,36,36,36
36,36,36,36
28,28,28,28
4,4,4,4
11,11,11,11
29,29,29,29
28,28,28,28
24,24,24,24
25,25,25,25
26,26,26,26
29,29,29,29
40,40,40,40
36,36,36,36
12,12,12,12
7,7,7,7
21,21,21,21
13,13,13,13
-7,-7,-7,-7
1,1,1,1
27,27,27,27
33,33,33,33
27,27,27,27
24,24,24,24
27,27,27,27
26,26,26,26
5,5,5,5
