Q1,Q2,Q3,Q4
-6,340,140,-10
-21,318,126,-12
-19,285,138,0
11,244,181,0
23,198,221,-5
9,175,221,-4
-5,161,158,-6
-9,143,111,-8
-1,110,125,-7
11,74,183,6
7,33,210,12
-2,-8,187,-1
-3,-38,134,-7
-1,-71,86,-4
5,-109,86,1
2,-153,125,-6
-7,-196,160,-17
-18,-239,135,-21
-19,-272,86,-17
-14,-292,49,-7
-3,-299,47,-6
-1,-301,77,-5
-7,-299,84,-2
-15,-302,51,5
-16,-306,1,-5
-3,-308,-17,-12
8,-312,-5,10
22,-316,17,4
16,-307,26,1
-4,-311,-8,-4
-26,-324,-61,-10
-33,-336,-87,-4
-13,-339,-67,-5
8,-335,-36,7
23,-330,-38,-9
20,-325,-79,-18
-3,-313,-124,-10
-22,-303,-128,4
-26,-306,-79,14
-19,-309,-42,3
-8,-319,-32,-9
2,-315,-49,1
3,-299,-70,-2
1,-276,-63,1
-6,-260,-19,13
-13,-275,28,12
-5,-307,30,-5
1,-346,-2,-8
-2,-392,-19,0
-4,-428,6,0
-9,-456,49,5
-13,-474,84,2
-4,-486,81,-3
8,-467,71,-3
10,-418,57,8
-1,-337,75,-2
-1,-219,112,3
14,-119,141,5
27,-111,133,4
10,-170,90,-4
-12,-225,73,-3
-30,-210,80,-2
-27,-117,117,0
-15,-33,136,2
-3,12,124,-7
10,8,100,-12
4,-12,92,-3
-15,-18,104,9
-25,38,131,-1
-15,163,144,1
-11,308,118,-7
-21,398,80,0
-29,417,78,13
-22,384,100,7
-9,353,123,-9
14,357,133,-10
12,409,98,-1
1,495,58,7
-20,551,43,3
-32,546,55,-10
-14,483,80,-15
5,425,87,-7
10,408,65,7
-3,453,34,7
-17,514,18,-3
-17,543,27,-7
-7,503,44,-1
-2,408,45,6
-18,318,24,7
-40,265,0,2
-27,286,-8,-9
-11,338,-2,-13
-3,357,4,-7
-4,336,-5,2
-13,278,-37,6
-12,220,-60,-2
-3,189,-64,-15
10,179,-52,-10
17,178,-36,7
9,154,-37,10
-13,104,-65,9
-38,21,-92,-3
-33,-58,-94,-9
-4,-113,-77,-5
14,-141,-55,10
7,-139,-53,8
-19,-143,-74,0
-39,-175,-97,-7
-33,-213,-90,-6
-11,-246,-64,-4
2,-254,-45,6
