Q1,Q2,Q3,Q4
252,252,252,252
327,327,327,327
230,230,230,230
292,292,292,292
266,266,266,266
257,257,257,257
275,275,275,275
228,228,228,228
266,266,266,266
236,236,236,236
262,262,262,262
246,246,246,246
274,274,274,274
252,252,252,252
260,260,260,260
270,270,270,270
257,257,257,257
272,272,272,272
261,261,261,261
279,279,279,279
271,271,271,271
280,280,280,280
274,274,274,274
278,278,278,278
261,261,261,261
279,279,279,279
260,260,260,260
267,267,267,267
266,266,266,266
263,263,263,263
266,266,266,266
260,260,260,260
257,257,257,257
260,260,260,260
252,252,252,252
263,263,263,263
267,267,267,267
251,251,251,251
268,268,268,268
257,257,257,257
255,255,255,255
252,252,252,252
256,256,256,256
250,250,250,250
259,259,259,259
257,257,257,257
249,249,249,249
243,243,243,243
236,236,236,236
233,233,233,233
244,244,244,244
249,249,249,249
230,230,230,230
242,242,242,242
252,252,252,252
240,240,240,240
230,230,230,230
231,231,231,231
244,244,244,244
247,247,247,247
254,254,254,254
256,256,256,256
252,252,252,252
260,260,260,260
253,253,253,253
250,250,250,250
254,254,254,254
242,242,242,242
238,238,238,238
233,233,233,233
240,240,240,240
244,244,244,244
245,245,245,245
254,254,254,254
250,250,250,250
255,255,255,255
261,261,261,261
258,258,258,258
265,265,265,265
273,273,273,273
259,259,259,259
260,260,260,260
250,250,250,250
238,238,238,238
234,234,234,234
244,244,244,244
259,259,259,259
260,260,260,260
264,264,264,264
269,269,269,269
255,255,255,255
258,258,258,258
271,271,271,271
263,263,263,263
259,259,259,259
256,256,256,256
245,245,245,245
243,243,243,243
257,257,257,257
241,241,241,241
241,241,241,241
242,242,242,242
238,238,238,238
242,242,242,242
240,240,240,240
249,249,249,249
243,243,243,243
237,237,237,237
236,236,236,236
240,240,240,240
241,241,241,241
224,224,224,224
227,227,227,227
222,222,222,222
235,235,235,235
232,232,232,232
227,227,227,227
234,234,234,234
222,222,222,222
226,226,226,226
230,230,230,230
238,238,238,238
216,216,216,216
225,225,225,225
228,228,228,228
220,220,220,220
226,226,226,226
217,217,217,217
229,229,229,229
229,229,229,229
221,221,221,221
224,224,224,224
230,230,230,230
230,230,230,230
220,220,220,220
217,217,217,217
219,219,219,219
231,231,231,231
229,229,229,229
222,222,222,222
218,218,218,218
215,215,215,215
216,216,216,216
222,222,222,222
221,221,221,221
233,233,233,233
237,237,237,237
221,221,221,221
234,234,234,234
234,234,234,234
236,236,236,236
239,239,239,239
247,247,247,247
248,248,248,248
248,248,248,248
248,248,248,248
241,241,241,241
245,245,245,245
256,256,256,256
255,255,255,255
258,258,258,258
255,255,255,255
266,266,266,266
258,258,258,258
239,239,239,239
246,246,246,246
250,250,250,250
245,245,245,245
237,237,237,237
262,262,262,262
258,258,258,258
250,250,250,250
259,259,259,259
247,247,247,247
242,242,242,242
237,237,237,237
246,246,246,246
249,249,249,249
233,233,233,233
249,249,249,249
249,249,249,249
253,253,253,253
259,259,259,259
253,253,253,253
248,248,248,248
242,242,242,242
241,241,241,241
252,252,252,252
256,256,256,256
253,253,253,253
255,255,255,255
257,257,257,257
262,262,262,262
255,255,255,255
260,260,260,260
257,257,257,257
249,249,249,249
256,256,256,256
264,264,264,264
249,249,249,249
245,245,245,245
240,240,240,240
246,246,246,246
250,250,250,250
258,258,258,258
258,258,258,258
248,248,248,248
269,269,269,269
275,275,275,275
260,260,260,260
260,260,260,260
265,265,265,265
264,264,264,264
268,268,268,268
252,252,252,252
243,243,243,243
247,247,247,247
252,252,252,252
235,235,235,235
236,236,236,236
240,240,240,240
237,237,237,237
247,247,247,247
237,237,237,237
243,243,243,243
252,252,252,252
244,244,244,244
255,255,255,255
260,260,260,260
242,242,242,242
250,250,250,250
256,256,256,256
254,254,254,254
247,247,247,247
259,259,259,259
261,261,261,261
259,259,259,259
255,255,255,255
247,247,247,247
252,252,252,252
252,252,252,252
251,251,251,251
253,253,253,253
261,261,261,261
256,256,256,256
262,262,262,262
259,259,259,259
248,248,248,248
248,248,248,248
247,247,247,247
244,244,244,244
241,241,241,241
227,227,227,227
235,235,235,235
244,244,244,244
243,243,243,243
246,246,246,246
263,263,263,263
251,251,251,251
258,258,258,258
248,248,248,248
239,239,239,239
245,245,245,245
228,228,228,228
236,236,236,236
227,227,227,227
229,229,229,229
237,237,237,237
248,248,248,248
238,238,238,238
247,247,247,247
246,246,246,246
237,237,237,237
228,228,228,228
228,228,228,228
236,236,236,236
231,231,231,231
244,244,244,244
244,244,244,244
223,223,223,223
219,219,219,219
241,241,241,241
249,249,249,249
250,250,250,250
245,245,245,245
241,241,241,241
238,238,238,238
221,221,221,221
224,224,224,224
239,239,239,239
231,231,231,231
248,248,248,248
258,258,258,258
245,245,245,245
243,243,243,243
240,240,240,240
238,238,238,238
241,241,241,241
250,250,250,250
252,252,252,252
245,245,245,245
240,240,240,240
245,245,245,245
245,245,245,245
254,254,254,254
263,263,263,263
252,252,252,252
229,229,229,229
234,234,234,234
227,227,227,227
224,224,224,224
236,236,236,236
230,230,230,230
238,238,238,238
229,229,229,229
246,246,246,246
240,240,240,240
235,235,235,235
238,238,238,238
234,234,234,234
222,222,222,222
210,210,210,210
217,217,217,217
218,218,218,218
228,228,228,228
233,233,233,233
256,256,256,256
263,263,263,263
260,260,260,260
258,258,258,258
250,250,250,250
255,255,255,255
250,250,250,250
237,237,237,237
240,240,240,240
243,243,243,243
256,256,256,256
245,245,245,245
237,237,237,237
245,245,245,245
242,242,242,242
249,249,249,249
253,253,253,253
255,255,255,255
256,256,256,256
258,258,258,258
263,263,263,263
264,264,264,264
257,257,257,257
249,249,249,249
253,253,253,253
247,247,247,247
242,242,242,242
249,249,249,249
254,254,254,254
269,269,269,269
272,272,272,272
257,257,257,257
252,252,252,252
254,254,254,254
244,244,244,244
248,248,248,248
259,259,259,259
269,269,269,269
265,265,265,265
257,257,257,257
252,252,252,252
278,278,278,278
278,278,278,278
260,260,260,260
273,273,273,273
268,268,268,268
262,262,262,262
245,245,245,245
259,259,259,259
265,265,265,265
259,259,259,259
255,255,255,255
252,252,252,252
263,263,263,263
263,263,263,263
259,259,259,259
262,262,262,262
256,256,256,256
245,245,245,245
249,249,249,249
256,256,256,256
257,257,257,257
260,260,260,260
260,260,260,260
259,259,259,259
269,269,269,269
275,275,275,275
276,276,276,276
264,264,264,264
246,246,246,246
250,250,250,250
249,249,249,249
245,245,245,245
252,252,252,252
246,246,246,246
254,254,254,254
259,259,259,259
256,256,256,256
237,237,237,237
236,236,236,236
243,243,243,243
239,239,239,239
243,243,243,243
257,257,257,257
264,264,264,264
248,248,248,248
266,266,266,266
268,268,268,268
249,249,249,249
245,245,245,245
238,238,238,238
242,242,242,242
234,234,234,234
234,234,234,234
248,248,248,248
232,232,232,232
236,236,236,236
238,238,238,238
246,246,246,246
243,243,243,243
248,248,248,248
251,251,251,251
256,256,256,256
268,268,268,268
260,260,260,260
258,258,258,258
241,241,241,241
251,251,251,251
252,252,252,252
243,243,243,243
247,247,247,247
254,254,254,254
237,237,237,237
229,229,229,229
240,240,240,240
248,248,248,248
262,262,262,262
266,266,266,266
259,259,259,259
271,271,271,271
267,267,267,267
273,273,273,273
267,267,267,267
264,264,264,264
256,256,256,256
244,244,244,244
264,264,264,264
245,245,245,245
262,262,262,262
261,261,261,261
252,252,252,252
248,248,248,248
251,251,251,251
248,248,248,248
249,249,249,249
243,243,243,243
246,246,246,246
240,240,240,240
227,227,227,227
247,247,247,247
241,241,241,241
237,237,237,237
237,237,237,237
251,251,251,251
250,250,250,250
263,263,263,263
253,253,253,253
250,250,250,250
251,251,251,251
247,247,247,247
256,256,256,256
249,249,249,249
255,255,255,255
252,252,252,252
249,249,249,249
255,255,255,255
248,248,248,248
239,239,239,239
245,245,245,245
236,236,236,236
243,243,243,243
246,246,246,246
234,234,234,234
249,249,249,249
241,241,241,241
236,236,236,236
256,256,256,256
248,248,248,248
246,246,246,246
243,243,243,243
234,234,234,234
244,244,244,244
243,243,243,243
238,238,238,238
241,241,241,241
246,246,246,246
246,246,246,246
253,253,253,253
244,244,244,244
248,248,248,248
258,258,258,258
254,254,254,254
246,246,246,246
247,247,247,247
251,251,251,251
239,239,239,239
247,247,247,247
247,247,247,247
245,245,245,245
250,250,250,250
260,260,260,260
253,253,253,253
249,249,249,249
249,249,249,249
244,244,244,244
248,248,248,248
246,246,246,246
258,258,258,258
248,248,248,248
255,255,255,255
244,244,244,244
243,243,243,243
253,253,253,253
245,245,245,245
243,243,243,243
