Q1,Q2,Q3,Q4
-6,-6,-6,-6
-7,-7,-7,-7
-5,-5,-5,-5
-11,-11,-11,-11
-14,-14,-14,-14
-4,-4,-4,-4
5,5,5,5
8,8,8,8
14,14,14,14
13,13,13,13
17,17,17,17
29,29,29,29
36,36,36,36
36,36,36,36
33,33,33,33
40,40,40,40
38,38,38,38
41,41,41,41
51,51,51,51
49,49,49,49
43,43,43,43
48,48,48,48
53,53,53,53
55,55,55,55
49,49,49,49
61,61,61,61
76,76,76,76
71,71,71,71
79,79,79,79
85,85,85,85
85,85,85,85
84,84,84,84
92,92,92,92
89,89,89,89
81,81,81,81
80,80,80,80
91,91,91,91
86,86,86,86
94,94,94,94
94,94,94,94
86,86,86,86
98,98,98,98
94,94,94,94
97,97,97,97
98,98,98,98
109,109,109,109
103,103,103,103
101,101,101,101
111,111,111,111
119,119,119,119
116,116,116,116
108,108,108,108
121,121,121,121
121,121,121,121
124,124,124,124
126,126,126,126
117,117,117,117
119,119,119,119
131,131,131,131
129,129,129,129
117,117,117,117
109,109,109,109
117,117,117,117
117,117,117,117
109,109,109,109
112,112,112,112
118,118,118,118
113,113,113,113
112,112,112,112
115,115,115,115
117,117,117,117
115,115,115,115
114,114,114,114
112,112,112,112
104,104,104,104
116,116,116,116
107,107,107,107
104,104,104,104
109,109,109,109
97,97,97,97
103,103,103,103
101,101,101,101
108,108,108,108
102,102,102,102
92,92,92,92
105,105,105,105
103,103,103,103
105,105,105,105
98,98,98,98
95,95,95,95
99,99,99,99
81,81,81,81
80,80,80,80
90,90,90,90
80,80,80,80
76,76,76,76
73,73,73,73
66,66,66,66
81,81,81,81
90,90,90,90
87,87,87,87
78,78,78,78
68,68,68,68
65,65,65,65
53,53,53,53
47,47,47,47
44,44,44,44
36,36,36,36
42,42,42,42
42,42,42,42
48,48,48,48
56,56,56,56
46,46,46,46
47,47,47,47
60,60,60,60
51,51,51,51
50,50,50,50
49,49,49,49
34,34,34,34
39,39,39,39
38,38,38,38
37,37,37,37
37,37,37,37
33,33,33,33
33,33,33,33
37,37,37,37
34,34,34,34
25,25,25,25
23,23,23,23
15,15,15,15
9,9,9,9
4,4,4,4
8,8,8,8
6,6,6,6
-1,-1,-1,-1
2,2,2,2
-4,-4,-4,-4
-6,-6,-6,-6
-8,-8,-8,-8
-3,-3,-3,-3
-7,-7,-7,-7
-21,-21,-21,-21
-33,-33,-33,-33
-37,-37,-37,-37
-35,-35,-35,-35
-32,-32,-32,-32
-51,-51,-51,-51
-62,-62,-62,-62
-56,-56,-56,-56
-74,-74,-74,-74
-68,-68,-68,-68
-61,-61,-61,-61
-68,-68,-68,-68
-78,-78,-78,-78
-77,-77,-77,-77
-88,-88,-88,-88
-86,-86,-86,-86
-86,-86,-86,-86
-104,-104,-104,-104
-106,-106,-106,-106
-115,-115,-115,-115
-119,-119,-119,-119
-121,-121,-121,-121
-122,-122,-122,-122
-126,-126,-126,-126
-113,-113,-113,-113
-117,-117,-117,-117
-124,-124,-124,-124
-111,-111,-111,-111
-115,-115,-115,-115
-123,-123,-123,-123
-118,-118,-118,-118
-128,-128,-128,-128
-124,-124,-124,-124
-133,-133,-133,-133
-135,-135,-135,-135
-139,-139,-139,-139
-140,-140,-140,-140
