Q1,Q2,Q3,Q4
0,8,161,1
0,14,887,0
0,22,1624,1
0,29,1999,-1
0,33,1700,-2
0,42,976,-5
0,51,548,-4
0,59,855,-2
0,65,1689,-3
0,71,2381,-5
0,78,2498,-4
0,80,2030,-1
0,81,1347,1
0,87,732,3
0,96,340,4
0,103,109,4
0,102,-61,3
0,98,-212,-1
0,91,-280,-3
0,76,-216,-4
0,60,-186,-6
0,60,-444,-3
0,57,-1130,-2
0,43,-1893,-2
0,36,-2223,0
0,29,-1884,0
0,18,-1161,2
0,3,-484,4
0,-9,-233,4
0,-13,-443,3
0,-12,-828,2
0,-5,-965,1
0,0,-727,1
0,8,-305,0
0,7,89,-3
0,5,435,-4
0,-1,808,-6
0,-11,1235,-5
0,-17,1521,-4
0,-18,1465,-3
0,-12,1146,-1
0,-15,812,3
0,-21,769,6
0,-17,1067,6
0,-15,1496,3
0,-16,1669,2
0,-18,1454,0
0,-27,985,-2
0,-31,439,-4
0,-31,11,-5
0,-31,-151,-3
0,-39,-20,-3
0,-45,58,0
0,-45,-630,4
0,-48,-2294,6
0,-48,-3706,7
0,-53,-3198,6
0,-60,-995,7
0,-66,452,7
0,-76,-739,5
0,-75,-3534,4
0,-69,-5317,2
0,-74,-4558,-1
0,-74,-2309,-3
0,-66,-652,-4
0,-62,-496,-1
0,-60,-1083,2
0,-58,-1334,1
0,-56,-881,-1
0,-58,-50,0
0,-55,529,3
0,-53,545,5
0,-55,259,5
0,-61,546,3
0,-63,1909,-1
0,-64,3795,-4
0,-68,4712,-4
0,-59,3863,-4
0,-48,2015,-4
0,-44,863,-1
0,-39,1361,0
0,-33,2897,-1
0,-30,4038,-3
0,-15,3905,-5
0,-7,2779,-6
0,-8,1541,-5
1,-11,888,-6
5,-13,766,-5
5,-8,667,-6
0,-18,128,-7
2,-23,-689,-7
3,-12,-1204,-6
3,-4,-1049,-5
3,1,-533,-4
-2,5,-448,-1
-4,13,-1265,0
-5,27,-2638,3
-5,25,-3656,4
-1,27,-3590,3
1,34,-2555,2
-1,36,-1399,3
-2,32,-870,5
-3,23,-1107,4
-3,23,-1666,2
-4,24,-1914,-1
-5,24,-1656,-1
0,30,-1132,-3
2,43,-578,-3
4,48,-30,0
7,50,523,0
2,68,1049,1
1,78,1531,0
4,75,1830,2
2,69,1645,4
4,55,1120,7
0,51,729,6
-3,41,913,5
-5,32,1679,6
-5,26,2453,4
-1,28,2633,3
1,34,2067,1
0,39,1164,0
-1,51,428,0
-2,63,127,1
-3,64,156,1
-3,62,221,3
-6,60,120,2
-2,51,-130,1
0,37,-364,0
0,22,-531,-2
1,11,-770,-3
1,-1,-1209,-1
-2,-1,-1743,1
-1,8,-2045,3
0,11,-1876,3
0,11,-1269,3
1,17,-632,3
1,14,-351,4
0,0,-525,2
-3,-9,-908,-1
-4,-23,-1114,-1
-5,-41,-845,-2
-3,-44,-176,-3
0,-45,464,-4
1,-48,799,-1
3,-53,924,-4
5,-57,1068,-3
4,-62,1250,0
4,-60,1319,0
4,-53,1205,1
3,-50,1070,2
1,-43,1079,2
2,-40,1232,-2
2,-33,1396,-2
0,-20,1428,0
1,-16,1217,1
1,-13,785,-2
0,-5,306,-3
1,-8,-13,-3
2,-14,-18,-6
3,-10,14,-8
4,-3,-724,-7
4,4,-2434,-4
1,20,-3757,-2
2,40,-3100,4
2,50,-873,5
0,56,469,4
0,68,-793,2
0,79,-3553,-1
-1,85,-5243,-2
-2,91,-4419,-5
-1,100,-2223,-5
-1,101,-700,-3
0,102,-610,1
-1,110,-1045,1
-2,113,-1041,0
-1,109,-544,0
2,105,79,0
4,102,459,3
5,97,508,5
4,90,442,6
3,88,848,4
2,84,2068,2
2,78,3660,1
3,63,4413,1
6,45,3648,-1
7,32,2007,0
5,18,960,2
5,1,1346,4
3,-13,2644,5
1,-21,3552,6
1,-31,3350,5
0,-39,2327,1
0,-49,1224,1
-1,-61,599,2
0,-76,410,1
-1,-86,218,1
-3,-95,-275,0
-1,-102,-868,-1
0,-107,-1178,-1
1,-113,-1025,-1
0,-112,-674,0
0,-121,-688,-1
-1,-125,-1376,-1
-2,-119,-2397,-2
-4,-115,-3051,-2
-5,-119,-2821,-2
-6,-116,-1863,-3
-6,-109,-835,-2
-3,-116,-423,-1
-3,-119,-678,-3
-4,-118,-1158,-1
-6,-114,-1352,1
-8,-107,-1096,0
-9,-91,-538,0
-7,-72,76,0
-6,-69,589,0
-7,-75,958,-3
-7,-69,1190,-6
-6,-56,1338,-3
-4,-47,1348,-3
-2,-41,1153,-4
-3,-32,843,-4
-5,-20,719,-5
-6,-5,940,-3
-5,10,1365,-2
-4,16,1636,0
-6,3,1465,-2
-5,-4,866,-2
-3,5,149,-1
-3,17,-334,0
-5,28,-451,3
-3,36,-338,1
-1,47,-212,-1
-2,45,-216,-1
-3,46,-440,-2
-6,57,-766,-3
-6,51,-1044,-2
-3,46,-1198,0
0,52,-1204,2
0,56,-1107,2
2,58,-958,3
3,62,-793,4
5,70,-554,1
5,70,-250,-2
5,61,-12,-4
3,56,23,-6
3,54,-53,-4
5,53,-48,0
4,50,174,0
5,47,577,-1
5,43,1011,3
3,29,1271,6
4,23,1275,4
5,24,1132,5
8,33,1005,6
9,43,962,7
8,41,1005,3
8,41,1051,-1
8,41,1036,4
8,34,935,4
7,22,714,1
7,14,420,2
9,9,151,2
10,-5,-34,3
8,-9,-180,3
7,-4,-299,-1
8,-7,-352,-2
8,-9,-493,7
6,-8,-1230,6
7,-2,-2707,-3
9,-7,-3852,-9
10,-12,-3256,4
10,-4,-1062,12
8,1,539,1
4,-4,-362,-4
2,-11,-2959,-4
2,-15,-4723,5
1,-22,-4012,7
0,-25,-1810,-35
0,-28,-161,-9
0,-27,-32,60
1,-21,-536,-14
2,-4,-537,-32
0,3,80,32
-1,-3,712,17
-1,1,868,-7
-4,0,619,15
-6,-2,419,27
-4,-1,939,-4
-3,1,2251,-24
-3,5,3690,-71
-4,7,4145,35
-5,4,3167,148
-7,2,1453,-85
-6,5,445,-175
-5,11,902,88
-8,8,2222,-31
-6,7,3051,-129
-6,14,2686,22
-6,9,1513,50
-7,-1,487,59
-8,-8,82,-100
-6,-11,75,-113
-4,-10,-66,37
-2,-11,-578,138
-3,-5,-1135,-48
-3,9,-1270,-113
-1,22,-848,51
-3,26,-325,5
-4,25,-329,-22
-4,18,-1156,166
-8,9,-2261,149
-10,7,-2758,-46
-10,7,-2136,-150
-7,8,-891,-168
-6,17,76,32
-7,22,206,-22
-6,17,-299,-112
-4,18,-881,-113
-1,22,-1062,-123
2,19,-677,-175
4,15,33,-200
3,18,618,-50
2,19,863,79
3,7,874,40
3,4,935,6
0,14,1101,104
-1,17,1130,239
0,14,825,311
0,18,364,276
1,26,193,286
2,23,522,258
2,21,1120,263
0,27,1421,233
4,23,1074,213
2,15,215,258
-2,13,-569,184
4,9,-809,60
4,-2,-508,43
7,-15,-132,70
-1,-21,-49,117
0,-25,-277,141
3,-34,-559,147
-2,-31,-747,177
4,-30,-849,199
-3,-31,-926,212
5,-22,-931,203
3,-23,-818,184
2,-26,-607,111
7,-27,-360,-8
4,-33,-150,-98
5,-38,-17,-175
2,-39,-12,-288
3,-34,-58,-395
5,-30,-27,-513
1,-29,137,-600
-2,-36,413,-650
-2,-34,714,-667
-3,-36,929,-635
-1,-37,981,-593
-1,-26,872,-547
1,-24,775,-479
0,-25,774,-388
1,-20,811,-286
1,-16,786,-209
0,-23,769,-175
0,-25,796,-144
-1,-22,751,-132
-2,-27,496,-129
-3,-36,140,-130
-3,-38,-89,-132
-4,-18,-159,-143
-2,-6,-176,-165
-4,0,-183,-178
-5,7,-183,-181
-5,13,-524,-161
-2,18,-1699,-127
-1,4,-3273,-96
2,2,-3670,-36
0,2,-1994,44
0,4,371,122
0,4,780,218
-1,-7,-1410,297
0,-12,-4049,365
1,-10,-4518,418
3,-7,-2554,448
3,-7,-305,470
3,1,384,478
1,11,-339,475
3,17,-888,460
2,17,-473,442
1,22,413,429
0,24,876,421
0,19,753,432
1,15,447,433
3,15,577,420
2,11,1434,416
0,5,2729,409
1,3,3654,395
1,5,3369,376
0,-1,1988,340
4,0,577,309
3,8,362,283
3,13,1413,244
4,11,2604,207
3,11,2762,174
1,13,1833,133
1,16,588,85
3,18,-144,44
4,13,-265,4
3,11,-131,-15
-1,7,-186,-29
-2,2,-525,-54
-2,1,-928,-84
-4,0,-1026,-104
-4,2,-726,-119
-2,-3,-373,-143
-2,-5,-488,-169
0,-6,-1215,-197
0,-10,-1982,-218
-1,-9,-2033,-242
