Q1,Q2,Q3,Q4
0,3613,400,-72
0,3782,624,-50
0,3714,915,-74
0,3722,1461,-38
0,3778,2217,-23
0,4015,2517,-25
0,4369,2342,-16
0,4125,2215,-30
0,3116,2154,-33
0,1831,2109,-42
0,1053,1943,-29
0,563,1609,-28
0,160,1475,-41
0,-1009,1356,-42
0,-2695,1031,-37
0,-3564,701,-47
0,-3979,439,-56
0,-3842,75,-60
0,-4081,-481,-56
0,-4604,-1179,-53
0,-4470,-1547,-66
0,-3955,-1487,-54
0,-3487,-1432,-65
0,-3531,-1680,-63
0,-3678,-1946,-63
0,-3383,-1932,-78
0,-2762,-1826,-72
0,-2375,-1763,-70
0,-2544,-1877,-70
0,-2933,-1822,-58
0,-2948,-1558,-55
0,-2537,-1251,-67
0,-1762,-941,-51
0,-1135,-597,-47
0,-793,-217,-63
0,-287,58,-58
0,268,138,-36
0,1303,148,-31
0,2413,319,-36
0,3141,492,-34
0,3582,491,-36
0,3653,-64,-39
0,3821,-944,-36
0,3876,-985,-24
0,3573,-608,-38
0,3000,-359,-42
0,2526,256,-17
0,2461,-516,-40
0,2375,-839,-53
0,1898,-580,-42
0,1226,-1104,-48
0,880,-589,-62
0,1241,-959,-96
0,1581,-1103,-95
0,1324,-785,-73
0,545,-561,-91
0,-418,-26,-70
0,-1080,253,-71
0,-1837,241,-81
0,-3063,-235,-83
0,-4478,-365,-79
0,-5438,-283,-71
0,-5964,66,-84
0,-6389,286,-74
0,-6977,225,-90
0,-7399,190,-81
0,-6927,438,-88
0,-5750,412,-82
0,-4405,378,-76
0,-3364,221,-88
0,-2590,-139,-73
0,-1704,27,-68
0,-486,107,-80
0,720,343,-94
0,1444,741,-84
0,1507,804,-95
0,1266,615,-90
0,1275,324,-78
0,1406,175,-84
0,1479,321,-63
0,1452,583,-68
0,1648,584,-79
0,2256,512,-78
0,3118,737,-66
0,3812,903,-46
0,4202,1116,-58
0,4700,1097,-74
0,5471,678,-55
0,6145,532,-63
0,6254,619,-71
0,5774,783,-49
0,5100,1235,-59
0,4665,1575,-49
0,4411,1605,-66
0,4127,1744,-60
0,3709,1839,-58
0,3481,2044,-72
0,3523,2406,-73
0,3779,2449,-72
0,4061,2559,-69
0,3865,2790,-69
0,2705,3311,-54
0,1204,3832,-59
0,510,4095,-42
0,-103,4248,-47
0,-632,4042,-64
0,-2276,3463,-76
0,-4559,1712,-86
0,-5473,34,-76
0,-5809,-854,-65
0,-5505,-1418,-56
0,-5843,-807,-53
0,-6363,-1085,-72
0,-5935,-1564,-74
0,-4922,-1324,-63
0,-4065,-2654,-64
0,-4043,-3298,-61
0,-4011,-4142,-54
0,-3409,-5045,-51
0,-2304,-4759,-55
0,-1830,-5292,-50
0,-2327,-4891,-37
0,-2807,-3637,-23
0,-2534,-2520,-33
0,-1795,-1905,-36
0,-738,-2189,-35
0,-116,-2377,-41
0,301,-2222,-47
0,1109,-1947,-41
0,1872,-1542,-39
0,3100,-874,-24
0,4097,483,-1
0,4577,1394,-2
0,4843,1787,8
0,4753,2400,-5
0,4651,2404,2
0,4270,2414,1
0,3564,1948,2
0,2778,1269,13
0,2372,1656,17
0,2487,2100,6
0,2359,2455,-11
0,1844,2615,22
0,1100,2320,24
0,844,2048,5
0,1497,1526,12
0,1775,796,10
0,1196,172,16
0,-11,-227,5
0,-1227,-510,15
0,-2070,-665,38
0,-3229,-496,27
0,-4988,-356,24
0,-6804,-419,30
0,-7837,-839,35
0,-7926,-1608,28
0,-7650,-2132,48
0,-7740,-2378,51
-3,-7878,-2369,37
-27,-7127,-2036,38
-77,-5381,-1685,45
-90,-3625,-1347,47
-68,-2600,-939,39
-77,-2334,-628,43
-69,-2005,-549,54
-72,-1254,-657,47
-72,-673,-827,37
-61,-382,-788,43
-70,-489,-487,44
-66,-359,-38,40
-55,351,542,29
-33,1206,1164,36
-41,1972,1446,32
-30,2682,1397,20
-31,3719,1287,9
-42,5048,1159,-8
-35,6237,1117,-14
-30,6695,1010,-24
-22,6518,956,-29
-30,6320,1159,-20
-6,6339,1471,-2
-20,6359,1661,-4
-34,5943,1488,-7
-14,5177,1167,3
-51,4650,806,-4
-44,4485,324,-15
-44,4740,-53,-7
-61,5005,-295,-14
-52,5097,-187,-16
-52,5466,-78,0
-38,5944,-160,-3
-31,6375,-249,-2
-12,6193,-457,-23
-29,5177,-641,-10
-27,2888,-965,-9
-45,-113,-1333,-30
-41,-2045,-1587,-10
-46,-3492,-1971,-13
-49,-4334,-2464,-23
-35,-5647,-2214,3
-52,-7952,-1699,-3
-34,-8190,-1383,-17
-43,-7449,-1159,-14
