Q1,Q2,Q3,Q4
-87,-87,-87,-87
-118,-118,-118,-118
-52,-52,-52,-52
-42,-42,-42,-42
-40,-40,-40,-40
-22,-22,-22,-22
-39,-39,-39,-39
-27,-27,-27,-27
-32,-32,-32,-32
-13,-13,-13,-13
-4,-4,-4,-4
6,6,6,6
14,14,14,14
-1,-1,-1,-1
1,1,1,1
-6,-6,-6,-6
-3,-3,-3,-3
29,29,29,29
23,23,23,23
1,1,1,1
-5,-5,-5,-5
13,13,13,13
38,38,38,38
40,40,40,40
42,42,42,42
23,23,23,23
41,41,41,41
40,40,40,40
46,46,46,46
45,45,45,45
56,56,56,56
70,70,70,70
45,45,45,45
50,50,50,50
51,51,51,51
47,47,47,47
52,52,52,52
75,75,75,75
49,49,49,49
30,30,30,30
52,52,52,52
26,26,26,26
31,31,31,31
71,71,71,71
49,49,49,49
29,29,29,29
43,43,43,43
35,35,35,35
41,41,41,41
61,61,61,61
51,51,51,51
27,27,27,27
35,35,35,35
12,12,12,12
3,3,3,3
33,33,33,33
12,12,12,12
3,3,3,3
18,18,18,18
11,11,11,11
-14,-14,-14,-14
3,3,3,3
12,12,12,12
-19,-19,-19,-19
-15,-15,-15,-15
-20,-20,-20,-20
-46,-46,-46,-46
-28,-28,-28,-28
-30,-30,-30,-30
-41,-41,-41,-41
-58,-58,-58,-58
-47,-47,-47,-47
-45,-45,-45,-45
-49,-49,-49,-49
-35,-35,-35,-35
-44,-44,-44,-44
-28,-28,-28,-28
-42,-42,-42,-42
-35,-35,-35,-35
-38,-38,-38,-38
-48,-48,-48,-48
-45,-45,-45,-45
-46,-46,-46,-46
-64,-64,-64,-64
-53,-53,-53,-53
-53,-53,-53,-53
-57,-57,-57,-57
-46,-46,-46,-46
-69,-69,-69,-69
-47,-47,-47,-47
-49,-49,-49,-49
-65,-65,-65,-65
-34,-34,-34,-34
-22,-22,-22,-22
-27,-27,-27,-27
-16,-16,-16,-16
-22,-22,-22,-22
-24,-24,-24,-24
-39,-39,-39,-39
-23,-23,-23,-23
-17,-17,-17,-17
-26,-26,-26,-26
-7,-7,-7,-7
-37,-37,-37,-37
-26,-26,-26,-26
-37,-37,-37,-37
-55,-55,-55,-55
-38,-38,-38,-38
-57,-57,-57,-57
-43,-43,-43,-43
-35,-35,-35,-35
-42,-42,-42,-42
-39,-39,-39,-39
-31,-31,-31,-31
-30,-30,-30,-30
-32,-32,-32,-32
-50,-50,-50,-50
-46,-46,-46,-46
-26,-26,-26,-26
-22,-22,-22,-22
-17,-17,-17,-17
-17,-17,-17,-17
-5,-5,-5,-5
-10,-10,-10,-10
-18,-18,-18,-18
-25,-25,-25,-25
-19,-19,-19,-19
-14,-14,-14,-14
-9,-9,-9,-9
3,3,3,3
12,12,12,12
17,17,17,17
2,2,2,2
-5,-5,-5,-5
-1,-1,-1,-1
18,18,18,18
22,22,22,22
10,10,10,10
15,15,15,15
25,25,25,25
30,30,30,30
30,30,30,30
38,38,38,38
42,42,42,42
48,48,48,48
40,40,40,40
54,54,54,54
68,68,68,68
54,54,54,54
46,46,46,46
42,42,42,42
42,42,42,42
53,53,53,53
49,49,49,49
44,44,44,44
45,45,45,45
42,42,42,42
56,56,56,56
68,68,68,68
68,68,68,68
62,62,62,62
61,61,61,61
55,55,55,55
50,50,50,50
54,54,54,54
56,56,56,56
56,56,56,56
64,64,64,64
59,59,59,59
53,53,53,53
51,51,51,51
51,51,51,51
62,62,62,62
67,67,67,67
65,65,65,65
59,59,59,59
46,46,46,46
30,30,30,30
43,43,43,43
55,55,55,55
31,31,31,31
36,36,36,36
36,36,36,36
21,21,21,21
32,32,32,32
20,20,20,20
2,2,2,2
12,12,12,12
4,4,4,4
0,0,0,0
13,13,13,13
-7,-7,-7,-7
-15,-15,-15,-15
-1,-1,-1,-1
-10,-10,-10,-10
-7,-7,-7,-7
7,7,7,7
-7,-7,-7,-7
3,3,3,3
13,13,13,13
-13,-13,-13,-13
-20,-20,-20,-20
-16,-16,-16,-16
-31,-31,-31,-31
-17,-17,-17,-17
-27,-27,-27,-27
-45,-45,-45,-45
-26,-26,-26,-26
-22,-22,-22,-22
-23,-23,-23,-23
-32,-32,-32,-32
-36,-36,-36,-36
-24,-24,-24,-24
-14,-14,-14,-14
-28,-28,-28,-28
-26,-26,-26,-26
-30,-30,-30,-30
-38,-38,-38,-38
-28,-28,-28,-28
-18,-18,-18,-18
-44,-44,-44,-44
-37,-37,-37,-37
-10,-10,-10,-10
-28,-28,-28,-28
-20,-20,-20,-20
-6,-6,-6,-6
-13,-13,-13,-13
-7,-7,-7,-7
-17,-17,-17,-17
-33,-33,-33,-33
-31,-31,-31,-31
-24,-24,-24,-24
-15,-15,-15,-15
-17,-17,-17,-17
-17,-17,-17,-17
-13,-13,-13,-13
-2,-2,-2,-2
-13,-13,-13,-13
-25,-25,-25,-25
-32,-32,-32,-32
-33,-33,-33,-33
-24,-24,-24,-24
-18,-18,-18,-18
-25,-25,-25,-25
-8,-8,-8,-8
-6,-6,-6,-6
-27,-27,-27,-27
-26,-26,-26,-26
-32,-32,-32,-32
-37,-37,-37,-37
-31,-31,-31,-31
-18,-18,-18,-18
-25,-25,-25,-25
-42,-42,-42,-42
-39,-39,-39,-39
-38,-38,-38,-38
-34,-34,-34,-34
-18,-18,-18,-18
-31,-31,-31,-31
-35,-35,-35,-35
-33,-33,-33,-33
-11,-11,-11,-11
-23,-23,-23,-23
-23,-23,-23,-23
-16,-16,-16,-16
-40,-40,-40,-40
-32,-32,-32,-32
-22,-22,-22,-22
-25,-25,-25,-25
-38,-38,-38,-38
-19,-19,-19,-19
-27,-27,-27,-27
-28,-28,-28,-28
-3,-3,-3,-3
-23,-23,-23,-23
-21,-21,-21,-21
-9,-9,-9,-9
-27,-27,-27,-27
-27,-27,-27,-27
-16,-16,-16,-16
-20,-20,-20,-20
-22,-22,-22,-22
-4,-4,-4,-4
8,8,8,8
7,7,7,7
-8,-8,-8,-8
0,0,0,0
5,5,5,5
-7,-7,-7,-7
18,18,18,18
16,16,16,16
12,12,12,12
18,18,18,18
27,27,27,27
19,19,19,19
26,26,26,26
32,32,32,32
20,20,20,20
30,30,30,30
30,30,30,30
24,24,24,24
29,29,29,29
44,44,44,44
40,40,40,40
50,50,50,50
44,44,44,44
37,37,37,37
35,35,35,35
25,25,25,25
24,24,24,24
28,28,28,28
15,15,15,15
21,21,21,21
20,20,20,20
19,19,19,19
30,30,30,30
34,34,34,34
35,35,35,35
55,55,55,55
49,49,49,49
28,28,28,28
59,59,59,59
61,61,61,61
69,69,69,69
79,79,79,79
70,70,70,70
44,44,44,44
54,54,54,54
46,46,46,46
18,18,18,18
25,25,25,25
28,28,28,28
14,14,14,14
12,12,12,12
7,7,7,7
-1,-1,-1,-1
0,0,0,0
8,8,8,8
5,5,5,5
-1,-1,-1,-1
20,20,20,20
0,0,0,0
-10,-10,-10,-10
3,3,3,3
0,0,0,0
-2,-2,-2,-2
0,0,0,0
-10,-10,-10,-10
-33,-33,-33,-33
-34,-34,-34,-34
-34,-34,-34,-34
-43,-43,-43,-43
