Q1,Q2,Q3,Q4
-102,-102,-102,-102
-158,-158,-158,-158
-105,-105,-105,-105
-169,-169,-169,-169
-175,-175,-175,-175
-115,-115,-115,-115
-80,-80,-80,-80
-93,-93,-93,-93
-115,-115,-115,-115
-122,-122,-122,-122
-104,-104,-104,-104
-136,-136,-136,-136
-124,-124,-124,-124
-169,-169,-169,-169
-149,-149,-149,-149
-122,-122,-122,-122
-161,-161,-161,-161
-155,-155,-155,-155
-167,-167,-167,-167
-145,-145,-145,-145
-153,-153,-153,-153
-153,-153,-153,-153
-167,-167,-167,-167
-165,-165,-165,-165
-154,-154,-154,-154
-157,-157,-157,-157
-142,-142,-142,-142
-131,-131,-131,-131
-108,-108,-108,-108
-94,-94,-94,-94
-121,-121,-121,-121
-126,-126,-126,-126
-106,-106,-106,-106
-82,-82,-82,-82
-66,-66,-66,-66
-102,-102,-102,-102
-115,-115,-115,-115
-127,-127,-127,-127
-136,-136,-136,-136
-116,-116,-116,-116
-110,-110,-110,-110
-133,-133,-133,-133
-153,-153,-153,-153
-176,-176,-176,-176
-172,-172,-172,-172
-149,-149,-149,-149
-166,-166,-166,-166
-181,-181,-181,-181
-214,-214,-214,-214
-231,-231,-231,-231
-213,-213,-213,-213
-196,-196,-196,-196
-198,-198,-198,-198
-211,-211,-211,-211
-233,-233,-233,-233
-264,-264,-264,-264
-257,-257,-257,-257
-240,-240,-240,-240
-234,-234,-234,-234
-208,-208,-208,-208
-220,-220,-220,-220
-221,-221,-221,-221
-232,-232,-232,-232
-269,-269,-269,-269
-270,-270,-270,-270
-264,-264,-264,-264
-260,-260,-260,-260
-261,-261,-261,-261
-258,-258,-258,-258
-289,-289,-289,-289
-330,-330,-330,-330
-318,-318,-318,-318
-326,-326,-326,-326
-319,-319,-319,-319
-281,-281,-281,-281
-264,-264,-264,-264
-249,-249,-249,-249
-235,-235,-235,-235
-234,-234,-234,-234
-233,-233,-233,-233
-216,-216,-216,-216
-282,-282,-282,-282
-337,-337,-337,-337
-330,-330,-330,-330
-331,-331,-331,-331
-328,-328,-328,-328
-339,-339,-339,-339
-356,-356,-356,-356
-378,-378,-378,-378
-411,-411,-411,-411
-420,-420,-420,-420
-445,-445,-445,-445
-442,-442,-442,-442
-417,-417,-417,-417
-382,-382,-382,-382
-376,-376,-376,-376
-373,-373,-373,-373
-336,-336,-336,-336
-260,-260,-260,-260
-169,-169,-169,-169
-181,-181,-181,-181
-165,-165,-165,-165
-155,-155,-155,-155
-168,-168,-168,-168
-177,-177,-177,-177
-170,-170,-170,-170
-161,-161,-161,-161
-145,-145,-145,-145
-133,-133,-133,-133
-138,-138,-138,-138
-145,-145,-145,-145
-109,-109,-109,-109
-127,-127,-127,-127
-114,-114,-114,-114
-58,-58,-58,-58
-76,-76,-76,-76
-64,-64,-64,-64
-118,-118,-118,-118
-103,-103,-103,-103
-102,-102,-102,-102
-97,-97,-97,-97
-45,-45,-45,-45
-30,-30,-30,-30
-65,-65,-65,-65
-90,-90,-90,-90
-72,-72,-72,-72
-67,-67,-67,-67
-73,-73,-73,-73
-75,-75,-75,-75
