Q1,Q2,Q3,Q4
88,88,88,88
94,94,94,94
34,34,34,34
42,42,42,42
-47,-47,-47,-47
-38,-38,-38,-38
-67,-67,-67,-67
-88,-88,-88,-88
-82,-82,-82,-82
-49,-49,-49,-49
-64,-64,-64,-64
-60,-60,-60,-60
-11,-11,-11,-11
8,8,8,8
48,48,48,48
38,38,38,38
57,57,57,57
37,37,37,37
23,23,23,23
45,45,45,45
51,51,51,51
48,48,48,48
34,34,34,34
29,29,29,29
33,33,33,33
95,95,95,95
110,110,110,110
123,123,123,123
119,119,119,119
125,125,125,125
131,131,131,131
129,129,129,129
155,155,155,155
118,118,118,118
101,101,101,101
114,114,114,114
60,60,60,60
4,4,4,4
7,7,7,7
-38,-38,-38,-38
-12,-12,-12,-12
3,3,3,3
59,59,59,59
97,97,97,97
123,123,123,123
210,210,210,210
237,237,237,237
314,314,314,314
308,308,308,308
309,309,309,309
334,334,334,334
284,284,284,284
229,229,229,229
233,233,233,233
213,213,213,213
198,198,198,198
206,206,206,206
171,171,171,171
157,157,157,157
153,153,153,153
101,101,101,101
137,137,137,137
174,174,174,174
106,106,106,106
99,99,99,99
89,89,89,89
46,46,46,46
2,2,2,2
7,7,7,7
4,4,4,4
-1,-1,-1,-1
54,54,54,54
73,73,73,73
103,103,103,103
189,189,189,189
162,162,162,162
155,155,155,155
207,207,207,207
217,217,217,217
250,250,250,250
262,262,262,262
269,269,269,269
294,294,294,294
296,296,296,296
236,236,236,236
218,218,218,218
206,206,206,206
168,168,168,168
145,145,145,145
139,139,139,139
79,79,79,79
63,63,63,63
125,125,125,125
53,53,53,53
60,60,60,60
66,66,66,66
23,23,23,23
83,83,83,83
52,52,52,52
65,65,65,65
147,147,147,147
118,118,118,118
115,115,115,115
180,180,180,180
110,110,110,110
91,91,91,91
143,143,143,143
101,101,101,101
92,92,92,92
104,104,104,104
59,59,59,59
39,39,39,39
105,105,105,105
119,119,119,119
119,119,119,119
142,142,142,142
166,166,166,166
111,111,111,111
148,148,148,148
161,161,161,161
58,58,58,58
110,110,110,110
69,69,69,69
92,92,92,92
93,93,93,93
-2,-2,-2,-2
-21,-21,-21,-21
40,40,40,40
25,25,25,25
-6,-6,-6,-6
33,33,33,33
35,35,35,35
75,75,75,75
91,91,91,91
116,116,116,116
109,109,109,109
77,77,77,77
64,64,64,64
86,86,86,86
47,47,47,47
21,21,21,21
15,15,15,15
22,22,22,22
-18,-18,-18,-18
-41,-41,-41,-41
13,13,13,13
40,40,40,40
-20,-20,-20,-20
8,8,8,8
74,74,74,74
17,17,17,17
62,62,62,62
77,77,77,77
60,60,60,60
97,97,97,97
82,82,82,82
39,39,39,39
45,45,45,45
46,46,46,46
27,27,27,27
40,40,40,40
47,47,47,47
26,26,26,26
-19,-19,-19,-19
-25,-25,-25,-25
0,0,0,0
-41,-41,-41,-41
1,1,1,1
-13,-13,-13,-13
-23,-23,-23,-23
19,19,19,19
-2,-2,-2,-2
-15,-15,-15,-15
36,36,36,36
62,62,62,62
22,22,22,22
78,78,78,78
108,108,108,108
99,99,99,99
96,96,96,96
70,70,70,70
48,48,48,48
84,84,84,84
80,80,80,80
54,54,54,54
59,59,59,59
65,65,65,65
24,24,24,24
1,1,1,1
39,39,39,39
6,6,6,6
44,44,44,44
62,62,62,62
14,14,14,14
6,6,6,6
9,9,9,9
0,0,0,0
-31,-31,-31,-31
-24,-24,-24,-24
-22,-22,-22,-22
-26,-26,-26,-26
-15,-15,-15,-15
-58,-58,-58,-58
-39,-39,-39,-39
-53,-53,-53,-53
-94,-94,-94,-94
-47,-47,-47,-47
-49,-49,-49,-49
-56,-56,-56,-56
-41,-41,-41,-41
-9,-9,-9,-9
-67,-67,-67,-67
-48,-48,-48,-48
-74,-74,-74,-74
-103,-103,-103,-103
-76,-76,-76,-76
-79,-79,-79,-79
-52,-52,-52,-52
-60,-60,-60,-60
-57,-57,-57,-57
-62,-62,-62,-62
-5,-5,-5,-5
-24,-24,-24,-24
-9,-9,-9,-9
11,11,11,11
-9,-9,-9,-9
1,1,1,1
-7,-7,-7,-7
9,9,9,9
-2,-2,-2,-2
20,20,20,20
38,38,38,38
-7,-7,-7,-7
-9,-9,-9,-9
-48,-48,-48,-48
-82,-82,-82,-82
-95,-95,-95,-95
-112,-112,-112,-112
-124,-124,-124,-124
-117,-117,-117,-117
-160,-160,-160,-160
-230,-230,-230,-230
-161,-161,-161,-161
-161,-161,-161,-161
-191,-191,-191,-191
-127,-127,-127,-127
-84,-84,-84,-84
-108,-108,-108,-108
-79,-79,-79,-79
-74,-74,-74,-74
-112,-112,-112,-112
-77,-77,-77,-77
-31,-31,-31,-31
-90,-90,-90,-90
-114,-114,-114,-114
-70,-70,-70,-70
-66,-66,-66,-66
-91,-91,-91,-91
-68,-68,-68,-68
-53,-53,-53,-53
-74,-74,-74,-74
-86,-86,-86,-86
-103,-103,-103,-103
-160,-160,-160,-160
-123,-123,-123,-123
-112,-112,-112,-112
-145,-145,-145,-145
-159,-159,-159,-159
-224,-224,-224,-224
-250,-250,-250,-250
-256,-256,-256,-256
-244,-244,-244,-244
-290,-290,-290,-290
-270,-270,-270,-270
-303,-303,-303,-303
-275,-275,-275,-275
-291,-291,-291,-291
-239,-239,-239,-239
-225,-225,-225,-225
-219,-219,-219,-219
-156,-156,-156,-156
-139,-139,-139,-139
-81,-81,-81,-81
-19,-19,-19,-19
-15,-15,-15,-15
-101,-101,-101,-101
-58,-58,-58,-58
-60,-60,-60,-60
-65,-65,-65,-65
-23,-23,-23,-23
28,28,28,28
4,4,4,4
11,11,11,11
34,34,34,34
-15,-15,-15,-15
-40,-40,-40,-40
-38,-38,-38,-38
-48,-48,-48,-48
-27,-27,-27,-27
-23,-23,-23,-23
-39,-39,-39,-39
-68,-68,-68,-68
-44,-44,-44,-44
-15,-15,-15,-15
-68,-68,-68,-68
-56,-56,-56,-56
-71,-71,-71,-71
-131,-131,-131,-131
-51,-51,-51,-51
-51,-51,-51,-51
-44,-44,-44,-44
64,64,64,64
76,76,76,76
34,34,34,34
62,62,62,62
112,112,112,112
106,106,106,106
152,152,152,152
104,104,104,104
101,101,101,101
139,139,139,139
148,148,148,148
112,112,112,112
124,124,124,124
124,124,124,124
99,99,99,99
124,124,124,124
93,93,93,93
79,79,79,79
93,93,93,93
102,102,102,102
125,125,125,125
95,95,95,95
81,81,81,81
143,143,143,143
147,147,147,147
148,148,148,148
93,93,93,93
129,129,129,129
157,157,157,157
131,131,131,131
53,53,53,53
47,47,47,47
70,70,70,70
47,47,47,47
70,70,70,70
38,38,38,38
64,64,64,64
48,48,48,48
90,90,90,90
95,95,95,95
127,127,127,127
110,110,110,110
108,108,108,108
91,91,91,91
82,82,82,82
124,124,124,124
66,66,66,66
114,114,114,114
112,112,112,112
90,90,90,90
35,35,35,35
36,36,36,36
7,7,7,7
52,52,52,52
42,42,42,42
47,47,47,47
72,72,72,72
6,6,6,6
43,43,43,43
14,14,14,14
64,64,64,64
33,33,33,33
46,46,46,46
72,72,72,72
66,66,66,66
64,64,64,64
90,90,90,90
102,102,102,102
97,97,97,97
130,130,130,130
121,121,121,121
129,129,129,129
143,143,143,143
164,164,164,164
166,166,166,166
187,187,187,187
204,204,204,204
230,230,230,230
263,263,263,263
268,268,268,268
264,264,264,264
258,258,258,258
239,239,239,239
297,297,297,297
295,295,295,295
337,337,337,337
290,290,290,290
284,284,284,284
273,273,273,273
236,236,236,236
220,220,220,220
218,218,218,218
292,292,292,292
246,246,246,246
261,261,261,261
236,236,236,236
224,224,224,224
220,220,220,220
198,198,198,198
208,208,208,208
219,219,219,219
206,206,206,206
271,271,271,271
296,296,296,296
284,284,284,284
281,281,281,281
265,265,265,265
271,271,271,271
276,276,276,276
273,273,273,273
278,278,278,278
259,259,259,259
242,242,242,242
242,242,242,242
213,213,213,213
213,213,213,213
251,251,251,251
259,259,259,259
261,261,261,261
254,254,254,254
245,245,245,245
209,209,209,209
157,157,157,157
160,160,160,160
164,164,164,164
135,135,135,135
95,95,95,95
104,104,104,104
62,62,62,62
77,77,77,77
43,43,43,43
26,26,26,26
45,45,45,45
36,36,36,36
69,69,69,69
77,77,77,77
85,85,85,85
99,99,99,99
93,93,93,93
69,69,69,69
84,84,84,84
110,110,110,110
68,68,68,68
56,56,56,56
43,43,43,43
69,69,69,69
78,78,78,78
28,28,28,28
45,45,45,45
67,67,67,67
93,93,93,93
62,62,62,62
25,25,25,25
45,45,45,45
118,118,118,118
61,61,61,61
73,73,73,73
65,65,65,65
60,60,60,60
87,87,87,87
111,111,111,111
87,87,87,87
77,77,77,77
56,56,56,56
33,33,33,33
105,105,105,105
65,65,65,65
108,108,108,108
116,116,116,116
92,92,92,92
65,65,65,65
70,70,70,70
66,66,66,66
110,110,110,110
79,79,79,79
32,32,32,32
83,83,83,83
96,96,96,96
72,72,72,72
52,52,52,52
28,28,28,28
-34,-34,-34,-34
-26,-26,-26,-26
-6,-6,-6,-6
22,22,22,22
-19,-19,-19,-19
-72,-72,-72,-72
-72,-72,-72,-72
-11,-11,-11,-11
1,1,1,1
-26,-26,-26,-26
-28,-28,-28,-28
-52,-52,-52,-52
-14,-14,-14,-14
-6,-6,-6,-6
11,11,11,11
25,25,25,25
34,34,34,34
42,42,42,42
9,9,9,9
11,11,11,11
-3,-3,-3,-3
32,32,32,32
46,46,46,46
52,52,52,52
-3,-3,-3,-3
-18,-18,-18,-18
-5,-5,-5,-5
3,3,3,3
64,64,64,64
17,17,17,17
34,34,34,34
-7,-7,-7,-7
-33,-33,-33,-33
-28,-28,-28,-28
-96,-96,-96,-96
-79,-79,-79,-79
-47,-47,-47,-47
-52,-52,-52,-52
-35,-35,-35,-35
-35,-35,-35,-35
15,15,15,15
-20,-20,-20,-20
-22,-22,-22,-22
-38,-38,-38,-38
-5,-5,-5,-5
46,46,46,46
-33,-33,-33,-33
-20,-20,-20,-20
24,24,24,24
2,2,2,2
-32,-32,-32,-32
7,7,7,7
-54,-54,-54,-54
-29,-29,-29,-29
15,15,15,15
25,25,25,25
15,15,15,15
-9,-9,-9,-9
-6,-6,-6,-6
-18,-18,-18,-18
-53,-53,-53,-53
-53,-53,-53,-53
-71,-71,-71,-71
-112,-112,-112,-112
-130,-130,-130,-130
-110,-110,-110,-110
-134,-134,-134,-134
-143,-143,-143,-143
-108,-108,-108,-108
-158,-158,-158,-158
-160,-160,-160,-160
-160,-160,-160,-160
-178,-178,-178,-178
-238,-238,-238,-238
-204,-204,-204,-204
-156,-156,-156,-156
-136,-136,-136,-136
-110,-110,-110,-110
-98,-98,-98,-98
-106,-106,-106,-106
-61,-61,-61,-61
-110,-110,-110,-110
-74,-74,-74,-74
-15,-15,-15,-15
-8,-8,-8,-8
-13,-13,-13,-13
-64,-64,-64,-64
-36,-36,-36,-36
-42,-42,-42,-42
-61,-61,-61,-61
-132,-132,-132,-132
-143,-143,-143,-143
-138,-138,-138,-138
-89,-89,-89,-89
-146,-146,-146,-146
-164,-164,-164,-164
-155,-155,-155,-155
-150,-150,-150,-150
-130,-130,-130,-130
-182,-182,-182,-182
-166,-166,-166,-166
-138,-138,-138,-138
-96,-96,-96,-96
-133,-133,-133,-133
-128,-128,-128,-128
-103,-103,-103,-103
-93,-93,-93,-93
-80,-80,-80,-80
-124,-124,-124,-124
-143,-143,-143,-143
-125,-125,-125,-125
-97,-97,-97,-97
-117,-117,-117,-117
-102,-102,-102,-102
-151,-151,-151,-151
-149,-149,-149,-149
-85,-85,-85,-85
-73,-73,-73,-73
-56,-56,-56,-56
-89,-89,-89,-89
-61,-61,-61,-61
-53,-53,-53,-53
-45,-45,-45,-45
-25,-25,-25,-25
-11,-11,-11,-11
-17,-17,-17,-17
-21,-21,-21,-21
-23,-23,-23,-23
-41,-41,-41,-41
-26,-26,-26,-26
-1,-1,-1,-1
-19,-19,-19,-19
-58,-58,-58,-58
-73,-73,-73,-73
-62,-62,-62,-62
-43,-43,-43,-43
-36,-36,-36,-36
-26,-26,-26,-26
-32,-32,-32,-32
18,18,18,18
17,17,17,17
-12,-12,-12,-12
-10,-10,-10,-10
13,13,13,13
46,46,46,46
44,44,44,44
45,45,45,45
66,66,66,66
90,90,90,90
68,68,68,68
74,74,74,74
77,77,77,77
82,82,82,82
42,42,42,42
51,51,51,51
13,13,13,13
29,29,29,29
82,82,82,82
54,54,54,54
79,79,79,79
86,86,86,86
96,96,96,96
64,64,64,64
76,76,76,76
2,2,2,2
18,18,18,18
47,47,47,47
31,31,31,31
4,4,4,4
-8,-8,-8,-8
28,28,28,28
56,56,56,56
80,80,80,80
53,53,53,53
100,100,100,100
83,83,83,83
59,59,59,59
58,58,58,58
88,88,88,88
110,110,110,110
