Q1,Q2,Q3,Q4
-2,-2,-2,-2
7,7,7,7
24,24,24,24
35,35,35,35
44,44,44,44
10,10,10,10
-11,-11,-11,-11
-14,-14,-14,-14
-1,-1,-1,-1
2,2,2,2
-2,-2,-2,-2
26,26,26,26
52,52,52,52
54,54,54,54
39,39,39,39
31,31,31,31
29,29,29,29
36,36,36,36
10,10,10,10
-20,-20,-20,-20
-15,-15,-15,-15
-30,-30,-30,-30
-6,-6,-6,-6
-15,-15,-15,-15
-37,-37,-37,-37
-21,-21,-21,-21
-15,-15,-15,-15
-7,-7,-7,-7
1,1,1,1
5,5,5,5
-29,-29,-29,-29
-2,-2,-2,-2
12,12,12,12
-29,-29,-29,-29
-2,-2,-2,-2
33,33,33,33
31,31,31,31
38,38,38,38
50,50,50,50
15,15,15,15
33,33,33,33
58,58,58,58
26,26,26,26
9,9,9,9
-4,-4,-4,-4
-13,-13,-13,-13
-22,-22,-22,-22
-15,-15,-15,-15
0,0,0,0
12,12,12,12
-7,-7,-7,-7
7,7,7,7
31,31,31,31
20,20,20,20
3,3,3,3
-9,-9,-9,-9
-29,-29,-29,-29
-22,-22,-22,-22
-14,-14,-14,-14
-25,-25,-25,-25
-44,-44,-44,-44
-35,-35,-35,-35
15,15,15,15
22,22,22,22
21,21,21,21
6,6,6,6
-4,-4,-4,-4
-10,-10,-10,-10
0,0,0,0
3,3,3,3
-24,-24,-24,-24
-26,-26,-26,-26
-6,-6,-6,-6
-3,-3,-3,-3
0,0,0,0
1,1,1,1
-20,-20,-20,-20
-59,-59,-59,-59
-74,-74,-74,-74
-45,-45,-45,-45
-27,-27,-27,-27
-37,-37,-37,-37
-37,-37,-37,-37
-16,-16,-16,-16
5,5,5,5
3,3,3,3
-10,-10,-10,-10
19,19,19,19
17,17,17,17
-9,-9,-9,-9
-38,-38,-38,-38
-54,-54,-54,-54
-46,-46,-46,-46
-62,-62,-62,-62
-38,-38,-38,-38
-41,-41,-41,-41
-46,-46,-46,-46
-22,-22,-22,-22
-2,-2,-2,-2
-8,-8,-8,-8
-39,-39,-39,-39
-6,-6,-6,-6
-22,-22,-22,-22
-51,-51,-51,-51
-78,-78,-78,-78
-93,-93,-93,-93
-98,-98,-98,-98
-117,-117,-117,-117
-90,-90,-90,-90
-78,-78,-78,-78
-61,-61,-61,-61
-30,-30,-30,-30
10,10,10,10
23,23,23,23
34,34,34,34
17,17,17,17
-1,-1,-1,-1
-16,-16,-16,-16
-32,-32,-32,-32
-10,-10,-10,-10
-13,-13,-13,-13
-5,-5,-5,-5
-24,-24,-24,-24
-29,-29,-29,-29
-4,-4,-4,-4
-24,-24,-24,-24
-33,-33,-33,-33
0,0,0,0
18,18,18,18
0,0,0,0
-28,-28,-28,-28
-19,-19,-19,-19
-27,-27,-27,-27
-43,-43,-43,-43
-18,-18,-18,-18
-34,-34,-34,-34
-36,-36,-36,-36
-23,-23,-23,-23
-10,-10,-10,-10
18,18,18,18
25,25,25,25
41,41,41,41
36,36,36,36
22,22,22,22
-9,-9,-9,-9
-14,-14,-14,-14
-1,-1,-1,-1
-1,-1,-1,-1
10,10,10,10
-11,-11,-11,-11
-8,-8,-8,-8
24,24,24,24
39,39,39,39
12,12,12,12
6,6,6,6
18,18,18,18
1,1,1,1
-4,-4,-4,-4
-2,-2,-2,-2
-13,-13,-13,-13
-37,-37,-37,-37
-8,-8,-8,-8
10,10,10,10
-1,-1,-1,-1
17,17,17,17
46,46,46,46
66,66,66,66
50,50,50,50
39,39,39,39
23,23,23,23
5,5,5,5
0,0,0,0
-33,-33,-33,-33
-49,-49,-49,-49
-47,-47,-47,-47
-37,-37,-37,-37
6,6,6,6
15,15,15,15
17,17,17,17
28,28,28,28
31,31,31,31
15,15,15,15
-31,-31,-31,-31
-58,-58,-58,-58
-74,-74,-74,-74
-75,-75,-75,-75
-81,-81,-81,-81
-75,-75,-75,-75
-58,-58,-58,-58
-42,-42,-42,-42
-19,-19,-19,-19
10,10,10,10
32,32,32,32
26,26,26,26
33,33,33,33
24,24,24,24
-9,-9,-9,-9
-33,-33,-33,-33
-47,-47,-47,-47
-48,-48,-48,-48
-35,-35,-35,-35
-4,-4,-4,-4
-1,-1,-1,-1
3,3,3,3
14,14,14,14
-4,-4,-4,-4
-10,-10,-10,-10
7,7,7,7
16,16,16,16
-3,-3,-3,-3
-13,-13,-13,-13
-7,-7,-7,-7
-21,-21,-21,-21
-28,-28,-28,-28
-32,-32,-32,-32
-29,-29,-29,-29
-3,-3,-3,-3
10,10,10,10
-3,-3,-3,-3
8,8,8,8
30,30,30,30
39,39,39,39
57,57,57,57
36,36,36,36
19,19,19,19
-4,-4,-4,-4
-46,-46,-46,-46
-39,-39,-39,-39
-31,-31,-31,-31
-11,-11,-11,-11
-10,-10,-10,-10
0,0,0,0
6,6,6,6
-31,-31,-31,-31
-33,-33,-33,-33
-30,-30,-30,-30
-40,-40,-40,-40
-54,-54,-54,-54
-64,-64,-64,-64
-42,-42,-42,-42
-18,-18,-18,-18
-1,-1,-1,-1
11,11,11,11
21,21,21,21
19,19,19,19
-4,-4,-4,-4
-33,-33,-33,-33
-26,-26,-26,-26
-15,-15,-15,-15
-41,-41,-41,-41
-45,-45,-45,-45
-27,-27,-27,-27
-20,-20,-20,-20
-32,-32,-32,-32
-32,-32,-32,-32
-20,-20,-20,-20
-29,-29,-29,-29
-24,-24,-24,-24
-27,-27,-27,-27
-60,-60,-60,-60
-81,-81,-81,-81
-59,-59,-59,-59
-33,-33,-33,-33
-28,-28,-28,-28
-25,-25,-25,-25
1,1,1,1
23,23,23,23
21,21,21,21
22,22,22,22
15,15,15,15
19,19,19,19
6,6,6,6
-9,-9,-9,-9
-27,-27,-27,-27
-22,-22,-22,-22
-8,-8,-8,-8
-9,-9,-9,-9
-7,-7,-7,-7
-12,-12,-12,-12
-14,-14,-14,-14
8,8,8,8
7,7,7,7
-10,-10,-10,-10
5,5,5,5
30,30,30,30
34,34,34,34
25,25,25,25
7,7,7,7
-46,-46,-46,-46
-24,-24,-24,-24
0,0,0,0
-14,-14,-14,-14
-26,-26,-26,-26
-17,-17,-17,-17
9,9,9,9
28,28,28,28
45,45,45,45
21,21,21,21
-5,-5,-5,-5
-11,-11,-11,-11
-26,-26,-26,-26
-49,-49,-49,-49
-52,-52,-52,-52
-39,-39,-39,-39
-10,-10,-10,-10
0,0,0,0
3,3,3,3
29,29,29,29
48,48,48,48
32,32,32,32
18,18,18,18
19,19,19,19
8,8,8,8
-22,-22,-22,-22
-28,-28,-28,-28
-27,-27,-27,-27
-35,-35,-35,-35
-22,-22,-22,-22
3,3,3,3
11,11,11,11
21,21,21,21
50,50,50,50
48,48,48,48
31,31,31,31
3,3,3,3
-9,-9,-9,-9
-38,-38,-38,-38
-53,-53,-53,-53
-53,-53,-53,-53
-40,-40,-40,-40
-14,-14,-14,-14
3,3,3,3
31,31,31,31
59,59,59,59
66,66,66,66
83,83,83,83
83,83,83,83
35,35,35,35
15,15,15,15
-6,-6,-6,-6
-23,-23,-23,-23
-32,-32,-32,-32
-39,-39,-39,-39
-52,-52,-52,-52
-33,-33,-33,-33
9,9,9,9
10,10,10,10
15,15,15,15
45,45,45,45
36,36,36,36
-4,-4,-4,-4
-5,-5,-5,-5
-26,-26,-26,-26
-68,-68,-68,-68
-62,-62,-62,-62
-84,-84,-84,-84
-62,-62,-62,-62
16,16,16,16
56,56,56,56
69,69,69,69
39,39,39,39
35,35,35,35
30,30,30,30
29,29,29,29
15,15,15,15
-44,-44,-44,-44
-33,-33,-33,-33
-32,-32,-32,-32
-44,-44,-44,-44
-24,-24,-24,-24
-35,-35,-35,-35
-37,-37,-37,-37
-8,-8,-8,-8
10,10,10,10
11,11,11,11
4,4,4,4
-5,-5,-5,-5
5,5,5,5
-14,-14,-14,-14
-26,-26,-26,-26
-18,-18,-18,-18
-27,-27,-27,-27
-34,-34,-34,-34
-26,-26,-26,-26
0,0,0,0
8,8,8,8
-3,-3,-3,-3
4,4,4,4
6,6,6,6
7,7,7,7
26,26,26,26
15,15,15,15
-18,-18,-18,-18
-50,-50,-50,-50
-57,-57,-57,-57
-64,-64,-64,-64
-53,-53,-53,-53
-39,-39,-39,-39
-35,-35,-35,-35
-20,-20,-20,-20
-19,-19,-19,-19
-25,-25,-25,-25
-14,-14,-14,-14
-15,-15,-15,-15
-10,-10,-10,-10
-18,-18,-18,-18
-45,-45,-45,-45
-32,-32,-32,-32
-22,-22,-22,-22
-3,-3,-3,-3
-21,-21,-21,-21
-48,-48,-48,-48
-55,-55,-55,-55
-58,-58,-58,-58
-39,-39,-39,-39
-41,-41,-41,-41
-66,-66,-66,-66
-46,-46,-46,-46
-25,-25,-25,-25
-32,-32,-32,-32
-8,-8,-8,-8
5,5,5,5
13,13,13,13
30,30,30,30
27,27,27,27
18,18,18,18
-3,-3,-3,-3
-3,-3,-3,-3
18,18,18,18
28,28,28,28
13,13,13,13
10,10,10,10
59,59,59,59
57,57,57,57
-2,-2,-2,-2
-15,-15,-15,-15
9,9,9,9
10,10,10,10
-1,-1,-1,-1
-20,-20,-20,-20
-1,-1,-1,-1
32,32,32,32
49,49,49,49
42,42,42,42
1,1,1,1
-16,-16,-16,-16
-20,-20,-20,-20
-11,-11,-11,-11
-3,-3,-3,-3
3,3,3,3
16,16,16,16
51,51,51,51
80,80,80,80
83,83,83,83
81,81,81,81
82,82,82,82
82,82,82,82
59,59,59,59
42,42,42,42
46,46,46,46
54,54,54,54
50,50,50,50
38,38,38,38
40,40,40,40
82,82,82,82
83,83,83,83
44,44,44,44
47,47,47,47
34,34,34,34
-5,-5,-5,-5
-24,-24,-24,-24
-19,-19,-19,-19
-12,-12,-12,-12
10,10,10,10
54,54,54,54
71,71,71,71
90,90,90,90
123,123,123,123
132,132,132,132
121,121,121,121
73,73,73,73
48,48,48,48
36,36,36,36
24,24,24,24
17,17,17,17
12,12,12,12
26,26,26,26
62,62,62,62
81,81,81,81
46,46,46,46
13,13,13,13
-1,-1,-1,-1
1,1,1,1
17,17,17,17
30,30,30,30
27,27,27,27
19,19,19,19
50,50,50,50
51,51,51,51
28,28,28,28
41,41,41,41
55,55,55,55
56,56,56,56
42,42,42,42
45,45,45,45
33,33,33,33
43,43,43,43
49,49,49,49
32,32,32,32
21,21,21,21
6,6,6,6
21,21,21,21
36,36,36,36
39,39,39,39
42,42,42,42
42,42,42,42
45,45,45,45
47,47,47,47
45,45,45,45
33,33,33,33
12,12,12,12
21,21,21,21
18,18,18,18
2,2,2,2
-11,-11,-11,-11
2,2,2,2
30,30,30,30
45,45,45,45
42,42,42,42
24,24,24,24
37,37,37,37
58,58,58,58
49,49,49,49
39,39,39,39
37,37,37,37
29,29,29,29
24,24,24,24
19,19,19,19
11,11,11,11
2,2,2,2
15,15,15,15
32,32,32,32
33,33,33,33
11,11,11,11
29,29,29,29
40,40,40,40
22,22,22,22
48,48,48,48
39,39,39,39
30,30,30,30
22,22,22,22
34,34,34,34
37,37,37,37
8,8,8,8
12,12,12,12
-7,-7,-7,-7
-20,-20,-20,-20
-28,-28,-28,-28
-28,-28,-28,-28
-18,-18,-18,-18
-10,-10,-10,-10
18,18,18,18
8,8,8,8
-8,-8,-8,-8
24,24,24,24
-3,-3,-3,-3
-23,-23,-23,-23
-8,-8,-8,-8
-32,-32,-32,-32
-51,-51,-51,-51
-33,-33,-33,-33
-2,-2,-2,-2
-2,-2,-2,-2
20,20,20,20
25,25,25,25
0,0,0,0
15,15,15,15
29,29,29,29
8,8,8,8
-20,-20,-20,-20
-41,-41,-41,-41
-42,-42,-42,-42
-38,-38,-38,-38
-43,-43,-43,-43
-22,-22,-22,-22
-4,-4,-4,-4
6,6,6,6
38,38,38,38
41,41,41,41
23,23,23,23
16,16,16,16
42,42,42,42
52,52,52,52
38,38,38,38
27,27,27,27
15,15,15,15
12,12,12,12
25,25,25,25
23,23,23,23
6,6,6,6
-1,-1,-1,-1
13,13,13,13
21,21,21,21
20,20,20,20
30,30,30,30
30,30,30,30
27,27,27,27
27,27,27,27
-2,-2,-2,-2
-10,-10,-10,-10
24,24,24,24
-11,-11,-11,-11
-22,-22,-22,-22
15,15,15,15
25,25,25,25
32,32,32,32
70,70,70,70
99,99,99,99
66,66,66,66
70,70,70,70
80,80,80,80
50,50,50,50
37,37,37,37
27,27,27,27
17,17,17,17
17,17,17,17
3,3,3,3
-16,-16,-16,-16
-6,-6,-6,-6
3,3,3,3
17,17,17,17
42,42,42,42
32,32,32,32
51,51,51,51
52,52,52,52
10,10,10,10
-8,-8,-8,-8
1,1,1,1
7,7,7,7
-25,-25,-25,-25
-24,-24,-24,-24
14,14,14,14
36,36,36,36
79,79,79,79
92,92,92,92
75,75,75,75
59,59,59,59
60,60,60,60
47,47,47,47
15,15,15,15
-15,-15,-15,-15
-39,-39,-39,-39
-30,-30,-30,-30
-35,-35,-35,-35
-30,-30,-30,-30
2,2,2,2
42,42,42,42
63,63,63,63
56,56,56,56
21,21,21,21
16,16,16,16
0,0,0,0
-32,-32,-32,-32
-35,-35,-35,-35
-37,-37,-37,-37
-30,-30,-30,-30
-31,-31,-31,-31
-6,-6,-6,-6
14,14,14,14
31,31,31,31
52,52,52,52
26,26,26,26
-8,-8,-8,-8
-49,-49,-49,-49
-41,-41,-41,-41
-4,-4,-4,-4
-7,-7,-7,-7
-2,-2,-2,-2
-19,-19,-19,-19
-53,-53,-53,-53
-45,-45,-45,-45
-11,-11,-11,-11
-12,-12,-12,-12
-1,-1,-1,-1
40,40,40,40
41,41,41,41
34,34,34,34
39,39,39,39
16,16,16,16
-12,-12,-12,-12
-18,-18,-18,-18
-23,-23,-23,-23
-47,-47,-47,-47
-27,-27,-27,-27
15,15,15,15
44,44,44,44
58,58,58,58
65,65,65,65
60,60,60,60
30,30,30,30
27,27,27,27
14,14,14,14
-11,-11,-11,-11
-16,-16,-16,-16
-22,-22,-22,-22
-33,-33,-33,-33
-50,-50,-50,-50
-28,-28,-28,-28
1,1,1,1
11,11,11,11
36,36,36,36
35,35,35,35
22,22,22,22
10,10,10,10
0,0,0,0
-5,-5,-5,-5
-7,-7,-7,-7
-12,-12,-12,-12
-30,-30,-30,-30
-23,-23,-23,-23
1,1,1,1
14,14,14,14
11,11,11,11
-6,-6,-6,-6
-27,-27,-27,-27
-41,-41,-41,-41
-34,-34,-34,-34
-29,-29,-29,-29
-29,-29,-29,-29
-16,-16,-16,-16
-2,-2,-2,-2
5,5,5,5
12,12,12,12
15,15,15,15
19,19,19,19
9,9,9,9
-6,-6,-6,-6
-8,-8,-8,-8
-20,-20,-20,-20
-14,-14,-14,-14
4,4,4,4
13,13,13,13
8,8,8,8
5,5,5,5
6,6,6,6
17,17,17,17
47,47,47,47
39,39,39,39
13,13,13,13
8,8,8,8
6,6,6,6
14,14,14,14
15,15,15,15
17,17,17,17
4,4,4,4
3,3,3,3
22,22,22,22
21,21,21,21
6,6,6,6
-15,-15,-15,-15
-25,-25,-25,-25
-14,-14,-14,-14
13,13,13,13
21,21,21,21
9,9,9,9
-11,-11,-11,-11
-8,-8,-8,-8
3,3,3,3
6,6,6,6
-3,-3,-3,-3
-18,-18,-18,-18
-15,-15,-15,-15
-7,-7,-7,-7
-9,-9,-9,-9
3,3,3,3
7,7,7,7
3,3,3,3
2,2,2,2
-7,-7,-7,-7
-2,-2,-2,-2
0,0,0,0
-12,-12,-12,-12
-10,-10,-10,-10
9,9,9,9
27,27,27,27
31,31,31,31
28,28,28,28
29,29,29,29
14,14,14,14
7,7,7,7
9,9,9,9
2,2,2,2
-1,-1,-1,-1
15,15,15,15
-7,-7,-7,-7
-31,-31,-31,-31
-20,-20,-20,-20
3,3,3,3
43,43,43,43
56,56,56,56
60,60,60,60
49,49,49,49
45,45,45,45
25,25,25,25
-2,-2,-2,-2
-6,-6,-6,-6
-41,-41,-41,-41
