Q1,Q2,Q3,Q4
-63,-1093,-15,-1822
-127,-1298,-16,-1953
-122,-1459,-8,-2067
-126,-1536,2,-2164
-124,-1580,9,-2265
-128,-1468,19,-2374
-131,-1248,21,-2474
-149,-1097,25,-2590
-153,-964,34,-2710
-152,-831,44,-2810
-148,-789,43,-2906
-140,-735,45,-2991
-141,-725,50,-3067
-153,-811,53,-3111
-175,-819,54,-3127
-178,-889,49,-3120
-171,-905,45,-3094
-177,-827,32,-3036
-191,-840,22,-2953
-209,-687,26,-2848
-227,-462,30,-2710
-241,-315,27,-2596
-261,-72,17,-2512
-274,151,6,-2415
-275,244,0,-2310
-267,335,-4,-2194
-253,281,-8,-2064
-244,187,-14,-1933
-230,80,-23,-1815
-215,43,-25,-1684
-200,47,-26,-1548
-187,-108,-27,-1429
-187,-145,-39,-1329
-183,-68,-46,-1212
-166,-41,-47,-1065
-164,92,-59,-936
-170,208,-63,-820
-173,113,-60,-715
-172,41,-67,-650
-173,-45,-72,-621
-178,-198,-81,-587
-170,-370,-89,-542
-150,-434,-94,-489
-138,-363,-94,-413
-146,-295,-101,-317
-163,-39,-101,-238
-172,286,-105,-157
-174,508,-99,-70
-190,823,-113,35
-207,1154,-119,139
-226,1246,-136,239
-229,1336,-143,333
-223,1494,-150,409
-211,1471,-155,483
-200,1565,-164,564
-212,1674,-173,654
-224,1576,-177,742
-239,1528,-189,807
-242,1543,-190,852
-233,1541,-201,888
-237,1563,-199,914
-229,1693,-216,922
-218,1601,-215,881
-224,1453,-238,820
-227,1521,-238,751
-245,1514,-268,681
-254,1640,-256,604
-245,1868,-294,527
-227,1994,-284,435
-217,2103,-323,347
-221,2436,-312,270
-218,2687,-376,210
-214,2732,-365,156
-211,2800,-430,102
-215,2768,-441,61
-208,2718,-554,23
-189,2807,-548,5
-182,2892,-1105,-10
-193,2738,-2401,-22
-194,2797,-2150,-24
-185,2800,-1633,-18
-176,2511,-1214,-22
-162,2286,-759,-19
-145,1951,24,-20
-144,1589,404,-10
-163,1413,682,-6
-183,1178,839,5
-191,825,-539,28
-193,633,-1197,68
-196,525,-792,117
-197,461,-699,149
-198,438,-838,155
-188,302,-463,132
-192,33,-69,95
-189,-114,-171,70
-172,-216,-19,89
-178,-431,-36,108
-179,-563,-322,116
-171,-695,-353,143
-187,-847,-232,188
-195,-832,-27,241
-196,-803,102,307
-188,-847,155,350
-174,-752,-16,381
-175,-676,-128,398
-156,-757,-289,424
-134,-803,-485,450
-110,-857,-466,475
-109,-960,-388,494
-124,-899,-211,487
-128,-852,72,504
-143,-980,107,552
-169,-1035,-65,592
-176,-988,-64,615
-176,-979,-239,632
-190,-964,-419,633
-204,-979,-407,632
-219,-1180,-329,630
-232,-1312,-86,624
-250,-1332,-46,600
-244,-1458,180,575
-235,-1591,60,557
-231,-1660,-63,533
-221,-1791,-250,518
-220,-1843,-446,514
-234,-1775,-486,489
-267,-1819,-459,459
-285,-1812,-133,464
-277,-1717,82,480
-247,-1735,179,490
-207,-1773,112,514
-191,-1790,213,543
-188,-1797,-124,581
-194,-1720,-430,647
-202,-1574,-416,719
-192,-1435,-366,771
-192,-1383,-332,824
-214,-1262,-49,895
-225,-1089,202,956
-228,-943,233,1036
-236,-851,187,1133
-251,-828,154,1223
-240,-942,35,1309
-215,-1034,-163,1393
-214,-1088,-177,1467
-224,-1153,-248,1529
-235,-1115,60,1597
-235,-1091,153,1651
-242,-1002,204,1699
-259,-926,287,1757
-271,-834,237,1814
-274,-773,204,1875
-271,-747,44,1954
-255,-750,182,2043
-233,-790,-99,2118
-221,-783,42,2173
-228,-688,344,2237
-230,-575,397,2290
-219,-432,327,2323
-200,-273,335,2351
-178,-249,242,2378
-155,-225,94,2386
-134,-280,190,2397
-128,-399,18,2435
-132,-434,-37,2481
-138,-446,259,2526
-141,-459,276,2585
-151,-508,89,2644
-140,-547,411,2684
-114,-439,148,2723
-79,-326,69,2755
-56,-127,131,2768
-40,95,-6,2772
-27,98,-74,2769
-27,193,143,2751
-16,332,74,2741
-19,219,-8,2729
-30,33,377,2711
-45,-185,93,2705
-62,-510,-75,2708
-70,-639,171,2667
-83,-539,30,2628
-119,-556,24,2571
-145,-510,50,2499
-146,-304,53,2446
-139,-210,181,2410
-142,-159,116,2365
-148,20,179,2293
-151,48,206,2213
-168,7,178,2132
-196,147,-67,2062
-206,126,125,1998
-215,76,271,1954
-224,162,-175,1907
-232,349,277,1880
-218,518,407,1860
-215,724,112,1833
-231,888,330,1808
-239,794,440,1792
-238,815,378,1777
-216,861,146,1743
-199,764,309,1725
-175,701,420,1702
-163,660,434,1666
-159,561,275,1630
-163,789,711,1594
-154,1109,831,1540
-141,1249,753,1477
-117,1444,736,1420
-102,1390,857,1350
-95,1324,1006,1290
-96,1370,750,1222
-108,1298,766,1148
-107,1159,1408,1084
-92,1054,1567,1018
-67,969,641,946
-30,1051,356,875
-9,1400,69,803
21,1833,-369,722
53,2177,-808,646
61,2441,-648,598
77,2574,-866,556
77,2475,-1049,513
76,2410,-759,484
78,2322,-450,446
82,2041,-989,403
69,1832,-664,353
57,1695,-562,301
49,1537,-836,238
43,1640,-599,175
31,1861,-372,101
19,1908,-510,34
4,1956,-2176,-21
-15,1933,-2668,-65
