Q1,Q2,Q3,Q4
45,45,45,45
69,69,69,69
-145,-145,-145,-145
-486,-486,-486,-486
-316,-316,-316,-316
-341,-341,-341,-341
-481,-481,-481,-481
-215,-215,-215,-215
-183,-183,-183,-183
-91,-91,-91,-91
-47,-47,-47,-47
-49,-49,-49,-49
144,144,144,144
218,218,218,218
339,339,339,339
325,325,325,325
250,250,250,250
339,339,339,339
419,419,419,419
521,521,521,521
397,397,397,397
399,399,399,399
414,414,414,414
454,454,454,454
394,394,394,394
286,286,286,286
217,217,217,217
-15,-15,-15,-15
-2,-2,-2,-2
-145,-145,-145,-145
-144,-144,-144,-144
-120,-120,-120,-120
-244,-244,-244,-244
-116,-116,-116,-116
-157,-157,-157,-157
-223,-223,-223,-223
-174,-174,-174,-174
-131,-131,-131,-131
-39,-39,-39,-39
-28,-28,-28,-28
44,44,44,44
161,161,161,161
68,68,68,68
10,10,10,10
-36,-36,-36,-36
-132,-132,-132,-132
-158,-158,-158,-158
-164,-164,-164,-164
-282,-282,-282,-282
-283,-283,-283,-283
-135,-135,-135,-135
-48,-48,-48,-48
-15,-15,-15,-15
-7,-7,-7,-7
-19,-19,-19,-19
2,2,2,2
220,220,220,220
222,222,222,222
162,162,162,162
387,387,387,387
364,364,364,364
168,168,168,168
267,267,267,267
468,468,468,468
484,484,484,484
465,465,465,465
558,558,558,558
635,635,635,635
627,627,627,627
577,577,577,577
506,506,506,506
416,416,416,416
471,471,471,471
377,377,377,377
300,300,300,300
270,270,270,270
167,167,167,167
49,49,49,49
-16,-16,-16,-16
165,165,165,165
257,257,257,257
271,271,271,271
351,351,351,351
519,519,519,519
520,520,520,520
512,512,512,512
557,557,557,557
535,535,535,535
259,259,259,259
37,37,37,37
18,18,18,18
-24,-24,-24,-24
-36,-36,-36,-36
-215,-215,-215,-215
-332,-332,-332,-332
-283,-283,-283,-283
-255,-255,-255,-255
-293,-293,-293,-293
-257,-257,-257,-257
-225,-225,-225,-225
-259,-259,-259,-259
-171,-171,-171,-171
-144,-144,-144,-144
-63,-63,-63,-63
-79,-79,-79,-79
-233,-233,-233,-233
-292,-292,-292,-292
-377,-377,-377,-377
-322,-322,-322,-322
-289,-289,-289,-289
