Q1,Q2,Q3,Q4
-4,23,-177,154
-40,32,-169,156
-132,24,-156,157
-165,-6,-136,154
-117,-34,-113,153
-138,-48,-94,152
-131,-44,-82,152
-124,-56,-71,151
-139,-69,-66,153
-124,-65,-61,148
-140,-51,-48,147
-125,-34,-32,148
-136,-13,-13,145
-131,-14,-1,147
-130,-16,0,149
-126,11,-5,145
-128,19,-2,142
-125,22,-1,144
-119,57,6,144
-125,84,13,142
-119,61,14,140
-119,55,10,141
-116,83,-5,137
-120,105,-17,138
-113,108,-23,138
-116,100,-25,133
-107,123,-33,137
-110,150,-33,139
-108,170,-43,134
-111,172,-54,131
-101,155,-61,130
-102,155,-71,129
-97,174,-78,125
-91,176,-80,122
-90,177,-86,120
-89,216,-96,115
-88,244,-100,113
-83,248,-109,110
-83,244,-114,108
-75,236,-116,104
-75,229,-119,101
-69,218,-122,98
-64,196,-120,93
-61,159,-125,90
-58,131,-131,83
-50,114,-130,80
-55,86,-129,82
-45,55,-126,79
-44,32,-118,76
-39,43,-113,71
-38,43,-102,69
-35,23,-99,64
-34,32,-97,65
-30,67,-88,60
-25,87,-82,52
-24,66,-73,50
-14,35,-66,46
-20,7,-56,41
-15,8,-45,37
-11,5,-27,40
-8,-5,-25,32
-4,19,-15,29
0,50,-6,25
6,72,2,24
7,46,9,16
11,29,14,12
13,43,25,12
17,36,34,4
18,-21,43,5
21,-53,45,2
27,-39,46,-5
29,-34,50,-5
30,-18,59,-6
30,-8,63,-12
38,0,70,-15
42,11,85,-16
45,-6,96,-19
45,-30,96,-21
49,-37,98,-22
53,-41,104,-28
54,-40,120,-29
55,-50,133,-34
61,-80,140,-37
68,-84,150,-40
70,-60,155,-45
74,-93,162,-46
73,-129,170,-55
82,-122,179,-59
84,-118,197,-59
84,-153,210,-67
90,-148,215,-70
87,-112,219,-70
87,-104,220,-76
94,-98,225,-76
95,-105,233,-76
96,-104,242,-79
97,-108,240,-82
101,-104,244,-83
109,-115,242,-89
110,-143,232,-87
111,-147,229,-89
116,-128,228,-96
119,-133,230,-100
117,-135,222,-100
127,-103,218,-99
127,-107,211,-106
129,-141,208,-107
137,-154,206,-109
137,-175,191,-115
143,-187,191,-114
145,-186,190,-115
145,-178,188,-118
146,-184,182,-121
145,-185,175,-127
153,-176,173,-128
156,-187,173,-130
159,-194,169,-131
159,-201,168,-134
158,-205,170,-136
161,-203,167,-135
159,-167,166,-135
160,-147,164,-135
159,-141,165,-131
162,-117,169,-134
164,-96,169,-139
169,-100,176,-135
169,-107,181,-134
171,-111,177,-133
167,-148,181,-137
168,-161,179,-140
174,-134,182,-139
167,-129,189,-136
165,-126,191,-138
160,-104,191,-140
161,-90,189,-140
165,-93,187,-142
165,-94,189,-138
163,-104,185,-140
162,-129,181,-141
166,-117,185,-140
162,-100,180,-140
164,-91,175,-136
158,-91,166,-135
155,-78,156,-135
153,-71,147,-131
150,-109,142,-133
152,-133,135,-133
153,-140,128,-134
156,-169,116,-134
151,-183,102,-129
150,-155,90,-126
150,-124,79,-130
148,-91,71,-126
153,-57,59,-128
148,-31,52,-130
145,-15,49,-124
144,-30,42,-128
142,-64,30,-121
146,-91,23,-119
143,-110,13,-119
141,-127,4,-115
141,-153,2,-123
141,-163,0,-125
140,-156,-2,-117
137,-157,-4,-117
131,-161,-6,-118
127,-182,-7,-119
124,-186,-6,-107
121,-186,-5,-114
110,-180,-1,-107
105,-163,3,-94
104,-135,14,-97
99,-107,17,-83
99,-96,21,-88
95,-105,25,-79
94,-123,31,-76
90,-121,45,-88
90,-139,58,-85
85,-161,65,-80
80,-177,73,-75
74,-153,78,-63
70,-105,80,-64
68,-72,86,-57
66,-75,93,-61
62,-81,104,-59
57,-79,108,-50
58,-105,110,-55
52,-133,115,-47
53,-166,114,-52
48,-179,113,-42
43,-166,111,-47
41,-127,109,-39
35,-88,114,-35
31,-70,113,-33
30,-52,109,-22
26,-43,105,-14
22,-55,100,-14
19,-73,96,-12
16,-84,90,-8
14,-84,84,-6
11,-81,86,3
3,-72,76,1
2,-56,64,-3
-2,-35,61,4
-6,-39,53,7
-8,-67,51,3
-14,-84,44,11
-15,-109,37,16
-18,-120,34,22
-19,-109,27,25
-24,-82,19,31
-27,-67,11,37
-32,-48,5,35
-35,-17,5,31
-38,6,-2,43
-38,2,-10,38
-43,-20,-21,40
-52,-41,-29,47
-54,-53,-37,47
-56,-52,-41,51
-62,-56,-48,60
