Q1,Q2,Q3,Q4
26,-522,76,-47
93,-443,106,7
98,-302,84,-48
144,-288,71,-57
190,-252,16,9
163,-189,5,-21
160,-37,21,15
159,77,-19,-42
127,199,-11,-85
130,254,-16,-5
150,220,-56,22
153,304,-88,20
149,435,-72,-92
194,412,-128,-157
45,407,-84,-133
20,363,-131,-90
89,309,-175,-70
24,246,-176,-85
12,131,-133,-50
30,127,-24,-24
103,40,-21,29
67,6,-63,2
101,-7,-101,-31
75,-17,-158,-20
50,-41,-296,21
3,-68,-250,-10
14,-159,-185,-98
63,-139,-252,-92
6,-46,-298,-49
-30,-49,-291,4
-75,-82,-336,-17
-41,-165,-469,-98
-18,-113,-418,-54
4,-150,-405,27
13,-167,-403,7
-56,-162,-336,-38
33,-175,-377,-115
156,-206,-122,-18
98,-217,473,77
107,-285,959,70
114,-400,676,119
159,-397,4,104
90,-419,-114,30
94,-395,214,21
107,-440,432,89
109,-326,442,78
119,-258,365,156
40,-311,483,77
67,-176,525,66
65,-35,381,75
124,38,395,75
61,46,339,168
-19,115,161,115
55,148,-221,72
102,241,-449,31
161,213,-200,81
157,104,172,41
136,222,203,18
50,294,-78,-10
23,207,-340,-16
80,120,-458,-2
57,196,-510,2
84,170,-442,-14
22,49,-339,-8
19,-87,-377,53
127,-159,-366,81
135,-71,-264,32
32,-180,-76,34
85,-314,19,2
68,-293,-43,-26
72,-169,-66,40
36,-161,-107,20
28,-244,-143,-42
71,-105,1,-65
93,27,208,-2
167,79,383,7
100,68,476,77
167,95,370,103
181,126,182,72
114,71,131,67
87,58,185,27
54,144,142,-19
-40,145,150,65
18,100,269,-9
12,122,246,-59
-4,85,230,-81
-25,57,199,-45
-5,102,134,32
46,162,5,-24
8,156,-128,8
-4,116,-214,-6
40,172,-376,39
90,279,-141,126
110,277,58,124
162,267,-23,58
61,154,-138,113
38,185,-190,46
16,124,-81,84
49,68,-16,126
13,24,-26,108
32,-130,-63,100
-5,-94,78,46
-111,-139,281,86
30,-78,373,175
21,-83,325,173
-23,-158,225,106
51,-112,5,128
85,-49,-20,61
86,-50,113,76
113,-112,102,146
121,-134,150,163
78,-115,196,134
91,-127,106,153
149,-242,-61,158
150,-201,-119,121
132,-167,-14,171
115,-172,-27,189
86,-228,-205,146
40,-378,-260,212
68,-367,-194,213
6,-370,-42,257
63,-423,-15,171
81,-549,-59,7
42,-568,-139,56
13,-567,-122,38
-28,-611,-80,70
34,-587,-87,57
24,-472,-131,72
54,-313,-154,121
54,-87,-83,114
159,-18,-116,122
122,41,-160,45
172,177,-195,79
154,420,-213,129
81,647,-217,93
161,710,-278,202
103,746,-315,221
47,675,-263,136
-7,851,-246,40
0,762,-243,79
-28,663,-234,186
-30,596,-254,80
37,571,-346,61
74,574,-379,77
21,295,-378,12
3,135,-302,14
3,78,-251,54
-24,32,-365,42
14,22,-410,59
-30,-8,-381,82
-4,-33,-64,26
63,24,556,54
3,-66,915,18
-65,-116,601,-48
-12,3,-32,33
97,59,-149,89
56,-14,281,80
93,-96,701,59
31,-132,632,65
40,-141,291,39
35,-188,258,83
26,-273,288,92
39,-432,309,66
24,-503,364,148
-34,-527,283,226
35,-590,72,253
117,-669,-206,175
9,-681,-363,165
65,-586,-130,161
34,-428,107,79
-21,-299,74,114
-2,-267,-77,172
40,-146,-326,154
-27,0,-435,130
-71,117,-459,105
-21,236,-262,151
87,313,-157,148
-30,257,-286,128
293,272,-286,156
186,379,-175,157
-187,437,-43,70
-1,395,18,14
-28,343,40,-37
37,249,28,8
54,192,38,83
85,164,17,10
41,165,225,107
17,121,514,90
-4,-27,533,36
-85,46,415,109
-141,52,196,61
-138,80,252,43
-67,101,309,64
-87,148,269,114
-101,135,264,176
-32,100,181,111
-26,133,137,133
-91,22,124,176
-92,-15,97,134
-46,-99,34,93
-3,-165,111,185
-82,-284,0,251
-136,-377,-127,222
-136,-399,-154,206
-155,-364,-67,131
-74,-299,-87,201
-69,-300,-121,195
-134,-455,-57,152
-118,-448,-40,214
-164,-278,32,179
-150,-174,-26,156
-3,30,-34,204
119,75,132,148
139,153,181,83
5,282,56,130
-20,329,41,143
-68,345,137,128
-103,254,343,136
-112,228,275,109
-116,192,73,68
-85,104,39,86
-102,54,103,105
-52,41,125,59
-130,-52,149,62
-128,-150,201,36
-108,-113,228,89
-67,-174,205,100
13,-161,135,119
-43,-155,197,176
33,-118,171,113
39,49,145,182
-50,103,94,193
-46,14,64,134
-65,-31,73,79
-83,-31,48,63
-94,-116,146,120
