Q1,Q2,Q3,Q4
13,275,142,743
26,324,143,957
27,332,182,962
26,312,204,725
19,268,205,330
6,294,202,-62
1,516,166,-348
2,896,106,-498
4,1212,96,-521
8,1250,147,-425
12,997,173,-244
14,612,129,-44
16,295,80,134
4,207,74,249
-8,323,81,407
-4,411,77,700
-3,312,82,870
-4,119,97,614
-3,34,83,58
-1,157,42,-249
1,394,25,-37
5,561,47,345
4,512,74,585
-5,155,86,688
-9,-402,83,668
-2,-800,64,489
4,-775,48,212
8,-426,61,5
12,-80,79,-82
12,27,69,-152
12,-92,66,-285
16,-292,89,-401
18,-415,84,-341
16,-366,43,-93
8,-256,20,175
1,-301,36,295
4,-563,64,237
16,-842,68,85
19,-880,48,-85
15,-667,31,-196
13,-353,20,-185
7,-91,17,-79
-2,-19,24,89
-8,-166,33,270
-5,-395,32,353
-2,-481,15,262
-10,-358,-9,75
-16,-205,-16,-53
-12,-202,6,-98
-6,-326,39,-175
-8,-421,42,-325
-19,-363,9,-430
-28,-164,-16,-370
-27,29,-11,-198
-19,54,3,-60
-17,-146,3,-46
-19,-440,-4,-125
-23,-593,-7,-241
-35,-522,-18,-402
-40,-375,-28,-559
-38,-335,-19,-606
-46,-445,-16,-534
-45,-644,-27,-441
-34,-825,-35,-406
-32,-850,-41,-392
-33,-692,-41,-359
-32,-546,-37,-341
-31,-619,-41,-381
-31,-895,-52,-487
-29,-1167,-56,-615
-21,-1250,-49,-717
-17,-1150,-47,-781
-23,-1006,-60,-800
-26,-983,-78,-737
-20,-1162,-85,-565
-14,-1433,-73,-393
-21,-1598,-60,-383
-28,-1509,-68,-523
-23,-1133,-83,-704
-17,-566,-95,-851
-18,70,-102,-961
-23,669,-92,-1033
-26,1070,-75,-1023
-17,1112,-69,-974
-5,858,-80,-956
-8,610,-88,-953
-14,588,-93,-992
-13,759,-94,-1074
-11,954,-74,-1182
-13,1009,-65,-1232
-15,940,-77,-626
-20,957,-78,1242
-28,1246,-71,3763
-23,1758,-65,5160
-14,2237,-57,4288
-21,2411,-51,2076
-29,2161,-49,552
-31,1601,-43,716
-38,994,-38,1807
-42,595,-38,2479
-37,561,-22,2173
-37,829,8,1432
-46,1084,31,1223
-51,1017,58,1706
-46,664,85,2028
-44,370,97,1430
-41,381,114,37
-35,596,144,-1397
-34,710,177,-2264
-33,469,196,-2420
-35,-125,195,-2071
-38,-784,185,-1531
-40,-1169,180,-992
-37,-1187,177,-571
-37,-998,175,-315
-41,-797,170,-237
-43,-690,154,-417
-40,-705,128,-807
-32,-812,106,-1087
-30,-893,101,-921
-38,-822,106,-400
-41,-648,109,14
-41,-576,116,169
-42,-739,116,468
-35,-1017,104,1263
-31,-1160,103,2264
-32,-1059,124,2726
-29,-784,145,2240
-24,-486,153,1167
-23,-261,157,269
-28,-82,159,13
-27,100,149,261
-24,262,140,578
-34,323,139,663
-37,265,132,520
-28,188,114,328
-21,192,102,191
-14,252,91,54
-13,283,74,-249
-17,300,60,-797
-21,375,51,-1409
-26,507,49,-1753
-26,648,51,-1668
-21,767,53,-1315
-19,859,57,-958
-19,889,55,-675
-14,786,47,-373
-7,563,51,-45
3,325,68,134
10,185,79,22
5,188,79,-268
-11,256,75,-437
-29,275,68,-300
-36,200,60,44
-39,84,53,361
-41,62,47,570
-33,152,40,769
-19,228,28,1036
-4,194,20,1271
14,48,8,1288
24,-152,-7,1019
16,-329,-13,542
0,-417,-18,34
0,-376,-18,-312
8,-259,-17,-384
8,-174,-19,-194
2,-167,-9,93
-3,-190,1,279
-7,-184,-2,292
-8,-126,-1,190
0,10,8,29
12,226,9,-171
14,408,7,-336
