Q1,Q2,Q3,Q4
-400,296,-205,-46
-705,272,-213,-47
-616,263,-204,-37
-672,255,-202,-35
-642,230,-201,-33
-668,188,-204,-49
-643,138,-209,-60
-658,104,-206,-61
-634,72,-199,-72
-643,29,-199,-82
-632,-16,-200,-81
-627,-42,-205,-75
-626,-66,-188,-79
-628,-96,-199,-79
-610,-130,-221,-89
-609,-152,-220,-95
-578,-153,-208,-101
-567,-156,-188,-96
-611,-166,-191,-93
-663,-157,-192,-94
-631,-159,-201,-103
-522,-166,-194,-109
-479,-175,-178,-103
-472,-177,-160,-95
-511,-188,-148,-106
-557,-199,-140,-102
-546,-205,-129,-95
-517,-220,-132,-115
-516,-226,-125,-117
-509,-241,-110,-117
-490,-237,-109,-129
-467,-235,-113,-134
-456,-217,-129,-138
-406,-209,-119,-159
-346,-189,-105,-162
-303,-183,-109,-158
-308,-188,-110,-158
-355,-175,-102,-172
-400,-182,-91,-182
-413,-190,-87,-188
-391,-195,-91,-189
-355,-190,-88,-189
-365,-205,-75,-193
-401,-219,-67,-201
-415,-235,-50,-208
-391,-240,-51,-205
-330,-254,-44,-212
-280,-254,-37,-203
-274,-235,-43,-201
-292,-224,-28,-203
-295,-218,6,-201
-291,-211,14,-209
-290,-171,12,-213
-295,-150,30,-214
-292,-144,48,-218
-291,-135,62,-228
-312,-123,74,-230
-329,-125,96,-219
-304,-146,110,-220
-268,-163,115,-216
-246,-187,118,-210
-248,-188,123,-216
-258,-190,137,-208
-272,-211,145,-212
-269,-213,157,-224
-258,-204,168,-222
-233,-194,163,-210
-233,-194,176,-206
-245,-193,175,-208
-240,-186,159,-206
-250,-180,158,-209
-255,-173,167,-201
-280,-169,162,-200
-329,-158,135,-200
-370,-178,131,-194
-380,-205,126,-187
-375,-219,125,-189
-393,-202,112,-186
-388,-217,90,-191
-383,-242,72,-190
-391,-239,41,-192
-383,-232,30,-194
-395,-208,11,-190
-397,-228,-1,-193
-408,-254,-7,-192
-427,-240,-23,-185
-448,-222,-37,-196
-474,-233,-55,-198
-481,-244,-60,-181
-478,-240,-57,-185
-485,-219,-76,-171
-502,-212,-84,-170
-518,-231,-107,-162
-526,-233,-132,-151
-520,-236,-127,-157
-520,-242,-135,-163
-524,-250,-147,-150
-540,-273,-150,-146
-565,-269,-159,-145
-578,-258,-167,-132
-595,-267,-158,-129
-603,-278,-164,-133
-617,-278,-164,-129
-629,-268,-169,-126
-638,-271,-159,-138
-679,-286,-164,-133
-690,-292,-178,-126
-697,-288,-176,-128
-708,-283,-162,-125
-708,-293,-161,-117
-720,-290,-163,-107
-729,-270,-160,-99
-730,-256,-180,-101
-741,-248,-183,-103
-761,-227,-182,-97
-769,-187,-169,-97
-771,-145,-169,-95
-773,-105,-172,-86
-781,-64,-165,-95
