Q1,Q2,Q3,Q4
-2,1050,-789,70
2,1055,-595,19
-3,1091,-379,31
3,1137,-81,17
-5,1045,121,-48
22,816,190,10
72,769,257,98
64,675,469,128
68,552,733,154
65,398,1111,202
67,317,1135,196
66,337,911,91
66,420,748,-6
66,795,732,9
66,1168,932,-45
67,1321,1054,-73
65,1047,1053,-22
66,822,865,6
66,943,710,31
66,1564,774,101
66,2238,805,122
66,2823,911,162
66,3232,796,155
66,3221,609,128
66,3132,586,22
67,3110,550,17
66,3429,705,34
66,3962,741,-15
65,4514,930,-60
67,4652,1018,-12
65,4538,978,87
66,4349,993,-33
66,4166,1000,-59
66,4044,1175,-75
66,3910,1128,52
65,3853,1019,44
66,3953,994,-2
65,3897,942,-5
67,3205,921,50
66,2032,904,11
65,1106,836,-86
66,974,726,-47
65,1229,528,-101
66,1073,326,-84
66,-79,271,-70
66,-1474,364,-19
65,-2307,379,-3
66,-2448,196,47
66,-2463,44,27
66,-2785,-45,-3
66,-3292,-72,-40
66,-3891,-24,-70
65,-4560,14,36
66,-5258,-65,120
66,-5189,-159,88
66,-4281,-206,67
66,-3378,-52,19
66,-3301,197,41
66,-4024,237,31
66,-4615,181,-9
66,-4473,69,72
66,-3412,-56,23
66,-2219,-33,-12
66,-1440,236,-50
67,-881,287,-98
65,-451,179,-86
65,-292,72,-103
66,-340,-70,-140
67,-20,-159,-114
65,1067,-201,-12
67,2569,-301,59
66,3385,-443,111
66,3174,-569,133
66,2625,-680,171
66,2738,-852,204
66,3665,-1019,87
66,4506,-1090,63
66,4682,-1173,52
66,4399,-1200,-53
65,3819,-1473,-129
66,3281,-1661,-28
66,3096,-1588,31
66,3377,-1338,-42
66,3831,-1213,-90
66,3962,-1302,-137
67,3376,-1402,-129
66,1987,-1441,-29
66,668,-1229,7
67,-139,-985,31
66,-129,-794,98
65,334,-669,130
65,539,-592,131
66,49,-516,67
65,-1302,-209,172
66,-2902,122,203
66,-3903,411,171
67,-3966,630,204
65,-3543,651,139
65,-3150,685,30
66,-3430,812,9
66,-4346,940,53
66,-5271,1051,117
65,-5645,1140,92
66,-5431,1051,58
66,-4998,964,71
66,-4756,902,60
65,-4741,913,110
66,-4881,927,140
66,-5149,880,194
66,-4876,715,156
67,-4019,403,57
65,-3162,254,77
65,-2768,241,16
65,-2913,393,36
65,-3052,472,114
66,-2762,338,141
67,-2010,124,174
65,-1090,67,16
65,-278,109,20
65,263,-25,32
66,294,-33,-10
65,-21,55,75
66,-240,61,17
66,10,194,1
66,717,458,-42
65,1472,543,-73
66,1835,497,-59
66,1792,382,-36
65,1514,206,63
65,1136,181,34
66,971,277,48
66,1142,399,24
66,1371,576,-4
66,1383,659,-87
65,1381,577,-92
65,1307,504,17
65,1188,437,135
66,1052,306,272
65,940,181,149
65,866,65,64
66,610,-115,69
65,512,-131,60
65,588,-28,109
65,833,7,138
65,1048,-5,90
66,1072,-113,19
66,970,-278,-5
66,877,-439,6
66,811,-529,-9
66,800,-459,50
65,1209,-361,24
66,1909,-209,34
66,2695,-175,75
66,3056,-312,-6
66,2853,-292,44
66,2560,-323,77
65,2490,-289,14
66,2766,-365,43
66,3366,-465,28
66,4037,-479,26
66,4529,-482,21
66,4525,-209,-49
65,4146,-85,-84
66,3688,-58,-61
66,3404,-106,33
65,3610,-442,69
66,3831,-603,114
66,3674,-587,-56
66,3332,-490,-86
65,3111,-389,-63
66,2981,-485,-51
66,2447,-615,93
66,1137,-732,27
66,-332,-784,-4
66,-743,-794,1
66,208,-791,70
67,969,-751,2
66,8,-634,-78
65,-2155,-577,-62
65,-3629,-496,-31
66,-3511,-467,16
66,-2921,-403,-53
65,-2965,-156,-26
66,-3472,8,43
66,-3752,113,113
66,-3758,139,100
67,-4262,121,11
66,-5128,195,14
66,-5206,399,14
67,-3952,553,-49
66,-2417,595,-29
66,-2362,595,12
66,-3469,694,-94
66,-4090,858,-91
65,-2985,933,22
66,-921,900,72
66,197,847,59
66,-6,902,108
65,-409,819,57
67,-78,715,-13
65,637,769,11
67,1333,729,-96
66,2094,727,-87
66,3224,705,-67
67,3829,652,-21
66,3243,664,-33
66,2191,652,-92
66,2068,599,-71
67,3371,589,-64
66,4889,597,-67
65,5145,589,18
66,4024,596,70
65,2809,508,-2
66,2132,455,43
66,2050,464,74
66,2295,461,23
66,2944,546,-47
66,3403,585,-33
66,2899,470,54
67,1136,482,62
65,-861,534,109
66,-1722,504,136
66,-1112,372,25
65,172,326,-8
66,591,412,39
65,-267,470,118
65,-1865,439,89
65,-3101,270,97
66,-3554,165,185
67,-3150,130,200
66,-2487,137,171
66,-2146,73,257
67,-2511,-20,348
65,-3481,-48,275
66,-4236,-120,198
66,-4338,-195,133
65,-3842,-92,131
66,-3491,-114,133
66,-3665,-349,94
66,-3970,-454,14
66,-4230,-505,34
65,-4214,-559,119
66,-3759,-464,92
66,-3158,-382,58
65,-2742,-509,154
65,-2780,-631,165
66,-3163,-671,78
66,-3531,-715,67
66,-3329,-729,60
66,-2497,-845,110
66,-1588,-1114,138
66,-1060,-1051,91
66,-945,-913,19
66,-1387,-970,-4
66,-1865,-975,1
67,-1722,-974,-83
67,-989,-1032,-57
66,-50,-1104,51
66,406,-1082,105
65,198,-1045,77
66,-61,-943,-43
66,-34,-772,-107
65,268,-647,-76
66,600,-563,-60
66,773,-531,-74
66,853,-588,-22
66,804,-594,8
66,965,-591,-45
