Q1,Q2,Q3,Q4
-36,-36,-36,-36
-45,-45,-45,-45
-60,-60,-60,-60
-75,-75,-75,-75
-114,-114,-114,-114
-123,-123,-123,-123
-144,-144,-144,-144
-122,-122,-122,-122
-148,-148,-148,-148
-233,-233,-233,-233
-178,-178,-178,-178
-212,-212,-212,-212
-204,-204,-204,-204
-200,-200,-200,-200
-178,-178,-178,-178
-188,-188,-188,-188
-154,-154,-154,-154
-149,-149,-149,-149
-148,-148,-148,-148
-145,-145,-145,-145
-176,-176,-176,-176
-143,-143,-143,-143
-137,-137,-137,-137
-147,-147,-147,-147
-147,-147,-147,-147
-123,-123,-123,-123
-161,-161,-161,-161
-143,-143,-143,-143
-169,-169,-169,-169
-166,-166,-166,-166
-184,-184,-184,-184
-155,-155,-155,-155
-144,-144,-144,-144
-213,-213,-213,-213
-240,-240,-240,-240
-249,-249,-249,-249
-223,-223,-223,-223
-232,-232,-232,-232
-221,-221,-221,-221
-229,-229,-229,-229
-250,-250,-250,-250
-232,-232,-232,-232
-218,-218,-218,-218
-228,-228,-228,-228
-236,-236,-236,-236
-230,-230,-230,-230
-243,-243,-243,-243
-241,-241,-241,-241
-201,-201,-201,-201
-217,-217,-217,-217
-226,-226,-226,-226
-231,-231,-231,-231
-253,-253,-253,-253
-259,-259,-259,-259
-267,-267,-267,-267
-269,-269,-269,-269
-270,-270,-270,-270
-256,-256,-256,-256
-248,-248,-248,-248
-282,-282,-282,-282
-260,-260,-260,-260
-270,-270,-270,-270
-296,-296,-296,-296
-269,-269,-269,-269
-260,-260,-260,-260
-269,-269,-269,-269
-250,-250,-250,-250
-245,-245,-245,-245
-246,-246,-246,-246
-210,-210,-210,-210
-260,-260,-260,-260
-266,-266,-266,-266
-287,-287,-287,-287
-296,-296,-296,-296
-298,-298,-298,-298
-312,-312,-312,-312
-300,-300,-300,-300
-330,-330,-330,-330
-306,-306,-306,-306
-293,-293,-293,-293
-302,-302,-302,-302
-283,-283,-283,-283
-272,-272,-272,-272
-251,-251,-251,-251
-278,-278,-278,-278
-274,-274,-274,-274
-271,-271,-271,-271
-256,-256,-256,-256
-265,-265,-265,-265
-283,-283,-283,-283
-268,-268,-268,-268
-293,-293,-293,-293
-277,-277,-277,-277
-304,-304,-304,-304
-311,-311,-311,-311
-324,-324,-324,-324
-320,-320,-320,-320
-331,-331,-331,-331
-299,-299,-299,-299
-287,-287,-287,-287
-325,-325,-325,-325
-330,-330,-330,-330
-314,-314,-314,-314
-304,-304,-304,-304
-337,-337,-337,-337
-290,-290,-290,-290
-291,-291,-291,-291
-306,-306,-306,-306
-301,-301,-301,-301
-283,-283,-283,-283
-310,-310,-310,-310
-304,-304,-304,-304
-280,-280,-280,-280
-285,-285,-285,-285
-293,-293,-293,-293
-314,-314,-314,-314
-306,-306,-306,-306
-305,-305,-305,-305
-278,-278,-278,-278
-285,-285,-285,-285
-292,-292,-292,-292
-320,-320,-320,-320
-337,-337,-337,-337
-314,-314,-314,-314
