Q1,Q2,Q3,Q4
-2,-1194,168,-73
-2,-767,506,-52
29,-71,536,-19
37,740,556,77
57,1430,360,101
106,1826,347,-51
88,1862,732,-65
49,1623,1137,69
20,1266,1495,65
-21,841,1697,49
-6,574,1653,79
25,610,1635,22
7,808,1887,8
-13,1137,2076,79
-26,1451,1966,124
-51,1505,2009,106
-46,1286,2421,50
-3,873,2503,-18
-12,382,2091,-42
-45,13,2138,12
-24,-218,2691,47
-13,-423,2945,25
0,-509,2713,3
48,-457,2410,26
35,-364,2455,37
20,-166,2741,29
62,18,2958,69
20,-15,3071,35
-67,-185,2849,-15
-37,-381,2016,55
24,-565,809,62
6,-645,9,21
22,-549,323,25
86,-354,1229,8
80,-127,2011,34
33,79,2003,66
-1,249,371,57
-3,445,-2038,76
46,543,-3238,65
35,497,-2399,12
-12,462,-692,18
43,433,56,65
80,364,-737,38
47,376,-2182,10
49,492,-3250,35
53,556,-3691,-13
73,537,-3702,-19
104,499,-3259,73
48,459,-2355,57
2,354,-1735,20
33,202,-1971,44
23,132,-2829,-11
-12,30,-3679,-32
-20,-195,-3710,44
-21,-404,-2872,51
-22,-567,-1891,6
-17,-667,-1287,-37
23,-686,-1312,-91
35,-690,-1719,-79
-24,-701,-1892,-54
-52,-709,-1785,-55
4,-689,-1557,-46
58,-696,-1039,-59
41,-791,-316,-33
-4,-905,268,10
-16,-971,439,59
22,-932,79,64
39,-767,-393,-16
-9,-515,-318,26
-21,-263,306,70
15,-92,970,44
28,2,1240,103
49,-4,1042,6
40,-83,763,-113
-42,-147,589,-13
-68,-162,491,-22
-21,-134,569,-43
-1,-46,744,49
-3,151,915,-50
8,350,762,-114
13,391,129,-12
13,329,-525,-57
15,234,-721,-103
5,87,-365,-44
37,-32,-170,-48
50,-86,-638,-4
16,-127,-1465,16
35,-140,-2219,-55
22,-141,-2154,-30
17,-111,-1356,-27
57,-41,-886,-76
33,-27,-1184,-46
1,-16,-1951,-44
-13,21,-2519,-21
5,-6,-2338,76
38,-50,-1686,31
25,-73,-1175,-20
16,-66,-1003,45
43,13,-1148,6
55,92,-1350,12
-12,152,-1224,42
-48,211,-853,-19
14,276,-473,78
32,419,-38,143
19,495,210,83
24,442,128,102
-3,410,124,76
-26,308,388,73
-6,164,733,91
-2,134,966,-2
-26,139,1094,-30
-26,224,1173,0
-25,418,1188,49
2,577,1233,124
43,660,1441,95
12,634,1685,31
-25,491,1597,-26
-24,326,1306,-81
-21,184,1269,-57
10,106,1450,-18
21,175,1590,26
-7,340,1449,36
-16,510,1083,24
-11,662,924,124
-17,722,1034,69
-36,663,1023,-68
-7,509,780,57
14,333,632,62
-27,260,628,-26
-30,258,444,111
-26,284,168,111
-52,350,103,33
-75,407,240,91
-88,421,319,16
-85,361,159,-71
-52,228,-67,26
-51,132,-180,60
-102,132,-43,-10
-102,159,322,-2
-77,173,358,11
-39,187,72,-28
6,176,234,-23
-24,131,708,65
-44,92,773,117
-35,81,768,34
-39,61,1138,21
-2,30,1398,58
-4,13,1545,-15
-53,-29,1748,6
-35,-117,1614,77
-14,-194,1262,57
-25,-283,1392,39
-11,-430,2238,5
-9,-509,2906,4
-38,-470,2720,57
-67,-430,2272,28
-74,-505,2139,18
-54,-722,2192,59
-37,-991,2337,-19
-53,-1234,2701,-41
-61,-1388,2950,83
-16,-1377,2808,99
27,-1248,2618,31
20,-1028,2495,52
-34,-759,2553,80
-74,-679,2759,26
-44,-815,2647,-21
-3,-1014,2291,-31
11,-1298,1312,-33
13,-1515,-405,-9
11,-1528,-1184,33
11,-1420,17,74
-9,-1142,2102,74
-20,-753,2704,61
33,-449,616,17
48,-277,-2526,-83
0,-259,-4000,-85
10,-411,-3014,-28
16,-612,-1257,39
17,-683,-368,89
46,-603,-742,-12
6,-492,-1868,-44
-11,-359,-2990,46
12,-175,-3950,52
-14,-22,-4457,38
-14,37,-3820,-17
5,1,-2422,-48
16,-90,-1491,48
-3,-174,-1602,47
-68,-239,-2615,-46
-87,-277,-3870,-79
-101,-251,-4212,-82
-126,-177,-3162,-57
-58,-141,-1731,3
24,-159,-968,39
24,-187,-985,-16
-2,-233,-1326,-28
-17,-234,-1432,65
-43,-158,-1393,57
-26,-125,-1377,6
52,-141,-1062,19
82,-109,-287,-36
39,-37,687,-42
11,3,1220,50
46,24,863,19
57,62,94,-30
36,107,-138,-34
71,224,482,-67
97,332,1306,-26
50,358,1534,10
-37,398,1216,22
-55,403,959,42
38,406,856,-34
93,411,767,-59
60,376,722,27
12,414,699,10
-10,489,667,-24
16,566,591,20
34,614,408,-53
51,577,-260,-128
77,564,-1208,-36
45,569,-1469,15
28,537,-1007,-10
20,479,-522,-53
-21,427,-719,-134
-17,434,-1844,-122
0,422,-3107,-94
-12,426,-3315,-118
-7,537,-2264,-127
4,651,-1265,-189
38,710,-1431,-162
79,663,-2324,-73
10,560,-2879,-22
-79,523,-2703,45
-67,439,-2207,-77
-15,380,-1620,-164
39,516,-1099,-35
50,684,-982,-37
52,882,-1014,-63
70,1111,-998,6
49,1134,-939,-36
52,1030,-634,-68
35,884,-12,30
-26,684,673,54
-15,555,815,-8
-9,394,525,-31
-40,90,433,-70
-69,-300,630,-87
-107,-673,1007,20
-109,-867,1401,86
-86,-833,1491,0
-58,-598,1200,2
-26,-242,1047,15
17,25,1286,-74
56,67,1521,-28
43,-127,1518,38
22,-586,1247,54
25,-1212,1010,4
37,-1757,1157,-32
24,-2013,1335,134
-6,-1856,1154,82
-17,-1360,754,-50
-13,-728,475,71
7,-113,480,19
18,325,523,-109
26,383,400,-63
3,14,274,-51
-50,-578,131,-62
-51,-1130,-108,1
-71,-1402,-254,-9
-67,-1266,-296,-87
39,-783,-318,-93
51,-102,-309,-81
-2,537,-203,-64
23,917,76,-56
21,957,180,-43
11,635,-38,26
0,97,-106,24
-36,-403,134,16
-7,-711,514,77
-17,-775,799,49
-59,-565,809,-13
-27,-128,804,5
-28,339,1097,14
-76,616,1496,13
-83,593,1614,31
-67,308,1617,34
-70,-68,1853,-2
-77,-416,2014,-38
-57,-671,2043,0
-59,-736,2194,16
-68,-585,2261,-27
-20,-313,2370,-37
14,-41,2610,-12
12,148,2769,58
22,186,2881,74
22,81,2861,43
21,-57,2735,61
0,-220,2559,31
9,-385,2510,-4
46,-429,2914,33
-19,-375,3181,44
-46,-287,3053,56
46,-165,3040,113
66,-60,2758,90
24,-15,1712,5
21,46,-34,9
14,139,-1499,25
-30,136,-1131,-24
-29,78,904,1
-3,22,2603,28
-11,-89,2021,-38
12,-137,-818,-15
34,-108,-3757,-9
24,-124,-4817,-98
32,-50,-3817,-87
55,144,-2009,-53
50,270,-779,-29
2,283,-842,-3
-29,220,-2128,-27
-2,167,-3808,-1
7,134,-5053,-13
-60,4,-5354,-39
-75,-89,-4467,67
-6,-27,-2873,79
4,28,-1525,-17
-15,50,-1298,4
-9,117,-2357,28
-7,148,-3796,-2
29,137,-4248,42
68,155,-3312,83
42,121,-1835,71
-1,26,-737,42
-15,2,-347,-14
-21,10,-419,21
-3,-11,-658,58
9,38,-919,3
-24,122,-906,30
-26,156,-404,47
7,177,402,12
-2,160,1117,37
-32,115,1515,38
-48,64,1508,24
-49,-39,1149,-3
-25,-133,901,-67
-15,-178,1006,-26
-22,-184,1183,33
9,-120,1242,-55
26,-16,1164,-126
19,41,1076,-83
38,50,1153,-68
47,45,1271,-84
34,-44,1048,-29
47,-119,367,-43
48,-109,-301,-116
2,-154,-578,-36
-12,-157,-541,40
9,-79,-504,30
3,-47,-941,-9
-6,-8,-1571,-80
-2,-6,-1746,-51
15,-45,-1983,-31
53,-50,-2584,-44
53,-82,-2992,34
12,-82,-3263,33
-39,-44,-3246,-50
-75,-51,-2606,-23
-42,-43,-2050,46
0,-29,-2250,32
-5,-53,-2853,37
2,-96,-3078,9
15,-130,-2677,-62
24,-95,-2072,-22
27,-28,-1577,29
-9,4,-1083,56
-43,32,-714,35
-27,51,-685,1
8,11,-580,66
21,-29,-271,68
-11,-12,-124,29
-21,-2,107,28
1,11,701,-60
-18,64,1218,-95
-29,94,1269,20
-2,121,1172,49
6,147,1222,38
13,120,1203,68
52,105,1242,-26
71,118,1478,-57
46,135,1471,35
39,164,1293,44
29,173,1408,35
-13,151,1575,20
-33,120,1385,-10
-44,120,1002,-13
-51,134,805,-3
-40,127,780,26
-24,135,707,0
-12,100,610,-94
-35,28,448,-111
-59,27,144,-29
-36,24,-43,-63
-4,-38,-67,-76
10,-54,-203,47
25,-34,-384,-29
62,-37,-449,-89
66,-21,-545,20
53,-8,-600,-16
75,-41,-386,-36
68,-32,-145,-12
69,36,-127,-45
63,51,-134,44
27,38,-11,101
76,15,192,67
111,-71,443,93
69,-82,721,60
53,-51,1019,59
37,-91,1308,122
10,-41,1616,68
14,51,1851,33
8,41,1756,10
11,59,1699,-13
51,66,2160,57
25,-19,2660,74
-4,-42,2741,63
43,13,2780,42
54,25,2953,-8
31,38,2985,22
54,54,2964,68
86,54,3015,91
73,71,2989,133
57,15,2972,140
13,-52,3151,69
-32,-36,3498,48
24,-30,3766,102
25,-34,3657,57
-42,-16,3301,29
-18,-2,3015,79
-7,-2,2871,2
-33,-27,2889,-67
-51,-20,2966,11
-89,31,2475,48
-80,38,755,30
-62,1,-1316,9
-46,25,-2044,-46
30,87,-943,-37
56,95,928,-36
33,87,1643,-47
17,102,172,62
-23,107,-2617,70
-38,117,-4900,-7
-16,165,-5465,42
56,192,-4501,74
125,192,-3053,38
63,205,-2098,9
-35,183,-1951,-40
-54,134,-2683,-21
-46,93,-4185,59
-44,56,-5466,54
-40,59,-5574,28
-35,101,-4583,25
-41,85,-3093,13
-53,36,-1895,7
-51,79,-1670,1
-54,131,-2259,31
-60,103,-2789,-8
-61,94,-2647,-83
-59,126,-1865,-4
-50,146,-1084,55
-60,134,-695,18
-67,72,-323,31
-36,37,91,29
12,83,466,-19
29,66,1050,-30
9,-15,1481,-34
-3,3,1397,-36
-4,38,1241,9
4,21,1226,31
15,29,1177,-4
15,38,1338,-29
20,53,1891,-44
37,24,2456,-61
14,-44,2551,-35
-20,-23,1976,-11
20,-1,1036,-30
57,-13,183,-12
39,17,-188,11
55,9,143,23
91,-23,734,9
69,-23,940,-34
33,-47,457,20
10,-84,-492,58
-46,-75,-1426,37
-52,-12,-1990,72
13,68,-2174,84
28,109,-2319,111
-11,98,-2383,113
-52,61,-2565,36
-50,0,-3133,35
-30,-20,-3547,9
-61,39,-3711,-96
-82,27,-3627,-86
-73,-30,-3325,-23
-53,7,-3319,2
1,61,-3412,-1
27,82,-3244,-56
9,81,-2779,-68
-27,73,-2087,-32
-59,102,-1521,-33
-14,134,-1273,-2
22,139,-1194,30
-16,159,-986,11
8,169,-569,31
56,141,71,16
36,98,800,-33
13,23,1205,4
14,-38,1303,-34
23,-36,1308,-161
6,2,1265,-199
-28,47,1266,-163
-27,73,1419,-96
-6,86,1693,4
1,119,1868,68
-9,140,1798,-2
-6,95,1497,-109
20,62,1208,-91
5,53,1163,-22
-23,47,1180,-4
6,83,1061,-25
14,95,823,-72
-35,106,497,-95
-51,94,202,-60
-14,7,94,-39
29,8,121,-17
40,32,143,11
-5,-13,48,-38
-30,5,-269,-74
-8,34,-592,-41
-29,25,-713,-23
-20,42,-729,-23
47,66,-616,-20
41,47,-463,-30
28,33,-420,-28
65,73,-466,-20
37,81,-538,8
14,52,-411,64
33,51,-98,67
25,45,220,72
51,37,545,51
48,49,759,-29
0,78,851,28
20,113,1048,113
6,132,1401,83
-36,153,1765,80
-1,180,2056,67
17,147,2251,27
24,75,2331,29
27,36,2420,40
-21,36,2658,77
-29,24,2954,53
-28,28,3122,-40
-38,107,3165,-40
-11,110,3199,-32
-27,-19,3188,-24
-49,-91,3227,27
6,-80,3382,19
73,-51,3458,18
65,11,3490,54
-16,63,3524,103
-68,68,3505,135
-36,27,3489,33
-28,-22,3567,-38
-73,-53,3727,-8
-60,-87,3704,0
-14,-65,3576,11
-11,14,3470,-35
-51,71,3171,-62
-75,122,2487,-52
-36,174,652,-98
-35,165,-1988,-42
-43,104,-3411,23
11,52,-2602,-63
10,35,-280,-106
-19,62,1451,-91
-19,101,933,-118
-38,131,-1578,-59
-58,168,-4572,23
-45,172,-6245,-3
3,131,-6158,-78
-18,102,-5121,-148
-98,61,-3975,-90
-82,23,-3066,-6
-24,30,-2574,-70
-29,30,-2900,-141
-62,62,-3655,-150
-77,99,-4270,-100
-49,92,-4553,-38
1,106,-4172,-62
24,104,-3319,-74
-4,98,-2609,-76
5,81,-2257,-122
76,44,-1735,-56
71,101,-600,-11
30,164,643,-24
61,131,1196,64
77,126,800,21
64,158,-5,-29
78,106,-508,72
38,33,-187,-5
-27,30,1101,-72
-14,40,2545,51
1,51,3384,21
-31,97,3579,-52
-36,103,3152,40
-3,65,2278,65
19,38,1437,22
26,-35,979,11
51,-75,961,-66
82,-53,1334,-103
103,-45,1653,-70
106,5,1469,-65
85,72,989,13
79,160,405,77
101,214,-74,12
119,121,-302,-18
127,28,-676,-8
119,-3,-1345,17
78,-33,-2122,84
42,-7,-2800,37
63,23,-2997,-29
99,-14,-2671,7
98,-37,-2361,-27
64,-25,-2391,-33
32,9,-2658,15
36,39,-3291,-79
31,37,-4199,-157
23,33,-4822,-109
44,25,-4845,-66
25,28,-4202,-41
24,0,-3088,-9
63,-40,-1998,-13
47,-25,-1439,-57
43,-9,-1483,-71
33,7,-1570,-41
-24,42,-1272,-43
-14,82,-856,-54
9,77,-642,-1
-19,49,-407,18
-30,67,34,-13
-60,44,617,-28
-67,3,1431,-69
-18,-3,2294,-42
-26,-26,2630,-6
-16,-54,2300,-78
11,-51,1698,-78
-45,13,1134,-40
-53,53,749,-46
-32,32,725,-22
-44,40,1045,-77
-28,41,1336,-93
-3,13,1389,-32
39,15,1248,-66
76,9,895,7
74,-5,403,65
32,33,-70,-63
-8,50,-423,-68
-3,34,-679,-22
8,31,-839,-40
20,10,-880,-2
-6,-12,-787,35
-41,-3,-534,24
12,40,-336,-45
39,58,-334,-82
-48,3,-504,-24
-123,-11,-817,6
-70,3,-1063,9
16,-44,-1090,5
2,-59,-815,13
-12,-42,-309,36
24,-60,107,20
3,-38,369,29
-3,-3,629,10
40,-23,862,-41
20,-26,1008,-3
-3,-46,1166,55
0,-96,1329,79
-19,-71,1380,64
4,-23,1507,11
24,-24,1869,-21
-19,-13,2308,-13
-15,-18,2670,10
23,-58,2899,66
55,-56,3070,108
106,-61,3148,10
113,-88,3062,-58
80,-95,2936,-11
54,-110,2840,0
45,-60,2885,23
57,24,3040,11
41,37,3166,-35
20,41,3310,21
19,29,3351,36
25,-7,3356,-16
44,-29,3457,11
57,-66,3378,3
45,-81,3150,-26
3,-44,2969,33
30,-50,2863,28
90,-99,3034,-9
36,-97,3437,22
-7,-70,3763,31
25,-39,3781,36
31,0,3429,68
-6,8,2471,62
-16,27,224,-22
22,10,-2673,-76
23,-64,-4298,-22
15,-35,-3773,-1
31,40,-1688,-34
35,4,154,-2
63,-13,308,25
64,23,-1175,25
-2,-5,-3439,55
-27,-9,-5006,-15
-11,38,-5258,-67
-16,52,-5118,-28
-15,35,-5232,-33
-24,3,-5162,82
-5,-12,-4612,115
44,-8,-3896,-29
15,-41,-2962,-9
-56,-48,-2021,-2
-70,-18,-1672,23
-30,-64,-1815,100
9,-96,-2078,-30
18,-67,-2479,-81
52,-74,-2978,-39
122,-69,-2808,-66
113,-60,-1503,3
-2,-86,355,11
-32,-67,1948,-25
32,-17,2779,-12
