Q1,Q2,Q3,Q4
-97,-49,-531,-532
-144,-18,-585,-487
-121,11,-600,-522
-155,-27,-633,-531
-191,-35,-651,-500
-195,-74,-654,-532
-173,-73,-684,-553
-164,-51,-707,-534
-159,-81,-775,-526
-126,-88,-834,-510
-155,-91,-904,-492
-147,-123,-952,-520
-145,-134,-944,-511
-183,-112,-985,-513
-193,-132,-1044,-508
-214,-131,-1079,-514
-186,-93,-1145,-527
-171,-99,-1192,-515
-230,-127,-1224,-486
-209,-154,-1327,-490
-198,-102,-1282,-515
-171,-120,-1302,-502
-160,-163,-1333,-539
-201,-169,-1369,-521
-190,-180,-1436,-511
-204,-203,-1453,-520
-192,-182,-1501,-540
-152,-143,-1536,-488
-169,-181,-1606,-504
-159,-218,-1571,-524
-134,-208,-1588,-477
-190,-182,-1599,-498
-141,-244,-1652,-517
-167,-233,-1686,-546
-146,-216,-1716,-504
-108,-252,-1733,-535
-207,-253,-1758,-521
-178,-284,-1819,-530
-175,-262,-1819,-497
-176,-250,-1845,-478
-191,-266,-1818,-493
-160,-287,-1835,-529
-162,-310,-1860,-535
-152,-310,-1878,-508
-141,-295,-1861,-523
-161,-279,-1845,-478
-117,-335,-1874,-514
-179,-352,-1940,-513
-165,-327,-1952,-534
-170,-311,-1979,-495
-199,-326,-1964,-496
-171,-331,-1957,-499
-176,-338,-1998,-520
-175,-336,-1928,-466
-177,-384,-1934,-444
-160,-369,-1948,-502
-157,-352,-1956,-455
-186,-391,-2016,-459
-199,-371,-2038,-477
-164,-396,-2095,-477
-198,-386,-2082,-449
-203,-379,-2061,-477
-160,-375,-2098,-450
-191,-375,-2045,-417
-168,-370,-2074,-413
-187,-383,-2062,-433
-195,-425,-2004,-416
-183,-415,-2009,-444
-222,-425,-2018,-409
-225,-429,-2052,-405
-204,-404,-1989,-443
-192,-422,-1933,-361
-207,-452,-1914,-382
-193,-448,-1858,-409
-194,-433,-1852,-375
-182,-449,-1795,-379
-153,-450,-1800,-365
-127,-465,-1757,-362
-124,-461,-1688,-417
-136,-445,-1687,-414
-128,-450,-1644,-417
-110,-448,-1585,-388
-121,-460,-1498,-371
-116,-479,-1478,-387
-110,-469,-1412,-374
-161,-472,-1393,-378
-163,-488,-1301,-370
-125,-482,-1261,-383
-95,-455,-1256,-375
-101,-465,-1162,-324
-142,-469,-1166,-367
-120,-474,-1124,-381
-80,-481,-1062,-342
-113,-466,-1015,-376
-99,-503,-991,-387
-122,-499,-927,-355
-116,-471,-896,-354
-90,-445,-835,-370
-135,-445,-794,-354
-78,-462,-787,-317
-92,-483,-713,-359
-131,-495,-688,-364
-117,-506,-640,-338
-151,-496,-585,-341
-149,-481,-560,-335
-127,-497,-465,-373
-125,-490,-362,-338
-78,-456,-369,-312
-89,-486,-410,-306
-105,-512,-375,-310
-77,-468,-285,-319
-95,-459,-287,-302
-98,-502,-293,-333
-102,-493,-258,-308
-93,-462,-197,-299
-71,-483,-157,-336
-57,-431,-158,-300
-59,-395,-182,-286
-74,-410,-184,-302
-96,-412,-157,-336
-92,-441,-145,-329
-100,-411,-92,-331
-77,-407,-141,-347
-42,-425,-149,-346
-39,-398,-146,-313
-44,-390,-174,-285
-81,-396,-204,-353
-60,-426,-234,-312
-47,-394,-205,-342
-68,-360,-206,-358
-47,-360,-192,-321
-45,-416,-206,-364
-42,-416,-256,-344
-34,-395,-306,-331
-21,-409,-347,-355
10,-362,-386,-323
-15,-369,-385,-336
-39,-365,-400,-359
-62,-331,-341,-314
-60,-340,-346,-334
-34,-366,-415,-334
-75,-318,-415,-309
-56,-306,-460,-299
-41,-295,-396,-290
-93,-335,-423,-294
-70,-346,-491,-313
-63,-293,-501,-273
-68,-342,-501,-280
-48,-284,-486,-308
-80,-287,-464,-312
-62,-339,-522,-321
-67,-341,-470,-348
-61,-351,-359,-322
-72,-313,-446,-267
-80,-334,-442,-296
-83,-345,-325,-292
-49,-322,-393,-305
-56,-382,-455,-347
-92,-384,-332,-316
-42,-392,-358,-294
-87,-407,-234,-335
-54,-410,-215,-307
-109,-418,-191,-333
-91,-420,-118,-333
-44,-448,-150,-340
-98,-443,-72,-373
-106,-463,-40,-342
-120,-514,22,-321
-94,-509,5,-316
-74,-457,21,-350
-81,-481,107,-382
-82,-486,178,-392
-98,-515,186,-330
-108,-490,233,-336
-82,-492,253,-343
-98,-559,-64,-380
-128,-556,91,-429
-137,-515,329,-399
-106,-489,150,-406
-125,-549,331,-391
-186,-605,29,-401
-150,-503,213,-406
-147,-490,212,-417
-169,-631,169,-445
-179,-677,253,-459
-194,-596,-34,-454
-169,-595,71,-462
-199,-738,-6,-433
-149,-763,163,-420
-149,-717,48,-436
-145,-732,26,-430
-198,-813,-109,-463
-219,-848,-25,-494
-193,-821,-107,-485
-240,-797,-163,-474
-178,-849,-224,-487
-187,-859,-333,-521
-202,-817,-257,-503
-231,-847,-305,-472
-231,-979,-317,-499
-222,-994,-420,-470
-217,-925,-477,-493
-217,-975,-554,-489
-235,-1094,-496,-507
-236,-1104,-581,-498
-276,-1082,-574,-523
-244,-1099,-729,-514
-228,-1143,-724,-507
-254,-1192,-771,-511
-252,-1175,-839,-507
-252,-1166,-925,-537
-291,-1227,-943,-515
-268,-1244,-1012,-541
-244,-1180,-1028,-496
-223,-1161,-1009,-540
-196,-1144,-1068,-524
-269,-1185,-1124,-515
-219,-1121,-1217,-546
-273,-1064,-1194,-556
-298,-1088,-1231,-536
-234,-1019,-1311,-554
-264,-875,-1352,-559
-262,-798,-1319,-544
-251,-752,-1421,-559
-262,-675,-1429,-560
-255,-511,-1464,-556
-234,-329,-1466,-538
-245,-325,-1568,-574
-246,-318,-1525,-569
-268,-160,-1502,-611
-254,-2,-1609,-630
-250,-5,-1659,-599
-234,-87,-1679,-551
-239,29,-1643,-583
-232,174,-1709,-602
-251,207,-1693,-606
-240,176,-1713,-593
-229,152,-1726,-598
-232,248,-1733,-643
-204,303,-1742,-591
-230,280,-1772,-615
-226,288,-1806,-621
-220,352,-1793,-629
-206,353,-1832,-639
-218,290,-1872,-640
-212,284,-1880,-642
-239,321,-1860,-622
-237,230,-1874,-618
-228,183,-1902,-631
-242,152,-1932,-673
-220,184,-1896,-653
-202,151,-1854,-626
-214,4,-1926,-638
-233,8,-1966,-676
-230,88,-1958,-656
-220,73,-1952,-667
-204,14,-1971,-645
-216,-20,-2022,-640
-219,47,-2014,-673
-239,117,-2069,-658
-236,69,-2103,-680
-216,117,-2061,-636
-240,128,-2067,-633
-222,159,-2090,-696
-211,146,-2115,-692
-254,133,-2156,-698
-247,181,-2150,-699
-202,207,-2109,-681
-173,249,-2130,-675
-168,279,-2135,-626
-194,303,-2187,-662
-207,364,-2165,-689
-195,416,-2155,-696
-186,471,-2193,-666
-180,542,-2164,-670
-206,590,-2166,-676
-224,568,-2173,-660
-233,589,-2168,-692
-196,695,-2156,-673
-194,722,-2153,-695
-224,683,-2117,-690
-233,659,-2103,-683
-239,721,-2059,-678
-238,716,-2036,-665
-260,684,-2055,-677
-215,640,-1995,-688
-230,677,-1944,-689
-232,727,-1900,-645
-238,718,-1886,-638
-264,679,-1843,-671
-251,667,-1782,-692
-262,719,-1751,-697
-239,699,-1680,-694
-242,654,-1654,-693
-247,658,-1660,-706
-234,666,-1564,-719
-184,645,-1517,-703
-205,615,-1435,-667
-248,612,-1342,-666
-231,614,-1350,-689
-236,599,-1337,-684
-209,591,-1343,-706
-241,567,-1311,-683
-214,640,-1230,-684
-183,661,-1175,-651
-175,676,-1118,-637
-176,676,-1056,-677
-172,690,-1060,-673
-169,689,-995,-674
-189,614,-971,-678
-184,629,-923,-677
-216,615,-863,-634
-194,597,-822,-647
-224,540,-784,-631
-203,490,-751,-623
-176,511,-666,-654
-174,480,-646,-625
-157,396,-646,-626
-183,340,-642,-640
-187,303,-587,-663
-174,288,-553,-644
-191,223,-518,-608
-164,192,-451,-619
-157,177,-411,-628
-198,78,-396,-638
-177,4,-373,-627
-175,-65,-346,-614
-193,-112,-322,-595
-160,-157,-287,-585
-179,-255,-261,-564
-184,-334,-264,-601
-169,-397,-210,-608
-187,-438,-171,-587
-131,-504,-160,-549
-131,-633,-125,-547
-172,-669,-103,-613
-173,-705,-121,-574
-213,-760,-94,-571
-220,-854,-77,-586
-176,-904,-85,-584
-172,-900,-4,-598
-156,-946,18,-595
-179,-1019,16,-550
-162,-1126,12,-575
-186,-1166,29,-562
-206,-1207,53,-566
-201,-1269,76,-554
-193,-1325,61,-528
-189,-1399,67,-547
-187,-1500,87,-515
-157,-1522,72,-551
-172,-1537,79,-519
-181,-1569,71,-527
-218,-1611,107,-522
-195,-1670,138,-507
-186,-1686,161,-550
-204,-1658,136,-586
-213,-1699,108,-561
-210,-1726,141,-563
-187,-1699,214,-577
-221,-1732,208,-561
-229,-1735,220,-599
-200,-1735,252,-576
-204,-1755,260,-577
-187,-1741,278,-570
-198,-1731,306,-568
-161,-1660,320,-571
-167,-1261,347,-568
-165,-658,414,-567
-149,-377,376,-532
-165,-699,402,-542
-158,-921,433,-563
