Q1,Q2,Q3,Q4
450,450,450,450
238,238,238,238
153,153,153,153
705,705,705,705
834,834,834,834
704,704,704,704
821,821,821,821
937,937,937,937
552,552,552,552
481,481,481,481
835,835,835,835
459,459,459,459
223,223,223,223
483,483,483,483
468,468,468,468
401,401,401,401
453,453,453,453
661,661,661,661
819,819,819,819
787,787,787,787
773,773,773,773
742,742,742,742
669,669,669,669
680,680,680,680
862,862,862,862
852,852,852,852
624,624,624,624
731,731,731,731
837,837,837,837
718,718,718,718
887,887,887,887
1038,1038,1038,1038
867,867,867,867
827,827,827,827
905,905,905,905
866,866,866,866
881,881,881,881
784,784,784,784
562,562,562,562
621,621,621,621
576,576,576,576
418,418,418,418
683,683,683,683
810,810,810,810
706,706,706,706
924,924,924,924
1034,1034,1034,1034
911,911,911,911
949,949,949,949
1039,1039,1039,1039
1109,1109,1109,1109
1193,1193,1193,1193
1240,1240,1240,1240
1216,1216,1216,1216
1189,1189,1189,1189
1222,1222,1222,1222
1144,1144,1144,1144
1020,1020,1020,1020
976,976,976,976
897,897,897,897
771,771,771,771
671,671,671,671
648,648,648,648
642,642,642,642
632,632,632,632
635,635,635,635
615,615,615,615
698,698,698,698
823,823,823,823
825,825,825,825
879,879,879,879
944,944,944,944
871,871,871,871
852,852,852,852
883,883,883,883
860,860,860,860
835,835,835,835
814,814,814,814
789,789,789,789
658,658,658,658
507,507,507,507
607,607,607,607
774,774,774,774
722,722,722,722
668,668,668,668
715,715,715,715
612,612,612,612
507,507,507,507
578,578,578,578
561,561,561,561
457,457,457,457
491,491,491,491
572,572,572,572
532,532,532,532
483,483,483,483
524,524,524,524
566,566,566,566
604,604,604,604
564,564,564,564
395,395,395,395
364,364,364,364
429,429,429,429
367,367,367,367
381,381,381,381
498,498,498,498
518,518,518,518
514,514,514,514
522,522,522,522
492,492,492,492
556,556,556,556
621,621,621,621
561,561,561,561
595,595,595,595
660,660,660,660
618,618,618,618
509,509,509,509
355,355,355,355
321,321,321,321
329,329,329,329
329,329,329,329
490,490,490,490
560,560,560,560
455,455,455,455
502,502,502,502
554,554,554,554
434,434,434,434
501,501,501,501
646,646,646,646
558,558,558,558
496,496,496,496
445,445,445,445
352,352,352,352
467,467,467,467
492,492,492,492
335,335,335,335
358,358,358,358
299,299,299,299
288,288,288,288
528,528,528,528
422,422,422,422
240,240,240,240
324,324,324,324
352,352,352,352
401,401,401,401
422,422,422,422
357,357,357,357
337,337,337,337
331,331,331,331
341,341,341,341
264,264,264,264
169,169,169,169
144,144,144,144
80,80,80,80
158,158,158,158
259,259,259,259
196,196,196,196
268,268,268,268
342,342,342,342
180,180,180,180
274,274,274,274
496,496,496,496
200,200,200,200
148,148,148,148
495,495,495,495
248,248,248,248
-35,-35,-35,-35
137,137,137,137
130,130,130,130
57,57,57,57
228,228,228,228
230,230,230,230
-21,-21,-21,-21
-72,-72,-72,-72
28,28,28,28
136,136,136,136
265,265,265,265
191,191,191,191
45,45,45,45
96,96,96,96
237,237,237,237
287,287,287,287
221,221,221,221
82,82,82,82
-49,-49,-49,-49
121,121,121,121
319,319,319,319
159,159,159,159
183,183,183,183
365,365,365,365
269,269,269,269
146,146,146,146
94,94,94,94
-21,-21,-21,-21
-111,-111,-111,-111
-51,-51,-51,-51
-103,-103,-103,-103
-206,-206,-206,-206
10,10,10,10
189,189,189,189
238,238,238,238
376,376,376,376
399,399,399,399
341,341,341,341
325,325,325,325
394,394,394,394
382,382,382,382
181,181,181,181
200,200,200,200
258,258,258,258
83,83,83,83
219,219,219,219
411,411,411,411
262,262,262,262
350,350,350,350
465,465,465,465
382,382,382,382
536,536,536,536
662,662,662,662
628,628,628,628
505,505,505,505
296,296,296,296
299,299,299,299
252,252,252,252
122,122,122,122
246,246,246,246
205,205,205,205
266,266,266,266
279,279,279,279
56,56,56,56
475,475,475,475
51,51,51,51
624,624,624,624
2219,2219,2219,2219
-964,-964,-964,-964
-2700,-2700,-2700,-2700
2336,2336,2336,2336
3620,3620,3620,3620
-2187,-2187,-2187,-2187
-2358,-2358,-2358,-2358
4043,4043,4043,4043
1103,1103,1103,1103
-4389,-4389,-4389,-4389
1338,1338,1338,1338
3645,3645,3645,3645
-2420,-2420,-2420,-2420
-2007,-2007,-2007,-2007
2617,2617,2617,2617
823,823,823,823
-2108,-2108,-2108,-2108
80,80,80,80
1531,1531,1531,1531
-130,-130,-130,-130
-850,-850,-850,-850
226,226,226,226
827,827,827,827
-260,-260,-260,-260
-827,-827,-827,-827
-13,-13,-13,-13
372,372,372,372
14,14,14,14
-54,-54,-54,-54
345,345,345,345
35,35,35,35
-354,-354,-354,-354
309,309,309,309
583,583,583,583
-42,-42,-42,-42
-37,-37,-37,-37
797,797,797,797
599,599,599,599
-276,-276,-276,-276
283,283,283,283
1053,1053,1053,1053
835,835,835,835
637,637,637,637
393,393,393,393
203,203,203,203
423,423,423,423
394,394,394,394
255,255,255,255
254,254,254,254
38,38,38,38
245,245,245,245
692,692,692,692
322,322,322,322
-22,-22,-22,-22
452,452,452,452
758,758,758,758
500,500,500,500
495,495,495,495
764,764,764,764
730,730,730,730
535,535,535,535
273,273,273,273
119,119,119,119
262,262,262,262
241,241,241,241
147,147,147,147
175,175,175,175
74,74,74,74
119,119,119,119
411,411,411,411
520,520,520,520
364,364,364,364
399,399,399,399
769,769,769,769
864,864,864,864
618,618,618,618
