Q1,Q2,Q3,Q4
464,3674,487,5355
813,4457,1063,5981
595,4503,1667,6342
560,4642,2180,6710
797,4890,2528,7112
867,4942,2934,7397
817,4997,3338,7704
813,4979,3773,8200
619,5177,4383,8661
357,5435,4832,8926
428,5602,5073,9035
523,6223,5361,9078
556,6918,5697,9370
684,7288,6337,9704
631,7690,7264,9879
547,7895,7950,10069
587,7743,8380,10051
519,7646,8839,10019
431,7424,9302,10097
403,7188,10035,9942
285,7324,11055,9974
202,7279,11561,10202
285,7114,11638,10124
313,7014,12150,10211
271,7048,12808,10482
292,7487,13020,10427
333,7765,13541,10408
396,8146,14292,10360
470,8529,14347,9942
552,8287,14504,9652
539,8444,14858,9525
508,8893,14859,9149
741,8694,15121,8673
867,8772,15499,8267
716,9144,15510,7796
697,9016,15506,7272
581,9276,15814,6827
334,9840,15748,6238
412,9919,15296,5357
400,9995,15658,4457
147,9987,16137,3633
227,9684,15757,2960
253,9617,15776,2573
74,9595,16004,2209
276,8889,14964,1646
446,7662,14114,1016
393,6884,14291,392
526,5873,13188,-271
472,3253,10914,-908
182,1013,9132,-1422
229,223,7007,-2010
459,-1582,4427,-2800
461,-3377,2550,-3544
373,-3181,434,-4210
330,-3356,-2792,-4744
250,-4246,-5382,-5060
193,-3685,-6796,-5511
297,-2740,-8342,-5927
473,-3264,-9433,-5812
458,-4090,-9987,-5509
315,-3493,-10972,-5342
379,-2843,-11201,-5114
560,-3372,-10108,-4979
564,-3223,-8979,-5048
464,-2285,-8152,-4889
378,-2033,-7019,-4660
300,-1770,-5565,-4699
310,-1155,-4273,-4371
425,-580,-3119,-3735
496,162,-2015,-3563
469,549,-1071,-3376
464,519,-153,-2907
320,422,880,-2735
191,-109,1955,-2345
430,-658,2649,-1623
550,-900,2941,-1327
497,-1399,3396,-935
428,-1864,3865,-454
208,-1984,4153,-605
298,-2015,4401,-664
585,-1950,4038,-432
625,-1999,3206,-566
572,-2010,2778,-563
522,-2023,2306,-190
528,-2230,1235,-176
693,-2177,-140,-382
844,-2405,-1829,-389
841,-2873,-3536,-481
811,-2803,-4708,-583
716,-2652,-5868,-405
608,-2268,-7091,-192
675,-1656,-7958,-121
795,-1285,-8864,-164
783,-689,-9433,-371
670,-225,-9448,-684
665,-367,-9637,-930
719,-587,-9935,-1006
687,-775,-9911,-1111
719,-1099,-9534,-1398
762,-1415,-9141,-1675
784,-1635,-8777,-2010
912,-1898,-8456,-2573
938,-1871,-8654,-3095
877,-1480,-8837,-3310
875,-1545,-8676,-3287
689,-1853,-9108,-3237
601,-2009,-9840,-3302
809,-2432,-10246,-3372
748,-2861,-10854,-3416
663,-3144,-11469,-3619
845,-3406,-11454,-3961
782,-3548,-11349,-4281
654,-3860,-11754,-4562
710,-4258,-11654,-4801
655,-4930,-10506,-5030
698,-7095,-9696,-5415
887,-10037,-9274,-5698
860,-11709,-8231,-5646
849,-12793,-7460,-5752
944,-13854,-7460,-5982
891,-13178,-7126,-5867
901,-11590,-6681,-5746
952,-10828,-6939,-5842
840,-9581,-7312,-5731
884,-8102,-7430,-5491
1055,-8450,-7714,-5577
1013,-9309,-8253,-5718
989,-8928,-8667,-5493
966,-8461,-8593,-5135
716,-8663,-8408,-4811
648,-8530,-8429,-4373
770,-7489,-8100,-3918
658,-6542,-7668,-3487
592,-6389,-7563,-2941
680,-6077,-6900,-2516
615,-5053,-5779,-2227
541,-4467,-5096,-1635
621,-4770,-4621,-955
769,-4729,-4149,-562
900,-4725,-3531,-113
913,-5404,-2811,304
846,-5126,-2412,388
890,-3787,-1734,719
1004,-2819,-827,1414
981,-1896,-562,1942
865,-127,-179,2481
787,1877,897,3188
735,3199,1789,3713
643,4047,2338,4153
660,4590,3020,4733
828,4842,3634,5348
743,5118,4071,5959
588,5477,4621,6347
658,5733,5260,6526
535,5860,5737,6839
514,6236,6062,7122
863,6996,6546,7217
904,7577,7020,7332
760,7747,7299,7754
817,7945,7781,8255
786,8009,8596,8345
717,7753,9510,8435
680,7449,10173,8654
516,6882,10782,8799
391,6579,11662,9107
380,6804,12335,9283
426,6665,12647,9243
536,6831,13111,9325
592,7863,13839,9472
521,8392,14004,9522
413,8496,13712,9482
366,9202,14012,9509
316,9634,14068,9539
303,9483,13498,9505
470,9829,13601,9480
527,10340,14041,9340
368,10352,13881,9317
408,10427,13638,9463
605,10794,13851,9342
627,11120,14177,9221
536,11525,14387,9292
484,12027,14795,9212
376,12186,15382,9055
227,12346,15456,8855
283,12622,14858,8482
451,12130,14605,7993
407,11631,14994,7559
244,11528,14839,7255
282,10661,14009,6642
378,9822,13531,5702
286,9407,13110,4907
318,8395,12067,4028
549,6600,10947,3181
602,4097,9872,2649
537,1454,8289,2021
567,-1074,6560,1467
605,-3139,4854,1162
605,-4001,2730,801
596,-4508,657,433
503,-4658,-1182,-107
403,-3894,-3393,-928
504,-3226,-5634,-1711
599,-2478,-7165,-2463
494,-2148,-8271,-3150
444,-2738,-9437,-3612
427,-2135,-10335,-3996
325,-1160,-10536,-4392
349,-1435,-10322,-4861
400,-1340,-10141,-5290
331,-823,-9498,-5559
296,-568,-8308,-5751
282,-202,-7505,-5625
361,79,-6767,-5251
543,625,-5507,-4939
526,1480,-4221,-4679
416,2058,-3232,-4662
467,2180,-2470,-4758
460,1547,-1654,-4642
339,652,-653,-4442
292,-239,342,-4290
294,-1454,1062,-4090
374,-2079,1539,-3684
389,-2054,2276,-3376
286,-2161,3200,-3252
378,-1917,3713,-2870
276,-1405,3818,-2501
133,-1119,3796,-2392
544,-810,3631,-2087
624,-609,3195,-1708
310,-579,2559,-1503
297,-701,1848,-1236
275,-1078,812,-1071
291,-1401,-619,-1070
376,-1728,-1964,-1091
257,-1847,-3033,-1152
129,-1369,-4181,-1037
151,-1142,-5490,-875
208,-899,-6487,-814
232,197,-7025,-762
282,775,-7592,-834
355,600,-8297,-857
336,504,-8811,-853
268,-159,-9110,-935
283,-951,-9320,-887
301,-1565,-9642,-877
278,-2461,-10025,-956
350,-2782,-10204,-1030
470,-2799,-10699,-1238
491,-3107,-11566,-1504
499,-2910,-12034,-1832
580,-2439,-12432,-2257
602,-2247,-13085,-2631
600,-1989,-13340,-3072
612,-1610,-13319,-3466
577,-1537,-13385,-3513
666,-1893,-12770,-3633
739,-2183,-11690,-3861
647,-2445,-11294,-3693
554,-2981,-10619,-3473
445,-3112,-9031,-3447
374,-3140,-8247,-3469
354,-4052,-8030,-3760
334,-5059,-6834,-4143
393,-5657,-5985,-4411
469,-6426,-6349,-4691
413,-7079,-6239,-4882
294,-7128,-5671,-5040
291,-6917,-5823,-5298
332,-7177,-6234,-5574
360,-7603,-6268,-5622
441,-7403,-6189,-5556
484,-7401,-6418,-5793
365,-8001,-6613,-5912
253,-7978,-6362,-5636
384,-7407,-6234,-5533
420,-7164,-6407,-5450
148,-6819,-6298,-5247
-5,-6096,-6224,-5279
4,-5549,-6594,-5319
-40,-5172,-6596,-5278
-1,-4868,-6158,-4972
138,-4895,-6038,-4422
200,-4831,-5897,-4020
160,-4443,-5263,-3530
122,-4180,-4608,-3080
132,-3983,-4124,-2700
120,-3518,-3215,-2179
169,-2693,-2057,-1818
289,-1905,-1286,-1410
209,-1408,-492,-890
77,-483,643,-591
171,634,1596,-224
211,1109,2094,276
56,1714,2569,620
-66,2529,3291,888
-156,2609,3886,1284
-164,2234,4193,1790
-38,2209,4616,2302
-50,2647,5261,2960
-122,2827,5837,3610
-26,2890,6463,4026
110,3563,7304,4411
186,4307,8274,4740
227,4549,9303,5138
299,4558,10156,5601
252,4800,10926,5788
67,4809,11762,6007
160,4195,12406,6258
237,4098,12768,6277
13,4341,12973,6475
15,3875,13096,6741
16,3968,12981,6847
-157,5024,12784,7086
-11,5496,12812,7393
91,5777,12825,7814
-71,6712,12894,8294
-5,7446,13263,8291
90,7796,13590,8087
-69,7972,13950,8227
-81,7839,14736,8329
106,7795,15253,8324
56,7683,15147,8450
-66,7486,15308,8299
-24,7864,15604,7886
-132,8566,15260,7749
-235,8996,14806,7859
-43,9394,14656,7890
67,10358,14424,7862
-41,10899,14333,7952
1,10136,14251,7961
69,9874,13985,7723
-43,10187,14137,7516
16,9378,14087,7440
118,8861,13557,7404
57,9535,13550,7429
163,9470,13318,7417
286,9005,11873,7322
298,9627,10467,7241
400,10065,9708,7172
386,9784,8340,7046
327,9877,6345,6816
484,10099,4325,6547
585,10041,1995,6384
437,9621,-391,6225
211,8664,-2593,5810
167,7097,-4592,5227
274,4692,-6091,4601
447,2171,-7288,3840
569,126,-8366,3203
406,-1669,-8934,2713
314,-2496,-9181,2015
477,-2101,-9509,1484
497,-1519,-9400,1130
336,-1119,-8844,408
193,-334,-8490,-140
164,302,-8264,-406
312,-420,-7920,-1036
488,-1258,-7775,-1639
516,-1085,-7479,-1962
566,-1400,-6355,-2346
667,-2275,-5478,-2726
637,-2558,-4910,-3095
545,-2432,-3667,-3506
517,-2164,-2513,-3812
660,-1968,-1363,-4030
849,-1623,122,-4139
874,-662,1243,-4023
907,150,2094,-3772
910,493,2845,-3559
818,768,3293,-3580
828,513,3426,-3681
806,-363,3253,-3550
757,-1406,2717,-3334
902,-2452,2190,-3192
994,-3201,1980,-3023
939,-3522,1437,-2816
1006,-3250,490,-2686
1050,-2550,-169,-2594
920,-2175,-789,-2393
886,-1766,-1649,-2151
908,-970,-2335,-1936
806,-621,-2978,-1789
747,-541,-4038,-1797
748,-324,-5283,-1650
684,-582,-6288,-1215
605,-1123,-7320,-1010
574,-1500,-8654,-1054
625,-1730,-9841,-905
624,-1684,-10757,-840
577,-1674,-11764,-1067
695,-1517,-12708,-1151
715,-788,-13465,-1139
674,-255,-14240,-1171
838,-144,-14848,-1099
871,-39,-15242,-1145
852,-177,-15734,-1168
901,-522,-16170,-982
791,-996,-16140,-960
731,-1660,-15698,-971
708,-2000,-15201,-879
626,-2060,-14630,-995
708,-2290,-13850,-1198
775,-2250,-13029,-1421
559,-1762,-12011,-1878
420,-1426,-10943,-2398
593,-1155,-10292,-2670
644,-711,-9485,-2748
655,-493,-8474,-2835
827,-493,-7932,-2846
776,-478,-7386,-2676
746,-830,-6686,-2572
884,-1785,-6385,-2614
827,-2928,-6289,-2592
769,-4395,-6021,-2600
815,-5946,-5731,-2671
763,-6654,-5887,-2686
645,-6920,-6180,-2772
630,-6657,-5917,-2943
703,-5630,-5777,-3181
673,-5121,-6177,-3540
671,-5037,-6185,-3755
822,-4898,-6056,-3641
847,-5340,-6531,-3663
747,-6009,-6786,-3812
746,-6477,-6494,-3764
710,-6844,-6502,-3916
663,-7117,-6610,-3788
749,-7115,-6076,-3300
730,-6616,-5417,-3432
682,-6411,-5252,-3675
724,-6167,-4933,-3670
657,-5016,-4010,-3809
598,-4307,-3254,-3789
556,-4124,-2817,-3584
561,-3432,-1997,-3354
670,-2966,-1128,-3042
635,-3203,-571,-2830
577,-3528,245,-2606
568,-3379,1204,-2190
499,-3217,1858,-1751
509,-3310,2628,-1189
505,-2491,3479,-672
411,-959,3998,-512
372,-72,4763,-363
403,515,5781,-131
485,1617,6460,-23
592,2560,7276,113
634,2530,8343,394
691,2524,9100,629
867,2942,9759,791
939,2797,10477,1149
799,2595,11134,1563
627,2795,11714,1938
519,3125,12025,2501
501,3684,12445,2977
535,3933,12972,3185
592,4148,13140,3575
650,4775,13226,4096
537,4769,13261,4324
395,4530,13317,4586
449,5030,13442,4909
504,5139,13420,4864
588,4643,13547,4899
670,4801,13727,5221
516,5302,13750,5315
390,5352,13753,5442
400,5466,13880,5750
435,5930,14191,5704
504,6253,14084,5763
480,6356,13698,6082
486,6510,14021,5930
528,6813,14245,5820
407,7095,13589,6075
362,7112,13569,5830
444,7213,13992,5375
363,7587,13348,5547
201,7577,12587,5760
239,7445,12397,5468
382,7918,12148,5236
440,8243,11368,5303
457,8199,10308,5158
428,8536,9680,4919
448,8733,8714,5155
572,8419,6961,5294
605,8370,5790,4918
605,8573,5202,4687
643,8204,3647,4750
635,7819,1739,4949
653,8552,793,4991
590,9146,-200,4747
435,8742,-1671,4740
236,9110,-2675,4833
149,9826,-3215,4749
631,9131,-4034,4774
909,8634,-5047,4940
573,9130,-5475,5185
480,9001,-5546,5317
411,8592,-5792,5219
240,8557,-6166,5204
244,8126,-6389,5225
