Q1,Q2,Q3,Q4
-7,-7,-7,-7
-1,-1,-1,-1
-12,-12,-12,-12
7,7,7,7
-37,-37,-37,-37
-68,-68,-68,-68
7,7,7,7
-6,-6,-6,-6
9,9,9,9
9,9,9,9
-18,-18,-18,-18
-36,-36,-36,-36
-49,-49,-49,-49
-67,-67,-67,-67
-41,-41,-41,-41
-13,-13,-13,-13
-5,-5,-5,-5
4,4,4,4
16,16,16,16
38,38,38,38
24,24,24,24
6,6,6,6
6,6,6,6
4,4,4,4
-18,-18,-18,-18
-32,-32,-32,-32
-35,-35,-35,-35
-23,-23,-23,-23
-17,-17,-17,-17
-18,-18,-18,-18
-15,-15,-15,-15
5,5,5,5
10,10,10,10
-3,-3,-3,-3
-32,-32,-32,-32
-43,-43,-43,-43
-39,-39,-39,-39
-46,-46,-46,-46
-45,-45,-45,-45
-23,-23,-23,-23
5,5,5,5
10,10,10,10
13,13,13,13
18,18,18,18
17,17,17,17
9,9,9,9
3,3,3,3
2,2,2,2
-4,-4,-4,-4
-28,-28,-28,-28
-33,-33,-33,-33
-30,-30,-30,-30
-20,-20,-20,-20
-16,-16,-16,-16
-13,-13,-13,-13
7,7,7,7
24,24,24,24
23,23,23,23
1,1,1,1
8,8,8,8
4,4,4,4
-32,-32,-32,-32
-43,-43,-43,-43
-29,-29,-29,-29
-6,-6,-6,-6
14,14,14,14
30,30,30,30
44,44,44,44
28,28,28,28
31,31,31,31
41,41,41,41
51,51,51,51
42,42,42,42
24,24,24,24
30,30,30,30
40,40,40,40
32,32,32,32
21,21,21,21
9,9,9,9
-3,-3,-3,-3
-17,-17,-17,-17
-21,-21,-21,-21
5,5,5,5
10,10,10,10
14,14,14,14
16,16,16,16
7,7,7,7
11,11,11,11
10,10,10,10
4,4,4,4
-8,-8,-8,-8
-15,-15,-15,-15
-5,-5,-5,-5
1,1,1,1
4,4,4,4
2,2,2,2
7,7,7,7
8,8,8,8
0,0,0,0
0,0,0,0
-16,-16,-16,-16
-25,-25,-25,-25
-18,-18,-18,-18
-11,-11,-11,-11
7,7,7,7
7,7,7,7
5,5,5,5
13,13,13,13
0,0,0,0
-10,-10,-10,-10
-17,-17,-17,-17
-27,-27,-27,-27
-33,-33,-33,-33
-27,-27,-27,-27
