Q1,Q2,Q3,Q4
-1,-4746,86,-2
-3,-4932,587,-2
-7,-5129,761,-4
-2,-5356,186,-6
15,-5585,-388,-6
29,-5805,-331,-5
43,-6010,88,-4
61,-6183,569,-1
69,-6339,403,0
47,-6470,-193,-9
16,-6567,-564,-13
7,-6642,-623,-5
5,-6662,-362,0
-3,-6627,-601,4
-6,-6563,-830,16
1,-6467,-479,21
1,-6359,-53,10
-4,-6244,359,3
1,-6132,284,7
2,-6044,130,1
-4,-5973,54,-3
-5,-5939,-273,1
-2,-5957,-153,-1
0,-5994,256,-4
0,-6040,443,-4
0,-6088,286,-1
-1,-6106,-167,1
0,-6069,-197,3
1,-5964,-26,4
-1,-5787,68,4
5,-5532,293,4
2,-5187,83,6
2,-4751,121,8
15,-4223,249,7
9,-3601,-193,6
1,-2893,-225,6
8,-2096,-287,7
10,-1215,-182,6
14,-276,76,2
17,706,-290,2
10,1714,-335,5
7,2728,-114,6
13,3739,16,6
16,4724,-6,6
11,5653,-323,6
10,6508,-303,7
10,7272,154,6
15,7920,459,0
20,8455,227,-2
12,8870,-167,4
9,9151,-292,13
12,9320,-226,13
9,9358,-75,-2
9,9258,145,-6
13,9026,359,2
18,8664,233,-4
19,8206,-319,-7
13,7666,-736,-3
14,7049,-361,-5
21,6386,606,-6
17,5680,1178,-6
6,4948,589,-3
0,4213,-434,0
0,3480,-787,-1
0,2770,-588,0
0,2091,-25,0
0,1439,513,2
0,825,613,5
0,256,264,4
0,-262,-328,3
0,-721,-562,4
0,-1122,-185,4
0,-1462,115,3
0,-1744,-32,4
0,-1970,-206,3
0,-2142,-275,2
0,-2267,-221,2
0,-2349,-272,0
0,-2399,-344,0
0,-2427,-305,0
0,-2443,18,0
0,-2448,620,1
0,-2436,670,0
0,-2406,357,-2
0,-2356,21,-2
0,-2288,-436,-2
0,-2202,-607,-4
0,-2078,-165,-2
0,-1910,621,-1
0,-1699,915,-3
0,-1429,204,-2
0,-1063,-641,-2
0,-575,-772,-1
0,7,-532,0
0,689,-35,0
0,1490,373,0
