Q1,Q2,Q3,Q4
77,-2792,421,-2266
171,-3281,401,-1988
216,-4257,366,-1860
242,-4882,309,-1761
285,-4828,280,-1537
306,-4464,298,-1320
319,-4050,221,-1242
376,-3608,129,-1239
337,-3066,112,-1074
306,-2305,-17,-896
394,-1234,-118,-933
386,152,-81,-898
346,1748,-77,-615
331,3342,-132,-304
295,4575,-237,-175
292,5276,-298,-179
301,5738,-313,-163
307,6190,-347,-95
274,6580,-341,-5
255,6851,-340,24
274,6768,-324,-89
308,6157,-240,-310
359,5509,-234,-433
343,5305,-269,-275
337,5311,-199,-55
383,5276,-162,-64
390,5361,-219,-263
391,5694,-216,-398
397,6081,-156,-379
407,6367,-155,-438
399,6715,-169,-581
363,7280,-133,-678
359,8137,-124,-808
350,8843,-202,-958
338,8604,-248,-972
328,7610,-242,-821
289,6545,-318,-728
288,5307,-336,-847
286,3004,-334,-1061
252,-426,-401,-1244
240,-3257,-389,-1396
229,-4541,-436,-1470
218,-5064,-500,-1430
203,-5809,-486,-1382
193,-7124,-509,-1350
178,-8160,-547,-1363
142,-8015,-569,-1395
136,-6896,-515,-1249
113,-5577,-474,-1068
77,-4436,-465,-1125
49,-3940,-354,-1296
6,-4455,-276,-1393
-17,-4698,-245,-1345
-36,-3792,-175,-1138
-37,-2909,-173,-928
-33,-2921,-143,-845
-51,-2883,-13,-832
-51,-1911,0,-721
-42,-642,-57,-523
-74,165,-14,-439
-88,765,63,-432
-38,2304,75,-369
-26,4762,20,-241
-14,6308,58,-77
-9,6137,155,86
-66,5445,119,309
-33,5327,46,589
14,5260,19,798
-38,4327,24,924
-68,2414,106,1066
-80,34,103,1305
-87,-2205,20,1606
-94,-4116,108,1820
-90,-5647,187,1898
-46,-6681,155,2001
-37,-7275,178,2227
-34,-7485,224,2522
-42,-7088,220,2840
-62,-6329,133,3075
-45,-5629,105,3154
-66,-4628,130,3230
-58,-3165,80,3430
-11,-1651,67,3620
-30,-474,52,3746
-63,98,-32,3929
-71,280,-37,4052
-54,722,-27,4067
-39,1581,-73,4114
-42,2195,-13,4038
-52,1790,1,3621
-50,515,-119,3087
-10,-578,-143,2954
25,-984,-108,3312
29,-1060,-154,3701
19,-1078,-228,3761
24,-1127,-216,3436
64,-1338,-163,2847
58,-1707,-193,2150
12,-1998,-201,1591
-4,-2064,-171,1457
9,-1986,-199,1492
59,-2095,-112,1068
65,-2856,-29,210
-13,-3931,-86,-327
-34,-4562,-51,-299
8,-4763,-20,-332
-23,-4842,-28,-662
-63,-4598,4,-958
-52,-3938,-10,-1254
-81,-3267,-32,-1718
-73,-2468,-41,-2160
-13,-1248,-8,-2242
1,227,8,-1953
-37,1766,-63,-1885
-90,3075,-94,-2408
-76,4070,-107,-2887
-76,4772,-228,-2745
-119,5231,-309,-2382
-115,5768,-305,-2229
-133,6320,-404,-2230
-147,6496,-431,-2288
-148,6224,-403,-2339
-198,5868,-521,-2297
-223,5822,-594,-2056
-228,6005,-557,-1703
-250,6121,-493,-1483
-261,6139,-468,-1368
-275,6182,-448,-1215
-283,6252,-427,-1064
-281,6328,-475,-1041
-283,6554,-418,-1068
-283,6917,-294,-928
-277,7185,-318,-744
-280,7497,-308,-707
-287,7918,-221,-614
-281,7925,-244,-327
-327,7267,-241,-58
-368,6357,-227,-4
-356,5575,-243,-68
-357,4119,-161,-81
-328,926,-146,-21
-299,-2511,-233,13
-313,-4131,-287,-2
-305,-4645,-276,-33
-274,-5485,-265,-134
-252,-6752,-308,-164
-259,-7912,-323,-58
-257,-8335,-314,36
-231,-7706,-390,41
-221,-6619,-501,-91
-219,-5560,-519,-235
-222,-4601,-529,-308
-244,-4572,-558,-375
-244,-5162,-546,-401
-223,-4786,-540,-487
-240,-3786,-525,-686
-265,-3517,-494,-811
-256,-3612,-409,-832
-230,-2907,-322,-833
-202,-1620,-243,-841
-190,-578,-100,-884
-200,250,-65,-1009
-216,1703,-95,-1196
-204,4137,13,-1345
-168,6285,103,-1339
-173,6856,97,-1242
-210,6389,129,-1227
-224,6179,167,-1270
-194,6206,213,-1329
-159,5551,270,-1328
-177,3735,255,-1236
-187,1160,229,-1218
-172,-1304,266,-1274
-162,-3403,313,-1317
-161,-5157,270,-1364
-193,-6473,183,-1330
-204,-7288,172,-1173
-197,-7621,170,-1001
-190,-7605,165,-890
-177,-7134,221,-842
-178,-6368,182,-811
-185,-5477,100,-749
-174,-4317,122,-576
-128,-3094,102,-312
-119,-2158,96,-158
-149,-1778,145,-109
-152,-1757,75,-52
-148,-1420,-26,44
-137,-576,-33,224
-147,130,-15,419
-165,-12,-51,607
-157,-700,-70,835
-186,-1218,-35,1014
-181,-1355,-55,1126
-159,-1195,-78,1265
-205,-991,-62,1460
-183,-753,-81,1648
-157,-604,-56,1776
-195,-979,14,1885
-171,-1517,-8,2073
-138,-1716,-30,2329
-140,-1882,-7,2609
-128,-2340,-76,2895
-105,-3174,-128,3117
-98,-4319,-92,3279
-106,-5290,-94,3374
-107,-5661,-84,3447
-101,-5707,-1,3580
-97,-5625,70,3753
-109,-5134,88,3928
-123,-4382,87,4007
-121,-3549,122,3986
-122,-2239,161,3736
-131,-477,176,3183
-138,1106,171,2879
-139,2373,125,3122
-141,3538,152,3483
-154,4466,156,3572
-159,5111,92,3284
-143,5733,139,2755
-119,6300,168,2218
-94,6607,159,1693
-95,6679,51,1277
-109,6605,48,1120
-114,6647,-174,909
-149,7027,-1379,320
-178,7437,-1953,-317
-142,7545,-1688,-589
-93,7519,-1543,-653
-103,7605,-425,-830
-120,7701,234,-1094
-114,7643,-238,-1377
-141,7489,-413,-1792
-149,7429,-951,-2303
-117,7511,-1467,-2592
-97,7458,-1039,-2448
-74,7007,-563,-2177
-49,6116,-745,-2321
-47,5013,-868,-2812
-47,4097,-469,-3027
-31,2699,-286,-2753
-56,-215,-262,-2436
-65,-3198,-47,-2411
-30,-4416,54,-2439
-39,-4677,188,-2354
-65,-5302,388,-2320
-95,-6484,331,-2266
-102,-7603,213,-2052
-93,-7838,361,-1737
-105,-7208,405,-1423
-87,-6422,179,-1280
-101,-5639,120,-1327
-116,-5030,155,-1388
-61,-5364,168,-1322
-62,-5843,214,-1077
-78,-5057,290,-824
-57,-3933,334,-760
-72,-3719,105,-759
-91,-3712,-67,-628
-72,-2871,28,-392
-89,-1420,53,-185
-139,-214,40,-151
-82,667,116,-232
-57,2214,167,-213
-149,4723,88,-79
-182,6576,-20,54
-181,6756,-11,101
-169,6450,68,-7
-161,6546,104,-141
-191,6465,142,-126
-219,5607,187,-25
-213,3800,195,18
-163,1379,324,-25
-178,-899,426,-55
-232,-2735,347,-47
-231,-4152,295,-148
-243,-5149,287,-385
-225,-5905,281,-501
-183,-6448,271,-467
-199,-6461,189,-537
-237,-5959,78,-764
-258,-5465,62,-1016
-231,-4998,53,-1059
-210,-4301,-85,-931
-237,-3593,-146,-886
-227,-3168,-71,-934
-215,-3132,-73,-1081
-248,-3190,-87,-1284
-249,-2747,-51,-1416
-264,-1798,-116,-1491
-302,-1205,-197,-1540
-264,-1510,-198,-1593
-214,-1990,-235,-1618
-225,-1775,-265,-1604
-227,-939,-276,-1593
-199,-230,-411,-1546
-173,49,-574,-1436
-140,315,-677,-1312
-133,478,-1312,-1268
-148,240,-2663,-1274
-127,-70,-3485,-1249
-140,-280,-3134,-1213
-199,-684,-1892,-1119
-181,-1531,-194,-957
-163,-2816,730,-794
-200,-4046,479,-643
-170,-4582,-422,-534
-152,-4653,-1561,-414
-187,-4851,-2317,-216
-173,-4894,-2653,-59
-143,-4472,-3180,-37
-124,-3935,-3966,-7
-104,-3173,-3848,181
-117,-1829,-2372,360
-132,-319,-824,489
-82,882,140,663
-22,1813,660,849
-32,2605,731,1088
-86,3434,632,1242
-96,4396,519,1333
-50,5246,351,1536
-46,5821,273,1723
-72,6185,200,1886
-38,6383,229,2081
-2,6632,857,2322
-9,7126,2046,2581
-6,7692,3327,2779
6,8057,4324,3033
9,8214,4977,3314
9,8386,5269,3458
14,8615,4980,3567
16,8681,4444,3745
-8,8533,4150,3946
-2,8315,3949,4135
18,8068,3689,4248
-7,7889,3391,4218
7,7710,3044,4022
14,7176,2662,3609
-34,6292,2389,3200
-42,5353,2377,3185
-11,4507,2375,3491
-5,3015,2047,3712
-28,119,1407,3584
-24,-2703,684,3143
-20,-3739,121,2563
-47,-3886,-232,1955
-29,-4546,-601,1531
5,-5727,-1054,1447
-18,-6848,-1471,1404
-31,-7194,-1886,972
9,-6557,-2132,224
