a0003,a0004,a0005,a0006
0,0.0,0.0,-1.0
0,-1.0,0.0,0.0
-8,-7.0,-9.0,5.0
-15,-13.0,-16.0,1.0
-16,-14.0,-16.0,1.0
-15,-5.0,-15.0,13.0
-13,4.0,-15.0,22.0
-11,-6.0,-16.0,27.0
-13,-19.0,-16.0,28.0
-14,-22.0,-14.0,23.0
-13,-23.0,-11.0,18.0
-12,-19.0,-13.0,14.0
-11,-10.0,-20.0,6.0
-9,-8.0,-21.0,-2.0
-8,-14.0,-19.0,5.0
-11,-21.0,-20.0,13.0
-13,-24.0,-21.0,9.0
-11,-27.0,-18.0,5.0
-11,-28.0,-18.0,1.0
-12,-23.0,-17.0,-1.0
-12,-24.0,-16.0,0.0
-10,-25.0,-18.0,-5.0
-9,-17.0,-18.0,-9.0
-11,-16.0,-15.0,-7.0
-8,-16.0,-15.0,-2.0
-5,-14.0,-15.0,-3.0
-7,-13.0,-18.0,-5.0
-10,-9.0,-16.0,1.0
-14,-18.0,-12.0,9.0
-16,-37.0,-15.0,12.0
-15,-42.0,-17.0,7.0
-14,-38.0,-15.0,-2.0
-14,-30.0,-16.0,-1.0
-15,-22.0,-15.0,6.0
-12,-20.0,-15.0,2.0
-8,-23.0,-16.0,5.0
-9,-24.0,-15.0,15.0
-13,-17.0,-15.0,10.0
-12,-10.0,-16.0,6.0
-13,-12.0,-17.0,8.0
-14,-15.0,-19.0,13.0
-12,-19.0,-19.0,20.0
-16,-27.0,-19.0,22.0
-16,-25.0,-19.0,26.0
-14,-14.0,-16.0,27.0
-14,-8.0,-19.0,22.0
-15,-11.0,-21.0,21.0
-18,-19.0,-18.0,26.0
-16,-25.0,-16.0,22.0
-10,-23.0,-13.0,17.0
-12,-19.0,-12.0,22.0
-11,-14.0,-11.0,25.0
-9,-12.0,-15.0,20.0
-9,-20.0,-18.0,11.0
-7,-19.0,-13.0,4.0
-7,-9.0,-15.0,1.0
-8,-8.0,-19.0,2.0
-10,-15.0,-16.0,9.0
-15,-16.0,-17.0,9.0
-16,-14.0,-19.0,2.0
-18,-14.0,-17.0,-1.0
-18,-10.0,-17.0,0.0
-14,-3.0,-13.0,8.0
-14,-2.0,-9.0,21.0
-12,-4.0,-10.0,24.0
-10,-11.0,-12.0,16.0
-13,-15.0,-16.0,6.0
-12,-12.0,-19.0,-4.0
-13,-6.0,-15.0,-5.0
-12,2.0,-10.0,1.0
-10,4.0,-12.0,5.0
-13,1.0,-16.0,6.0
-11,-3.0,-14.0,8.0
-10,-11.0,-14.0,13.0
-13,-15.0,-18.0,17.0
-10,-12.0,-16.0,18.0
-10,-10.0,-13.0,13.0
-14,-9.0,-13.0,8.0
-13,-9.0,-9.0,9.0
-10,-12.0,-5.0,9.0
-11,-16.0,-11.0,9.0
-12,-17.0,-15.0,15.0
-15,-14.0,-11.0,15.0
-15,-11.0,-10.0,6.0
-10,-16.0,-11.0,-2.0
-5,-21.0,-10.0,-5.0
-6,-13.0,-6.0,-3.0
-13,-7.0,-8.0,-3.0
-18,-9.0,-11.0,-3.0
-15,-15.0,-10.0,1.0
-13,-23.0,-9.0,0.0
-11,-22.0,-9.0,-7.0
-5,-11.0,-14.0,-8.0
-4,-4.0,-17.0,-6.0
-7,-2.0,-13.0,-5.0
-7,-8.0,-13.0,-4.0
-7,-12.0,-11.0,-4.0
-7,-13.0,-8.0,-3.0
-7,-9.0,-8.0,10.0
-7,1.0,-3.0,21.0
-9,5.0,-6.0,15.0
-9,5.0,-11.0,8.0
-8,2.0,-8.0,2.0
-6,-10.0,-9.0,-6.0
-3,-17.0,-11.0,-2.0
-2,-9.0,-10.0,6.0
-6,2.0,-8.0,6.0
-8,5.0,-4.0,8.0
-10,1.0,-1.0,10.0
-8,-9.0,-1.0,4.0
-5,-12.0,-6.0,3.0
-5,-6.0,-9.0,9.0
-7,-5.0,-6.0,7.0
-7,-9.0,-7.0,3.0
-9,-8.0,-11.0,6.0
-12,-8.0,-11.0,16.0
-12,-17.0,-5.0,26.0
-9,-20.0,-1.0,27.0
-9,-12.0,-3.0,22.0
-13,-11.0,-7.0,13.0
-10,-8.0,-10.0,8.0
-4,-2.0,-12.0,8.0
-7,-5.0,-10.0,7.0
-6,-4.0,-6.0,10.0
-3,-4.0,-4.0,17.0
-5,-6.0,-5.0,15.0
-6,-8.0,-4.0,4.0
-4,-9.0,1.0,-2.0
-5,0.0,-1.0,-2.0
-7,13.0,-1.0,-3.0
-7,11.0,1.0,-3.0
-6,2.0,-2.0,3.0
-6,-5.0,-4.0,13.0
-7,-8.0,-3.0,22.0
-7,-6.0,-4.0,16.0
-6,-1.0,-8.0,-1.0
-8,2.0,-6.0,-7.0
-6,2.0,-1.0,-11.0
-8,-5.0,-4.0,-15.0
-10,-8.0,-3.0,-11.0
-8,-5.0,-1.0,-11.0
-9,-6.0,-6.0,-9.0
-13,-9.0,-7.0,-5.0
-14,-1.0,-1.0,-9.0
-11,7.0,1.0,-12.0
-8,3.0,-1.0,-14.0
-6,-6.0,-1.0,-20.0
-4,-10.0,-2.0,-23.0
-6,-7.0,-1.0,-22.0
-7,-5.0,1.0,-17.0
-6,-1.0,2.0,-8.0
-5,3.0,2.0,-3.0
-3,5.0,6.0,3.0
-3,10.0,6.0,4.0
-6,7.0,-1.0,-1.0
-5,2.0,2.0,-6.0
-6,-2.0,6.0,-16.0
-7,-3.0,5.0,-23.0
-9,6.0,8.0,-13.0
-8,19.0,6.0,-1.0
-2,22.0,1.0,-1.0
-2,14.0,2.0,-12.0
-5,7.0,4.0,-17.0
-4,3.0,3.0,-17.0
