a0003,a0004,a0005,a0006
0,0.0,-1.0,-10.0
0,0.0,0.0,-56.0
0,0.0,0.0,-38.0
0,0.0,-1.0,-35.0
0,0.0,0.0,-22.0
0,-1.0,1.0,-32.0
0,0.0,0.0,-25.0
-1,-1.0,-1.0,27.0
0,0.0,0.0,-11.0
0,0.0,1.0,-39.0
0,1.0,-1.0,-11.0
0,0.0,0.0,-16.0
0,0.0,0.0,-7.0
0,0.0,0.0,40.0
-1,0.0,0.0,18.0
1,0.0,1.0,-2.0
0,0.0,0.0,-9.0
0,0.0,0.0,-50.0
1,-1.0,0.0,-40.0
0,0.0,-1.0,-59.0
0,0.0,0.0,-74.0
0,0.0,0.0,-63.0
0,1.0,0.0,-69.0
0,0.0,0.0,-32.0
-1,0.0,0.0,-18.0
0,0.0,0.0,9.0
1,1.0,0.0,14.0
0,1.0,1.0,-7.0
0,0.0,0.0,-20.0
0,1.0,1.0,-39.0
-1,0.0,0.0,-55.0
-1,0.0,0.0,-85.0
0,0.0,0.0,-64.0
1,0.0,0.0,-26.0
0,0.0,0.0,-34.0
0,0.0,0.0,-23.0
0,-1.0,1.0,-27.0
0,-1.0,0.0,-54.0
-1,-1.0,0.0,-56.0
-1,-1.0,-1.0,-78.0
0,0.0,0.0,-67.0
0,0.0,-1.0,-51.0
1,0.0,0.0,-52.0
0,0.0,0.0,-6.0
0,1.0,0.0,11.0
1,0.0,1.0,-15.0
0,0.0,0.0,10.0
0,0.0,0.0,0.0
1,0.0,0.0,12.0
0,0.0,0.0,55.0
-1,-1.0,0.0,42.0
0,-1.0,-1.0,17.0
0,0.0,0.0,-24.0
-1,-1.0,-1.0,-24.0
0,0.0,0.0,-10.0
-1,-1.0,0.0,14.0
0,0.0,0.0,-43.0
0,0.0,0.0,-98.0
0,-1.0,0.0,-40.0
1,0.0,0.0,-29.0
-1,0.0,0.0,-25.0
0,-1.0,-1.0,8.0
0,0.0,0.0,5.0
1,1.0,1.0,1.0
-1,0.0,1.0,-2.0
0,-1.0,0.0,-58.0
0,1.0,0.0,-88.0
0,0.0,0.0,-129.0
1,0.0,0.0,-113.0
1,1.0,0.0,-74.0
0,1.0,0.0,-118.0
0,1.0,0.0,-104.0
0,-1.0,0.0,-142.0
0,-1.0,0.0,-168.0
0,-1.0,-1.0,-123.0
0,0.0,0.0,-133.0
0,-1.0,0.0,-177.0
0,0.0,0.0,-159.0
