a0003,a0004,a0005,a0006
103,264.0,105.0,153.0
189,536.0,181.0,277.0
164,504.0,203.0,238.0
165,522.0,236.0,232.0
172,529.0,210.0,239.0
149,495.0,184.0,224.0
141,513.0,197.0,246.0
138,524.0,180.0,256.0
136,530.0,183.0,214.0
138,523.0,199.0,210.0
136,530.0,182.0,250.0
130,556.0,203.0,249.0
116,561.0,194.0,240.0
120,518.0,144.0,256.0
120,500.0,158.0,268.0
96,508.0,159.0,278.0
108,492.0,123.0,280.0
127,502.0,130.0,283.0
118,515.0,143.0,287.0
117,509.0,110.0,270.0
131,508.0,100.0,269.0
123,503.0,130.0,286.0
108,502.0,136.0,305.0
133,504.0,134.0,306.0
135,522.0,143.0,279.0
109,513.0,138.0,286.0
112,478.0,127.0,290.0
120,494.0,125.0,273.0
132,497.0,133.0,288.0
141,489.0,135.0,284.0
135,520.0,133.0,272.0
132,499.0,140.0,281.0
116,483.0,136.0,265.0
103,497.0,126.0,265.0
117,471.0,119.0,262.0
126,466.0,121.0,237.0
116,462.0,115.0,276.0
98,451.0,84.0,300.0
93,449.0,86.0,280.0
96,429.0,104.0,291.0
89,445.0,101.0,282.0
81,472.0,93.0,272.0
84,444.0,91.0,284.0
84,423.0,91.0,299.0
75,431.0,87.0,314.0
79,422.0,91.0,305.0
73,423.0,81.0,309.0
66,431.0,87.0,304.0
72,425.0,100.0,274.0
59,411.0,81.0,276.0
38,396.0,86.0,270.0
36,417.0,82.0,266.0
44,430.0,58.0,293.0
40,402.0,70.0,283.0
28,406.0,63.0,251.0
39,422.0,57.0,257.0
54,410.0,66.0,265.0
48,407.0,62.0,241.0
41,403.0,76.0,240.0
37,397.0,75.0,250.0
40,398.0,66.0,228.0
53,381.0,80.0,236.0
59,382.0,66.0,240.0
41,378.0,56.0,210.0
28,367.0,61.0,213.0
30,405.0,51.0,236.0
18,417.0,49.0,252.0
26,400.0,39.0,250.0
42,418.0,38.0,242.0
34,412.0,54.0,241.0
40,389.0,53.0,240.0
34,402.0,53.0,258.0
21,400.0,56.0,260.0
51,383.0,55.0,259.0
68,386.0,52.0,255.0
58,375.0,39.0,234.0
60,361.0,58.0,253.0
54,362.0,80.0,273.0
49,362.0,64.0,281.0
58,371.0,72.0,285.0
42,366.0,87.0,271.0
40,355.0,69.0,285.0
50,354.0,75.0,281.0
43,334.0,75.0,249.0
60,334.0,45.0,240.0
44,337.0,69.0,243.0
17,303.0,103.0,251.0
36,283.0,98.0,244.0
29,273.0,90.0,233.0
39,277.0,88.0,227.0
62,290.0,91.0,203.0
57,279.0,80.0,187.0
83,281.0,83.0,194.0
71,291.0,104.0,191.0
41,272.0,79.0,191.0
68,254.0,72.0,193.0
83,251.0,101.0,175.0
71,251.0,86.0,176.0
88,232.0,85.0,178.0
107,222.0,103.0,155.0
65,240.0,90.0,154.0
57,234.0,90.0,159.0
86,229.0,112.0,154.0
58,253.0,125.0,146.0
62,249.0,116.0,131.0
90,229.0,123.0,138.0
83,220.0,120.0,135.0
101,226.0,105.0,119.0
117,240.0,142.0,128.0
99,218.0,146.0,129.0
62,199.0,135.0,129.0
53,207.0,170.0,149.0
101,178.0,172.0,139.0
102,184.0,175.0,121.0
60,230.0,194.0,126.0
88,212.0,197.0,124.0
116,187.0,200.0,124.0
103,182.0,189.0,136.0
95,181.0,193.0,111.0
83,198.0,206.0,86.0
94,206.0,188.0,97.0
115,208.0,198.0,82.0
105,199.0,222.0,71.0
113,185.0,206.0,82.0
125,190.0,201.0,67.0
115,184.0,211.0,55.0
120,177.0,192.0,54.0
123,177.0,188.0,54.0
137,167.0,200.0,56.0
167,178.0,206.0,38.0
166,185.0,224.0,32.0
151,186.0,230.0,41.0
158,191.0,228.0,28.0
179,178.0,238.0,23.0
186,190.0,238.0,18.0
181,201.0,233.0,8.0
182,181.0,246.0,22.0
173,180.0,257.0,10.0
177,185.0,270.0,-16.0
200,189.0,296.0,-3.0
186,188.0,289.0,0.0
186,168.0,261.0,-2.0
211,177.0,277.0,12.0
197,192.0,298.0,-5.0
193,184.0,284.0,-28.0
211,185.0,277.0,-8.0
200,186.0,284.0,17.0
190,187.0,285.0,14.0
192,184.0,287.0,4.0
199,165.0,297.0,5.0
222,151.0,292.0,10.0
223,166.0,270.0,-4.0
203,187.0,268.0,-21.0
201,193.0,301.0,-24.0
206,188.0,323.0,-32.0
222,177.0,305.0,-7.0
237,189.0,293.0,11.0
229,199.0,298.0,-11.0
245,181.0,308.0,-11.0
267,176.0,323.0,-21.0
259,175.0,314.0,-40.0
265,167.0,310.0,-32.0
287,167.0,331.0,-27.0
283,170.0,326.0,-24.0
260,187.0,309.0,-10.0
267,204.0,309.0,-4.0
287,216.0,312.0,-23.0
278,221.0,312.0,-27.0
280,211.0,314.0,-4.0
289,222.0,333.0,-9.0
281,239.0,348.0,-23.0
302,227.0,342.0,-9.0
313,216.0,331.0,-6.0
296,224.0,322.0,-2.0
299,238.0,333.0,6.0
303,243.0,337.0,-1.0
308,244.0,320.0,-7.0
321,237.0,333.0,-18.0
326,224.0,360.0,-9.0
326,239.0,360.0,-1.0
334,256.0,358.0,-15.0
343,258.0,364.0,-21.0
346,266.0,356.0,-28.0
351,266.0,360.0,-42.0
354,273.0,378.0,-43.0
368,278.0,369.0,-34.0
392,264.0,375.0,-28.0
379,285.0,401.0,-27.0
373,310.0,388.0,-30.0
392,307.0,380.0,-22.0
396,313.0,405.0,5.0
396,307.0,408.0,14.0
391,292.0,399.0,-6.0
382,289.0,398.0,-19.0
376,293.0,397.0,-19.0
370,299.0,396.0,-26.0
376,291.0,394.0,-23.0
378,304.0,408.0,-10.0
372,314.0,416.0,-15.0
376,287.0,397.0,-17.0
374,291.0,412.0,-24.0
377,303.0,456.0,-50.0
389,292.0,453.0,-53.0
365,302.0,432.0,-39.0
360,312.0,432.0,-39.0
382,311.0,429.0,-33.0
373,312.0,428.0,-25.0
375,314.0,424.0,-34.0
373,312.0,419.0,-22.0
358,309.0,427.0,-13.0
392,311.0,435.0,-28.0
412,304.0,428.0,-27.0
380,288.0,423.0,-19.0
375,286.0,425.0,-18.0
391,290.0,417.0,-11.0
393,286.0,415.0,12.0
390,291.0,415.0,20.0
386,311.0,396.0,13.0
385,326.0,393.0,28.0
390,334.0,398.0,32.0
384,340.0,367.0,23.0
366,319.0,346.0,28.0
348,313.0,370.0,38.0
338,333.0,406.0,58.0
340,309.0,417.0,69.0
326,304.0,396.0,66.0
320,346.0,374.0,72.0
333,340.0,375.0,83.0
334,343.0,379.0,88.0
344,371.0,373.0,79.0
321,357.0,373.0,75.0
280,359.0,377.0,88.0
327,371.0,359.0,86.0
343,359.0,350.0,76.0
295,371.0,354.0,87.0
300,388.0,338.0,111.0
294,397.0,331.0,121.0
274,400.0,328.0,127.0
274,394.0,332.0,134.0
258,376.0,355.0,117.0
250,347.0,346.0,101.0
252,357.0,332.0,114.0
246,375.0,341.0,113.0
230,378.0,341.0,111.0
235,387.0,337.0,144.0
256,381.0,337.0,143.0
240,380.0,323.0,121.0
229,383.0,309.0,123.0
234,383.0,328.0,121.0
217,382.0,339.0,134.0
209,368.0,327.0,122.0
211,389.0,338.0,107.0
201,412.0,322.0,127.0
194,380.0,294.0,117.0
213,379.0,325.0,134.0
241,402.0,326.0,147.0
231,384.0,286.0,128.0
211,382.0,304.0,151.0
214,410.0,317.0,151.0
212,413.0,275.0,130.0
203,405.0,264.0,133.0
206,399.0,293.0,136.0
205,392.0,298.0,161.0
197,397.0,283.0,183.0
202,397.0,278.0,181.0
208,397.0,274.0,182.0
204,405.0,248.0,165.0
192,414.0,233.0,157.0
190,420.0,256.0,183.0
205,416.0,269.0,177.0
196,406.0,260.0,162.0
188,398.0,271.0,168.0
194,393.0,279.0,164.0
185,404.0,252.0,175.0
185,421.0,247.0,198.0
186,405.0,261.0,197.0
188,390.0,263.0,200.0
190,399.0,268.0,222.0
192,396.0,253.0,223.0
192,380.0,230.0,195.0
178,378.0,232.0,204.0
172,388.0,231.0,234.0
175,389.0,233.0,244.0
194,380.0,245.0,259.0
198,355.0,240.0,261.0
184,352.0,229.0,252.0
177,369.0,236.0,238.0
149,367.0,233.0,217.0
146,378.0,206.0,227.0
154,380.0,200.0,239.0
139,369.0,200.0,254.0
136,375.0,176.0,262.0
132,366.0,170.0,258.0
142,349.0,170.0,263.0
147,343.0,140.0,243.0
121,348.0,141.0,237.0
112,346.0,173.0,237.0
125,330.0,173.0,229.0
123,315.0,157.0,252.0
95,300.0,154.0,260.0
107,305.0,133.0,250.0
135,322.0,122.0,254.0
127,326.0,156.0,260.0
144,310.0,146.0,254.0
134,300.0,109.0,266.0
114,317.0,109.0,282.0
144,317.0,104.0,251.0
125,306.0,95.0,234.0
95,311.0,88.0,243.0
98,319.0,91.0,227.0
83,308.0,98.0,202.0
84,292.0,90.0,217.0
93,285.0,104.0,247.0
91,257.0,110.0,240.0
83,226.0,97.0,247.0
76,227.0,109.0,268.0
79,244.0,110.0,252.0
87,242.0,109.0,227.0
92,230.0,129.0,224.0
94,242.0,128.0,250.0
101,254.0,120.0,265.0
93,245.0,122.0,254.0
68,234.0,120.0,234.0
67,234.0,117.0,215.0
84,230.0,94.0,224.0
93,230.0,97.0,234.0
84,246.0,146.0,250.0
82,255.0,143.0,268.0
82,263.0,142.0,243.0
69,268.0,167.0,233.0
77,267.0,149.0,248.0
74,264.0,147.0,238.0
62,249.0,158.0,239.0
76,242.0,140.0,236.0
68,234.0,143.0,225.0
76,221.0,137.0,237.0
85,203.0,106.0,240.0
47,188.0,109.0,244.0
50,214.0,114.0,265.0
63,235.0,102.0,263.0
63,224.0,100.0,241.0
76,214.0,97.0,217.0
49,208.0,100.0,229.0
31,204.0,99.0,270.0
45,205.0,88.0,257.0
43,204.0,96.0,221.0
43,200.0,108.0,216.0
34,202.0,109.0,208.0
28,210.0,113.0,215.0
25,214.0,104.0,225.0
20,200.0,97.0,215.0
25,190.0,100.0,202.0
20,193.0,101.0,181.0
31,166.0,97.0,167.0
63,152.0,108.0,150.0
59,156.0,133.0,131.0
40,146.0,117.0,145.0
44,159.0,96.0,155.0
49,160.0,126.0,140.0
59,130.0,117.0,134.0
62,122.0,104.0,142.0
47,124.0,153.0,146.0
62,118.0,158.0,136.0
75,102.0,150.0,132.0
72,99.0,184.0,140.0
106,98.0,176.0,150.0
105,74.0,160.0,160.0
67,82.0,181.0,164.0
61,103.0,189.0,166.0
84,84.0,191.0,143.0
100,78.0,194.0,117.0
77,82.0,186.0,130.0
71,66.0,184.0,126.0
96,62.0,196.0,107.0
98,61.0,218.0,98.0
99,44.0,231.0,105.0
103,45.0,221.0,128.0
86,49.0,218.0,119.0
83,34.0,238.0,110.0
109,51.0,234.0,102.0
115,71.0,222.0,75.0
122,45.0,220.0,86.0
142,47.0,224.0,97.0
121,72.0,233.0,88.0
122,54.0,217.0,85.0
163,37.0,213.0,70.0
159,61.0,219.0,75.0
150,88.0,221.0,88.0
163,74.0,236.0,84.0
155,38.0,225.0,76.0
137,35.0,238.0,48.0
131,58.0,258.0,42.0
156,53.0,236.0,72.0
177,23.0,244.0,81.0
176,22.0,255.0,79.0
168,41.0,233.0,82.0
150,25.0,240.0,68.0
167,5.0,244.0,52.0
183,7.0,223.0,52.0
143,-9.0,228.0,53.0
141,-25.0,232.0,51.0
190,9.0,234.0,61.0
197,33.0,267.0,55.0
191,8.0,263.0,37.0
203,4.0,251.0,44.0
184,22.0,290.0,38.0
176,25.0,288.0,33.0
196,16.0,252.0,47.0
201,23.0,273.0,35.0
199,41.0,286.0,26.0
200,34.0,278.0,37.0
189,25.0,291.0,35.0
190,20.0,301.0,30.0
205,22.0,304.0,19.0
194,40.0,286.0,14.0
175,33.0,272.0,27.0
195,13.0,292.0,26.0
210,12.0,314.0,21.0
200,18.0,321.0,25.0
200,19.0,317.0,9.0
203,13.0,325.0,-2.0
219,12.0,314.0,-8.0
229,7.0,294.0,-45.0
224,5.0,316.0,-57.0
222,25.0,333.0,-40.0
197,30.0,328.0,-29.0
195,21.0,336.0,5.0
211,21.0,342.0,11.0
201,20.0,327.0,-15.0
194,22.0,335.0,-13.0
189,20.0,343.0,-16.0
186,20.0,322.0,-8.0
182,23.0,333.0,14.0
196,35.0,332.0,-1.0
237,56.0,298.0,-11.0
242,50.0,304.0,-23.0
225,36.0,323.0,-42.0
215,42.0,331.0,-22.0
229,49.0,345.0,-22.0
261,60.0,334.0,-49.0
233,87.0,320.0,-45.0
212,92.0,335.0,-37.0
231,82.0,332.0,-30.0
216,89.0,329.0,-16.0
217,72.0,358.0,-25.0
238,72.0,351.0,-30.0
249,99.0,342.0,-20.0
256,102.0,359.0,-19.0
249,114.0,347.0,-15.0
251,124.0,343.0,-8.0
245,101.0,340.0,-12.0
236,97.0,327.0,-21.0
252,121.0,334.0,-42.0
261,123.0,345.0,-66.0
257,123.0,360.0,-60.0
253,129.0,359.0,-56.0
249,118.0,341.0,-63.0
254,138.0,338.0,-55.0
254,160.0,352.0,-53.0
229,155.0,358.0,-60.0
210,164.0,351.0,-57.0
213,165.0,347.0,-58.0
228,152.0,355.0,-83.0
251,144.0,353.0,-90.0
256,169.0,327.0,-65.0
253,200.0,320.0,-80.0
268,191.0,348.0,-101.0
273,184.0,351.0,-75.0
260,176.0,343.0,-83.0
259,154.0,360.0,-97.0
265,160.0,357.0,-56.0
266,180.0,357.0,-61.0
265,174.0,371.0,-87.0
246,175.0,365.0,-60.0
225,183.0,373.0,-43.0
250,181.0,377.0,-56.0
268,199.0,372.0,-80.0
253,211.0,379.0,-78.0
259,205.0,371.0,-60.0
253,196.0,371.0,-69.0
241,193.0,380.0,-82.0
244,188.0,360.0,-62.0
250,169.0,331.0,-42.0
269,182.0,332.0,-45.0
266,195.0,364.0,-50.0
261,188.0,368.0,-70.0
262,202.0,347.0,-68.0
256,207.0,346.0,-33.0
258,197.0,347.0,-26.0
244,186.0,328.0,-17.0
235,171.0,326.0,-10.0
234,180.0,355.0,-21.0
201,197.0,350.0,-8.0
199,206.0,332.0,8.0
219,212.0,331.0,-6.0
194,218.0,316.0,-18.0
180,237.0,322.0,-7.0
204,244.0,312.0,4.0
213,238.0,269.0,14.0
207,234.0,253.0,10.0
211,236.0,261.0,-11.0
205,238.0,269.0,-11.0
196,228.0,267.0,-12.0
199,229.0,284.0,-24.0
194,234.0,294.0,-5.0
197,236.0,279.0,19.0
198,261.0,285.0,20.0
193,255.0,289.0,16.0
195,219.0,276.0,18.0
186,221.0,267.0,24.0
181,219.0,249.0,36.0
179,197.0,250.0,42.0
171,207.0,273.0,35.0
175,234.0,265.0,48.0
185,216.0,252.0,86.0
178,213.0,258.0,111.0
172,223.0,249.0,102.0
185,195.0,250.0,79.0
184,216.0,254.0,83.0
184,231.0,232.0,91.0
186,206.0,227.0,81.0
170,219.0,238.0,99.0
181,206.0,211.0,123.0
186,194.0,191.0,120.0
156,224.0,206.0,113.0
159,224.0,199.0,119.0
184,228.0,193.0,119.0
172,227.0,192.0,120.0
152,212.0,179.0,142.0
164,229.0,186.0,141.0
149,225.0,178.0,122.0
115,218.0,187.0,137.0
135,245.0,196.0,140.0
150,238.0,141.0,132.0
129,219.0,134.0,142.0
130,229.0,165.0,162.0
144,236.0,151.0,184.0
134,230.0,155.0,184.0
118,233.0,164.0,173.0
123,243.0,157.0,164.0
124,239.0,163.0,174.0
122,235.0,155.0,179.0
143,243.0,149.0,166.0
145,246.0,165.0,180.0
125,245.0,164.0,193.0
108,254.0,158.0,215.0
99,255.0,160.0,232.0
123,246.0,151.0,196.0
135,252.0,144.0,180.0
130,260.0,126.0,187.0
114,268.0,113.0,208.0
94,277.0,127.0,230.0
112,276.0,121.0,214.0
114,266.0,100.0,218.0
110,261.0,95.0,218.0
115,266.0,80.0,209.0
101,270.0,71.0,226.0
94,266.0,97.0,198.0
95,255.0,89.0,180.0
104,254.0,54.0,213.0
96,264.0,72.0,222.0
83,262.0,74.0,211.0
82,253.0,59.0,206.0
65,247.0,64.0,223.0
65,232.0,32.0,249.0
75,244.0,23.0,255.0
75,258.0,48.0,244.0
74,223.0,40.0,222.0
63,217.0,41.0,219.0
69,230.0,64.0,218.0
77,206.0,67.0,207.0
72,198.0,46.0,233.0
85,181.0,30.0,266.0
83,162.0,33.0,277.0
66,206.0,22.0,268.0
76,218.0,23.0,257.0
75,178.0,37.0,277.0
61,174.0,27.0,287.0
82,183.0,24.0,268.0
82,177.0,26.0,271.0
63,174.0,17.0,290.0
86,174.0,14.0,283.0
88,162.0,28.0,270.0
65,155.0,52.0,285.0
74,153.0,47.0,287.0
83,143.0,19.0,273.0
74,154.0,4.0,289.0
58,161.0,0.0,286.0
65,150.0,-1.0,271.0
60,152.0,-2.0,287.0
38,158.0,-2.0,285.0
48,145.0,-3.0,278.0
46,134.0,8.0,278.0
55,139.0,23.0,265.0
49,146.0,13.0,285.0
7,157.0,6.0,293.0
37,159.0,17.0,262.0
65,139.0,14.0,267.0
42,134.0,10.0,280.0
46,139.0,2.0,261.0
51,127.0,7.0,257.0
52,133.0,31.0,264.0
45,153.0,9.0,266.0
35,135.0,-8.0,272.0
37,121.0,6.0,268.0
22,128.0,1.0,261.0
13,119.0,6.0,264.0
5,129.0,2.0,252.0
-2,135.0,7.0,264.0
19,111.0,37.0,293.0
34,112.0,27.0,298.0
36,107.0,10.0,307.0
38,80.0,12.0,296.0
33,80.0,25.0,281.0
33,72.0,29.0,282.0
27,62.0,-9.0,270.0
29,73.0,-20.0,278.0
49,69.0,-5.0,271.0
30,66.0,-2.0,242.0
-4,53.0,-1.0,263.0
15,37.0,3.0,269.0
44,45.0,24.0,251.0
50,52.0,17.0,252.0
43,52.0,-12.0,243.0
40,49.0,-6.0,247.0
58,43.0,-3.0,235.0
