a0003,a0004,a0005,a0006
12,3.0,-41.0,271.0
23,22.0,-70.0,461.0
-32,21.0,-39.0,400.0
-16,14.0,-49.0,406.0
47,14.0,-68.0,406.0
39,15.0,-78.0,382.0
26,8.0,-101.0,405.0
33,7.0,-131.0,404.0
46,19.0,-158.0,402.0
48,19.0,-129.0,406.0
54,29.0,-105.0,384.0
80,18.0,-106.0,366.0
86,-8.0,-87.0,370.0
48,1.0,-75.0,395.0
-3,-8.0,-66.0,421.0
-3,-16.0,-54.0,417.0
-16,-2.0,-63.0,424.0
-56,-15.0,-88.0,439.0
-28,-33.0,-85.0,436.0
16,-22.0,-54.0,444.0
-12,-18.0,-60.0,455.0
-58,-32.0,-85.0,467.0
-5,-25.0,-87.0,490.0
57,-27.0,-77.0,485.0
15,-36.0,-78.0,468.0
-9,-3.0,-76.0,466.0
18,-2.0,-69.0,452.0
22,-37.0,-82.0,453.0
-8,-26.0,-77.0,476.0
-53,-19.0,-58.0,467.0
-70,-26.0,-59.0,464.0
-45,-18.0,-49.0,482.0
-16,-28.0,-25.0,475.0
-37,-18.0,-21.0,458.0
-47,13.0,-43.0,445.0
-10,8.0,-51.0,428.0
-29,-4.0,-40.0,402.0
-40,-3.0,-38.0,386.0
8,-11.0,-77.0,404.0
7,-16.0,-118.0,408.0
-32,-33.0,-104.0,385.0
-26,-65.0,-103.0,403.0
-4,-56.0,-116.0,419.0
11,-38.0,-111.0,404.0
32,-53.0,-116.0,399.0
2,-54.0,-103.0,390.0
-21,-32.0,-114.0,386.0
20,-17.0,-150.0,386.0
2,-9.0,-128.0,387.0
-31,-9.0,-94.0,401.0
-33,-13.0,-97.0,398.0
-59,-12.0,-116.0,382.0
-47,-9.0,-132.0,375.0
-30,-11.0,-124.0,377.0
-28,-23.0,-104.0,367.0
7,-34.0,-95.0,361.0
38,-31.0,-79.0,382.0
64,-23.0,-77.0,390.0
40,-13.0,-112.0,377.0
3,-10.0,-117.0,371.0
46,-14.0,-95.0,381.0
61,0.0,-106.0,398.0
39,16.0,-113.0,396.0
44,19.0,-110.0,390.0
49,10.0,-124.0,393.0
58,-10.0,-104.0,380.0
54,-4.0,-73.0,376.0
53,-7.0,-67.0,384.0
46,-35.0,-60.0,372.0
40,-42.0,-73.0,350.0
64,-41.0,-77.0,349.0
42,-27.0,-65.0,360.0
13,-1.0,-70.0,349.0
21,2.0,-81.0,341.0
-3,-15.0,-74.0,345.0
-32,-26.0,-41.0,316.0
-38,-40.0,-43.0,287.0
-35,-28.0,-70.0,304.0
-23,0.0,-72.0,311.0
-27,-16.0,-84.0,311.0
-10,-1.0,-96.0,321.0
45,46.0,-85.0,308.0
39,40.0,-73.0,301.0
5,33.0,-63.0,296.0
46,30.0,-61.0,289.0
59,12.0,-67.0,293.0
12,16.0,-81.0,294.0
20,16.0,-79.0,314.0
