a0003,a0004,a0005,a0006
5,-6.0,27.0,6.0
4,-21.0,31.0,12.0
-4,-19.0,18.0,11.0
-1,11.0,23.0,5.0
2,23.0,20.0,7.0
0,9.0,21.0,17.0
1,-5.0,28.0,17.0
2,-9.0,27.0,16.0
5,-1.0,27.0,13.0
5,11.0,25.0,9.0
2,7.0,24.0,6.0
2,-2.0,17.0,9.0
-2,-3.0,24.0,10.0
-3,-1.0,21.0,11.0
-4,5.0,16.0,14.0
-7,2.0,20.0,10.0
-6,-7.0,21.0,5.0
-5,-18.0,21.0,7.0
-2,-19.0,20.0,15.0
-4,-14.0,21.0,13.0
-4,-3.0,17.0,15.0
-4,-1.0,11.0,10.0
2,-7.0,13.0,7.0
2,-15.0,15.0,10.0
0,-16.0,16.0,10.0
-2,-3.0,17.0,10.0
-10,8.0,16.0,6.0
-11,22.0,18.0,7.0
-11,16.0,15.0,13.0
1,-4.0,17.0,18.0
-3,-26.0,19.0,13.0
-7,-33.0,16.0,11.0
-8,-13.0,13.0,2.0
-9,8.0,14.0,-2.0
-4,23.0,15.0,3.0
1,20.0,14.0,8.0
-5,-3.0,13.0,12.0
-9,-22.0,17.0,6.0
-10,-26.0,15.0,7.0
-8,-19.0,14.0,6.0
2,-8.0,14.0,3.0
4,2.0,12.0,7.0
3,3.0,10.0,5.0
-4,1.0,10.0,6.0
-9,-6.0,10.0,6.0
-11,-13.0,11.0,3.0
-8,-5.0,15.0,4.0
-7,1.0,15.0,2.0
-8,-2.0,7.0,1.0
-9,-4.0,5.0,4.0
-11,-9.0,10.0,3.0
-12,-13.0,7.0,6.0
-10,-4.0,12.0,5.0
-14,8.0,12.0,2.0
-9,10.0,5.0,-1.0
-9,-1.0,5.0,1.0
-8,-1.0,12.0,3.0
-2,14.0,15.0,4.0
-2,27.0,15.0,5.0
-5,10.0,9.0,5.0
-7,-12.0,8.0,1.0
-7,-30.0,8.0,1.0
-8,-27.0,11.0,7.0
-5,-15.0,17.0,4.0
-5,-3.0,13.0,1.0
-8,10.0,9.0,1.0
-8,4.0,9.0,4.0
-5,-15.0,16.0,0.0
-7,-25.0,16.0,2.0
-6,-15.0,18.0,3.0
-6,-11.0,12.0,4.0
-9,-21.0,11.0,2.0
-9,-29.0,12.0,-2.0
-13,-22.0,8.0,3.0
-12,-9.0,10.0,3.0
-7,14.0,12.0,6.0
-11,12.0,9.0,4.0
-6,1.0,12.0,6.0
-6,-20.0,12.0,10.0
-4,-32.0,7.0,5.0
-6,-14.0,13.0,6.0
-2,5.0,13.0,5.0
-4,10.0,10.0,2.0
-10,-3.0,6.0,0.0
-10,-17.0,7.0,-1.0
-11,-17.0,4.0,5.0
-9,-7.0,5.0,6.0
-13,-2.0,6.0,4.0
-7,-18.0,8.0,3.0
-9,-40.0,14.0,0.0
-8,-27.0,11.0,1.0
-8,-11.0,8.0,-4.0
-12,-3.0,9.0,-1.0
-11,-4.0,12.0,-2.0
-14,-13.0,7.0,-2.0
-12,-12.0,6.0,-2.0
-12,-3.0,10.0,-3.0
-11,10.0,16.0,-3.0
-12,17.0,16.0,-6.0
-8,9.0,13.0,0.0
-7,-13.0,14.0,2.0
-5,-38.0,10.0,5.0
-6,-33.0,15.0,-1.0
-10,-4.0,16.0,-3.0
-11,14.0,15.0,-3.0
-15,7.0,10.0,-2.0
-8,-19.0,8.0,1.0
-6,-39.0,8.0,3.0
-6,-33.0,10.0,-1.0
-12,-11.0,15.0,0.0
-11,2.0,10.0,4.0
-7,-10.0,9.0,0.0
-5,-32.0,2.0,-3.0
-3,-41.0,7.0,-9.0
-3,-21.0,11.0,-11.0
-4,1.0,17.0,-7.0
-10,1.0,18.0,1.0
-9,-13.0,15.0,3.0
-7,-35.0,14.0,3.0
-6,-32.0,10.0,1.0
-6,-6.0,17.0,-5.0
-1,16.0,17.0,-7.0
4,18.0,10.0,-7.0
-1,-2.0,7.0,-12.0
-5,-25.0,9.0,-7.0
-9,-28.0,13.0,-8.0
-9,-5.0,17.0,-8.0
-3,14.0,15.0,-5.0
-1,9.0,8.0,-5.0
3,-11.0,7.0,-7.0
0,-32.0,6.0,-11.0
-2,-33.0,14.0,-12.0
-4,-25.0,14.0,-11.0
-2,-7.0,9.0,-9.0
1,5.0,14.0,-11.0
-1,-1.0,11.0,-8.0
-7,-11.0,13.0,-7.0
-12,-15.0,12.0,-9.0
-12,3.0,14.0,-7.0
-12,4.0,10.0,-1.0
-5,-5.0,12.0,-2.0
-4,-10.0,15.0,-2.0
-9,-3.0,11.0,-2.0
-11,3.0,15.0,-2.0
-9,-2.0,16.0,-2.0
-8,-3.0,17.0,-4.0
-6,-4.0,17.0,-6.0
-6,3.0,21.0,-6.0
