a0003,a0004,a0005,a0006
-67,210.0,-56.0,-6
-92,274.0,-63.0,-7
-67,189.0,-37.0,-5
-80,235.0,-65.0,-11
-82,217.0,-66.0,-14
-88,210.0,-64.0,-4
-91,235.0,-64.0,5
-52,202.0,-43.0,8
-54,210.0,-59.0,14
-73,186.0,-58.0,13
-65,222.0,-52.0,17
-73,204.0,-39.0,29
-93,214.0,-47.0,36
-91,207.0,-42.0,36
-115,225.0,-43.0,33
-70,216.0,-49.0,40
-50,206.0,-46.0,38
-56,218.0,-42.0,41
-39,220.0,-41.0,51
-21,229.0,-41.0,49
-10,197.0,-41.0,43
-33,189.0,-48.0,48
-13,175.0,-42.0,53
-29,182.0,-39.0,55
-22,179.0,-35.0,49
-5,182.0,-53.0,61
-5,178.0,-54.0,76
21,192.0,-49.0,71
17,178.0,-41.0,79
0,157.0,-47.0,85
-16,135.0,-41.0,85
-35,136.0,-39.0,84
-17,135.0,-45.0,92
9,150.0,-48.0,89
25,154.0,-43.0,81
53,154.0,-62.0,80
64,164.0,-60.0,91
42,151.0,-33.0,86
44,142.0,-26.0,94
48,140.0,-17.0,94
35,133.0,-26.0,86
46,135.0,-24.0,98
70,130.0,-33.0,94
68,122.0,-38.0,97
74,134.0,-39.0,98
97,127.0,-29.0,109
69,139.0,-30.0,103
59,144.0,-35.0,101
68,127.0,-24.0,111
77,130.0,-10.0,119
87,135.0,2.0,116
52,119.0,5.0,108
39,130.0,-15.0,121
70,129.0,-20.0,121
63,132.0,-25.0,124
52,120.0,-19.0,126
43,118.0,-3.0,117
29,117.0,1.0,119
51,114.0,7.0,131
84,106.0,23.0,129
85,117.0,46.0,117
47,108.0,57.0,109
28,97.0,61.0,117
13,95.0,61.0,117
0,67.0,62.0,109
1,77.0,61.0,112
-17,88.0,58.0,118
5,76.0,54.0,113
46,82.0,66.0,112
52,83.0,64.0,115
28,72.0,73.0,117
-14,73.0,82.0,115
-17,49.0,82.0,114
-7,47.0,72.0,112
-19,32.0,75.0,104
-33,22.0,70.0,116
-26,19.0,77.0,107
6,16.0,89.0,104
25,14.0,83.0,109
31,-10.0,85.0,97
11,-20.0,93.0,103
6,-21.0,95.0,101
5,-20.0,87.0,108
2,-25.0,91.0,102
-7,-24.0,95.0,92
-5,-30.0,101.0,105
25,-31.0,99.0,103
21,-12.0,96.0,105
-9,-12.0,96.0,98
-18,-20.0,103.0,95
-23,-46.0,82.0,99
-44,-61.0,92.0,81
-25,-49.0,88.0,80
12,-55.0,86.0,90
33,-67.0,96.0,80
25,-56.0,89.0,76
14,-46.0,96.0,73
-5,-53.0,100.0,66
-7,-61.0,112.0,81
0,-72.0,113.0,90
2,-74.0,114.0,87
11,-76.0,118.0,78
18,-78.0,116.0,68
23,-76.0,123.0,65
38,-80.0,131.0,53
45,-80.0,127.0,47
28,-75.0,121.0,44
26,-77.0,114.0,36
15,-73.0,118.0,42
16,-71.0,116.0,42
6,-64.0,109.0,48
-24,-70.0,100.0,56
-25,-71.0,112.0,46
-1,-74.0,104.0,47
4,-86.0,94.0,60
-17,-84.0,101.0,51
-21,-75.0,92.0,50
4,-80.0,85.0,49
-1,-82.0,80.0,34
-21,-67.0,76.0,39
-47,-68.0,55.0,38
-31,-72.0,54.0,37
-2,-71.0,61.0,37
-10,-87.0,53.0,33
9,-93.0,45.0,33
-10,-99.0,49.0,37
-21,-112.0,50.0,34
-8,-103.0,52.0,25
-4,-88.0,74.0,23
-13,-92.0,81.0,15
-26,-91.0,75.0,9
-35,-76.0,69.0,4
-67,-77.0,65.0,8
-57,-76.0,71.0,6
-59,-88.0,58.0,-1
-73,-96.0,55.0,2
-61,-94.0,62.0,-4
-56,-76.0,62.0,-6
