a0003,a0004,a0005,a0006
782,2346.0,-1344.0,-157.0
994,2999.0,-1696.0,-246.0
668,2031.0,-1110.0,-257.0
848,2656.0,-1450.0,-397.0
720,2455.0,-1326.0,-521.0
682,2367.0,-1261.0,-606.0
770,2629.0,-1374.0,-718.0
626,2288.0,-1155.0,-816.0
702,2651.0,-1326.0,-943.0
558,2326.0,-1124.0,-1059.0
631,2548.0,-1261.0,-1189.0
505,2314.0,-1128.0,-1299.0
538,2496.0,-1217.0,-1452.0
469,2385.0,-1059.0,-1576.0
463,2379.0,-1054.0,-1694.0
467,2415.0,-1088.0,-1754.0
405,2328.0,-1007.0,-1891.0
380,2417.0,-1049.0,-2042.0
371,2295.0,-934.0,-2148.0
414,2350.0,-954.0,-2301.0
256,2234.0,-849.0,-2359.0
306,2317.0,-810.0,-2507.0
219,2214.0,-672.0,-2617.0
242,2276.0,-643.0,-2736.0
205,2150.0,-463.0,-2862.0
162,2198.0,-386.0,-2922.0
155,2102.0,-272.0,-2999.0
144,2122.0,-185.0,-3085.0
123,2021.0,-30.0,-3147.0
115,2045.0,36.0,-3221.0
80,2051.0,151.0,-3290.0
-22,2033.0,277.0,-3315.0
-119,1950.0,456.0,-3387.0
-205,1939.0,523.0,-3432.0
-328,1915.0,643.0,-3435.0
-440,1905.0,780.0,-3434.0
-558,1853.0,874.0,-3489.0
-639,1827.0,1040.0,-3501.0
-716,1849.0,1092.0,-3501.0
-851,1775.0,1242.0,-3431.0
-963,1799.0,1324.0,-3431.0
-1098,1729.0,1471.0,-3479.0
-1181,1737.0,1521.0,-3431.0
-1262,1664.0,1615.0,-3464.0
-1417,1693.0,1677.0,-3413.0
-1541,1589.0,1782.0,-3429.0
-1636,1575.0,1865.0,-3422.0
-1750,1555.0,1922.0,-3410.0
-1848,1538.0,1967.0,-3367.0
-2001,1393.0,2012.0,-3349.0
-2119,1423.0,2100.0,-3335.0
-2234,1354.0,2131.0,-3288.0
-2325,1345.0,2147.0,-3297.0
-2453,1346.0,2192.0,-3266.0
-2568,1307.0,2212.0,-3288.0
-2708,1307.0,2288.0,-3305.0
-2688,1283.0,2309.0,-3273.0
-2796,1246.0,2295.0,-3249.0
-2854,1180.0,2309.0,-3306.0
-2898,1199.0,2260.0,-3255.0
-2967,1158.0,2281.0,-3244.0
-2934,1192.0,2291.0,-3254.0
-3043,1137.0,2306.0,-3224.0
-3053,1138.0,2273.0,-3185.0
-3100,1088.0,2303.0,-3204.0
-3086,1104.0,2322.0,-3203.0
-3132,1059.0,2338.0,-3201.0
-3137,1014.0,2325.0,-3194.0
-3126,1029.0,2349.0,-3182.0
-3129,976.0,2392.0,-3190.0
-3107,937.0,2320.0,-3175.0
-3128,915.0,2342.0,-3201.0
-3148,901.0,2319.0,-3157.0
-3103,870.0,2366.0,-3151.0
-3086,822.0,2351.0,-3159.0
-3119,797.0,2325.0,-3138.0
-3062,793.0,2355.0,-3070.0
-3082,773.0,2343.0,-3078.0
-3045,775.0,2371.0,-3065.0
-3086,746.0,2347.0,-3035.0
-3079,754.0,2337.0,-3026.0
-3057,710.0,2321.0,-3002.0
-3050,695.0,2326.0,-3000.0
-3028,708.0,2290.0,-2944.0
-3053,645.0,2248.0,-2918.0
-3035,622.0,2277.0,-2882.0
-3044,616.0,2303.0,-2861.0
-2998,535.0,2248.0,-2841.0
-3000,548.0,2261.0,-2815.0
-2984,523.0,2247.0,-2768.0
-3024,453.0,2244.0,-2763.0
-2991,472.0,2227.0,-2758.0
-2999,405.0,2174.0,-2689.0
-2982,400.0,2165.0,-2628.0
-2953,371.0,2109.0,-2660.0
-2954,371.0,2123.0,-2670.0
-2893,364.0,2080.0,-2628.0
-2911,354.0,2081.0,-2614.0
-2880,316.0,2026.0,-2608.0
-2819,284.0,2035.0,-2610.0
-2821,273.0,1992.0,-2543.0
-2833,252.0,1930.0,-2544.0
-2806,233.0,1956.0,-2504.0
-2826,177.0,1949.0,-2498.0
-2768,200.0,1895.0,-2471.0
-2791,134.0,1878.0,-2468.0
-2787,26.0,1844.0,-2413.0
-2744,-47.0,1826.0,-2379.0
-2750,-160.0,1816.0,-2378.0
-2719,-273.0,1747.0,-2293.0
-2708,-364.0,1738.0,-2269.0
-2689,-491.0,1663.0,-2288.0
-2663,-604.0,1672.0,-2261.0
-2654,-714.0,1577.0,-2229.0
-2637,-861.0,1566.0,-2209.0
-2586,-1017.0,1529.0,-2200.0
-2564,-1133.0,1539.0,-2204.0
-2544,-1204.0,1529.0,-2148.0
-2508,-1349.0,1491.0,-2150.0
-2417,-1453.0,1453.0,-2070.0
-2439,-1565.0,1487.0,-2094.0
-2391,-1699.0,1454.0,-2071.0
-2368,-1765.0,1378.0,-2073.0
-2372,-1901.0,1398.0,-2045.0
-2296,-2014.0,1345.0,-2022.0
-2307,-2135.0,1394.0,-2017.0
-2285,-2251.0,1352.0,-1995.0
-2288,-2360.0,1355.0,-1945.0
-2257,-2458.0,1328.0,-1922.0
-2255,-2532.0,1330.0,-1922.0
-2239,-2631.0,1289.0,-1859.0
-2210,-2704.0,1271.0,-1833.0
-2181,-2768.0,1240.0,-1784.0
-2145,-2852.0,1227.0,-1804.0
-2103,-2937.0,1221.0,-1753.0
-2076,-2935.0,1184.0,-1752.0
-2045,-2977.0,1172.0,-1685.0
-2011,-3063.0,1207.0,-1683.0
-1998,-3078.0,1167.0,-1676.0
-1936,-3128.0,1105.0,-1672.0
-1921,-3120.0,1095.0,-1651.0
-1894,-3153.0,1074.0,-1579.0
-1849,-3161.0,1104.0,-1598.0
-1833,-3130.0,1019.0,-1584.0
-1818,-3152.0,1017.0,-1506.0
-1821,-3099.0,965.0,-1489.0
-1803,-3113.0,972.0,-1534.0
-1802,-3092.0,940.0,-1495.0
-1786,-3101.0,911.0,-1490.0
-1775,-3066.0,875.0,-1435.0
-1762,-3075.0,865.0,-1459.0
-1677,-3086.0,907.0,-1413.0
-1664,-3066.0,871.0,-1396.0
-1705,-3040.0,860.0,-1348.0
-1631,-3067.0,810.0,-1314.0
-1623,-3049.0,795.0,-1321.0
-1639,-3058.0,765.0,-1258.0
-1619,-3032.0,770.0,-1250.0
-1628,-3008.0,700.0,-1195.0
-1574,-3055.0,702.0,-1173.0
-1576,-2994.0,677.0,-1137.0
-1511,-2981.0,607.0,-1109.0
-1522,-2937.0,638.0,-1046.0
-1492,-2964.0,618.0,-1012.0
-1470,-2945.0,556.0,-874.0
-1467,-2948.0,560.0,-831.0
-1449,-2907.0,528.0,-728.0
-1430,-2902.0,505.0,-585.0
-1395,-2863.0,494.0,-518.0
-1396,-2839.0,452.0,-377.0
-1375,-2828.0,452.0,-246.0
-1375,-2853.0,402.0,-152.0
-1364,-2834.0,367.0,-35.0
-1363,-2803.0,346.0,80.0
-1336,-2834.0,335.0,167.0
-1327,-2804.0,296.0,331.0
-1293,-2818.0,271.0,416.0
-1280,-2793.0,249.0,556.0
-1245,-2778.0,229.0,669.0
-1241,-2740.0,128.0,757.0
-1181,-2729.0,-3.0,859.0
-1150,-2690.0,-58.0,967.0
-1146,-2680.0,-141.0,1093.0
-1151,-2642.0,-278.0,1205.0
-1131,-2613.0,-368.0,1317.0
-1019,-2594.0,-513.0,1422.0
-1023,-2547.0,-614.0,1470.0
-997,-2540.0,-672.0,1560.0
-933,-2513.0,-818.0,1628.0
-928,-2517.0,-927.0,1652.0
-873,-2527.0,-1068.0,1711.0
-830,-2455.0,-1180.0,1818.0
-742,-2457.0,-1288.0,1835.0
-659,-2441.0,-1415.0,1854.0
-596,-2365.0,-1552.0,1908.0
-500,-2385.0,-1678.0,1919.0
-409,-2343.0,-1784.0,2007.0
-298,-2257.0,-1877.0,1989.0
-202,-2291.0,-1934.0,2012.0
-69,-2268.0,-2065.0,2011.0
28,-2260.0,-2200.0,2019.0
156,-2232.0,-2287.0,2008.0
261,-2148.0,-2363.0,2018.0
386,-2185.0,-2453.0,2070.0
509,-2140.0,-2528.0,2065.0
611,-2072.0,-2622.0,2108.0
726,-2091.0,-2705.0,2119.0
862,-2049.0,-2754.0,2147.0
966,-2038.0,-2840.0,2118.0
1066,-2038.0,-2874.0,2100.0
1190,-1993.0,-2922.0,2115.0
1300,-1971.0,-2972.0,2132.0
1402,-1927.0,-3024.0,2101.0
1495,-1910.0,-3045.0,2105.0
1590,-1855.0,-3003.0,2123.0
1661,-1831.0,-3040.0,2120.0
1732,-1826.0,-3099.0,2119.0
1796,-1861.0,-3035.0,2105.0
1875,-1801.0,-3050.0,2116.0
1930,-1776.0,-3021.0,2099.0
2008,-1781.0,-3013.0,2101.0
2065,-1709.0,-3018.0,2063.0
2110,-1742.0,-2976.0,2088.0
2144,-1696.0,-2991.0,2122.0
2169,-1651.0,-2959.0,2079.0
2191,-1643.0,-2975.0,2074.0
2192,-1644.0,-2952.0,2098.0
2219,-1628.0,-2959.0,2040.0
2232,-1599.0,-2937.0,2039.0
2254,-1584.0,-2925.0,2033.0
2268,-1569.0,-2915.0,2041.0
2240,-1568.0,-2898.0,2019.0
2254,-1525.0,-2873.0,2005.0
2279,-1473.0,-2867.0,2004.0
2334,-1423.0,-2844.0,1964.0
2337,-1367.0,-2819.0,1949.0
2279,-1378.0,-2808.0,1908.0
2346,-1383.0,-2785.0,1915.0
2328,-1346.0,-2815.0,1873.0
2322,-1335.0,-2802.0,1856.0
2349,-1299.0,-2789.0,1830.0
2331,-1261.0,-2796.0,1818.0
2345,-1241.0,-2783.0,1778.0
2326,-1228.0,-2785.0,1764.0
2347,-1209.0,-2768.0,1761.0
2336,-1166.0,-2747.0,1706.0
2347,-1161.0,-2779.0,1684.0
2333,-1134.0,-2741.0,1689.0
2322,-1104.0,-2677.0,1591.0
2318,-1119.0,-2704.0,1627.0
2317,-1093.0,-2706.0,1605.0
2316,-1025.0,-2678.0,1577.0
2306,-1050.0,-2715.0,1586.0
2310,-1028.0,-2641.0,1514.0
2275,-983.0,-2646.0,1512.0
2261,-979.0,-2622.0,1417.0
2244,-937.0,-2611.0,1476.0
2248,-925.0,-2587.0,1476.0
2243,-882.0,-2551.0,1378.0
2243,-871.0,-2536.0,1382.0
2249,-833.0,-2508.0,1393.0
2250,-804.0,-2525.0,1348.0
2249,-778.0,-2461.0,1358.0
2253,-760.0,-2445.0,1310.0
2214,-737.0,-2420.0,1337.0
2209,-705.0,-2424.0,1301.0
2179,-656.0,-2365.0,1290.0
2131,-581.0,-2357.0,1270.0
2092,-484.0,-2330.0,1242.0
2060,-391.0,-2311.0,1246.0
2048,-306.0,-2298.0,1198.0
2021,-186.0,-2260.0,1195.0
1998,-95.0,-2233.0,1152.0
1966,24.0,-2203.0,1137.0
1933,122.0,-2175.0,1082.0
1896,236.0,-2153.0,1066.0
1885,350.0,-2150.0,1016.0
1871,492.0,-2111.0,1046.0
1860,615.0,-2093.0,1017.0
1856,726.0,-2030.0,1022.0
1855,837.0,-2002.0,984.0
1820,940.0,-1973.0,967.0
1808,1043.0,-1928.0,945.0
1788,1135.0,-1914.0,892.0
1763,1275.0,-1900.0,865.0
1741,1385.0,-1866.0,826.0
1723,1459.0,-1862.0,835.0
1696,1588.0,-1841.0,804.0
1664,1643.0,-1812.0,791.0
1625,1748.0,-1797.0,751.0
1595,1838.0,-1780.0,762.0
1579,1890.0,-1755.0,733.0
1524,1987.0,-1742.0,716.0
1506,2039.0,-1736.0,698.0
1496,2120.0,-1702.0,676.0
1468,2162.0,-1696.0,659.0
1441,2221.0,-1713.0,629.0
1392,2253.0,-1653.0,617.0
1326,2298.0,-1612.0,602.0
1319,2326.0,-1639.0,585.0
1330,2357.0,-1558.0,561.0
1285,2372.0,-1574.0,532.0
1272,2386.0,-1547.0,506.0
1273,2391.0,-1504.0,496.0
1207,2391.0,-1514.0,449.0
1204,2402.0,-1460.0,407.0
1172,2399.0,-1469.0,448.0
1168,2435.0,-1439.0,404.0
1170,2434.0,-1455.0,327.0
1126,2462.0,-1429.0,349.0
1111,2479.0,-1410.0,292.0
1089,2485.0,-1401.0,282.0
1078,2472.0,-1381.0,253.0
1035,2467.0,-1380.0,224.0
1007,2473.0,-1355.0,222.0
975,2476.0,-1340.0,189.0
952,2494.0,-1307.0,189.0
926,2511.0,-1293.0,167.0
913,2499.0,-1255.0,174.0
909,2495.0,-1229.0,116.0
899,2485.0,-1206.0,89.0
867,2472.0,-1195.0,30.0
840,2471.0,-1186.0,-58.0
786,2424.0,-1198.0,-163.0
786,2434.0,-1155.0,-247.0
800,2486.0,-1100.0,-320.0
719,2459.0,-1123.0,-484.0
728,2437.0,-1082.0,-594.0
724,2464.0,-1048.0,-671.0
648,2410.0,-1044.0,-821.0
643,2443.0,-986.0,-914.0
593,2432.0,-986.0,-1034.0
588,2408.0,-932.0,-1143.0
555,2424.0,-909.0,-1260.0
523,2416.0,-888.0,-1389.0
528,2385.0,-866.0,-1453.0
494,2385.0,-850.0,-1575.0
493,2385.0,-805.0,-1686.0
457,2356.0,-775.0,-1819.0
447,2357.0,-695.0,-1918.0
418,2303.0,-640.0,-2052.0
377,2314.0,-552.0,-2147.0
361,2241.0,-467.0,-2276.0
367,2225.0,-340.0,-2364.0
328,2199.0,-240.0,-2466.0
311,2171.0,-125.0,-2552.0
266,2152.0,-33.0,-2664.0
246,2134.0,71.0,-2752.0
228,2102.0,189.0,-2822.0
191,2072.0,309.0,-2917.0
132,2038.0,408.0,-2956.0
73,1999.0,498.0,-3019.0
-13,1985.0,607.0,-3051.0
-111,1938.0,709.0,-3097.0
-211,1940.0,814.0,-3103.0
-337,1913.0,903.0,-3143.0
-429,1919.0,1029.0,-3152.0
-530,1897.0,1144.0,-3173.0
-631,1866.0,1272.0,-3180.0
-762,1844.0,1381.0,-3199.0
-880,1825.0,1471.0,-3192.0
-1026,1790.0,1549.0,-3173.0
-1171,1782.0,1671.0,-3155.0
-1268,1743.0,1800.0,-3156.0
-1362,1733.0,1823.0,-3141.0
-1495,1691.0,1938.0,-3122.0
-1600,1662.0,2034.0,-3105.0
-1732,1647.0,2056.0,-3110.0
-1831,1608.0,2179.0,-3105.0
-1930,1607.0,2185.0,-3071.0
-2036,1572.0,2245.0,-3077.0
-2149,1566.0,2242.0,-3039.0
-2252,1533.0,2287.0,-2989.0
-2384,1484.0,2330.0,-3052.0
-2466,1451.0,2341.0,-3046.0
-2466,1461.0,2378.0,-3014.0
-2623,1450.0,2373.0,-3033.0
-2708,1421.0,2404.0,-2975.0
-2753,1413.0,2399.0,-3005.0
-2852,1392.0,2443.0,-2970.0
-2894,1358.0,2451.0,-2957.0
-2967,1335.0,2463.0,-2932.0
-3006,1303.0,2480.0,-2944.0
-3032,1275.0,2497.0,-2929.0
-3064,1259.0,2476.0,-2902.0
-3113,1237.0,2491.0,-2886.0
-3134,1224.0,2496.0,-2882.0
-3133,1219.0,2504.0,-2867.0
-3147,1178.0,2483.0,-2842.0
-3152,1147.0,2482.0,-2851.0
-3162,1132.0,2465.0,-2817.0
-3136,1119.0,2470.0,-2836.0
-3125,1085.0,2499.0,-2813.0
-3098,1051.0,2480.0,-2821.0
-3070,1024.0,2478.0,-2803.0
-3076,979.0,2481.0,-2806.0
-3088,966.0,2491.0,-2771.0
-3026,910.0,2480.0,-2765.0
-3050,893.0,2466.0,-2726.0
-3047,929.0,2445.0,-2726.0
-2973,852.0,2436.0,-2712.0
-2987,812.0,2398.0,-2679.0
-2972,832.0,2399.0,-2676.0
-2986,755.0,2402.0,-2650.0
-2967,749.0,2389.0,-2641.0
-2941,694.0,2384.0,-2598.0
-2929,692.0,2364.0,-2583.0
-2899,685.0,2341.0,-2543.0
-2919,608.0,2344.0,-2531.0
-2911,603.0,2335.0,-2503.0
-2915,572.0,2310.0,-2495.0
-2879,557.0,2290.0,-2460.0
-2887,518.0,2294.0,-2441.0
-2876,511.0,2266.0,-2406.0
-2863,482.0,2257.0,-2398.0
-2874,486.0,2230.0,-2367.0
-2865,452.0,2194.0,-2328.0
-2873,432.0,2179.0,-2315.0
-2865,404.0,2169.0,-2286.0
-2872,388.0,2161.0,-2292.0
-2851,388.0,2111.0,-2266.0
-2847,352.0,2097.0,-2245.0
-2833,320.0,2088.0,-2215.0
-2814,267.0,2069.0,-2184.0
-2775,242.0,2050.0,-2178.0
-2769,189.0,2034.0,-2146.0
-2749,125.0,2021.0,-2132.0
-2720,28.0,2007.0,-2111.0
-2684,-64.0,1973.0,-2069.0
-2680,-185.0,1930.0,-2070.0
-2644,-288.0,1895.0,-2023.0
-2607,-375.0,1875.0,-2001.0
-2607,-470.0,1837.0,-1971.0
-2551,-572.0,1810.0,-1946.0
-2516,-686.0,1789.0,-1949.0
-2487,-798.0,1770.0,-1937.0
-2467,-923.0,1756.0,-1900.0
-2444,-1043.0,1731.0,-1903.0
-2440,-1155.0,1706.0,-1896.0
-2415,-1275.0,1672.0,-1818.0
