a0003,a0004,a0005,a0006
-39,-17.0,-87.0,20.0
-92,-17.0,-118.0,30.0
-102,13.0,-52.0,12.0
-71,40.0,-42.0,8.0
-40,54.0,-40.0,50.0
-25,34.0,-22.0,90.0
-37,19.0,-39.0,59.0
-18,13.0,-27.0,62.0
-17,0.0,-32.0,77.0
-17,17.0,-13.0,45.0
0,8.0,-4.0,75.0
-10,25.0,6.0,49.0
-2,15.0,14.0,57.0
-1,17.0,-1.0,67.0
-4,27.0,1.0,30.0
-8,-1.0,-6.0,27.0
2,-1.0,-3.0,38.0
15,18.0,29.0,37.0
31,19.0,23.0,5.0
23,4.0,1.0,25.0
10,26.0,-5.0,0.0
7,-9.0,13.0,-1.0
10,-20.0,38.0,18.0
14,-5.0,40.0,4.0
13,-11.0,42.0,-6.0
26,-17.0,23.0,8.0
31,-5.0,41.0,-3.0
36,-29.0,40.0,-20.0
18,-29.0,46.0,-14.0
17,2.0,45.0,-13.0
26,-9.0,56.0,-23.0
22,6.0,70.0,-26.0
22,-9.0,45.0,-11.0
25,-10.0,50.0,-24.0
24,2.0,51.0,-15.0
14,-14.0,47.0,-24.0
2,-15.0,52.0,-19.0
2,0.0,75.0,-21.0
2,1.0,49.0,-21.0
-3,-3.0,30.0,-16.0
-8,3.0,52.0,-33.0
4,5.0,26.0,-35.0
14,-1.0,31.0,-15.0
1,0.0,71.0,-17.0
-5,-17.0,49.0,-30.0
-7,-20.0,29.0,-32.0
-27,-12.0,43.0,-43.0
-27,-5.0,35.0,-34.0
-13,-10.0,41.0,-26.0
-10,-22.0,61.0,-27.0
-6,-22.0,51.0,-43.0
-10,-20.0,27.0,-39.0
-14,-18.0,35.0,-33.0
-20,-26.0,12.0,-48.0
-7,-35.0,3.0,-53.0
-5,-51.0,33.0,-62.0
-7,-31.0,12.0,-52.0
-5,-14.0,3.0,-37.0
-11,-35.0,18.0,-60.0
-2,-42.0,11.0,-78.0
-7,-41.0,-14.0,-62.0
-7,-49.0,3.0,-68.0
-2,-45.0,12.0,-60.0
-3,-26.0,-19.0,-53.0
-5,-36.0,-15.0,-69.0
-4,-44.0,-20.0,-51.0
5,-8.0,-46.0,-58.0
1,-15.0,-28.0,-47.0
-9,-23.0,-30.0,-43.0
-1,-7.0,-41.0,-58.0
11,-26.0,-58.0,-42.0
20,-25.0,-47.0,-28.0
21,0.0,-45.0,-40.0
6,-5.0,-49.0,-64.0
1,-19.0,-35.0,-55.0
-8,-2.0,-44.0,-49.0
-14,5.0,-28.0,-55.0
1,-13.0,-42.0,-46.0
15,-6.0,-35.0,-52.0
22,2.0,-38.0,-46.0
9,-7.0,-48.0,-35.0
-3,11.0,-45.0,-23.0
-3,14.0,-46.0,-26.0
3,4.0,-64.0,-23.0
20,22.0,-53.0,-7.0
37,36.0,-53.0,-23.0
41,27.0,-57.0,-19.0
52,32.0,-46.0,-17.0
48,33.0,-69.0,-10.0
40,5.0,-47.0,-14.0
30,20.0,-49.0,-6.0
27,26.0,-65.0,-14.0
29,12.0,-34.0,-16.0
32,31.0,-22.0,2.0
38,13.0,-27.0,-17.0
32,-5.0,-16.0,-19.0
34,-2.0,-22.0,-6.0
42,25.0,-24.0,1.0
42,10.0,-39.0,-14.0
27,-8.0,-23.0,-11.0
39,11.0,-17.0,15.0
44,-4.0,-26.0,-11.0
32,18.0,-7.0,2.0
27,19.0,-37.0,30.0
25,7.0,-26.0,-2.0
31,10.0,-37.0,1.0
31,17.0,-55.0,33.0
36,26.0,-38.0,7.0
35,8.0,-57.0,-6.0
19,-8.0,-43.0,30.0
