a0003,a0004,a0005,a0006
244,-83.0,56.0,45
347,-171.0,72.0,69
301,-101.0,51.0,-145
364,-125.0,14.0,-486
325,-149.0,-21.0,-316
404,-62.0,-53.0,-341
382,87.0,4.0,-481
387,117.0,-11.0,-215
381,127.0,-57.0,-183
392,84.0,-46.0,-91
366,5.0,-10.0,-47
293,-101.0,34.0,-49
312,-115.0,23.0,144
346,-7.0,31.0,218
410,-6.0,81.0,339
417,-179.0,82.0,325
356,-99.0,52.0,250
316,120.0,77.0,339
340,314.0,102.0,419
333,328.0,110.0,521
265,295.0,124.0,397
291,330.0,147.0,399
327,207.0,105.0,414
383,126.0,148.0,454
476,7.0,126.0,394
524,-13.0,133.0,286
486,-193.0,145.0,217
426,-257.0,129.0,-15
356,-146.0,97.0,-2
310,-6.0,47.0,-145
255,33.0,35.0,-144
245,78.0,-28.0,-120
271,196.0,-61.0,-244
296,164.0,-61.0,-116
250,147.0,-80.0,-157
186,155.0,-77.0,-223
125,137.0,-25.0,-174
75,14.0,-20.0,-131
33,4.0,-15.0,-39
-14,87.0,-36.0,-28
5,72.0,-34.0,44
-25,8.0,-32.0,161
-37,-15.0,-22.0,68
-1,40.0,-56.0,10
-7,124.0,-57.0,-36
-76,197.0,-90.0,-132
-158,264.0,-88.0,-158
-240,337.0,-71.0,-164
-220,286.0,-69.0,-282
-242,239.0,-21.0,-283
-239,229.0,-14.0,-135
-241,221.0,8.0,-48
-245,158.0,1.0,-15
-235,59.0,-17.0,-7
-206,120.0,-20.0,-19
-190,180.0,-14.0,2
-186,55.0,-34.0,220
-196,-94.0,-28.0,222
-172,-146.0,-70.0,162
-99,-120.0,-49.0,387
-53,19.0,28.0,364
-40,39.0,-67.0,168
-26,13.0,-52.0,267
77,-105.0,-25.0,468
111,-136.0,-36.0,484
166,-152.0,47.0,465
198,-54.0,63.0,558
130,28.0,85.0,635
138,7.0,114.0,627
123,20.0,91.0,577
53,-97.0,102.0,506
53,-65.0,152.0,416
0,-70.0,124.0,471
-49,-24.0,133.0,377
-134,17.0,38.0,300
-167,-20.0,70.0,270
-219,-61.0,137.0,167
-224,-175.0,129.0,49
-251,-158.0,138.0,-16
-289,-170.0,123.0,165
-273,-240.0,128.0,257
-253,-95.0,135.0,271
-195,106.0,141.0,351
-160,168.0,103.0,519
-135,43.0,87.0,520
-79,-13.0,58.0,512
-43,31.0,91.0,557
-42,12.0,37.0,535
23,-73.0,28.0,259
13,-34.0,-51.0,37
51,54.0,-83.0,18
104,-81.0,-78.0,-24
122,-186.0,-106.0,-36
87,-66.0,-58.0,-215
120,124.0,-47.0,-332
89,200.0,12.0,-283
63,156.0,82.0,-255
54,100.0,74.0,-293
20,113.0,70.0,-257
-48,158.0,77.0,-225
-85,174.0,20.0,-259
-77,78.0,-25.0,-171
-159,-43.0,-28.0,-144
-206,-157.0,-18.0,-63
-245,-164.0,-34.0,-79
-250,-86.0,-51.0,-233
-297,26.0,-33.0,-292
-314,86.0,14.0,-377
-329,81.0,31.0,-322
-334,134.0,52.0,-289
-303,185.0,76.0,-273
-340,196.0,94.0,-330
-344,137.0,76.0,-413
-330,40.0,68.0,-398
-307,-167.0,29.0,-381
-330,-170.0,40.0,-311
-333,-161.0,7.0,-253
-305,-160.0,-8.0,-238
-287,-83.0,-25.0,-175
-216,-53.0,14.0,-104
-230,-57.0,49.0,-39
-232,-59.0,29.0,-117
-288,123.0,68.0,-220
-288,126.0,49.0,-196
-305,-126.0,109.0,-161
-319,-428.0,131.0,-73
-326,-518.0,157.0,6
-330,-368.0,195.0,26
-343,-126.0,197.0,-12
-373,-36.0,218.0,-11
-347,-109.0,216.0,-21
-319,-182.0,233.0,-21
-217,-89.0,248.0,-22
-184,124.0,197.0,-4
-167,267.0,222.0,-37
-175,146.0,259.0,-13
-176,-50.0,222.0,23
-167,-122.0,161.0,54
-198,-20.0,132.0,149
-270,124.0,61.0,104
-297,175.0,36.0,49
-295,74.0,14.0,75
-304,-64.0,-20.0,63
-295,58.0,10.0,99
-250,232.0,37.0,161
-152,270.0,13.0,70
-71,148.0,-3.0,37
-90,70.0,-20.0,37
-49,107.0,-19.0,-40
