a0003,a0004,a0005,a0006
-11,-15.0,-26.0,13
-15,-31.0,-41.0,26
-4,-32.0,-35.0,27
3,-31.0,-36.0,26
-2,-33.0,-35.0,19
-7,-32.0,-37.0,6
-12,-27.0,-37.0,1
-17,-23.0,-36.0,2
-24,-23.0,-41.0,4
-35,-23.0,-36.0,8
-32,-24.0,-34.0,12
-15,-29.0,-37.0,14
-3,-28.0,-31.0,16
0,-26.0,-29.0,4
-7,-25.0,-29.0,-8
-15,-16.0,-33.0,-4
-15,-17.0,-39.0,-3
-16,-23.0,-32.0,-4
-14,-25.0,-29.0,-3
-6,-27.0,-35.0,-1
-9,-21.0,-35.0,1
-15,-15.0,-37.0,5
-9,-20.0,-34.0,4
-8,-24.0,-26.0,-5
-12,-25.0,-24.0,-9
-20,-25.0,-21.0,-2
-27,-23.0,-20.0,4
-19,-26.0,-29.0,8
-3,-32.0,-28.0,12
8,-31.0,-14.0,12
16,-37.0,-13.0,12
16,-44.0,-20.0,16
12,-39.0,-19.0,18
14,-37.0,-19.0,16
9,-35.0,-22.0,8
1,-30.0,-20.0,1
1,-27.0,-15.0,4
3,-29.0,-14.0,16
12,-33.0,-13.0,19
21,-33.0,-10.0,15
19,-36.0,-1.0,13
17,-40.0,1.0,7
15,-43.0,-5.0,-2
15,-43.0,0.0,-8
23,-37.0,0.0,-5
32,-37.0,-9.0,-2
39,-40.0,-12.0,-10
42,-39.0,-8.0,-16
31,-41.0,-5.0,-12
26,-40.0,-3.0,-6
32,-37.0,-4.0,-8
28,-38.0,-6.0,-19
24,-35.0,-8.0,-28
24,-36.0,-5.0,-27
23,-37.0,-3.0,-19
26,-35.0,-4.0,-17
27,-37.0,-5.0,-19
26,-34.0,-5.0,-23
25,-33.0,-2.0,-35
25,-36.0,2.0,-40
26,-33.0,4.0,-38
24,-38.0,1.0,-46
20,-36.0,-5.0,-45
17,-32.0,-5.0,-34
19,-36.0,2.0,-32
24,-32.0,9.0,-33
24,-35.0,13.0,-32
23,-41.0,12.0,-31
26,-36.0,9.0,-31
25,-32.0,10.0,-29
20,-32.0,8.0,-21
21,-31.0,5.0,-17
25,-31.0,9.0,-23
24,-32.0,17.0,-26
27,-33.0,17.0,-20
29,-31.0,20.0,-14
21,-32.0,28.0,-21
21,-35.0,24.0,-28
34,-34.0,16.0,-23
42,-27.0,16.0,-17
45,-25.0,18.0,-18
52,-28.0,24.0,-23
53,-33.0,27.0,-26
48,-32.0,28.0,-17
36,-25.0,29.0,-5
26,-24.0,27.0,-8
27,-28.0,36.0,-14
30,-29.0,42.0,-13
37,-33.0,28.0,-11
43,-33.0,27.0,-13
39,-23.0,35.0,-15
43,-16.0,35.0,-20
40,-12.0,37.0,-28
29,-14.0,34.0,-23
27,-22.0,31.0,-14
28,-24.0,38.0,-21
30,-24.0,40.0,-29
34,-21.0,33.0,-31
32,-16.0,32.0,-38
31,-15.0,34.0,-42
38,-17.0,33.0,-37
47,-20.0,32.0,-37
47,-22.0,36.0,-46
39,-19.0,39.0,-51
39,-16.0,35.0,-46
43,-18.0,31.0,-44
44,-19.0,34.0,-41
40,-16.0,32.0,-35
37,-17.0,30.0,-34
34,-10.0,32.0,-33
32,-3.0,29.0,-35
37,-8.0,30.0,-38
42,-12.0,32.0,-40
45,-14.0,36.0,-37
50,-19.0,37.0,-37
50,-14.0,32.0,-41
47,-5.0,34.0,-43
41,-3.0,37.0,-40
36,-10.0,36.0,-32
29,-11.0,38.0,-30
29,-10.0,44.0,-38
37,-10.0,50.0,-41
40,-6.0,49.0,-41
37,-6.0,48.0,-42
26,-6.0,46.0,-35
14,2.0,36.0,-31
14,4.0,33.0,-32
18,0.0,37.0,-29
23,2.0,40.0,-24
20,-3.0,46.0,-23
13,-9.0,48.0,-28
21,-5.0,48.0,-27
33,-1.0,49.0,-24
32,2.0,48.0,-34
22,6.0,46.0,-37
15,6.0,42.0,-28
11,3.0,41.0,-21
9,2.0,44.0,-14
7,7.0,42.0,-13
8,12.0,38.0,-17
16,9.0,40.0,-21
24,12.0,44.0,-26
33,16.0,44.0,-26
40,18.0,40.0,-21
34,19.0,36.0,-19
20,20.0,38.0,-19
4,20.0,40.0,-14
1,15.0,40.0,-7
13,17.0,39.0,3
26,20.0,35.0,10
34,19.0,36.0,5
28,22.0,38.0,-11
17,23.0,36.0,-29
17,28.0,34.0,-36
21,31.0,30.0,-39
22,29.0,27.0,-41
18,37.0,26.0,-33
12,32.0,27.0,-19
16,22.0,28.0,-4
14,31.0,31.0,14
5,32.0,28.0,24
4,24.0,20.0,16
0,23.0,16.0,0
-1,22.0,19.0,0
7,24.0,23.0,8
13,30.0,23.0,8
16,33.0,17.0,2
18,30.0,14.0,-3
17,30.0,18.0,-7
22,31.0,22.0,-8
23,27.0,23.0,0
11,27.0,23.0,12
-1,25.0,15.0,14
3,27.0,8.0,18
13,31.0,10.0,24
20,24.0,11.0,16
19,25.0,13.0,6
10,28.0,15.0,5
6,22.0,14.0,2
6,21.0,17.0,-3
3,23.0,16.0,3
5,22.0,11.0,12
4,17.0,5.0,7
0,12.0,-6.0,9
-1,14.0,-7.0,25
7,18.0,1.0,26
20,20.0,9.0,15
