a0003,a0004,a0005,a0006
106,-400.0,-390.0,-85.0
194,-705.0,-695.0,-169.0
194,-616.0,-625.0,-170.0
215,-672.0,-692.0,-187.0
214,-642.0,-662.0,-195.0
224,-668.0,-692.0,-229.0
214,-643.0,-679.0,-242.0
218,-658.0,-704.0,-248.0
191,-634.0,-673.0,-247.0
177,-643.0,-675.0,-242.0
147,-632.0,-655.0,-237.0
121,-627.0,-629.0,-233.0
93,-626.0,-606.0,-228.0
85,-628.0,-573.0,-227.0
56,-610.0,-542.0,-214.0
27,-609.0,-514.0,-222.0
16,-578.0,-488.0,-232.0
4,-567.0,-451.0,-243.0
4,-611.0,-427.0,-245.0
0,-663.0,-405.0,-258.0
-4,-631.0,-385.0,-274.0
-11,-522.0,-357.0,-276.0
-15,-479.0,-333.0,-292.0
-42,-472.0,-313.0,-318.0
-50,-511.0,-294.0,-339.0
-62,-557.0,-286.0,-361.0
-74,-546.0,-277.0,-381.0
-82,-517.0,-268.0,-383.0
-102,-516.0,-255.0,-411.0
-123,-509.0,-254.0,-443.0
-160,-490.0,-267.0,-477.0
-193,-467.0,-245.0,-502.0
-232,-456.0,-261.0,-533.0
-271,-406.0,-261.0,-547.0
-303,-346.0,-264.0,-580.0
-340,-303.0,-256.0,-613.0
-358,-308.0,-262.0,-632.0
-378,-355.0,-258.0,-653.0
-389,-400.0,-248.0,-649.0
-395,-413.0,-245.0,-650.0
-408,-391.0,-233.0,-648.0
-411,-355.0,-231.0,-627.0
-410,-365.0,-217.0,-611.0
-410,-401.0,-197.0,-599.0
-426,-415.0,-179.0,-575.0
-438,-391.0,-185.0,-546.0
-468,-330.0,-177.0,-512.0
-485,-280.0,-165.0,-476.0
-482,-274.0,-159.0,-431.0
-497,-292.0,-152.0,-402.0
-498,-295.0,-148.0,-351.0
-502,-291.0,-137.0,-316.0
-505,-290.0,-114.0,-295.0
-507,-295.0,-93.0,-269.0
-503,-292.0,-68.0,-255.0
-505,-291.0,-51.0,-244.0
-503,-312.0,-36.0,-221.0
-496,-329.0,-26.0,-201.0
-496,-304.0,-16.0,-189.0
-488,-268.0,-13.0,-171.0
-490,-246.0,-9.0,-163.0
-469,-248.0,-8.0,-150.0
-468,-258.0,3.0,-148.0
-461,-272.0,14.0,-154.0
-447,-269.0,15.0,-146.0
-457,-258.0,31.0,-145.0
-461,-233.0,35.0,-143.0
-453,-233.0,42.0,-143.0
-459,-245.0,67.0,-142.0
-466,-240.0,80.0,-138.0
-466,-250.0,101.0,-135.0
-467,-255.0,107.0,-128.0
-457,-280.0,117.0,-133.0
-457,-329.0,129.0,-133.0
-460,-370.0,116.0,-138.0
-464,-380.0,112.0,-131.0
-467,-375.0,122.0,-135.0
-477,-393.0,112.0,-129.0
-480,-388.0,105.0,-111.0
-481,-383.0,93.0,-98.0
-469,-391.0,69.0,-67.0
-483,-383.0,58.0,-36.0
-497,-395.0,39.0,0.0
-505,-397.0,32.0,26.0
-518,-408.0,21.0,65.0
-538,-427.0,24.0,88.0
-555,-448.0,16.0,110.0
-564,-474.0,19.0,135.0
-587,-481.0,24.0,149.0
-589,-478.0,16.0,170.0
-578,-485.0,15.0,180.0
-553,-502.0,21.0,185.0
-521,-518.0,20.0,189.0
-495,-526.0,7.0,199.0
-467,-520.0,-7.0,216.0
-429,-520.0,-25.0,235.0
-392,-524.0,-42.0,239.0
-367,-540.0,-58.0,235.0
