a0003,a0004,a0005,a0006
-20,-2.0,3.0,-3.0
-2,-2.0,-10.0,6.0
212,29.0,28.0,-24.0
11,37.0,99.0,-7.0
-139,57.0,66.0,43.0
76,106.0,28.0,-46.0
-37,88.0,57.0,-102.0
-42,49.0,44.0,-41.0
131,20.0,23.0,-16.0
-1,-21.0,43.0,-22.0
-59,-6.0,58.0,-42.0
36,25.0,37.0,-58.0
76,7.0,-10.0,-58.0
51,-13.0,-39.0,-67.0
-28,-26.0,-15.0,-49.0
47,-51.0,47.0,-32.0
47,-46.0,69.0,-31.0
-57,-3.0,32.0,-9.0
92,-12.0,-13.0,-39.0
24,-45.0,-41.0,-80.0
-119,-24.0,-33.0,-38.0
62,-13.0,-35.0,-57.0
33,0.0,-44.0,-72.0
32,48.0,-3.0,-10.0
164,35.0,26.0,-27.0
33,20.0,17.0,-21.0
33,62.0,20.0,28.0
103,20.0,4.0,3.0
38,-67.0,-34.0,52.0
104,-37.0,-14.0,129.0
226,24.0,24.0,42.0
125,6.0,-4.0,-37.0
-55,22.0,-32.0,-27.0
105,86.0,-38.0,-29.0
155,80.0,-50.0,7.0
22,33.0,-23.0,29.0
116,-1.0,5.0,-16.0
70,-3.0,-20.0,-2.0
18,46.0,-29.0,31.0
47,35.0,7.0,-27.0
-19,-12.0,14.0,-32.0
-18,43.0,-12.0,41.0
-14,80.0,-17.0,23.0
17,47.0,-30.0,25.0
27,49.0,-59.0,88.0
-48,53.0,-84.0,43.0
-87,73.0,-89.0,-15.0
-122,104.0,-81.0,-10.0
-21,48.0,-77.0,-39.0
177,2.0,-55.0,-91.0
-119,33.0,-68.0,-71.0
-134,23.0,-97.0,-1.0
278,-12.0,-64.0,-5.0
-237,-20.0,-77.0,-40.0
-232,-21.0,-146.0,2.0
268,-22.0,-133.0,26.0
-179,-17.0,-95.0,-22.0
14,23.0,-138.0,-8.0
248,35.0,-149.0,44.0
-264,-24.0,-70.0,24.0
-141,-52.0,-20.0,5.0
92,4.0,-46.0,-1.0
-34,58.0,-85.0,-24.0
5,41.0,-84.0,-12.0
54,-4.0,-69.0,11.0
40,-16.0,-43.0,4.0
-11,22.0,15.0,-6.0
-113,39.0,27.0,-15.0
71,-9.0,-3.0,-30.0
12,-21.0,15.0,-43.0
-273,15.0,15.0,-22.0
-15,28.0,-31.0,-2.0
-26,49.0,-9.0,-47.0
-135,40.0,35.0,-69.0
97,-42.0,17.0,-24.0
-104,-68.0,5.0,-7.0
-235,-21.0,18.0,-19.0
-42,-1.0,38.0,43.0
7,-3.0,33.0,92.0
-65,8.0,13.0,44.0
-55,13.0,39.0,33.0
74,13.0,2.0,48.0
-105,15.0,-80.0,22.0
-304,5.0,-63.0,16.0
-65,37.0,-28.0,10.0
16,50.0,-24.0,8.0
-33,16.0,-3.0,54.0
194,35.0,5.0,65.0
93,22.0,-30.0,14.0
-179,17.0,-26.0,-29.0
-92,57.0,-4.0,-15.0
-70,33.0,-59.0,28.0
33,1.0,-118.0,15.0
49,-13.0,-150.0,4.0
-143,5.0,-140.0,36.0
-19,38.0,-73.0,63.0
-81,25.0,-57.0,54.0
-146,16.0,-68.0,-4.0
140,43.0,-80.0,5.0
23,55.0,-79.0,68.0
-153,-12.0,-51.0,53.0
