a0003,a0004,a0005,a0006
-414,4.0,-97.0,-242.0
-543,8.0,-144.0,-357.0
-390,14.0,-121.0,-245.0
-487,3.0,-155.0,-248.0
-452,6.0,-191.0,-276.0
-434,24.0,-195.0,-267.0
-442,-3.0,-173.0,-323.0
-372,-17.0,-164.0,-310.0
-450,13.0,-159.0,-312.0
-404,-3.0,-126.0,-327.0
-427,-7.0,-155.0,-287.0
-397,17.0,-147.0,-328.0
-390,-14.0,-145.0,-373.0
-383,13.0,-183.0,-255.0
-392,17.0,-193.0,-284.0
-373,11.0,-214.0,-337.0
-348,31.0,-186.0,-351.0
-362,-3.0,-171.0,-335.0
-367,44.0,-230.0,-300.0
-376,9.0,-209.0,-336.0
-362,-35.0,-198.0,-360.0
-374,-17.0,-171.0,-299.0
-346,-33.0,-160.0,-337.0
-327,-1.0,-201.0,-352.0
-340,29.0,-190.0,-284.0
-317,9.0,-204.0,-322.0
-322,-18.0,-192.0,-283.0
-307,-2.0,-152.0,-358.0
-280,-33.0,-169.0,-371.0
-311,-41.0,-159.0,-323.0
-333,-19.0,-134.0,-291.0
-333,14.0,-190.0,-301.0
-320,42.0,-141.0,-323.0
-308,26.0,-167.0,-348.0
-289,11.0,-146.0,-312.0
-328,5.0,-108.0,-347.0
-306,13.0,-207.0,-339.0
-320,-2.0,-178.0,-350.0
-306,8.0,-175.0,-401.0
-329,-33.0,-176.0,-287.0
-338,-40.0,-191.0,-348.0
-327,0.0,-160.0,-313.0
-307,12.0,-162.0,-345.0
-266,7.0,-152.0,-342.0
-289,-5.0,-141.0,-301.0
-299,-11.0,-161.0,-343.0
-296,-49.0,-117.0,-311.0
-309,-19.0,-179.0,-332.0
-277,-1.0,-165.0,-327.0
-298,20.0,-170.0,-309.0
-293,33.0,-199.0,-340.0
-264,3.0,-171.0,-311.0
-274,-11.0,-176.0,-296.0
-240,-15.0,-175.0,-327.0
-305,-2.0,-177.0,-328.0
-262,13.0,-160.0,-333.0
-267,43.0,-157.0,-307.0
-308,19.0,-186.0,-305.0
-311,21.0,-199.0,-366.0
-291,19.0,-164.0,-351.0
-275,44.0,-198.0,-328.0
-302,30.0,-203.0,-354.0
-286,3.0,-160.0,-302.0
-275,27.0,-191.0,-365.0
-320,-3.0,-168.0,-400.0
-326,30.0,-187.0,-334.0
-315,-5.0,-195.0,-325.0
-318,27.0,-183.0,-323.0
-320,31.0,-222.0,-345.0
-345,6.0,-225.0,-373.0
-328,17.0,-204.0,-375.0
-338,-1.0,-192.0,-393.0
-356,-7.0,-207.0,-378.0
-336,-39.0,-193.0,-385.0
-368,-23.0,-194.0,-392.0
-361,-51.0,-182.0,-379.0
-362,-52.0,-153.0,-418.0
-383,-14.0,-127.0,-420.0
-345,-24.0,-124.0,-367.0
-368,-77.0,-136.0,-388.0
-347,-27.0,-128.0,-464.0
-377,-54.0,-110.0,-443.0
-395,-75.0,-121.0,-408.0
-361,-40.0,-116.0,-379.0
-392,-48.0,-110.0,-400.0
-392,-3.0,-161.0,-460.0
-391,-15.0,-163.0,-467.0
-373,-36.0,-125.0,-393.0
-348,-25.0,-95.0,-395.0
