a0003,a0004,a0005,a0006
217,450.0,63.0,280
381,238.0,28.0,552
305,153.0,-21.0,588
304,705.0,42.0,702
328,834.0,31.0,744
320,704.0,-109.0,657
299,821.0,-120.0,744
210,937.0,56.0,825
217,552.0,59.0,633
289,481.0,-134.0,553
272,835.0,-48.0,656
229,459.0,-21.0,586
223,223.0,-229.0,625
279,483.0,95.0,811
276,468.0,272.0,781
238,401.0,-97.0,761
313,453.0,-192.0,810
239,661.0,-232.0,798
110,819.0,-276.0,918
203,787.0,-216.0,1022
202,773.0,-161.0,887
102,742.0,-11.0,738
106,669.0,1.0,670
142,680.0,-50.0,540
207,862.0,-63.0,514
309,852.0,-158.0,640
385,624.0,-212.0,652
358,731.0,-212.0,602
288,837.0,-224.0,637
272,718.0,-302.0,609
250,887.0,-306.0,542
273,1038.0,-137.0,653
317,867.0,-157.0,682
209,827.0,-241.0,576
201,905.0,-189.0,725
346,866.0,-290.0,846
437,881.0,-217.0,804
494,784.0,65.0,865
392,562.0,87.0,749
274,621.0,54.0,570
233,576.0,1.0,678
208,418.0,-235.0,660
272,683.0,-321.0,481
240,810.0,-159.0,570
188,706.0,-109.0,659
243,924.0,-222.0,650
313,1034.0,-314.0,883
496,911.0,-391.0,912
693,949.0,-393.0,558
732,1039.0,-304.0,413
674,1109.0,-207.0,428
680,1193.0,-96.0,411
742,1240.0,-51.0,536
667,1216.0,-72.0,695
635,1189.0,-96.0,527
728,1222.0,-128.0,328
691,1144.0,-95.0,591
708,1020.0,-53.0,859
794,976.0,-63.0,954
696,897.0,-19.0,1006
632,771.0,-6.0,842
634,671.0,-69.0,718
510,648.0,-6.0,724
481,642.0,36.0,704
632,632.0,-129.0,732
634,635.0,-245.0,716
530,615.0,-297.0,680
622,698.0,-358.0,758
674,823.0,-300.0,784
515,825.0,-311.0,761
420,879.0,-395.0,833
392,944.0,-322.0,876
356,871.0,-324.0,912
366,852.0,-390.0,1064
458,883.0,-250.0,1217
532,860.0,-212.0,1322
374,835.0,-391.0,1360
296,814.0,-489.0,1291
445,789.0,-533.0,1166
500,658.0,-619.0,1024
658,507.0,-676.0,967
842,607.0,-613.0,991
758,774.0,-560.0,979
815,722.0,-649.0,921
947,668.0,-628.0,802
728,715.0,-558.0,662
651,612.0,-647.0,596
821,507.0,-597.0,632
643,578.0,-411.0,761
485,561.0,-299.0,857
578,457.0,-240.0,886
434,491.0,-268.0,947
415,572.0,-355.0,1015
620,532.0,-437.0,1153
528,483.0,-431.0,1245
571,524.0,-373.0,1099
775,566.0,-435.0,994
617,604.0,-500.0,966
580,564.0,-450.0,879
733,395.0,-406.0,928
657,364.0,-379.0,971
590,429.0,-312.0,868
624,367.0,-309.0,861
670,381.0,-448.0,923
753,498.0,-521.0,877
832,518.0,-518.0,888
819,514.0,-652.0,1041
807,522.0,-628.0,1064
903,492.0,-450.0,1009
765,556.0,-568.0,1053
516,621.0,-663.0,1063
520,561.0,-604.0,1102
485,595.0,-682.0,1201
454,660.0,-683.0,1181
562,618.0,-672.0,1086
534,509.0,-771.0,1079
516,355.0,-751.0,1156
660,321.0,-593.0,1119
657,329.0,-492.0,902
468,329.0,-547.0,720
414,490.0,-532.0,735
512,560.0,-548.0,909
503,455.0,-752.0,1032
515,502.0,-754.0,1049
662,554.0,-562.0,1215
664,434.0,-520.0,1317
551,501.0,-581.0,1109
556,646.0,-565.0,1080
695,558.0,-548.0,1222
744,496.0,-606.0,1118
612,445.0,-665.0,1099
715,352.0,-637.0,1314
838,467.0,-579.0,1276
594,492.0,-620.0,1062
595,335.0,-587.0,988
894,358.0,-531.0,919
908,299.0,-584.0,955
790,288.0,-558.0,1128
777,528.0,-557.0,1154
734,422.0,-662.0,1154
815,240.0,-741.0,1237
965,324.0,-763.0,1220
962,352.0,-699.0,1225
1004,401.0,-568.0,1270
942,422.0,-481.0,1147
761,357.0,-520.0,1115
823,337.0,-575.0,1180
783,331.0,-585.0,1054
521,341.0,-630.0,1022
487,264.0,-572.0,1085
551,169.0,-449.0,982
594,144.0,-464.0,925
661,80.0,-475.0,949
594,158.0,-475.0,935
581,259.0,-523.0,939
666,196.0,-458.0,966
762,268.0,-411.0,1008
920,342.0,-451.0,1005
905,180.0,-422.0,1020
833,274.0,-452.0,1117
879,496.0,-536.0,1093
761,200.0,-525.0,1080
580,148.0,-488.0,1153
577,495.0,-390.0,1092
611,248.0,-302.0,1122
622,-35.0,-302.0,1283
649,137.0,-276.0,1379
605,130.0,-406.0,1578
522,57.0,-597.0,1701
515,228.0,-522.0,1479
528,230.0,-445.0,1268
482,-21.0,-524.0,1192
415,-72.0,-531.0,1141
345,28.0,-559.0,1215
259,136.0,-719.0,1193
277,265.0,-680.0,1092
385,191.0,-502.0,1210
471,45.0,-569.0,1200
493,96.0,-654.0,1078
383,237.0,-576.0,1177
254,287.0,-583.0,1144
197,221.0,-638.0,1041
391,82.0,-627.0,1171
680,-49.0,-558.0,1290
497,121.0,-421.0,1303
233,319.0,-421.0,1296
288,159.0,-560.0,1295
374,183.0,-628.0,1283
442,365.0,-703.0,1281
513,269.0,-768.0,1368
602,146.0,-751.0,1444
652,94.0,-633.0,1442
592,-21.0,-532.0,1412
534,-111.0,-644.0,1402
515,-51.0,-684.0,1475
578,-103.0,-592.0,1444
649,-206.0,-596.0,1317
554,10.0,-540.0,1344
485,189.0,-488.0,1374
488,238.0,-525.0,1389
364,376.0,-457.0,1532
324,399.0,-396.0,1690
395,341.0,-432.0,1729
277,325.0,-362.0,1825
221,394.0,-257.0,1978
250,382.0,-329.0,1769
85,181.0,-430.0,1515
127,200.0,-455.0,1476
320,258.0,-558.0,1402
207,83.0,-669.0,1420
82,219.0,-682.0,1476
147,411.0,-738.0,1473
189,262.0,-822.0,1480
257,350.0,-784.0,1484
425,465.0,-711.0,1429
424,382.0,-711.0,1311
298,536.0,-614.0,1435
221,662.0,-408.0,1724
124,628.0,-292.0,1717
174,505.0,-270.0,1728
251,296.0,-322.0,1950
186,299.0,-442.0,1912
239,252.0,-541.0,1801
323,122.0,-542.0,1917
314,246.0,-476.0,1903
334,205.0,-509.0,1719
322,266.0,-660.0,1689
267,279.0,-683.0,1758
319,56.0,-563.0,1714
421,475.0,-649.0,1687
431,51.0,-769.0,1721
420,624.0,-609.0,1714
418,2219.0,-524.0,1717
363,-964.0,-600.0,1687
311,-2700.0,-502.0,1680
294,2336.0,-429.0,1799
267,3620.0,-590.0,1889
280,-2187.0,-605.0,1899
308,-2358.0,-534.0,1922
232,4043.0,-694.0,1872
155,1103.0,-666.0,1673
141,-4389.0,-409.0,1577
130,1338.0,-424.0,1694
184,3645.0,-568.0,1859
269,-2420.0,-579.0,2017
350,-2007.0,-620.0,1917
499,2617.0,-700.0,1684
586,823.0,-645.0,1800
557,-2108.0,-566.0,1843
601,80.0,-627.0,1616
685,1531.0,-753.0,1624
700,-130.0,-720.0,1669
618,-850.0,-480.0,1586
502,226.0,-374.0,1654
481,827.0,-349.0,1733
413,-260.0,-236.0,1737
331,-827.0,-385.0,1821
358,-13.0,-499.0,1867
291,372.0,-330.0,1817
127,14.0,-460.0,1794
-23,-54.0,-618.0,1804
-53,345.0,-527.0,1811
43,35.0,-696.0,1791
127,-354.0,-725.0,1720
220,309.0,-395.0,1605
260,583.0,-377.0,1548
260,-42.0,-566.0,1550
321,-37.0,-594.0,1499
294,797.0,-566.0,1515
200,599.0,-542.0,1601
264,-276.0,-562.0,1647
329,283.0,-585.0,1730
220,1053.0,-532.0,1745
279,835.0,-566.0,1789
421,637.0,-644.0,1965
310,393.0,-616.0,1879
360,203.0,-664.0,1729
510,423.0,-758.0,1813
262,394.0,-798.0,1744
95,255.0,-636.0,1678
328,254.0,-360.0,1780
411,38.0,-543.0,1728
428,245.0,-871.0,1704
608,692.0,-896.0,1792
515,322.0,-793.0,1757
357,-22.0,-699.0,1669
453,452.0,-758.0,1650
535,758.0,-811.0,1735
559,500.0,-796.0,1792
535,495.0,-786.0,1740
468,764.0,-666.0,1862
419,730.0,-555.0,2053
323,535.0,-481.0,1972
336,273.0,-386.0,1900
483,119.0,-420.0,1918
507,262.0,-509.0,1807
479,241.0,-498.0,1738
463,147.0,-444.0,1816
445,175.0,-373.0,1881
454,74.0,-336.0,1764
379,119.0,-325.0,1628
392,411.0,-300.0,1644
565,520.0,-351.0,1613
798,364.0,-363.0,1596
920,399.0,-307.0,1723
761,769.0,-371.0,1810
718,864.0,-408.0,1879
693,618.0,-385.0,1974
480,555.0,-448.0,1963
539,654.0,-387.0,1921
662,747.0,-235.0,1936
608,741.0,-242.0,1955
647,668.0,-166.0,1958
672,826.0,-79.0,2008
633,916.0,-289.0,2105
616,717.0,-398.0,2034
575,783.0,-348.0,1944
514,833.0,-462.0,2027
450,585.0,-455.0,1948
383,763.0,-332.0,1860
362,896.0,-408.0,1868
436,529.0,-463.0,1717
459,609.0,-386.0,1702
422,884.0,-345.0,1739
452,665.0,-276.0,1727
459,452.0,-145.0,1803
562,424.0,-68.0,1742
767,387.0,-74.0,1742
763,464.0,-61.0,1813
695,497.0,-86.0,1836
681,303.0,-222.0,2000
560,281.0,-255.0,1964
508,553.0,-304.0,1767
670,668.0,-464.0,1864
884,568.0,-327.0,1907
1032,518.0,-134.0,1781
1013,490.0,-338.0,1931
877,500.0,-426.0,2163
809,633.0,-284.0,2200
816,678.0,-458.0,2240
822,730.0,-580.0,2251
726,846.0,-343.0,2169
660,758.0,-180.0,2194
746,658.0,-151.0,2221
755,608.0,-135.0,2180
712,542.0,-41.0,2252
659,673.0,95.0,2232
555,898.0,-7.0,2171
647,938.0,-210.0,2299
704,660.0,-290.0,2347
529,472.0,-420.0,2369
543,617.0,-489.0,2368
680,596.0,-346.0,2189
677,523.0,-328.0,2234
743,560.0,-343.0,2344
804,531.0,-180.0,2107
596,635.0,-235.0,1967
532,634.0,-302.0,2024
735,529.0,-103.0,1921
753,613.0,-123.0,1944
833,585.0,-190.0,2117
976,515.0,-162.0,2033
847,701.0,-350.0,2063
825,822.0,-366.0,2363
875,526.0,-224.0,2460
781,347.0,-317.0,2449
832,811.0,-384.0,2589
874,1091.0,-384.0,2682
731,430.0,-457.0,2567
749,19.0,-371.0,2449
777,720.0,-266.0,2476
609,795.0,-430.0,2519
616,42.0,-584.0,2502
678,489.0,-561.0,2419
617,1032.0,-628.0,2433
690,202.0,-748.0,2575
835,93.0,-658.0,2582
887,836.0,-441.0,2564
815,486.0,-334.0,2640
746,159.0,-253.0,2676
747,719.0,-119.0,2674
643,827.0,-92.0,2656
587,531.0,-145.0,2757
723,511.0,-204.0,2811
766,468.0,-255.0,2574
700,332.0,-302.0,2496
788,374.0,-367.0,2563
811,496.0,-412.0,2377
635,469.0,-542.0,2275
729,371.0,-604.0,2348
975,334.0,-506.0,2273
990,390.0,-586.0,2184
1039,545.0,-697.0,2225
1078,628.0,-616.0,2199
1052,587.0,-677.0,2106
1206,533.0,-748.0,2221
1257,559.0,-515.0,2374
1104,594.0,-571.0,2296
1057,497.0,-733.0,2275
1044,544.0,-370.0,2349
954,643.0,-174.0,2376
948,488.0,-199.0,2485
1036,425.0,-84.0,2533
1122,518.0,-211.0,2453
1168,501.0,-323.0,2371
1002,402.0,-226.0,2214
874,319.0,-306.0,2096
1123,140.0,-428.0,2065
1283,62.0,-442.0,2079
1192,124.0,-463.0,2208
1166,-68.0,-358.0,2256
1139,85.0,-134.0,2253
1117,464.0,-11.0,2283
1147,280.0,-60.0,2244
1127,387.0,-94.0,2313
1121,761.0,-49.0,2290
1098,549.0,-105.0,2072
1041,429.0,-88.0,2145
1100,598.0,-14.0,2333
1078,415.0,-206.0,2191
989,193.0,-387.0,2059
1048,244.0,-384.0,2114
986,227.0,-524.0,2080
841,147.0,-678.0,2088
923,151.0,-549.0,2256
1101,120.0,-439.0,2275
1206,154.0,-484.0,2015
1174,328.0,-389.0,1955
979,431.0,-370.0,2210
806,502.0,-529.0,2260
703,509.0,-486.0,2261
663,249.0,-379.0,2322
740,166.0,-350.0,2100
858,427.0,-257.0,1929
1053,415.0,-232.0,2081
1127,150.0,-205.0,2225
959,104.0,-117.0,2234
919,195.0,-190.0,2294
903,112.0,-371.0,2297
824,121.0,-437.0,2214
890,406.0,-308.0,2275
807,425.0,-154.0,2239
658,226.0,-188.0,2069
790,290.0,-257.0,2091
868,339.0,-173.0,2075
909,139.0,-144.0,1945
1195,121.0,-320.0,1954
1187,331.0,-402.0,1910
1077,389.0,-301.0,1746
1488,329.0,-263.0,1715
1513,325.0,-233.0,1797
1083,429.0,-72.0,1829
983,404.0,-3.0,1901
836,182.0,-224.0,2128
724,201.0,-416.0,2220
784,340.0,-299.0,2082
630,366.0,-143.0,2122
611,406.0,-148.0,2207
797,363.0,-88.0,1961
805,326.0,108.0,1880
833,277.0,128.0,2178
893,182.0,-39.0,2189
791,315.0,-73.0,1998
787,420.0,-18.0,2025
931,371.0,-126.0,1905
932,428.0,-318.0,1703
869,419.0,-394.0,1676
877,339.0,-351.0,1696
743,350.0,-326.0,1817
636,427.0,-383.0,1924
745,501.0,-226.0,2172
758,405.0,65.0,2451
667,311.0,-86.0,2317
695,350.0,-400.0,2160
769,333.0,-394.0,2103
723,382.0,-489.0,2100
649,507.0,-716.0,2193
705,438.0,-601.0,2133
701,273.0,-578.0,2125
620,187.0,-861.0,2170
704,49.0,-813.0,1971
743,43.0,-569.0,1759
608,363.0,-577.0,1782
648,485.0,-595.0,1804
750,408.0,-536.0,1707
699,465.0,-644.0,1788
799,400.0,-692.0,1883
866,461.0,-544.0,1773
637,631.0,-535.0,1745
