a0003,a0004,a0005,a0006
0,0.0,-1.0,0
0,0.0,-3.0,0
0,0.0,-7.0,0
0,0.0,-2.0,0
0,0.0,15.0,0
0,0.0,29.0,0
0,0.0,43.0,0
0,0.0,61.0,0
0,0.0,69.0,0
0,0.0,47.0,0
0,0.0,16.0,0
0,1.0,7.0,0
0,-2.0,5.0,0
1,2.0,-3.0,1
-2,-1.0,-6.0,-1
3,-2.0,1.0,1
-2,6.0,1.0,0
-1,-10.0,-4.0,-2
6,11.0,1.0,6
-20,-8.0,2.0,-8
105,16.0,-4.0,8
373,381.0,-5.0,-5
468,748.0,-2.0,11
477,847.0,0.0,370
547,888.0,0.0,748
560,824.0,0.0,823
550,749.0,-1.0,856
540,861.0,0.0,859
477,945.0,1.0,826
425,933.0,-1.0,814
401,914.0,5.0,782
427,826.0,2.0,769
446,782.0,2.0,769
443,788.0,15.0,765
469,798.0,9.0,774
420,834.0,1.0,761
405,756.0,8.0,732
427,647.0,10.0,716
431,613.0,14.0,694
531,608.0,17.0,682
552,659.0,10.0,680
572,718.0,7.0,671
587,726.0,13.0,674
441,661.0,16.0,666
431,616.0,11.0,641
492,668.0,10.0,616
435,627.0,10.0,591
440,563.0,15.0,580
442,599.0,20.0,566
380,538.0,12.0,552
358,510.0,9.0,536
340,547.0,12.0,507
339,518.0,9.0,504
354,544.0,9.0,512
340,526.0,13.0,504
336,459.0,18.0,499
333,470.0,19.0,483
331,451.0,13.0,458
331,403.0,14.0,437
324,407.0,21.0,438
314,406.0,17.0,444
299,379.0,6.0,417
305,379.0,0.0,390
298,374.0,0.0,395
256,380.0,0.0,397
238,381.0,0.0,387
242,339.0,0.0,362
246,358.0,0.0,336
247,351.0,0.0,327
227,293.0,0.0,316
184,345.0,0.0,301
172,345.0,0.0,300
176,257.0,0.0,304
155,281.0,0.0,304
145,330.0,0.0,304
155,334.0,0.0,283
247,324.0,0.0,261
293,308.0,0.0,264
165,277.0,0.0,268
96,245.0,0.0,266
139,278.0,0.0,281
230,288.0,0.0,302
247,246.0,0.0,295
101,237.0,0.0,280
81,254.0,0.0,250
141,226.0,0.0,199
29,189.0,0.0,212
-11,241.0,0.0,205
47,213.0,0.0,152
13,155.0,0.0,181
-8,225.0,0.0,155
-5,212.0,0.0,82
-14,160.0,0.0,127
2,201.0,0.0,175
-10,215.0,0.0,184
-37,166.0,0.0,175
-48,133.0,0.0,116
-60,156.0,0.0,105
-57,165.0,0.0,117
-54,121.0,0.0,65
-57,106.0,0.0,27
-56,131.0,0.0,12
-52,134.0,0.0,1
-41,104.0,0.0,108
-37,85.0,0.0,287
-47,83.0,0.0,378
-53,70.0,0.0,482
-64,51.0,1.0,643
-86,43.0,2.0,601
-78,54.0,2.0,344
-60,58.0,2.0,154
-68,63.0,2.0,142
-60,66.0,2.0,183
-49,24.0,2.0,112
-70,-7.0,0.0,18
-83,2.0,0.0,-58
-85,0.0,-1.0,-128
-85,-1.0,-2.0,-89
-83,1.0,-3.0,-81
-87,-1.0,-4.0,-96
-67,1.0,-4.0,-83
-50,-1.0,-2.0,-119
-63,-3.0,-2.0,-120
-61,-2.0,0.0,-86
-64,-2.0,0.0,-83
-72,-3.0,2.0,-61
-60,-2.0,3.0,-18
-70,-2.0,4.0,-10
-91,-2.0,5.0,-22
-87,-2.0,7.0,-72
-84,-2.0,7.0,-75
-82,0.0,9.0,-23
-88,-1.0,11.0,-21
-109,-1.0,12.0,-21
-113,1.0,16.0,-63
-114,0.0,20.0,-43
-121,3.0,13.0,43
-114,1.0,4.0,37
-113,-7.0,1.0,36
-118,-2.0,-4.0,-25
-115,2.0,-8.0,-94
-110,-4.0,-11.0,-52
-100,-5.0,-12.0,-32
-97,-5.0,-11.0,-21
-106,-7.0,-9.0,15
-116,-5.0,-4.0,26
-137,-6.0,0.0,-12
-160,-2.0,3.0,-46
-173,12.0,7.0,1
-171,18.0,10.0,4
-157,19.0,12.0,-55
-154,18.0,12.0,-50
-160,7.0,12.0,-31
-147,12.0,10.0,-4
-128,24.0,6.0,-5
-131,17.0,2.0,-75
-118,10.0,-2.0,-108
-107,9.0,-8.0,-63
-147,5.0,-16.0,-13
-119,3.0,-25.0,2
-14,3.0,-33.0,16
8,3.0,-40.0,-42
-6,5.0,-43.0,-88
3,6.0,-41.0,-39
-1,6.0,-27.0,-50
0,6.0,0.0,-78
1,4.0,49.0,-69
-1,3.0,132.0,-55
1,4.0,234.0,-25
2,4.0,387.0,-17
2,4.0,595.0,-29
2,6.0,772.0,-54
4,7.0,896.0,-57
3,4.0,995.0,-43
0,1.0,1055.0,-62
1,3.0,1085.0,-57
3,5.0,1094.0,-60
2,7.0,1086.0,-121
0,8.0,1072.0,-134
0,5.0,1050.0,-110
0,5.0,1026.0,-95
0,7.0,1002.0,-44
0,4.0,975.0,-28
0,4.0,948.0,-46
0,6.0,920.0,-8
0,0.0,894.0,-42
0,-1.0,873.0,-105
-1,1.0,856.0,-58
-2,0.0,841.0,-53
-4,0.0,829.0,-57
-3,0.0,820.0,-56
-1,0.0,813.0,-87
0,0.0,805.0,-44
-1,0.0,798.0,-51
-2,0.0,787.0,-89
-1,0.0,772.0,-61
-2,0.0,756.0,-66
-2,0.0,737.0,-55
-2,0.0,718.0,-27
-1,0.0,699.0,-47
0,0.0,681.0,-58
0,0.0,661.0,-40
0,0.0,640.0,-29
0,0.0,625.0,-31
-2,0.0,610.0,-34
-2,0.0,595.0,-46
-4,0.0,582.0,-71
-4,0.0,570.0,-82
-4,0.0,559.0,-86
-2,0.0,547.0,-80
-2,0.0,534.0,-88
0,0.0,524.0,-132
0,0.0,511.0,-129
0,0.0,498.0,-90
0,0.0,488.0,-95
0,0.0,477.0,-78
0,0.0,468.0,-57
0,0.0,459.0,-67
0,0.0,448.0,-53
0,0.0,439.0,-113
-1,0.0,428.0,-151
-5,0.0,417.0,-106
-5,0.0,408.0,-121
-2,0.0,400.0,-72
-2,0.0,394.0,-62
-2,0.0,388.0,-178
-2,0.0,380.0,-169
-4,0.0,366.0,-119
-4,0.0,347.0,-84
-4,0.0,327.0,0
-4,0.0,307.0,26
-2,0.0,288.0,16
0,0.0,273.0,7
0,0.0,261.0,-4
0,0.0,251.0,2
0,0.0,242.0,0
0,0.0,239.0,-1
0,0.0,234.0,1
0,0.0,229.0,-1
0,0.0,228.0,1
0,0.0,224.0,-1
0,0.0,220.0,-4
0,0.0,218.0,-2
0,0.0,211.0,-7
0,0.0,200.0,-5
0,0.0,189.0,0
0,0.0,176.0,-9
0,0.0,166.0,-10
0,0.0,156.0,-5
0,0.0,148.0,-9
0,0.0,140.0,-8
0,0.0,138.0,-6
0,0.0,146.0,-5
0,0.0,150.0,-2
0,0.0,150.0,-5
0,1.0,145.0,-8
0,-2.0,128.0,-9
0,3.0,108.0,-10
0,10.0,85.0,-9
0,2.0,57.0,-6
0,-3.0,32.0,-6
0,0.0,17.0,-9
0,2.0,24.0,-6
0,5.0,55.0,-1
0,6.0,115.0,-3
0,8.0,213.0,-8
0,10.0,316.0,-5
0,1.0,391.0,1
0,0.0,443.0,-4
0,16.0,454.0,-5
0,21.0,384.0,-1
0,22.0,277.0,-6
0,22.0,194.0,-7
0,14.0,127.0,-3
0,11.0,64.0,-3
0,7.0,9.0,-1
0,6.0,-27.0,-3
0,11.0,-55.0,-2
0,7.0,-83.0,-1
0,4.0,-98.0,-7
0,5.0,-111.0,-6
0,2.0,-120.0,-3
0,3.0,-118.0,-4
0,7.0,-111.0,-7
0,7.0,-100.0,-6
0,4.0,-90.0,0
0,4.0,-83.0,-2
0,4.0,-81.0,-7
0,4.0,-88.0,-4
0,7.0,-96.0,1
0,8.0,-102.0,-2
0,6.0,-109.0,-6
0,6.0,-107.0,-2
0,6.0,-101.0,-2
0,5.0,-92.0,-4
0,4.0,-73.0,-4
0,2.0,-53.0,-4
0,3.0,-43.0,-4
0,6.0,-37.0,-9
0,4.0,-29.0,-14
0,2.0,-35.0,-11
0,1.0,-41.0,-11
0,-1.0,-26.0,-10
1,-3.0,-20.0,-2
-2,-6.0,-19.0,1
-6,-2.0,-7.0,0
-5,10.0,-3.0,0
-5,14.0,6.0,0
-6,5.0,14.0,0
-6,-9.0,14.0,0
-6,-8.0,14.0,0
-7,13.0,8.0,0
-9,19.0,4.0,0
-9,4.0,-11.0,0
-8,5.0,-29.0,0
-10,11.0,-33.0,0
-9,1.0,-36.0,0
-8,-6.0,-34.0,0
-12,0.0,-38.0,0
-13,1.0,-48.0,0
-13,-1.0,-43.0,0
-14,1.0,-43.0,0
-13,1.0,-41.0,0
-12,0.0,-30.0,0
-12,1.0,-30.0,0
-14,1.0,-32.0,0
-13,0.0,-28.0,0
-12,1.0,-28.0,0
-12,4.0,-36.0,0
-11,4.0,-43.0,0
-11,2.0,-41.0,0
-13,2.0,-36.0,0
-13,1.0,-34.0,0
-13,0.0,-37.0,0
-14,0.0,-41.0,0
-16,0.0,-40.0,0
-18,-2.0,-50.0,0
-18,-3.0,-61.0,0
-18,-2.0,-64.0,0
-19,-4.0,-69.0,0
-20,-6.0,-70.0,0
-21,-6.0,-71.0,0
-23,-7.0,-82.0,0
-26,-8.0,-89.0,0
-28,-8.0,-93.0,0
-26,-8.0,-104.0,0
-24,-9.0,-109.0,0
-25,-10.0,-106.0,0
-25,-10.0,-105.0,0
-25,-10.0,-100.0,0
-26,-11.0,-92.0,0
-25,-14.0,-96.0,0
-24,-16.0,-100.0,0
-24,-17.0,-95.0,0
-22,-21.0,-102.0,0
-22,-22.0,-103.0,0
-21,-22.0,-90.0,0
-20,-25.0,-93.0,0
-22,-25.0,-102.0,0
-25,-24.0,-103.0,0
-26,-26.0,-113.0,0
-26,-27.0,-113.0,0
-23,-28.0,-108.0,0
-26,-30.0,-114.0,0
-29,-30.0,-108.0,0
-30,-32.0,-101.0,0
-38,-32.0,-100.0,0
-38,-32.0,-90.0,0
-36,-32.0,-87.0,0
-38,-32.0,-89.0,0
-34,-33.0,-89.0,0
-34,-33.0,-90.0,0
-36,-34.0,-92.0,0
-36,-38.0,-95.0,1
-41,-38.0,-98.0,-1
-45,-39.0,-104.0,1
-47,-41.0,-112.0,8
-50,-42.0,-122.0,4
-40,-41.0,-125.0,2
-17,-40.0,-133.0,-1
-3,-42.0,-147.0,-8
8,-44.0,-147.0,-2
26,-45.0,-142.0,1
20,-46.0,-142.0,-3
-11,-49.0,-133.0,-2
-32,-52.0,-110.0,-1
-40,-52.0,-103.0,-2
-45,-52.0,-97.0,-4
-59,-56.0,-66.0,-1
-69,-60.0,-41.0,0
-62,-59.0,-22.0,-4
-61,-58.0,-2.0,-4
-67,-61.0,5.0,-4
-59,-64.0,7.0,-3
-63,-67.0,-5.0,-4
-72,-70.0,-18.0,-6
-58,-70.0,-23.0,-6
-51,-72.0,-32.0,-7
-58,-73.0,-33.0,-7
-61,-72.0,-29.0,-6
