a0003,a0004,a0005,a0006
-49,-1.0,-133.0,77.0
-95,-23.0,-219.0,171.0
-86,8.0,-194.0,216.0
-42,52.0,-166.0,242.0
-32,23.0,-74.0,285.0
-113,33.0,-46.0,306.0
-178,85.0,-55.0,319.0
-201,66.0,-9.0,376.0
-268,-32.0,-97.0,337.0
-235,-21.0,-166.0,306.0
-135,59.0,-125.0,394.0
-148,34.0,-210.0,386.0
-139,26.0,-262.0,346.0
-94,41.0,-156.0,331.0
-135,27.0,-101.0,295.0
-177,22.0,-95.0,292.0
-189,37.0,-61.0,301.0
-207,42.0,-45.0,307.0
-160,26.0,-52.0,274.0
-130,49.0,-63.0,255.0
-144,74.0,-66.0,274.0
-89,44.0,-49.0,308.0
-30,-13.0,-17.0,359.0
30,-41.0,39.0,343.0
60,-21.0,82.0,337.0
26,-43.0,72.0,383.0
38,-58.0,55.0,390.0
37,-38.0,31.0,391.0
22,-49.0,1.0,397.0
39,-52.0,-24.0,407.0
48,-48.0,-35.0,399.0
117,-20.0,-19.0,363.0
173,-3.0,-34.0,359.0
143,-25.0,-8.0,350.0
154,3.0,61.0,338.0
214,39.0,77.0,328.0
239,54.0,96.0,289.0
250,33.0,89.0,288.0
230,-5.0,66.0,286.0
155,-4.0,73.0,252.0
117,13.0,30.0,240.0
119,32.0,-29.0,229.0
101,-4.0,-3.0,218.0
90,-13.0,-5.0,203.0
109,39.0,-60.0,193.0
99,31.0,-70.0,178.0
25,27.0,-79.0,142.0
10,46.0,-31.0,136.0
17,39.0,24.0,113.0
-48,34.0,-32.0,77.0
-41,64.0,-79.0,49.0
-3,86.0,-129.0,6.0
-13,47.0,-165.0,-17.0
-37,25.0,-103.0,-36.0
-80,14.0,-64.0,-37.0
-64,-15.0,-33.0,-33.0
-6,-21.0,-11.0,-51.0
8,-38.0,-68.0,-51.0
-2,-53.0,-113.0,-42.0
-15,-39.0,-133.0,-74.0
-60,-37.0,-160.0,-88.0
-99,-76.0,-191.0,-38.0
-88,-119.0,-202.0,-26.0
-80,-147.0,-204.0,-14.0
-75,-161.0,-258.0,-9.0
-59,-152.0,-255.0,-66.0
-59,-167.0,-162.0,-33.0
-100,-209.0,-123.0,14.0
-141,-196.0,-104.0,-38.0
-91,-163.0,-86.0,-68.0
-92,-132.0,-129.0,-80.0
-135,-118.0,-172.0,-87.0
-94,-168.0,-168.0,-94.0
-118,-147.0,-159.0,-90.0
-142,-79.0,-185.0,-46.0
-98,-97.0,-208.0,-37.0
-108,-136.0,-203.0,-34.0
-126,-129.0,-170.0,-42.0
-123,-99.0,-152.0,-62.0
-145,-124.0,-201.0,-45.0
-190,-148.0,-243.0,-66.0
-216,-123.0,-208.0,-58.0
-252,-121.0,-199.0,-11.0
-255,-136.0,-261.0,-30.0
-221,-140.0,-249.0,-63.0
-262,-108.0,-196.0,-71.0
-339,-100.0,-182.0,-54.0
-405,-123.0,-129.0,-39.0
-397,-99.0,-103.0,-42.0
-322,-80.0,-122.0,-52.0
-306,-74.0,-97.0,-50.0
-293,-38.0,-96.0,-10.0
-264,-32.0,-97.0,25.0
-230,-39.0,-64.0,29.0
-194,-4.0,-63.0,19.0
-257,0.0,-68.0,24.0
-311,-28.0,-61.0,64.0
-290,-13.0,-65.0,58.0
-283,8.0,-81.0,12.0
-298,-6.0,-64.0,-4.0
-379,11.0,-42.0,9.0
-421,49.0,-33.0,59.0
-364,41.0,8.0,65.0
-326,23.0,-19.0,-13.0
-279,11.0,-63.0,-34.0
-256,21.0,7.0,8.0
-262,27.0,44.0,-23.0
-225,7.0,-4.0,-63.0
-209,-12.0,13.0,-52.0
-211,-5.0,69.0,-81.0
-163,51.0,67.0,-73.0
