Q1,Q2,Q3,Q4
-2108,-7704,-3262,-8776
-3615,-7878,-3200,-8750
-3168,-8021,-2999,-8673
-3203,-8206,-2920,-8547
-3266,-8419,-2864,-8595
-3239,-8630,-2833,-8645
-3391,-8830,-2957,-8580
-3296,-9114,-2933,-8566
-3270,-9541,-2842,-8503
-3337,-9921,-2882,-8392
-3336,-10241,-2843,-8421
-3314,-10639,-2795,-8444
-3289,-11067,-2822,-8347
-3294,-11434,-2844,-8257
-3327,-11648,-2807,-8191
-3353,-11684,-2745,-8150
-3354,-11650,-2773,-8107
-3309,-11509,-2732,-8141
-3299,-11188,-2629,-8239
-3370,-10718,-2582,-8161
-3451,-10051,-2490,-8090
-3458,-9328,-2425,-8113
-3399,-8622,-2298,-8028
-3410,-7772,-2150,-7935
-3423,-6955,-2186,-7805
-3358,-6135,-2202,-7628
-3338,-5222,-2185,-7552
-3338,-4531,-2142,-7498
-3322,-3957,-2028,-7446
-3374,-3365,-2091,-7422
-3389,-2884,-2189,-7372
-3370,-2436,-2168,-7353
-3426,-2074,-2195,-7344
-3411,-1809,-2245,-7270
-3337,-1458,-2302,-7248
-3307,-1103,-2419,-7304
-3305,-815,-2528,-7284
-3339,-512,-2584,-7257
-3299,-259,-2652,-7252
-3255,-50,-2754,-7195
-3309,125,-2813,-7160
-3264,233,-2806,-7152
-3265,268,-2759,-7194
-3399,111,-2781,-7275
-3380,-205,-2876,-7322
-3292,-549,-2882,-7281
-3299,-955,-2896,-7158
-3339,-1447,-3000,-7108
-3337,-2010,-3026,-7120
-3329,-2559,-3020,-7132
-3366,-3016,-3067,-7168
-3348,-3440,-3070,-7108
-3296,-3811,-3076,-7025
-3292,-4098,-3177,-6951
-3292,-4315,-3271,-6793
-3267,-4452,-3341,-6761
-3235,-4516,-3418,-6818
-3248,-4495,-3446,-6814
-3251,-4465,-3531,-6781
-3224,-4479,-3652,-6670
-3261,-4446,-3696,-6558
-3305,-4382,-3758,-6497
-3301,-4349,-3776,-6472
-3292,-4280,-3735,-6464
-3290,-4217,-3777,-6453
-3333,-4128,-3879,-6514
-3331,-3911,-3964,-6492
-3264,-3678,-4027,-6413
-3301,-3375,-4159,-6425
-3287,-3017,-4332,-6412
-3223,-2727,-4419,-6448
-3271,-2310,-4462,-6462
-3238,-1815,-4489,-6412
-3208,-1404,-4531,-6410
-3269,-923,-4619,-6320
-3257,-521,-4700,-6270
-3255,-328,-4844,-6300
-3293,-119,-5050,-6225
-3321,82,-5224,-6190
-3354,153,-5423,-6155
-3325,117,-5656,-6134
-3246,18,-5887,-6215
-3232,-77,-6132,-6154
-3280,-161,-6368,-6079
-3302,-250,-6467,-6104
-3314,-370,-6341,-6098
-3296,-543,-6035,-6103
-3268,-691,-5582,-6130
-3265,-805,-5007,-6210
-3264,-914,-4298,-6265
-3359,-1019,-3554,-6279
-3371,-1213,-3060,-6348
-3294,-1448,-2909,-6429
-3356,-1678,-3027,-6480
-3372,-1914,-3261,-6493
-3293,-2050,-3439,-6541
-3298,-2157,-3585,-6586
-3372,-2292,-3669,-6577
-3348,-2349,-3682,-6581
-3317,-2272,-3701,-6626
-3387,-2156,-3690,-6690
-3358,-2009,-3724,-6742
-3322,-1617,-3859,-6807
-3359,-1217,-4096,-6828
-3287,-933,-4437,-6872
-3248,-497,-4801,-6966
-3315,-151,-5081,-7003
-3315,98,-5177,-7095
-3328,501,-5126,-7163
-3384,812,-4888,-7125
-3396,889,-4430,-7146
-3411,904,-3942,-7185
-3349,925,-3527,-7141
-3285,882,-3185,-7111
-3315,816,-2895,-7148
-3284,777,-2742,-7125
-3277,713,-2786,-7118
-3340,632,-2826,-7217
-3346,523,-2808,-7282
-3340,422,-2854,-7332
-3317,330,-2884,-7402
-3297,173,-2849,-7420
-3283,11,-2877,-7473
-3223,-175,-3000,-7580
-3219,-492,-3230,-7602
-3292,-885,-3520,-7641
-3327,-1269,-3786,-7743
-3297,-1676,-4030,-7800
-3272,-2073,-4190,-7906
-3265,-2473,-4331,-8010
-3248,-2916,-4407,-7996
-3271,-3296,-4238,-7970
-3255,-3685,-4029,-7959
-3190,-4092,-3821,-7940
-3264,-4474,-3521,-7956
-3328,-4909,-3316,-7987
-3248,-5324,-3155,-8019
-3285,-5690,-3025,-8050
-3356,-6014,-2964,-8053
-3293,-6341,-2897,-8011
-3294,-6742,-2936,-7942
-3325,-7091,-2988,-7939
-3348,-7371,-2967,-7950
-3404,-7638,-3014,-7907
-3372,-7837,-3072,-7917
-3355,-8054,-3142,-7955
-3375,-8356,-3303,-7998
-3368,-8617,-3500,-8073
-3367,-8842,-3701,-8040
-3338,-9131,-3882,-7924
-3329,-9418,-4030,-7899
-3326,-9664,-4100,-7923
-3329,-9958,-4048,-7935
-3337,-10279,-3923,-7977
-3309,-10602,-3770,-8021
-3369,-10963,-3649,-7992
-3419,-11270,-3500,-7968
-3353,-11491,-3305,-7957
-3291,-11721,-3217,-7879
-3263,-11891,-3124,-7848
-3315,-11910,-3010,-7872
-3344,-11821,-3018,-7870
-3310,-11655,-3025,-7918
-3369,-11315,-2983,-8015
-3385,-10707,-2936,-8103
-3320,-9897,-2892,-8143
-3294,-8989,-2897,-8128
-3286,-8166,-2954,-8153
-3326,-7436,-3040,-8166
-3390,-6491,-3203,-8138
-3436,-5488,-3378,-8151
-3461,-4758,-3467,-8122
-3434,-4061,-3616,-8052
-3405,-3349,-3762,-7987
-3403,-2785,-3770,-7907
-3425,-2250,-3742,-7847
-3471,-1745,-3692,-7819
-3428,-1302,-3639,-7782
-3356,-883,-3545,-7750
-3386,-487,-3401,-7786
-3422,-96,-3301,-7842
-3426,281,-3248,-7878
-3416,645,-3236,-7919
-3377,910,-3224,-7952
-3368,954,-3213,-7924
-3344,891,-3164,-7838
-3298,854,-3083,-7803
-3323,772,-3098,-7805
-3377,471,-3075,-7863
-3392,-81,-2981,-7933
-3377,-640,-2975,-7875
-3445,-1089,-2989,-7876
-3495,-1557,-3001,-7905
-3398,-2051,-3119,-7697
-3348,-2443,-3286,-7519
-3378,-2776,-3378,-7559
-3392,-3176,-3458,-7554
-3399,-3459,-3494,-7526
-3430,-3596,-3446,-7612
-3427,-3757,-3440,-7632
-3369,-3913,-3364,-7588
-3362,-4099,-3256,-7568
-3377,-4345,-3249,-7474
-3381,-4541,-3201,-7409
-3403,-4633,-3172,-7438
-3436,-4740,-3186,-7455
-3438,-4801,-3185,-7454
-3427,-4663,-3192,-7482
-3464,-4437,-3171,-7534
-3420,-4198,-3202,-7547
-3365,-3923,-3182,-7536
-3400,-3584,-3083,-7535
-3418,-3175,-3125,-7559
-3439,-2703,-3172,-7575
-3382,-2242,-3164,-7537
-3318,-1815,-3232,-7558
-3372,-1387,-3301,-7669
-3370,-1088,-3352,-7724
-3345,-870,-3355,-7737
-3336,-649,-3323,-7771
-3306,-503,-3359,-7784
-3327,-397,-3398,-7755
-3299,-339,-3389,-7687
-3282,-256,-3349,-7675
-3348,-124,-3318,-7697
-3352,-132,-3309,-7705
-3353,-195,-3298,-7708
-3365,-170,-3366,-7625
-3370,-144,-3381,-7567
-3393,-168,-3257,-7548
-3361,-234,-3229,-7471
-3355,-366,-3246,-7371
-3350,-528,-3175,-7386
-3320,-724,-3116,-7515
-3330,-1042,-3087,-7484
-3324,-1297,-3057,-7426
-3346,-1461,-3037,-7445
-3395,-1691,-3054,-7361
-3377,-1788,-3127,-7308
-3361,-1747,-3132,-7265
-3405,-1653,-3119,-7198
-3393,-1451,-3181,-7231
-3350,-1257,-3177,-7236
-3397,-1021,-3198,-7207
-3447,-653,-3254,-7210
-3437,-294,-3234,-7093
-3435,-43,-3217,-6969
-3447,167,-3202,-6953
-3452,349,-3235,-6886
-3443,445,-3310,-6830
-3346,502,-3337,-6836
-3295,573,-3313,-6838
-3411,671,-3272,-6844
-3415,748,-3266,-6850
-3343,805,-3285,-6850
-3404,905,-3293,-6798
-3422,1052,-3251,-6777
-3428,1211,-3198,-6748
-3478,1257,-3197,-6619
-3471,1242,-3219,-6552
-3483,1258,-3261,-6518
-3534,1171,-3296,-6487
-3548,988,-3294,-6510
-3539,727,-3286,-6425
-3557,366,-3278,-6310
-3532,41,-3277,-6236
-3514,-206,-3296,-6030
-3559,-514,-3279,-5869
-3542,-899,-3233,-5866
-3519,-1229,-3235,-5834
-3530,-1447,-3227,-5807
-3493,-1607,-3173,-5840
-3460,-1832,-3136,-5810
